PRCP       010039 19100101 20171231 missing_value=99999.9 DOODARDING WELL                           
20051101 20051130     3.0
20051201 20051231     2.6
20060101 20060131    89.8
20060201 20060228    34.8
20060301 20060331     4.2
20060401 20060430    19.4
20060501 20060531    18.6
20060601 20060630    13.6
20060701 20060731    26.0
20060801 20060831    29.0
20060901 20060930    47.4
20061001 20061031    28.4
20061101 20061130    29.9
20061201 20061231    12.8
20070101 20070131    49.2
20070201 20070228     7.4
20070301 20070331     0.0
20070401 20070430    46.8
20070501 20070531    20.6
20070601 20070630    18.2
20070701 20070731    53.2
20070801 20070831    23.6
20070901 20070930    23.0
20071001 20071031    27.8
20071101 20071130     0.0
20071201 20071231    42.4
20080101 20080131     0.0
20080201 20080229    14.4
20080301 20080331     2.6
20080401 20080430    29.1
20080501 20080531     6.6
20080601 20080630    25.4
20080701 20080731    87.4
20080801 20080831    11.2
20080901 20080930    21.2
20081001 20081031    44.0
20081101 20081130     8.2
20081201 20081231     6.0
20090101 20090131     6.6
20090201 20090228     2.4
20090301 20090331    32.8
20090401 20090430    10.0
20090501 20090531     9.8
20090601 20090630    33.2
20090701 20090731    60.8
20090801 20090831    43.4
20090901 20090930    23.1
20091001 20091031    22.4
20091101 20091130    14.6
20091201 20091231     5.2
20100101 20100131     0.0
20100201 20100228     0.6
20100301 20100331    22.6
20100401 20100430     0.0
20100501 20100531    30.0
20100601 20100630    16.8
20100701 20100731    36.8
20100801 20100831    28.0
20100901 20100930     9.2
20101001 20101031     1.2
20101101 20101130     3.2
20101201 20101231    11.6
20110101 20110131    44.6
20110201 20110228    13.0
20110301 20110331     0.0
20110401 20110430     4.2
20110501 20110531    33.2
20110601 20110630    41.2
20110701 20110731    66.7
20110801 20110831    44.1
20110901 20110930    17.4
20111001 20111031    57.8
20111101 20111130    24.8
20111201 20111231    22.6
20120101 20120131     7.2
20120201 20120229     4.0
20120301 20120331     5.0
20120401 20120430     0.0
20120501 20120531    11.4
20120601 20120630    73.2
20120701 20120731    16.6
20120801 20120831    33.2
20120901 20120930    36.4
20121001 20121031     4.0
20121101 20121130    46.6
20121201 20121231    12.2
20130101 20130131    38.0
20130201 20130228    11.4
20130301 20130331    24.8
20130401 20130430     3.0
20130501 20130531    27.0
20130601 20130630     3.4
20130701 20130731    23.4
20130801 20130831    37.6
20130901 20130930    39.4
20131001 20131031    23.2
20131101 20131130     2.6
20131201 20131231     0.0
20140101 20140131     4.0
20140201 20140228     4.2
20140301 20140331     1.2
20140401 20140430    19.6
20140501 20140531    34.0
20140601 20140630    30.0
20140701 20140731    47.2
20140801 20140831    27.8
20140901 20140930    27.0
20141001 20141031     7.2
20141101 20141130    25.2
20141201 20141231    11.0
20150101 20150131     0.0
20150201 20150228     9.4
20150301 20150331    38.2
20150401 20150430    18.4
20150501 20150531    17.2
20150601 20150630    47.1
20150701 20150731    75.4
20150801 20150831    68.6
20150901 20150930     4.0
20151001 20151031     6.0
20151101 20151130    34.2
20151201 20151231    13.0
20160101 20160131    54.2
20160201 20160229     0.0
20160301 20160331    77.1
20160401 20160430    66.7
20160501 20160531    54.8
20160601 20160630    36.6
20160701 20160731    31.4
20160801 20160831    33.4
20160901 20160930    19.6
20161001 20161031     8.4
20161101 20161130     0.0
20161201 20161231    13.8
20170101 20170131    71.4
20170201 20170228    46.0
20170301 20170331    30.8
20170401 20170430     0.0
20170501 20170531    17.0
20170601 20170630    11.2
20170701 20170731    34.2
20170801 20170831    41.0
20170901 20170930    25.8
20171001 20171031     3.0
20171101 20171130    13.6
20171201 20171231     4.2
