PRCP       010039 19100101 20171231 missing_value=99999.9 DOODARDING WELL                           
19311201 19311231     9.4
19320101 19320131    16.8
19320201 19320229     1.0
19320301 19320331    19.6
19320401 19320430    14.4
19320501 19320531    52.7
19320601 19320630    23.4
19320701 19320731    74.7
19320801 19320831   102.8
19320901 19320930    21.2
19321001 19321031    30.5
19321101 19321130     0.6
19321201 19321231     0.0
19330101 19330131     3.3
19330201 19330228     5.8
19330301 19330331    23.4
19330401 19330430     0.0
19330501 19330531    39.6
19330601 19330630    61.6
19330701 19330731    39.5
19330801 19330831    40.5
19330901 19330930    15.1
19331001 19331031    25.6
19331101 19331130    30.5
19331201 19331231     4.3
19340101 19340131    11.7
19340201 19340228     9.1
19340301 19340331    25.0
19340401 19340430   108.1
19340501 19340531    13.0
19340601 19340630    41.0
19340701 19340731    45.5
19340801 19340831    38.1
19340901 19340930    24.1
19341001 19341031     4.4
19341101 19341130    14.5
19341201 19341231     1.3
19350101 19350131    21.8
19350201 19350228    38.1
19350301 19350331     5.1
19350401 19350430    24.6
19350501 19350531    14.6
19350601 19350630    15.0
19350701 19350731    41.4
19350801 19350831    49.0
19350901 19350930    21.1
19351001 19351031     4.1
19351101 19351130     0.8
19351201 19351231     2.8
19360101 19360131     9.6
19360201 19360229     0.0
19360301 19360331    24.4
19360401 19360430     0.0
19360501 19360531    22.4
19360601 19360630    48.2
19360701 19360731    20.7
19360801 19360831    49.2
19360901 19360930    21.4
19361001 19361031     7.9
19361101 19361130     1.0
19361201 19361231    72.9
19370101 19370131     0.0
19370201 19370228     5.1
19370301 19370331     0.0
19370401 19370430     9.7
19370501 19370531    62.7
19370601 19370630    46.3
19370701 19370731     6.6
19370801 19370831    44.5
19370901 19370930    14.7
19371001 19371031     4.3
19371101 19371130    12.0
19371201 19371231     0.0
19380101 19380131    12.4
19380201 19380228     0.0
19380301 19380331    33.8
19380401 19380430    25.9
19380501 19380531    14.0
19380601 19380630    42.4
19380701 19380731    48.3
19380801 19380831    19.6
19380901 19380930    10.2
19381001 19381031     3.5
19381101 19381130    13.3
19381201 19381231     0.0
19390101 19390131    20.9
19390201 19390228    78.0
19390301 19390331     0.0
19390401 19390430    17.5
19390501 19390531    77.5
19390601 19390630    60.5
19390701 19390731    64.4
19390801 19390831    48.3
19390901 19390930     1.3
19391001 19391031    39.7
19391101 19391130    22.7
19391201 19391231     1.8
19400101 19400131     5.8
19400201 19400229     0.0
19400301 19400331     0.0
19400401 19400430     0.0
19400501 19400531    14.7
19400601 19400630    33.7
19400701 19400731    48.3
19400801 19400831     5.1
19400901 19400930    19.8
19401001 19401031    26.1
19401101 19401130     2.0
19401201 19401231    36.0
19410101 19410131     2.0
19410201 19410228    22.1
19410301 19410331     0.0
19410401 19410430    47.0
19410501 19410531    50.0
19410601 19410630    79.9
19410701 19410731    32.8
19410801 19410831    25.9
19410901 19410930    24.0
19411001 19411031     8.9
19411101 19411130    20.9
19411201 19411231    16.3
19420101 19420131     0.0
19420201 19420228     0.0
19420301 19420331    31.2
19420401 19420430    11.0
19420501 19420531    80.0
19420601 19420630    31.3
19420701 19420731    44.5
19420801 19420831    53.5
19420901 19420930    14.9
19421001 19421031     9.8
19421101 19421130     1.8
19421201 19421231    30.0
19430101 19430131    18.3
19430201 19430228    62.8
19430301 19430331    69.7
19430401 19430430    38.8
19430501 19430531    21.0
