PRCP       009561 19050101 20180131 missing_value=99999.9 KENDENUP POST OFFICE                      
19261201 19261231    19.3
19270101 19270131    23.7
19270201 19270228    10.7
19270301 19270331    61.4
19270401 19270430    15.0
19270501 19270531    69.6
19270601 19270630    89.3
19270701 19270731    80.1
19270801 19270831    62.1
19270901 19270930    85.5
19271001 19271031    63.2
19271101 19271130    15.2
19271201 19271231    17.9
19280101 19280131    57.2
19280201 19280229     0.5
19280301 19280331     8.4
19280401 19280430    41.8
19280501 19280531    52.9
19280601 19280630    45.0
19280701 19280731   112.6
19280801 19280831   104.8
19280901 19280930    93.0
19281001 19281031    49.0
19281101 19281130    11.4
19281201 19281231    12.3
19290101 19290131     4.2
19290201 19290228    68.9
19290301 19290331    10.9
19290401 19290430    37.3
19290501 19290531    78.1
19290601 19290630   112.7
19290701 19290731    59.1
19290801 19290831    49.6
19290901 19290930    52.5
19291001 19291031    35.5
19291101 19291130   110.8
19291201 19291231    26.8
19300101 19300131     1.3
19300201 19300228     6.1
19300301 19300331    31.1
19300401 19300430    30.8
19300501 19300531    96.0
19300601 19300630    93.3
19300701 19300731    87.9
19300801 19300831    38.2
19300901 19300930    48.6
19301001 19301031    23.3
19301101 19301130    19.5
19301201 19301231    22.5
19310101 19310131     2.3
19310201 19310228     4.6
19310301 19310331    37.9
19310401 19310430    38.5
19310501 19310531    55.5
19310601 19310630    76.5
19310701 19310731    50.1
19310801 19310831   103.7
19310901 19310930    83.2
19311001 19311031    30.9
19311101 19311130    16.4
19311201 19311231    38.4
19320101 19320131    21.9
19320201 19320229     8.5
19320301 19320331    12.0
19320401 19320430    48.5
19320501 19320531    80.4
19320601 19320630   118.6
19320701 19320731    92.8
19320801 19320831    94.8
19320901 19320930    34.2
19321001 19321031    51.1
19321101 19321130    27.1
19321201 19321231    15.5
19330101 19330131    43.4
19330201 19330228     3.8
19330301 19330331    48.4
19330401 19330430    37.9
19330501 19330531    73.6
19330601 19330630   176.3
19330701 19330731    62.5
19330801 19330831    63.5
19330901 19330930    62.0
19331001 19331031   101.7
19331101 19331130    41.3
19331201 19331231    31.8
19340101 19340131    22.8
19340201 19340228     7.6
19340301 19340331   102.9
19340401 19340430    36.9
19340501 19340531    50.1
19340601 19340630    86.0
19340701 19340731   104.6
19340801 19340831    73.0
19340901 19340930    63.2
19341001 19341031    54.7
19341101 19341130    39.0
19341201 19341231    23.0
19350101 19350131    16.3
19350201 19350228    12.4
19350301 19350331     2.9
19350401 19350430    69.9
19350501 19350531    38.1
19350601 19350630    97.2
19350701 19350731   104.1
19350801 19350831    62.7
19350901 19350930    75.3
19351001 19351031    66.9
19351101 19351130    13.0
19351201 19351231    18.4
19360101 19360131    18.0
19360201 19360229     4.6
19360301 19360331     1.6
19360401 19360430    25.5
19360501 19360531    75.8
19360601 19360630   102.3
19360701 19360731    69.0
19360801 19360831    74.0
19360901 19360930    34.2
19361001 19361031    38.1
19361101 19361130     8.7
19361201 19361231    23.0
19370101 19370131    12.0
19370201 19370228     3.6
19370301 19370331    61.4
19370401 19370430    49.5
19370501 19370531   117.5
19370601 19370630    43.7
19370701 19370731    56.2
19370801 19370831    98.1
19370901 19370930    54.6
19371001 19371031    45.2
19371101 19371130    32.5
19371201 19371231     4.4
19380101 19380131     9.0
19380201 19380228     3.6
19380301 19380331    44.4
19380401 19380430    25.4
19380501 19380531    90.7
19380601 19380630    78.9
19380701 19380731   113.6
19380801 19380831    75.8
19380901 19380930    46.2
19381001 19381031    47.5
19381101 19381130    23.8
19381201 19381231    13.4
19390101 19390131   115.5
19390201 19390228    34.8
19390301 19390331     2.3
19390401 19390430    27.8
19390501 19390531    68.5
19390601 19390630   103.0
19390701 19390731    87.9
19390801 19390831   106.5
19390901 19390930    20.9
19391001 19391031   156.1
19391101 19391130    57.2
19391201 19391231     1.6
19400101 19400131     7.9
19400201 19400229     1.0
19400301 19400331     2.1
19400401 19400430    15.9
19400501 19400531    37.7
19400601 19400630    47.3
19400701 19400731    75.1
19400801 19400831    35.5
19400901 19400930    36.4
19401001 19401031    20.2
19401101 19401130    20.8
19401201 19401231    62.1
19410101 19410131     7.3
19410201 19410228     2.3
19410301 19410331   112.1
19410401 19410430    54.7
19410501 19410531    53.5
19410601 19410630    93.3
19410701 19410731    85.2
19410801 19410831    65.8
19410901 19410930   107.9
19411001 19411031    63.2
19411101 19411130    25.4
19411201 19411231     8.7
19420101 19420131     5.2
19420201 19420228     9.0
19420301 19420331    54.8
19420401 19420430    56.6
19420501 19420531   149.2
19420601 19420630    88.4
19420701 19420731    85.2
19420801 19420831   115.7
