PRCP       077030 18860901 20160731 missing_value=99999.9 NARRAPORT                                 
19080801 19080831    37.8
19080901 19080930    67.9
19081001 19081031    69.3
19081101 19081130    12.7
19081201 19081231    11.2
19090101 19090131    21.1
19090201 19090228    14.0
19090301 19090331    20.8
19090401 19090430    33.8
19090501 19090531    69.6
19090601 19090630    72.2
19090701 19090731    49.4
19090801 19090831    74.5
19090901 19090930    14.1
19091001 19091031    18.8
19091101 19091130    24.4
19091201 19091231     9.2
19100101 19100131    20.6
19100201 19100228     4.8
19100301 19100331    83.3
19100401 19100430     1.6
19100501 19100531    51.7
19100601 19100630    32.7
19100701 19100731    56.0
19100801 19100831    44.7
19100901 19100930    54.2
19101001 19101031    28.5
19101101 19101130    26.0
19101201 19101231    26.7
19110101 19110131     5.8
19110201 19110228   213.9
19110301 19110331    33.5
19110401 19110430     5.8
19110501 19110531    55.6
19110601 19110630    46.7
19110701 19110731    27.9
19110801 19110831    10.4
19110901 19110930    51.0
19111001 19111031     5.7
19111101 19111130     1.2
19111201 19111231    34.2
19120101 19120131     0.0
19120201 19120229    21.6
19120301 19120331     3.0
19120401 19120430     2.3
19120501 19120531     3.3
19120601 19120630    75.4
19120701 19120731    54.1
19120801 19120831    30.0
19120901 19120930    49.2
19121001 19121031     7.2
19121101 19121130    46.3
19121201 19121231    84.9
19130101 19130131     2.8
19130201 19130228     6.5
19130301 19130331    46.0
19130401 19130430    15.5
19130501 19130531    76.6
19130601 19130630     8.4
19130701 19130731     6.5
19130801 19130831    20.1
19130901 19130930    38.9
19131001 19131031    67.5
19131101 19131130     7.9
19131201 19131231    21.6
19140101 19140131     5.9
19140201 19140228    14.8
19140301 19140331    30.5
19140401 19140430    43.7
19140501 19140531    18.0
19140601 19140630     4.6
19140701 19140731     9.8
19140801 19140831     4.7
19140901 19140930     1.0
19141001 19141031     0.0
19141101 19141130    40.0
19141201 19141231    44.1
19150101 19150131    11.4
19150201 19150228     2.8
19150301 19150331     0.5
19150401 19150430    13.7
19150501 19150531    28.7
19150601 19150630    60.7
19150701 19150731    47.1
19150801 19150831    70.6
19150901 19150930    72.8
19151001 19151031    30.9
19151101 19151130     7.9
19151201 19151231     0.5
19160101 19160131    59.4
19160201 19160229     9.4
19160301 19160331     3.6
19160401 19160430    11.6
19160501 19160531    19.4
19160601 19160630    70.4
19160701 19160731    52.9
19160801 19160831    54.6
19160901 19160930    86.8
19161001 19161031    67.0
19161101 19161130    61.5
19161201 19161231    27.2
19170101 19170131    33.9
19170201 19170228    48.5
19170301 19170331    29.0
19170401 19170430     9.4
19170501 19170531    35.0
19170601 19170630    36.8
19170701 19170731    51.1
19170801 19170831    73.1
19170901 19170930    60.1
19171001 19171031    60.5
19171101 19171130    34.5
19171201 19171231     9.9
19180101 19180131     9.4
19180201 19180228    44.7
19180301 19180331    33.2
19180401 19180430    24.7
19180501 19180531    94.7
19180601 19180630    23.4
19180701 19180731    15.6
19180801 19180831    46.2
19180901 19180930    15.5
19181001 19181031    15.5
19181101 19181130     7.4
19181201 19181231     5.6
19190101 19190131     0.0
19190201 19190228    44.5
19190301 19190331    22.9
19190401 19190430    14.2
19190501 19190531    41.9
19190601 19190630    29.7
19190701 19190731    14.0
19190801 19190831    17.8
19190901 19190930    23.4
19191001 19191031    15.0
19191101 19191130     8.1
19191201 19191231    35.8
19200101 19200131     0.5
19200201 19200229     1.0
19200301 19200331     4.3
19200401 19200430    10.1
19200501 19200531    30.7
19200601 19200630    28.2
19200701 19200731    40.7
19200801 19200831    97.7
19200901 19200930    83.2
19201001 19201031    27.7
19201101 19201130    54.1
19201201 19201231     7.9
19210101 19210131    55.4
19210201 19210228    16.7
19210301 19210331    37.8
19210401 19210430     5.6
19210501 19210531    62.1
19210601 19210630    31.2
19210701 19210731    34.8
19210801 19210831    32.1
19210901 19210930    84.4
19211001 19211031    25.2
19211101 19211130    33.5
19211201 19211231    14.8
19220101 19220131     5.4
19220201 19220228    14.0
19220301 19220331     0.0
19220401 19220430     7.1
19220501 19220531    43.4
19220601 19220630    23.4
19220701 19220731    25.4
19220801 19220831    26.9
19220901 19220930    47.3
19221001 19221031    45.6
19221101 19221130     3.3
19221201 19221231    24.1
19230101 19230131    12.7
19230201 19230228     3.0
19230301 19230331     3.0
19230401 19230430     0.5
19230501 19230531    54.0
19230601 19230630    92.3
19230701 19230731    86.1
19230801 19230831    15.3
19230901 19230930    35.0
19231001 19231031    23.4
19231101 19231130     1.0
19231201 19231231    28.5
19240101 19240131    17.1
19240201 19240229    35.1
19240301 19240331    54.8
19240401 19240430    13.5
19240501 19240531    21.6
19240601 19240630    35.1
19240701 19240731     2.3
19240801 19240831    40.4
19240901 19240930    45.3
19241001 19241031    50.0
19241101 19241130    97.9
19241201 19241231    18.3
19250101 19250131    24.7
19250201 19250228    14.7
19250301 19250331    38.7
19250401 19250430     7.3
19250501 19250531    43.3
19250601 19250630    28.6
19250701 19250731    27.9
19250801 19250831    18.1
19250901 19250930    31.8
19251001 19251031     3.3
19251101 19251130    34.8
19251201 19251231     0.0
19260101 19260131     1.8
19260201 19260228     1.0
19260301 19260331    11.7
19260401 19260430    56.9
19260501 19260531    44.0
19260601 19260630    56.0
19260701 19260731    29.7
19260801 19260831    35.9
19260901 19260930    14.8
19261001 19261031    20.3
19261101 19261130     1.3
19261201 19261231     7.1
19270101 19270131     0.0
19270201 19270228     2.8
19270301 19270331     3.6
19270401 19270430     0.0
19270501 19270531    38.7
19270601 19270630     9.4
19270701 19270731    62.9
19270801 19270831    32.4
19270901 19270930    18.6
19271001 19271031    15.2
19271101 19271130     4.8
19271201 19271231    19.5
19280101 19280131    51.2
19280201 19280229    79.1
19280301 19280331    49.6
19280401 19280430    10.4
19280501 19280531    16.1
19280601 19280630    44.2
19280701 19280731    24.9
19280801 19280831     4.6
19280901 19280930    26.5
19281001 19281031    11.6
19281101 19281130     0.0
19281201 19281231     2.5
19290101 19290131     5.6
19290201 19290228    22.1
19290301 19290331    18.5
19290401 19290430    18.6
19290501 19290531     2.1
19290601 19290630    27.4
19290701 19290731     6.9
19290801 19290831    32.6
19290901 19290930    15.8
19291001 19291031    12.8
19291101 19291130    14.6
19291201 19291231    25.6
19300101 19300131     0.0
19300201 19300228     7.9
19300301 19300331     2.3
19300401 19300430     9.0
19300501 19300531    34.1
19300601 19300630     7.7
19300701 19300731    40.3
19300801 19300831    37.0
19300901 19300930    12.1
19301001 19301031    85.0
19301101 19301130    31.1
19301201 19301231   150.9
19310101 19310131     4.3
19310201 19310228     0.0
19310301 19310331    53.0
19310401 19310430    70.3
19310501 19310531    61.8
19310601 19310630   100.2
19310701 19310731    25.5
19310801 19310831    15.8
19310901 19310930    38.3
19311001 19311031     9.1
19311101 19311130    48.5
19311201 19311231     6.6
19320101 19320131     0.0
19320201 19320229    45.1
19320301 19320331    69.5
19320401 19320430    39.8
19320501 19320531    39.1
19320601 19320630    55.5
19320701 19320731    51.8
19320801 19320831    61.5
19320901 19320930    28.8
19321001 19321031    15.9
19321101 19321130     5.3
19321201 19321231    10.6
19330101 19330131    23.6
19330201 19330228     0.0
19330301 19330331     2.8
19330401 19330430    39.1
19330501 19330531    53.9
19330601 19330630    10.2
19330701 19330731    83.4
19330801 19330831    39.1
19330901 19330930    53.1
19331001 19331031    24.2
19331101 19331130    87.2
19331201 19331231    59.8
19340101 19340131     6.6
19340201 19340228    30.4
19340301 19340331     1.5
19340401 19340430    28.7
19340501 19340531     0.0
19340601 19340630    10.7
19340701 19340731    41.9
19340801 19340831    21.4
19340901 19340930    27.7
19341001 19341031   102.1
19341101 19341130    80.0
19341201 19341231     4.3
19350101 19350131     8.7
19350201 19350228     4.6
19350301 19350331    16.5
19350401 19350430    29.4
19350501 19350531    13.8
19350601 19350630    25.1
19350701 19350731    50.2
19350801 19350831    23.2
19350901 19350930    57.7
19351001 19351031    93.2
19351101 19351130     6.8
19351201 19351231    12.4
19360101 19360131    55.6
19360201 19360229     0.0
19360301 19360331     0.5
19360401 19360430     8.7
19360501 19360531    34.8
19360601 19360630    28.9
19360701 19360731   107.6
19360801 19360831    44.2
19360901 19360930     8.4
19361001 19361031    44.8
19361101 19361130     1.0
19361201 19361231    34.9
19370101 19370131    32.8
19370201 19370228     4.5
19370301 19370331     2.8
19370401 19370430     3.9
19370501 19370531    19.6
19370601 19370630    25.5
19370701 19370731    13.3
19370801 19370831    44.5
19370901 19370930    21.3
19371001 19371031    99.6
19371101 19371130     5.3
19371201 19371231    70.6
19380101 19380131    16.5
19380201 19380228    10.7
19380301 19380331     1.3
19380401 19380430    15.7
19380501 19380531     3.6
19380601 19380630    27.4
19380701 19380731    59.5
19380801 19380831    18.4
19380901 19380930     3.3
19381001 19381031     1.8
19381101 19381130     4.3
19381201 19381231     0.0
19390101 19390131    14.0
19390201 19390228   105.9
19390301 19390331     7.6
19390401 19390430    72.4
19390501 19390531    61.5
19390601 19390630    39.1
19390701 19390731    15.7
19390801 19390831    51.3
19390901 19390930    22.3
19391001 19391031     4.6
19391101 19391130    62.1
19391201 19391231     1.0
19400101 19400131     9.9
19400201 19400229     0.0
19400301 19400331     0.0
19400401 19400430    43.4
19400501 19400531    11.7
19400601 19400630     4.4
19400701 19400731    17.9
19400801 19400831     9.4
19400901 19400930    47.7
19401001 19401031     3.6
19401101 19401130    19.7
19401201 19401231    16.0
19410101 19410131    50.2
19410201 19410228     4.3
19410301 19410331    26.7
19410401 19410430    11.4
19410501 19410531    11.2
19410601 19410630    36.4
19410701 19410731    52.7
19410801 19410831    14.0
19410901 19410930    51.1
19411001 19411031    46.0
19411101 19411130    30.8
19411201 19411231    15.7
19420101 19420131    12.2
19420201 19420228     6.4
19420301 19420331    10.7
19420401 19420430    15.5
19420501 19420531    55.7
19420601 19420630    50.6
19420701 19420731    33.3
19420801 19420831    73.2
19420901 19420930    32.4
