PRCP       050018 18890601 20180131 missing_value=99999.9 DANDALOO (KELVIN)                         
19110501 19110531    72.0
19110601 19110630    16.3
19110701 19110731    38.3
19110801 19110831    54.6
19110901 19110930    31.0
19111001 19111031     2.5
19111101 19111130    74.2
19111201 19111231    77.5
19120101 19120131     0.0
19120201 19120229     5.1
19120301 19120331    16.5
19120401 19120430     0.5
19120501 19120531     0.0
19120601 19120630    41.9
19120701 19120731    82.6
19120801 19120831    57.2
19120901 19120930     4.5
19121001 19121031    13.5
19121101 19121130     7.7
19121201 19121231    15.2
19130101 19130131    48.4
19130201 19130228    40.6
19130301 19130331    94.3
19130401 19130430    29.8
19130501 19130531    77.0
19130601 19130630    90.8
19130701 19130731    18.3
19130801 19130831     8.4
19130901 19130930     8.4
19131001 19131031    31.5
19131101 19131130     7.6
19131201 19131231     5.3
19140101 19140131    27.4
19140201 19140228    65.2
19140301 19140331    47.7
19140401 19140430    16.3
19140501 19140531    49.3
19140601 19140630    22.1
19140701 19140731    34.0
19140801 19140831     0.0
19140901 19140930     9.0
19141001 19141031    15.2
19141101 19141130    35.8
19141201 19141231    54.2
19150101 19150131     7.9
19150201 19150228     3.3
19150301 19150331     1.5
19150401 19150430    15.8
19150501 19150531    65.0
19150601 19150630    32.0
19150701 19150731    25.0
19150801 19150831    22.9
19150901 19150930    12.9
19151001 19151031    48.4
19151101 19151130     0.0
19151201 19151231    10.4
19160101 19160131    19.3
19160201 19160229    22.4
19160301 19160331     0.0
19160401 19160430   130.0
19160501 19160531     8.9
19160601 19160630   126.5
19160701 19160731   104.0
19160801 19160831    33.6
19160901 19160930    60.3
19161001 19161031    89.2
19161101 19161130    50.3
19161201 19161231    66.3
19170101 19170131    62.0
19170201 19170228    40.4
19170301 19170331     2.5
19170401 19170430     5.1
19170501 19170531     6.6
19170601 19170630    64.7
19170701 19170731    43.5
19170801 19170831    53.6
19170901 19170930    50.0
19171001 19171031    41.1
19171101 19171130   120.5
19171201 19171231    79.0
19180101 19180131    60.5
19180201 19180228     9.6
19180301 19180331    18.1
19180401 19180430    12.2
19180501 19180531    21.0
19180601 19180630    39.6
19180701 19180731    20.6
19180801 19180831    54.9
19180901 19180930     4.6
19181001 19181031     7.9
19181101 19181130     4.6
19181201 19181231     7.4
19190101 19190131     2.8
19190201 19190228    20.0
19190301 19190331    13.2
19190401 19190430    12.2
19190501 19190531    67.0
19190601 19190630     0.0
19190701 19190731     3.8
19190801 19190831    32.7
19190901 19190930    13.9
19191001 19191031     0.0
19191101 19191130     0.0
19191201 19191231    81.4
19200101 19200131     5.3
19200201 19200229    12.2
19200301 19200331    42.9
19200401 19200430     0.0
19200501 19200531    13.2
19200601 19200630    91.5
19200701 19200731    52.3
19200801 19200831    38.2
19200901 19200930    50.2
19201001 19201031    61.4
19201101 19201130    44.3
19201201 19201231    71.5
19210101 19210131    57.4
19210201 19210228    16.8
19210301 19210331    78.4
