PRCP       050018 18890601 20180131 missing_value=99999.9 DANDALOO (KELVIN)                         
19850601 19850630    39.4
19850701 19850731     2.6
19850801 19850831    67.0
19850901 19850930    32.8
19851001 19851031    42.4
19851101 19851130    71.2
19851201 19851231    50.6
19860101 19860131    29.2
19860201 19860228     0.0
19860301 19860331    17.2
19860401 19860430    19.4
19860501 19860531    27.0
19860601 19860630     6.0
19860701 19860731    54.0
19860801 19860831    88.4
19860901 19860930    20.8
19861001 19861031    29.6
19861101 19861130    25.6
19861201 19861231    28.6
19870101 19870131    24.0
19870201 19870228     4.6
19870301 19870331   125.4
19870401 19870430     0.0
19870501 19870531    39.4
19870601 19870630    43.2
19870701 19870731    29.4
19870801 19870831    95.6
19870901 19870930    10.2
19871001 19871031    23.8
19871101 19871130    42.0
19871201 19871231    73.8
19880101 19880131    13.0
19880201 19880229    23.6
19880301 19880331    25.6
19880401 19880430   110.8
19880501 19880531    27.4
19880601 19880630    50.8
19880701 19880731    95.4
19880801 19880831    25.0
19880901 19880930    38.0
19881001 19881031    10.4
19881101 19881130    35.6
19881201 19881231   203.4
19890101 19890131    25.8
19890201 19890228    15.8
19890301 19890331    46.0
19890401 19890430   147.4
19890501 19890531   102.8
19890601 19890630    41.6
19890701 19890731    62.2
19890801 19890831    13.8
19890901 19890930     3.6
19891001 19891031    36.6
19891101 19891130    28.8
19891201 19891231    43.6
19900101 19900131    14.2
19900201 19900228    42.6
19900301 19900331    77.4
19900401 19900430   417.8
19900501 19900531    40.6
19900601 19900630    28.6
19900701 19900731   100.4
19900801 19900831    29.8
19900901 19900930    23.6
19901001 19901031    18.4
19901101 19901130    17.4
19901201 19901231    34.0
19910101 19910131    66.0
19910201 19910228    19.0
19910301 19910331    11.6
19910401 19910430     9.6
19910501 19910531    81.0
19910601 19910630    71.6
19910701 19910731    22.4
19910801 19910831    30.4
19910901 19910930    25.8
19911001 19911031    22.4
19911101 19911130     7.6
19911201 19911231   111.8
19920101 19920131    45.4
19920201 19920229   214.0
19920301 19920331     8.2
19920401 19920430     8.6
19920501 19920531    14.4
19920601 19920630    16.6
19920701 19920731    16.2
19920801 19920831   100.8
19920901 19920930    39.0
19921001 19921031    49.8
19921101 19921130    78.4
19921201 19921231   214.8
19930101 19930131    41.8
19930201 19930228    45.4
19930301 19930331    14.2
19930401 19930430     0.8
19930501 19930531    43.4
19930601 19930630    28.0
19930701 19930731    70.8
19930801 19930831    14.6
19930901 19930930    91.6
19931001 19931031    87.0
19931101 19931130    51.9
19931201 19931231    18.8
19940101 19940131     5.6
19940201 19940228    61.2
19940301 19940331    89.0
19940401 19940430    13.4
19940501 19940531     2.8
19940601 19940630    11.6
19940701 19940731    39.4
19940801 19940831    25.4
19940901 19940930    16.0
19941001 19941031    24.2
19941101 19941130    43.4
19941201 19941231    52.2
19950101 19950131   216.2
19950201 19950228     3.3
19950301 19950331     0.0
19950401 19950430     1.0
19950501 19950531    70.6
19950601 19950630    19.4
19950701 19950731    20.6
19950801 19950831     0.0
19950901 19950930    12.5
19951001 19951031    14.4
19951101 19951130    68.2
19951201 19951231    40.4
19960101 19960131    75.6
19960201 19960229     2.7
19960301 19960331    16.8
19960401 19960430     2.0
19960501 19960531   137.8
19960601 19960630    26.6
19960701 19960731    60.3
19960801 19960831    41.6
19960901 19960930    30.4
19961001 19961031    48.4
19961101 19961130    19.2
19961201 19961231    40.8
19970101 19970131    27.0
19970201 19970228    61.8
19970301 19970331     0.8
19970401 19970430     4.8
19970501 19970531    52.2
19970601 19970630    21.0
19970701 19970731     4.4
19970801 19970831    14.6
19970901 19970930    92.2
19971001 19971031    31.0
19971101 19971130    30.0
19971201 19971231    52.6
19980101 19980131    54.6
19980201 19980228    37.0
19980301 19980331     0.0
19980401 19980430    53.0
19980501 19980531    56.4
19980601 19980630    46.8
19980701 19980731   100.2
19980801 19980831   145.0
19980901 19980930    97.4
19981001 19981031    57.2
19981101 19981130    72.4
19981201 19981231    26.0
19990101 19990131    38.8
19990201 19990228    12.9
19990301 19990331    62.2
19990401 19990430    17.2
19990501 19990531    10.0
19990601 19990630    20.4
19990701 19990731    50.2
19990801 19990831    36.8
19990901 19990930    24.6
19991001 19991031    95.2
19991101 19991130    69.8
19991201 19991231    95.2
20000101 20000131    26.0
20000201 20000229    31.8
20000301 20000331   124.2
20000401 20000430    47.4
20000501 20000531   110.2
20000601 20000630    14.9
20000701 20000731    12.2
20000801 20000831    30.4
20000901 20000930    11.0
20001001 20001031    80.6
20001101 20001130   141.8
20001201 20001231    12.4
20010101 20010131    50.6
20010201 20010228    51.6
20010301 20010331    78.3
20010401 20010430    39.0
20010501 20010531    53.4
20010601 20010630    47.0
20010701 20010731    73.8
20010801 20010831    12.4
20010901 20010930    37.6
20011001 20011031    43.0
20011101 20011130    24.5
20011201 20011231    29.8
20020101 20020131    65.8
20020201 20020228   171.6
20020301 20020331    25.2
20020401 20020430    16.0
20020501 20020531    43.7
20020601 20020630    12.4
20020701 20020731     6.2
20020801 20020831     4.0
20020901 20020930    53.8
20021001 20021031     2.6
20021101 20021130     2.6
20021201 20021231    16.4
20030101 20030131 99999.9
20030201 20030228 99999.9
20030301 20030331 99999.9
20030401 20030430 99999.9
20030501 20030531 99999.9
20030601 20030630 99999.9
20030701 20030731 99999.9
20030801 20030831 99999.9
20030901 20030930 99999.9
20031001 20031031 99999.9
20031101 20031130 99999.9
20031201 20031231 99999.9
20040101 20040131    54.6
20040201 20040229    27.0
20040301 20040331    26.2
20040401 20040430    14.2
20040501 20040531    44.8
20040601 20040630    46.4
20040701 20040731    34.0
20040801 20040831    33.0
20040901 20040930    27.8
20041001 20041031    21.0
20041101 20041130    41.0
20041201 20041231    84.0
20050101 20050131    44.0
20050201 20050228    37.0
20050301 20050331    16.6
20050401 20050430     0.2
20050501 20050531     3.6
20050601 20050630   106.8
20050701 20050731    25.6
20050801 20050831    23.8
20050901 20050930    57.2
20051001 20051031    61.2
20051101 20051130    32.0
20051201 20051231     2.0
20060101 20060131    29.6
20060201 20060228    31.4
20060301 20060331     4.2
20060401 20060430     5.2
20060501 20060531    11.4
20060601 20060630    16.8
20060701 20060731    62.0
20060801 20060831     5.2
20060901 20060930     8.4
20061001 20061031     3.0
20061101 20061130 99999.9
20061201 20061231    12.6
20070101 20070131    84.1
20070201 20070228    50.0
20070301 20070331    52.0
20070401 20070430    10.2
20070501 20070531    57.4
20070601 20070630    94.7
20070701 20070731     3.6
20070801 20070831    22.6
20070901 20070930     1.6
20071001 20071031     4.4
20071101 20071130    64.5
20071201 20071231   149.2
20080101 20080131    45.0
20080201 20080229    60.7
20080301 20080331    40.0
20080401 20080430     2.0
20080501 20080531     7.6
20080601 20080630    38.8
20080701 20080731    19.4
20080801 20080831    23.6
20080901 20080930    33.2
20081001 20081031    85.0
20081101 20081130    71.6
20081201 20081231     5.4
20090101 20090131     6.0
20090201 20090228    89.0
20090301 20090331     7.2
20090401 20090430    33.4
20090501 20090531    18.4
20090601 20090630    73.6
20090701 20090731    13.6
20090801 20090831     3.8
20090901 20090930    24.8
20091001 20091031    20.8
20091101 20091130    15.0
20091201 20091231   100.0
20100101 20100131 99999.9
20100201 20100228 99999.9
20100301 20100331 99999.9
20100401 20100430 99999.9
20100501 20100531 99999.9
20100601 20100630 99999.9
20100701 20100731 99999.9
20100801 20100831 99999.9
20100901 20100930 99999.9
20101001 20101031    95.8
20101101 20101130   101.0
20101201 20101231   101.0
20110101 20110131    16.0
20110201 20110228    85.6
20110301 20110331    11.6
20110401 20110430    34.4
20110501 20110531    38.0
20110601 20110630    11.0
20110701 20110731     4.6
20110801 20110831    32.8
20110901 20110930    34.2
20111001 20111031    60.6
20111101 20111130   121.0
20111201 20111231    72.6
20120101 20120131    45.2
20120201 20120229   106.8
20120301 20120331   179.4
20120401 20120430     0.0
20120501 20120531    37.0
20120601 20120630    28.6
20120701 20120731    35.9
20120801 20120831     0.0
20120901 20120930    24.5
20121001 20121031     5.6
20121101 20121130    56.0
20121201 20121231     7.6
20130101 20130131    29.0
20130201 20130228    19.4
20130301 20130331    61.6
20130401 20130430     2.4
20130501 20130531    22.8
20130601 20130630   100.8
20130701 20130731    43.2
20130801 20130831     4.2
20130901 20130930    38.4
20131001 20131031     4.0
20131101 20131130     4.0
20131201 20131231    38.8
20140101 20140131    55.6
20140201 20140228    80.6
20140301 20140331   150.2
20140401 20140430    30.2
20140501 20140531    18.8
20140601 20140630    48.4
20140701 20140731    23.4
20140801 20140831    24.2
20140901 20140930     9.6
20141001 20141031     0.7
20141101 20141130    12.8
20141201 20141231    70.7
20150101 20150131    84.7
20150201 20150228     6.7
20150301 20150331     6.2
20150401 20150430    76.7
20150501 20150531    22.5
20150601 20150630    25.0
20150701 20150731    45.0
20150801 20150831    26.8
20150901 20150930     7.0
20151001 20151031    48.8
20151101 20151130    71.0
20151201 20151231    36.2
20160101 20160131    83.8
20160201 20160229     2.0
20160301 20160331     0.8
20160401 20160430    68.5
20160501 20160531    56.0
20160601 20160630   144.8
20160701 20160731    99.3
20160801 20160831    74.0
20160901 20160930   177.6
20161001 20161031    30.0
20161101 20161130    45.7
20161201 20161231    68.7
20170101 20170131    38.2
20170201 20170228     0.6
20170301 20170331    78.1
20170401 20170430     9.0
20170501 20170531    37.2
20170601 20170630     4.2
20170701 20170731     0.4
20170801 20170831    19.0
20170901 20170930     5.0
20171001 20171031   117.8
20171101 20171130    28.2
20171201 20171231    93.0
20180101 20180131    16.5
