PRCP       090135 18900101 20180131 missing_value=99999.9 CASTERTON SHOWGROUNDS                     
19111101 19111130    16.3
19111201 19111231    78.9
19120101 19120131     8.5
19120201 19120229    26.6
19120301 19120331    40.1
19120401 19120430    51.9
19120501 19120531    23.0
19120601 19120630    52.4
19120701 19120731    45.7
19120801 19120831    64.0
19120901 19120930   127.1
19121001 19121031    55.2
19121101 19121130    45.5
19121201 19121231    67.3
19130101 19130131    12.4
19130201 19130228    39.6
19130301 19130331    75.1
19130401 19130430    30.2
19130501 19130531    53.8
19130601 19130630    19.0
19130701 19130731    43.5
19130801 19130831    97.9
19130901 19130930    87.7
19131001 19131031    50.2
19131101 19131130    70.4
19131201 19131231    40.4
19140101 19140131    18.5
19140201 19140228     2.0
19140301 19140331    33.7
19140401 19140430    61.4
19140501 19140531    45.2
19140601 19140630    34.0
19140701 19140731    66.1
19140801 19140831    17.3
19140901 19140930    20.1
19141001 19141031     6.5
19141101 19141130    40.9
19141201 19141231    54.4
19150101 19150131    21.1
19150201 19150228     3.8
19150301 19150331    14.7
19150401 19150430    25.6
19150501 19150531    66.9
19150601 19150630   146.0
19150701 19150731    52.0
19150801 19150831    88.6
19150901 19150930   108.7
19151001 19151031    58.9
19151101 19151130    26.7
19151201 19151231     2.3
19160101 19160131    41.7
19160201 19160229    13.1
19160301 19160331     1.8
19160401 19160430    51.4
19160501 19160531    30.0
19160601 19160630    74.8
19160701 19160731    45.0
19160801 19160831    70.8
19160901 19160930    92.6
19161001 19161031    68.8
19161101 19161130    94.7
19161201 19161231    47.1
19170101 19170131    29.1
19170201 19170228    80.3
19170301 19170331    32.6
19170401 19170430    33.0
19170501 19170531   127.5
19170601 19170630    53.9
19170701 19170731   136.2
19170801 19170831    73.4
19170901 19170930    85.8
19171001 19171031    85.1
19171101 19171130    60.0
19171201 19171231    21.7
19180101 19180131    23.6
19180201 19180228    17.1
19180301 19180331    20.6
19180401 19180430    28.3
19180501 19180531    83.8
19180601 19180630   104.9
19180701 19180731    82.9
19180801 19180831    59.8
19180901 19180930    65.6
19181001 19181031   103.8
19181101 19181130    17.8
19181201 19181231    40.9
19190101 19190131    11.3
19190201 19190228    88.6
19190301 19190331    55.4
19190401 19190430     9.5
19190501 19190531    77.9
19190601 19190630    66.3
19190701 19190731    62.8
19190801 19190831    59.0
19190901 19190930   100.9
19191001 19191031    47.6
19191101 19191130    13.6
19191201 19191231    32.5
19200101 19200131    14.1
19200201 19200229    10.0
19200301 19200331    27.8
19200401 19200430    30.0
19200501 19200531    80.3
19200601 19200630   121.8
19200701 19200731    86.8
19200801 19200831   103.8
19200901 19200930    73.3
19201001 19201031    40.3
19201101 19201130    43.6
19201201 19201231    26.5
19210101 19210131    37.8
19210201 19210228    22.7
19210301 19210331    40.1
19210401 19210430    24.9
19210501 19210531    51.9
19210601 19210630    50.1
19210701 19210731    79.5
19210801 19210831    94.2
19210901 19210930    56.6
19211001 19211031    37.6
19211101 19211130    55.8
19211201 19211231    28.6
19220101 19220131     8.9
19220201 19220228     0.5
19220301 19220331    12.1
19220401 19220430    54.1
19220501 19220531    67.3
19220601 19220630    51.0
19220701 19220731    49.5
19220801 19220831    89.0
19220901 19220930    80.6
19221001 19221031    73.5
19221101 19221130    15.0
19221201 19221231    56.2
19230101 19230131    11.3
19230201 19230228     7.2
19230301 19230331     2.6
19230401 19230430     0.3
19230501 19230531   107.7
19230601 19230630   136.0
19230701 19230731   100.4
19230801 19230831    71.8
19230901 19230930   113.9
19231001 19231031    82.5
19231101 19231130    45.1
19231201 19231231    54.8
19240101 19240131    41.4
19240201 19240229   157.6
19240301 19240331    57.6
19240401 19240430    38.5
19240501 19240531    45.7
19240601 19240630    46.7
19240701 19240731    31.1
19240801 19240831    62.6
19240901 19240930    77.7
19241001 19241031    87.6
19241101 19241130   108.6
19241201 19241231    12.9
19250101 19250131    29.4
19250201 19250228    26.4
19250301 19250331     6.0
19250401 19250430    29.9
19250501 19250531   122.2
19250601 19250630    65.4
19250701 19250731    73.1
19250801 19250831    49.4
19250901 19250930    90.5
19251001 19251031    22.6
19251101 19251130    47.4
19251201 19251231    17.0
19260101 19260131     4.1
19260201 19260228    16.4
19260301 19260331     6.9
19260401 19260430    70.2
19260501 19260531   116.1
19260601 19260630    82.4
19260701 19260731    66.6
19260801 19260831    78.0
19260901 19260930    54.9
19261001 19261031    66.4
19261101 19261130    27.7
19261201 19261231    34.3
19270101 19270131    23.4
19270201 19270228    36.0
19270301 19270331    34.4
19270401 19270430    19.3
19270501 19270531    89.4
19270601 19270630    30.0
19270701 19270731    65.5
19270801 19270831   119.4
19270901 19270930    36.6
19271001 19271031    23.2
19271101 19271130    40.0
19271201 19271231    53.5
19280101 19280131    82.4
19280201 19280229    72.3
19280301 19280331    28.8
19280401 19280430    45.3
19280501 19280531    60.5
19280601 19280630    85.2
19280701 19280731    78.6
19280801 19280831    31.3
19280901 19280930    92.7
19281001 19281031   136.8
19281101 19281130    25.5
19281201 19281231    18.4
19290101 19290131    57.0
19290201 19290228    17.7
19290301 19290331    15.7
19290401 19290430    73.4
19290501 19290531    68.6
19290601 19290630    98.5
19290701 19290731    90.0
19290801 19290831    52.1
19290901 19290930    66.8
19291001 19291031    56.8
19291101 19291130    30.6
19291201 19291231    60.5
19300101 19300131     6.3
19300201 19300228    82.1
19300301 19300331     7.7
19300401 19300430    48.2
19300501 19300531    62.4
19300601 19300630    20.9
19300701 19300731   100.7
19300801 19300831   117.1
19300901 19300930    87.5
19301001 19301031    76.4
19301101 19301130    70.0
19301201 19301231   102.3
19310101 19310131    35.0
19310201 19310228    14.1
19310301 19310331    43.8
19310401 19310430    59.3
19310501 19310531    87.7
19310601 19310630    77.4
19310701 19310731    98.0
19310801 19310831    83.4
19310901 19310930    59.9
19311001 19311031    23.1
19311101 19311130    36.1
19311201 19311231    10.8
19320101 19320131     2.8
19320201 19320229    82.0
19320301 19320331    91.1
19320401 19320430   107.7
19320501 19320531    18.2
19320601 19320630   108.1
19320701 19320731    64.8
19320801 19320831    91.3
19320901 19320930    46.9
19321001 19321031    75.8
19321101 19321130    43.5
19321201 19321231    39.3
19330101 19330131    55.0
19330201 19330228     3.8
19330301 19330331    31.9
19330401 19330430    68.3
19330501 19330531    83.9
19330601 19330630    42.3
19330701 19330731    39.2
19330801 19330831    65.7
19330901 19330930    83.7
19331001 19331031    43.8
19331101 19331130    74.3
19331201 19331231    82.7
19340101 19340131    11.2
19340201 19340228     5.4
19340301 19340331    18.5
19340401 19340430    94.1
19340501 19340531    35.2
19340601 19340630    28.9
19340701 19340731    56.1
19340801 19340831    83.2
19340901 19340930   111.9
19341001 19341031    85.1
19341101 19341130    83.4
19341201 19341231    23.0
19350101 19350131    29.1
19350201 19350228    17.0
19350301 19350331   106.8
19350401 19350430    71.9
19350501 19350531    82.5
19350601 19350630    63.0
19350701 19350731    98.3
19350801 19350831    92.1
19350901 19350930    49.2
19351001 19351031    52.0
19351101 19351130    42.6
19351201 19351231    31.9
19360101 19360131    38.7
19360201 19360229     1.1
19360301 19360331    27.2
19360401 19360430    31.4
19360501 19360531    40.1
19360601 19360630    99.4
19360701 19360731    75.7
19360801 19360831   114.7
19360901 19360930    45.5
19361001 19361031    90.1
19361101 19361130    22.7
19361201 19361231   134.8
19370101 19370131    69.8
19370201 19370228    27.6
19370301 19370331    23.1
19370401 19370430    24.7
19370501 19370531   102.2
19370601 19370630    21.8
19370701 19370731    53.4
19370801 19370831    92.7
19370901 19370930    85.5
19371001 19371031    42.2
19371101 19371130    24.2
19371201 19371231    69.9
19380101 19380131    56.9
19380201 19380228    61.6
19380301 19380331    21.6
19380401 19380430    93.3
19380501 19380531    23.0
19380601 19380630    86.3
19380701 19380731    40.9
19380801 19380831    49.6
19380901 19380930    48.7
19381001 19381031    33.2
19381101 19381130    32.1
19381201 19381231    21.2
19390101 19390131    17.5
19390201 19390228    17.8
19390301 19390331    18.5
19390401 19390430    86.0
19390501 19390531    44.0
19390601 19390630    88.8
19390701 19390731    36.5
19390801 19390831   125.5
