PRCP       040014 18920501 20120930 missing_value=99999.9 BEAUDESERT                                
19140401 19140430    15.0
19140501 19140531    52.9
19140601 19140630    70.4
19140701 19140731    37.9
19140801 19140831     3.3
19140901 19140930    46.1
19141001 19141031   103.9
19141101 19141130    91.4
19141201 19141231   100.9
19150101 19150131    71.2
19150201 19150228   142.4
19150301 19150331    15.7
19150401 19150430    16.7
19150501 19150531    51.3
19150601 19150630     4.6
19150701 19150731    33.8
19150801 19150831    72.7
19150901 19150930    33.8
19151001 19151031     0.8
19151101 19151130    43.0
19151201 19151231    62.3
19160101 19160131    79.5
19160201 19160229   181.9
19160301 19160331    39.1
19160401 19160430   218.7
19160501 19160531    11.7
19160601 19160630    40.8
19160701 19160731    30.1
19160801 19160831    47.6
19160901 19160930    62.2
19161001 19161031   118.7
19161101 19161130   101.8
19161201 19161231   130.8
19170101 19170131   214.2
19170201 19170228   100.3
19170301 19170331   147.6
19170401 19170430    17.5
19170501 19170531    10.9
19170601 19170630     2.0
19170701 19170731     9.1
19170801 19170831     9.9
19170901 19170930   120.1
19171001 19171031    49.0
19171101 19171130   256.2
19171201 19171231   130.1
19180101 19180131   122.9
19180201 19180228    46.5
19180301 19180331    18.8
19180401 19180430    63.3
19180501 19180531    28.6
19180601 19180630    18.5
19180701 19180731     3.8
19180801 19180831    47.1
19180901 19180930    22.1
19181001 19181031    11.7
19181101 19181130    62.0
19181201 19181231    45.2
19190101 19190131     6.3
19190201 19190228     2.5
19190301 19190331   125.5
19190401 19190430    43.8
19190501 19190531   131.2
19190601 19190630     6.2
19190701 19190731     1.3
19190801 19190831    13.9
19190901 19190930     6.0
19191001 19191031    24.1
19191101 19191130    30.5
19191201 19191231    42.9
19200101 19200131   205.6
19200201 19200229    10.9
19200301 19200331    34.7
19200401 19200430    33.4
19200501 19200531    37.5
19200601 19200630    60.2
19200701 19200731    68.9
19200801 19200831    39.6
19200901 19200930    81.5
19201001 19201031    70.0
19201101 19201130   120.2
19201201 19201231    72.9
19210101 19210131    86.0
19210201 19210228    39.4
19210301 19210331   123.8
19210401 19210430   112.7
19210501 19210531    54.1
19210601 19210630   202.1
19210701 19210731   166.8
19210801 19210831     7.9
19210901 19210930    52.1
19211001 19211031    49.1
