PRCP       088060 18840201 20180131 missing_value=99999.9 WALLABY CREEK WEIR                        
19060101 19060131     8.1
19060201 19060228     4.3
19060301 19060331   130.1
19060401 19060430    25.8
19060501 19060531   126.5
19060601 19060630   157.9
19060701 19060731   124.2
19060801 19060831    99.5
19060901 19060930   213.2
19061001 19061031   145.8
19061101 19061130   157.6
19061201 19061231    68.5
19070101 19070131    29.8
19070201 19070228    29.8
19070301 19070331    35.8
19070401 19070430   116.7
19070501 19070531    80.4
19070601 19070630    73.8
19070701 19070731   142.1
19070801 19070831   103.1
19070901 19070930    66.7
19071001 19071031    59.3
19071101 19071130    78.8
19071201 19071231   138.7
19080101 19080131    33.7
19080201 19080229    20.7
19080301 19080331    53.0
19080401 19080430    15.5
19080501 19080531    97.3
19080601 19080630   206.3
19080701 19080731    87.2
19080801 19080831   131.3
19080901 19080930    97.7
19081001 19081031   117.3
19081101 19081130    37.0
19081201 19081231    17.6
19090101 19090131    93.3
19090201 19090228    54.9
19090301 19090331    45.5
19090401 19090430   133.9
19090501 19090531   177.4
19090601 19090630   160.6
19090701 19090731   130.2
19090801 19090831   221.2
19090901 19090930    85.9
19091001 19091031    62.6
19091101 19091130    20.1
19091201 19091231    65.4
19100101 19100131    47.1
19100201 19100228    12.5
19100301 19100331   123.4
19100401 19100430    25.9
19100501 19100531   100.7
19100601 19100630   195.6
19100701 19100731   127.2
19100801 19100831    96.8
19100901 19100930   177.7
19101001 19101031   131.8
19101101 19101130    98.6
19101201 19101231   103.5
19110101 19110131    66.2
19110201 19110228   202.6
19110301 19110331   208.8
19110401 19110430    29.2
19110501 19110531   228.0
19110601 19110630   258.0
19110701 19110731   119.7
19110801 19110831    66.1
19110901 19110930    83.5
19111001 19111031    59.7
19111101 19111130    57.7
19111201 19111231   121.7
19120101 19120131    28.2
19120201 19120229    47.5
19120301 19120331    36.0
19120401 19120430    94.2
19120501 19120531    43.2
19120601 19120630   107.4
19120701 19120731   125.3
19120801 19120831    67.3
19120901 19120930   153.9
19121001 19121031    46.5
19121101 19121130   116.6
19121201 19121231    87.5
19130101 19130131    21.1
19130201 19130228    28.9
19130301 19130331   193.7
19130401 19130430    56.5
19130501 19130531   130.7
19130601 19130630   130.6
19130701 19130731    66.5
19130801 19130831   134.6
19130901 19130930    85.0
19131001 19131031    69.7
19131101 19131130   119.1
