PRCP       088060 18840201 20180131 missing_value=99999.9 WALLABY CREEK WEIR                        
19791101 19791130    52.6
19791201 19791231    28.6
19800101 19800131    67.0
19800201 19800229    15.6
19800301 19800331    31.2
19800401 19800430   108.8
19800501 19800531    71.2
19800601 19800630   188.0
19800701 19800731   123.6
19800801 19800831   115.6
19800901 19800930    92.6
19801001 19801031   124.2
19801101 19801130    56.0
19801201 19801231    99.8
19810101 19810131    36.6
19810201 19810228    23.0
19810301 19810331    75.0
19810401 19810430    37.0
19810501 19810531   143.6
19810601 19810630   186.6
19810701 19810731   289.2
19810801 19810831   238.2
19810901 19810930    61.0
19811001 19811031    69.6
19811101 19811130    67.4
19811201 19811231    27.2
19820101 19820131    88.8
19820201 19820228     2.2
19820301 19820331    71.0
19820401 19820430    70.4
19820501 19820531    81.6
19820601 19820630    92.4
19820701 19820731    36.6
19820801 19820831    33.4
19820901 19820930    81.6
19821001 19821031    62.6
19821101 19821130    18.8
19821201 19821231   121.4
19830101 19830131    28.0
19830201 19830228    11.8
19830301 19830331    87.4
19830401 19830430    69.4
19830501 19830531   128.6
19830601 19830630   106.6
19830701 19830731   208.8
19830801 19830831   156.4
19830901 19830930   157.8
19831001 19831031   114.0
19831101 19831130   114.4
19831201 19831231    42.2
19840101 19840131   157.8
19840201 19840229    34.8
19840301 19840331   117.6
19840401 19840430    86.2
19840501 19840531    22.6
19840601 19840630    84.8
19840701 19840731   138.8
19840801 19840831   212.8
19840901 19840930   213.4
19841001 19841031    82.2
19841101 19841130    89.6
19841201 19841231    72.2
19850101 19850131    61.4
19850201 19850228    11.8
19850301 19850331    49.6
19850401 19850430    92.6
19850501 19850531   103.0
19850601 19850630   102.8
19850701 19850731   112.8
19850801 19850831   269.8
19850901 19850930   115.4
19851001 19851031    87.2
19851101 19851130   102.2
19851201 19851231   233.6
19860101 19860131    80.2
19860201 19860228    33.4
19860301 19860331    35.8
19860401 19860430   119.4
19860501 19860531   107.2
19860601 19860630    85.4
19860701 19860731   186.6
19860801 19860831    94.8
19860901 19860930   118.0
19861001 19861031   176.2
19861101 19861130    46.4
19861201 19861231   111.0
19870101 19870131    78.2
19870201 19870228    55.0
19870301 19870331    99.8
19870401 19870430    58.0
19870501 19870531   166.8
19870601 19870630   139.8
19870701 19870731   180.4
19870801 19870831    81.2
19870901 19870930    87.6
19871001 19871031   121.2
19871101 19871130    91.8
19871201 19871231   138.4
19880101 19880131   124.2
19880201 19880229    32.0
19880301 19880331    82.4
19880401 19880430    33.2
19880501 19880531   121.2
19880601 19880630   145.8
19880701 19880731   119.8
19880801 19880831   114.2
19880901 19880930   126.4
19881001 19881031    55.8
19881101 19881130   299.0
19881201 19881231    81.8
19890101 19890131    78.4
19890201 19890228    25.6
19890301 19890331   112.8
19890401 19890430   147.6
19890501 19890531   137.4
19890601 19890630   205.0
19890701 19890731   134.6
19890801 19890831   201.0
19890901 19890930    98.2
19891001 19891031   173.4
19891101 19891130    59.2
19891201 19891231    78.4
19900101 19900131    10.2
19900201 19900228   142.4
19900301 19900331    47.6
19900401 19900430   167.8
19900501 19900531    64.0
19900601 19900630   106.2
19900701 19900731   143.2
19900801 19900831   155.8
19900901 19900930    93.8
19901001 19901031   119.8
19901101 19901130    59.2
19901201 19901231    39.6
19910101 19910131    91.8
19910201 19910228     1.4
19910301 19910331    57.2
19910401 19910430    42.4
19910501 19910531    39.4
19910601 19910630   180.4
19910701 19910731   167.4
19910801 19910831   147.0
19910901 19910930   135.0
19911001 19911031    63.2
19911101 19911130    54.0
19911201 19911231   177.8
19920101 19920131   104.4
19920201 19920229    55.4
19920301 19920331    48.2
19920401 19920430    98.0
19920501 19920531   155.0
19920601 19920630   112.2
19920701 19920731    79.8
19920801 19920831   118.4
19920901 19920930   213.6
19921001 19921031   205.2
19921101 19921130   165.6
19921201 19921231   140.6
19930101 19930131    97.0
19930201 19930228    69.8
19930301 19930331    69.0
19930401 19930430    29.2
19930501 19930531    57.2
19930601 19930630   103.2
19930701 19930731   147.8
19930801 19930831    94.4
19930901 19930930   239.6
19931001 19931031   145.8
19931101 19931130   100.0
19931201 19931231   254.4
19940101 19940131    63.2
19940201 19940228   122.6
19940301 19940331    93.4
19940401 19940430    76.2
19940501 19940531    51.4
19940601 19940630    80.4
19940701 19940731    48.0
19940801 19940831    67.4
19940901 19940930    68.8
19941001 19941031    52.2
19941101 19941130    88.8
19941201 19941231    10.4
19950101 19950131   117.2
19950201 19950228    18.2
19950301 19950331    83.2
19950401 19950430   173.4
19950501 19950531   158.0
19950601 19950630   156.8
19950701 19950731   119.0
19950801 19950831    84.2
19950901 19950930    64.0
19951001 19951031   108.2
19951101 19951130    92.0
19951201 19951231   104.6
19960101 19960131   108.0
19960201 19960229   208.8
19960301 19960331    87.8
19960401 19960430   185.0
19960501 19960531    77.4
19960601 19960630   183.4
19960701 19960731   167.2
19960801 19960831   111.4
19960901 19960930   164.8
19961001 19961031    67.8
19961101 19961130    95.4
19961201 19961231    51.8
19970101 19970131    64.0
19970201 19970228     7.6
19970301 19970331    38.8
19970401 19970430    41.6
19970501 19970531   112.8
19970601 19970630    70.2
19970701 19970731    36.4
19970801 19970831    74.8
19970901 19970930   123.8
19971001 19971031    57.6
19971101 19971130    96.0
19971201 19971231    15.6
19980101 19980131    84.6
19980201 19980228    64.0
19980301 19980331    31.4
19980401 19980430    81.0
19980501 19980531    98.4
19980601 19980630   154.6
19980701 19980731   137.8
19980801 19980831    53.8
19980901 19980930   101.2
19981001 19981031    88.0
19981101 19981130    93.2
19981201 19981231    77.4
19990101 19990131    75.0
19990201 19990228    91.8
19990301 19990331    88.4
19990401 19990430    52.0
19990501 19990531    91.4
19990601 19990630   160.7
19990701 19990731    74.0
19990801 19990831   198.4
19990901 19990930    63.6
19991001 19991031    79.0
19991101 19991130    77.4
19991201 19991231   172.8
20000101 20000131    81.4
20000201 20000229    82.6
20000301 20000331    37.4
20000401 20000430    49.6
20000501 20000531   195.8
20000601 20000630   126.4
20000701 20000731   126.0
20000801 20000831   120.2
20000901 20000930   143.2
20001001 20001031   223.7
20001101 20001130   155.4
20001201 20001231    27.2
20010101 20010131    40.9
20010201 20010228    27.2
20010301 20010331   137.6
20010401 20010430   139.0
20010501 20010531    54.4
20010601 20010630   109.6
20010701 20010731    52.0
20010801 20010831   129.6
20010901 20010930    74.0
20011001 20011031   149.2
20011101 20011130   107.4
20011201 20011231    41.0
20020101 20020131    74.6
20020201 20020228    63.6
20020301 20020331    44.6
20020401 20020430    61.2
20020501 20020531    93.2
20020601 20020630   113.8
20020701 20020731    43.4
20020801 20020831    58.6
20020901 20020930    74.4
20021001 20021031    71.4
20021101 20021130    53.2
20021201 20021231    41.6
20030101 20030131    55.6
20030201 20030228    22.0
20030301 20030331    56.2
20030401 20030430    91.1
20030501 20030531    80.6
20030601 20030630   109.4
20030701 20030731   128.3
20030801 20030831   171.4
20030901 20030930    94.8
20031001 20031031   113.5
20031101 20031130    51.9
20031201 20031231   153.4
20040101 20040131    59.6
20040201 20040229    32.0
20040301 20040331    41.8
20040401 20040430   111.2
20040501 20040531    68.8
20040601 20040630   101.0
20040701 20040731    92.9
20040801 20040831   140.1
20040901 20040930   130.0
20041001 20041031    65.0
20041101 20041130   248.6
20041201 20041231   105.6
20050101 20050131    58.4
20050201 20050228   232.8
20050301 20050331    19.2
20050401 20050430    53.2
20050501 20050531    26.0
20050601 20050630   117.6
20050701 20050731    98.6
20050801 20050831   161.6
20050901 20050930    76.4
20051001 20051031    78.8
20051101 20051130    84.4
20051201 20051231    69.8
20060101 20060131    90.4
20060201 20060228    50.2
20060301 20060331    33.6
20060401 20060430    92.6
20060501 20060531    96.8
20060601 20060630    40.4
20060701 20060731   110.6
20060801 20060831    57.0
20060901 20060930    60.6
20061001 20061031    25.4
20061101 20061130    37.4
20061201 20061231    46.0
20070101 20070131    25.8
20070201 20070228    25.8
20070301 20070331    86.2
20070401 20070430    34.4
20070501 20070531   107.8
20070601 20070630   145.4
20070701 20070731   122.6
20070801 20070831    56.8
20070901 20070930    61.6
20071001 20071031    25.4
20071101 20071130    82.2
20071201 20071231   143.0
20080101 20080131    70.8
20080201 20080229    65.4
20080301 20080331    44.2
20080401 20080430    21.4
20080501 20080531    46.4
20080601 20080630    96.6
20080701 20080731   125.8
20080801 20080831   131.0
20080901 20080930    41.0
20081001 20081031    34.0
20081101 20081130   146.0
20081201 20081231   117.4
20090101 20090131     2.8
20090201 20090228     3.2
20090301 20090331    57.6
20090401 20090430    76.2
20090501 20090531    29.4
20090601 20090630    60.4
20090701 20090731    79.2
20090801 20090831   107.4
20090901 20090930   169.6
20091001 20091031    74.8
20091101 20091130    82.6
20091201 20091231    71.4
20100101 20100131    97.6
20100201 20100228   117.0
20100301 20100331   140.0
20100401 20100430    73.8
20100501 20100531    68.0
20100601 20100630   154.6
20100701 20100731    91.0
20100801 20100831   182.4
20100901 20100930   131.8
20101001 20101031   200.0
20101101 20101130   197.2
20101201 20101231   150.0
20110101 20110131   195.0
20110201 20110228   155.8
20110301 20110331    74.4
20110401 20110430   154.6
20110501 20110531   124.2
20110601 20110630    62.4
20110701 20110731   105.6
20110801 20110831    69.6
20110901 20110930   113.0
20111001 20111031   100.4
20111101 20111130   228.2
20111201 20111231    88.0
20120101 20120131    58.4
20120201 20120229    80.0
20120301 20120331    92.6
20120401 20120430    87.0
20120501 20120531   125.8
20120601 20120630   130.0
20120701 20120731   171.0
20120801 20120831   136.4
20120901 20120930    64.6
20121001 20121031    54.2
20121101 20121130    63.2
20121201 20121231    46.8
20130101 20130131     8.6
20130201 20130228    68.0
20130301 20130331    93.0
20130401 20130430    44.6
20130501 20130531    76.6
20130601 20130630    91.0
20130701 20130731   143.0
20130801 20130831   125.2
20130901 20130930   111.0
20131001 20131031    87.8
20131101 20131130   107.8
20131201 20131231    83.4
20140101 20140131    33.6
20140201 20140228    48.0
20140301 20140331    33.0
20140401 20140430   119.4
20140501 20140531   105.8
20140601 20140630   133.4
20140701 20140731   100.4
20140801 20140831    56.2
20140901 20140930    87.4
20141001 20141031    84.6
20141101 20141130    75.2
20141201 20141231    41.2
20150101 20150131    35.4
20150201 20150228    84.6
20150301 20150331    74.0
20150401 20150430    96.8
20150501 20150531    82.2
20150601 20150630    59.4
20150701 20150731 99999.9
20150801 20150831 99999.9
20150901 20150930 99999.9
20151001 20151031 99999.9
20151101 20151130 99999.9
20151201 20151231 99999.9
20160101 20160131 99999.9
20160201 20160229 99999.9
20160301 20160331 99999.9
20160401 20160430    53.2
20160501 20160531   116.0
20160601 20160630   100.0
20160701 20160731    92.8
20160801 20160831    91.8
20160901 20160930   222.8
20161001 20161031    92.6
20161101 20161130    86.0
20161201 20161231    21.0
20170101 20170131    31.4
20170201 20170228    38.8
20170301 20170331    70.4
20170401 20170430 99999.9
20170501 20170531    46.0
20170601 20170630    25.4
20170701 20170731    61.6
20170801 20170831   101.4
20170901 20170930    61.6
20171001 20171031    36.2
20171101 20171130    58.4
20171201 20171231 99999.9
20180101 20180131    79.0
