PRCP       015528 19520201 20170131 missing_value=99999.9 YUENDUMU                                  
19740101 19740131   561.1
19740201 19740228   258.3
19740301 19740331     2.7
19740401 19740430    45.2
19740501 19740531    29.0
19740601 19740630     0.0
19740701 19740731     0.0
19740801 19740831    14.4
19740901 19740930    49.2
19741001 19741031    43.6
19741101 19741130   142.5
19741201 19741231    60.9
19750101 19750131     7.4
19750201 19750228   115.7
19750301 19750331    72.8
19750401 19750430     0.0
19750501 19750531     0.0
19750601 19750630    33.9
19750701 19750731    18.1
19750801 19750831    41.3
19750901 19750930    59.8
19751001 19751031    66.2
19751101 19751130    51.3
19751201 19751231   214.3
19760101 19760131   107.8
19760201 19760229    66.7
19760301 19760331   163.3
19760401 19760430     0.0
19760501 19760531     0.0
19760601 19760630     0.0
19760701 19760731     1.2
19760801 19760831     0.0
19760901 19760930     0.2
19761001 19761031    20.6
19761101 19761130    15.3
19761201 19761231    23.2
19770101 19770131    45.1
19770201 19770228   156.7
19770301 19770331    11.9
19770401 19770430     0.0
19770501 19770531    26.2
19770601 19770630     0.0
19770701 19770731     0.0
19770801 19770831     0.0
19770901 19770930    12.7
19771001 19771031    38.8
19771101 19771130    88.1
19771201 19771231    32.8
19780101 19780131    98.4
19780201 19780228    36.2
19780301 19780331    48.4
19780401 19780430     0.0
19780501 19780531    98.0
19780601 19780630    48.4
19780701 19780731   129.6
19780801 19780831    20.9
19780901 19780930     1.8
19781001 19781031    11.0
19781101 19781130     8.8
19781201 19781231    22.0
19790101 19790131   217.8
19790201 19790228    23.3
19790301 19790331   110.2
19790401 19790430    59.4
19790501 19790531    60.6
19790601 19790630     0.4
19790701 19790731     0.0
19790801 19790831     1.0
19790901 19790930    24.0
19791001 19791031     0.6
19791101 19791130    34.2
19791201 19791231    55.8
19800101 19800131    90.2
19800201 19800229    29.4
19800301 19800331     0.2
19800401 19800430    99.1
19800501 19800531    38.2
19800601 19800630     0.2
19800701 19800731     4.0
19800801 19800831     0.0
19800901 19800930     0.0
19801001 19801031    21.6
19801101 19801130     5.7
19801201 19801231    18.8
19810101 19810131   175.4
19810201 19810228    52.0
19810301 19810331    10.7
19810401 19810430     0.0
19810501 19810531     4.6
19810601 19810630     0.4
19810701 19810731     4.6
19810801 19810831     1.2
19810901 19810930     1.2
19811001 19811031     7.8
19811101 19811130    24.5
19811201 19811231    88.6
19820101 19820131    24.9
19820201 19820228   361.2
19820301 19820331    72.9
19820401 19820430     0.6
19820501 19820531     0.0
19820601 19820630     5.0
19820701 19820731     0.0
19820801 19820831     0.0
19820901 19820930     3.4
19821001 19821031     5.2
19821101 19821130     9.6
19821201 19821231    50.7
19830101 19830131    25.4
19830201 19830228    14.2
19830301 19830331   268.8
19830401 19830430   147.4
19830501 19830531     0.0
19830601 19830630     0.0
19830701 19830731     0.0
19830801 19830831     1.6
19830901 19830930     6.2
19831001 19831031    20.2
19831101 19831130    53.4
19831201 19831231    19.4
19840101 19840131   109.2
19840201 19840229     1.1
19840301 19840331    76.0
19840401 19840430     2.0
19840501 19840531     0.0
19840601 19840630     0.0
19840701 19840731     4.2
19840801 19840831     7.2
19840901 19840930    24.4
19841001 19841031    28.4
