PRCP       043026 19100101 20101231 missing_value=99999.9 NORMANDY                                  
19311201 19311231   298.3
19320101 19320131    19.0
19320201 19320229     0.0
19320301 19320331    29.7
19320401 19320430    36.3
19320501 19320531    52.8
19320601 19320630    19.1
19320701 19320731    16.8
19320801 19320831     1.3
19320901 19320930    15.5
19321001 19321031    31.3
19321101 19321130   109.4
19321201 19321231    22.3
19330101 19330131    34.0
19330201 19330228    21.3
19330301 19330331     2.5
19330401 19330430    52.4
19330501 19330531     5.5
19330601 19330630    35.1
19330701 19330731   117.1
19330801 19330831    15.8
19330901 19330930    59.7
19331001 19331031    91.0
19331101 19331130   157.1
19331201 19331231    65.0
19340101 19340131    63.8
19340201 19340228   104.8
19340301 19340331     6.6
19340401 19340430     1.0
19340501 19340531     6.6
19340601 19340630    27.2
19340701 19340731    32.7
19340801 19340831     8.7
19340901 19340930     4.8
19341001 19341031    63.5
19341101 19341130   217.5
19341201 19341231    21.6
19350101 19350131    33.8
19350201 19350228     3.1
19350301 19350331     6.4
19350401 19350430     1.3
19350501 19350531     0.0
19350601 19350630    11.2
19350701 19350731    45.7
19350801 19350831    43.4
19350901 19350930    48.9
19351001 19351031    41.1
19351101 19351130    19.9
19351201 19351231     4.3
19360101 19360131    76.7
19360201 19360229    70.1
19360301 19360331   132.8
19360401 19360430     1.5
19360501 19360531    11.7
19360601 19360630    30.9
19360701 19360731    44.5
19360801 19360831    11.5
19360901 19360930    17.0
19361001 19361031     5.8
19361101 19361130    18.8
19361201 19361231   135.3
19370101 19370131    34.6
19370201 19370228   163.9
19370301 19370331   122.0
19370401 19370430    11.4
19370501 19370531     0.0
19370601 19370630    17.1
19370701 19370731    26.3
19370801 19370831     7.6
19370901 19370930     4.6
19371001 19371031    22.9
19371101 19371130    25.6
19371201 19371231     2.3
19380101 19380131   103.3
19380201 19380228    21.3
19380301 19380331    25.6
19380401 19380430     4.9
19380501 19380531    78.0
19380601 19380630    36.6
19380701 19380731    12.5
