PRCP       014015 19010401 20180131 missing_value=99999.9 DARWIN AIRPORT                            
19230301 19230331   402.7
19230401 19230430    79.1
19230501 19230531    14.9
19230601 19230630     6.3
19230701 19230731     0.0
19230801 19230831     0.0
19230901 19230930     0.0
19231001 19231031    26.2
19231101 19231130    94.0
19231201 19231231   225.0
19240101 19240131   172.3
19240201 19240229   457.5
19240301 19240331   262.9
19240401 19240430    10.2
19240501 19240531     0.0
19240601 19240630     0.0
19240701 19240731     0.0
19240801 19240831     0.0
19240901 19240930     0.8
19241001 19241031    90.9
19241101 19241130   122.8
19241201 19241231   195.6
19250101 19250131   452.6
19250201 19250228   423.0
19250301 19250331   497.6
19250401 19250430   317.4
19250501 19250531     0.0
19250601 19250630     0.0
19250701 19250731     0.0
19250801 19250831     0.0
19250901 19250930     2.6
19251001 19251031     0.0
19251101 19251130    36.5
19251201 19251231   119.8
19260101 19260131   554.1
19260201 19260228   195.9
19260301 19260331   185.7
19260401 19260430    70.0
19260501 19260531    13.8
19260601 19260630     0.0
19260701 19260731     0.0
19260801 19260831     0.0
19260901 19260930    46.7
19261001 19261031     0.0
19261101 19261130    96.4
19261201 19261231   256.0
19270101 19270131   496.4
19270201 19270228   130.7
19270301 19270331   233.1
19270401 19270430    44.6
19270501 19270531     2.6
19270601 19270630     0.0
19270701 19270731     0.0
19270801 19270831     0.0
19270901 19270930     0.0
19271001 19271031    25.8
19271101 19271130   158.7
19271201 19271231   145.2
19280101 19280131   116.4
19280201 19280229   356.8
19280301 19280331   304.8
19280401 19280430    53.1
19280501 19280531     0.0
19280601 19280630     6.3
19280701 19280731     6.8
19280801 19280831     0.0
19280901 19280930    35.7
19281001 19281031    37.8
19281101 19281130    49.4
19281201 19281231   233.8
19290101 19290131   431.5
19290201 19290228   489.7
19290301 19290331   397.8
19290401 19290430   150.8
19290501 19290531     0.0
19290601 19290630     0.0
19290701 19290731     0.0
19290801 19290831     0.0
19290901 19290930     0.0
19291001 19291031    13.3
19291101 19291130    41.9
19291201 19291231   209.7
19300101 19300131    84.9
19300201 19300228   471.3
19300301 19300331   258.1
19300401 19300430     9.4
19300501 19300531     0.0
19300601 19300630     0.0
19300701 19300731     0.0
19300801 19300831     0.0
19300901 19300930    22.3
19301001 19301031    56.9
19301101 19301130   170.6
19301201 19301231   168.2
19310101 19310131   505.5
19310201 19310228    24.2
19310301 19310331   335.1
19310401 19310430    42.9
19310501 19310531    10.1
19310601 19310630     0.0
19310701 19310731     0.0
19310801 19310831     0.0
19310901 19310930    42.4
19311001 19311031   105.5
19311101 19311130   191.7
19311201 19311231   131.6
19320101 19320131   268.9
19320201 19320229   258.8
19320301 19320331   446.6
19320401 19320430   120.7
19320501 19320531     0.0
19320601 19320630     3.1
19320701 19320731     0.0
19320801 19320831     0.0
19320901 19320930     0.0
19321001 19321031     9.4
19321101 19321130   234.8
19321201 19321231   544.7
19330101 19330131   218.3
19330201 19330228   425.4
19330301 19330331   333.1
19330401 19330430    84.1
19330501 19330531    61.4
19330601 19330630    14.4
19330701 19330731     0.0
19330801 19330831     0.0
19330901 19330930    24.5
19331001 19331031    80.6
19331101 19331130   251.3
19331201 19331231   351.6
19340101 19340131   386.4
19340201 19340228   341.1
19340301 19340331   318.6
19340401 19340430   123.2
19340501 19340531     0.0
19340601 19340630     0.0
19340701 19340731     0.0
19340801 19340831     0.0
19340901 19340930     0.0
19341001 19341031    67.7
19341101 19341130   173.5
19341201 19341231    41.3
19350101 19350131   414.4
19350201 19350228   236.4
19350301 19350331   363.3
19350401 19350430    39.7
19350501 19350531     0.0
19350601 19350630    19.4
19350701 19350731     0.0
19350801 19350831     0.0
19350901 19350930    12.2
19351001 19351031    66.6
19351101 19351130   127.1
19351201 19351231   110.2
19360101 19360131   363.2
19360201 19360229   431.0
19360301 19360331   208.0
19360401 19360430    44.4
19360501 19360531     2.2
19360601 19360630     0.0
19360701 19360731     0.0
19360801 19360831     0.0
19360901 19360930     4.7
19361001 19361031    83.3
19361101 19361130    66.9
19361201 19361231   213.7
19370101 19370131   315.2
19370201 19370228    94.0
19370301 19370331   407.2
19370401 19370430    28.6
19370501 19370531     0.0
19370601 19370630     8.8
19370701 19370731     0.0
19370801 19370831     0.0
19370901 19370930     6.6
19371001 19371031    20.3
19371101 19371130    90.9
19371201 19371231   170.2
19380101 19380131   337.0
19380201 19380228   614.7
19380301 19380331    54.7
19380401 19380430    51.0
19380501 19380531    12.7
19380601 19380630     2.1
19380701 19380731     0.8
19380801 19380831     0.0
19380901 19380930     4.7
19381001 19381031    71.2
19381101 19381130   409.8
19381201 19381231    81.0
19390101 19390131   602.5
19390201 19390228   321.5
19390301 19390331   244.1
19390401 19390430    41.6
19390501 19390531     0.0
19390601 19390630    19.6
19390701 19390731     0.0
19390801 19390831     0.0
19390901 19390930    11.8
19391001 19391031    21.3
19391101 19391130   103.4
19391201 19391231   261.9
19400101 19400131   483.0
19400201 19400229   447.2
19400301 19400331   300.7
19400401 19400430    49.5
19400501 19400531     0.0
19400601 19400630     0.0
19400701 19400731     0.0
19400801 19400831     0.0
19400901 19400930     3.4
19401001 19401031     0.0
19401101 19401130   175.6
19401201 19401231   115.1
19410101 19410131   508.4
19410201 19410228   371.9
19410301 19410331   304.3
19410401 19410430    27.1
19410501 19410531     8.9
19410601 19410630     8.1
19410701 19410731     0.0
19410801 19410831     0.0
19410901 19410930     0.0
19411001 19411031     0.3
19411101 19411130   250.1
19411201 19411231    68.6
19420101 19420131   550.9
19420201 19420228   361.4
19420301 19420331   143.2
19420401 19420430    48.4
19420501 19420531     4.6
19420601 19420630     0.0
19420701 19420731     0.0
19420801 19420831     0.0
19420901 19420930   108.1
19421001 19421031    24.7
19421101 19421130   202.1
19421201 19421231   243.4
19430101 19430131   241.9
19430201 19430228   467.4
19430301 19430331   250.6
19430401 19430430   196.8
19430501 19430531     0.0
19430601 19430630     0.0
19430701 19430731     0.0
19430801 19430831     0.0
19430901 19430930    12.2
19431001 19431031    78.3
19431101 19431130   191.6
19431201 19431231   127.2
19440101 19440131   333.8
19440201 19440229   192.1
19440301 19440331   334.9
19440401 19440430    79.7
19440501 19440531     0.0
19440601 19440630     0.0
19440701 19440731     0.0
19440801 19440831     0.0
19440901 19440930     5.3
19441001 19441031    82.3
19441101 19441130   229.4
19441201 19441231   301.8
19450101 19450131   239.6
19450201 19450228   377.4
19450301 19450331   474.2
19450401 19450430   125.8
19450501 19450531     0.0
19450601 19450630     0.0
19450701 19450731     0.5
19450801 19450831     0.3
19450901 19450930     0.0
19451001 19451031    99.4
19451101 19451130   198.9
19451201 19451231   199.9
19460101 19460131   287.3
19460201 19460228   303.8
19460301 19460331   128.0
19460401 19460430     1.0
19460501 19460531     0.0
19460601 19460630     0.8
19460701 19460731     1.6
19460801 19460831    15.2
19460901 19460930    13.0
19461001 19461031     9.9
19461101 19461130    60.2
19461201 19461231   203.9
19470101 19470131   233.3
19470201 19470228   375.0
19470301 19470331   466.1
19470401 19470430    53.1
19470501 19470531     0.0
19470601 19470630     0.8
19470701 19470731     0.0
19470801 19470831    83.8
19470901 19470930    64.3
19471001 19471031    99.6
19471101 19471130    97.6
19471201 19471231   198.6
19480101 19480131   171.2
19480201 19480229   205.5
19480301 19480331   306.4
19480401 19480430   245.4
19480501 19480531     0.0
19480601 19480630     0.0
19480701 19480731     0.0
19480801 19480831     0.0
19480901 19480930     6.9
19481001 19481031     2.3
19481101 19481130   157.6
19481201 19481231   208.6
19490101 19490131   208.8
19490201 19490228   553.4
19490301 19490331   397.7
19490401 19490430    77.7
19490501 19490531     0.0
19490601 19490630     0.0
19490701 19490731     0.0
19490801 19490831     0.0
19490901 19490930     0.5
19491001 19491031    21.4
19491101 19491130    70.8
19491201 19491231   350.3
19500101 19500131   593.0
19500201 19500228   319.8
19500301 19500331   230.9
19500401 19500430     4.1
19500501 19500531     1.3
19500601 19500630     2.8
19500701 19500731     0.0
19500801 19500831     0.8
19500901 19500930    18.3
19501001 19501031   128.9
19501101 19501130   151.2
19501201 19501231   357.9
19510101 19510131   198.6
19510201 19510228   341.6
19510301 19510331   171.5
19510401 19510430    43.8
19510501 19510531     0.0
19510601 19510630     0.0
19510701 19510731     0.0
19510801 19510831     0.5
19510901 19510930     6.6
19511001 19511031   111.3
19511101 19511130   109.4
19511201 19511231   168.9
19520101 19520131   317.2
19520201 19520229   158.5
19520301 19520331   171.7
19520401 19520430    27.6
19520501 19520531     0.0
19520601 19520630     0.0
19520701 19520731     3.3
19520801 19520831     0.3
19520901 19520930    10.0
19521001 19521031    45.8
19521101 19521130   199.1
19521201 19521231   170.9
19530101 19530131   465.5
19530201 19530228   325.0
19530301 19530331   203.5
19530401 19530430   357.0
19530501 19530531     0.0
19530601 19530630     0.0
19530701 19530731     0.0
19530801 19530831     0.0
19530901 19530930     0.5
19531001 19531031     0.0
19531101 19531130   115.1
19531201 19531231   231.7
19540101 19540131   460.3
19540201 19540228   229.2
19540301 19540331   225.7
19540401 19540430   168.6
19540501 19540531     0.0
19540601 19540630     0.0
19540701 19540731     0.0
19540801 19540831     3.8
19540901 19540930    23.4
19541001 19541031   338.7
19541101 19541130   186.3
19541201 19541231   257.1
19550101 19550131   205.5
19550201 19550228   654.0
19550301 19550331   310.0
19550401 19550430   186.6
19550501 19550531    31.5
19550601 19550630     4.0
19550701 19550731     9.7
19550801 19550831     0.0
19550901 19550930     0.0
19551001 19551031     1.4
19551101 19551130   219.3
19551201 19551231   113.5
19560101 19560131   344.7
19560201 19560229   629.5
19560301 19560331   220.2
19560401 19560430   218.4
19560501 19560531    96.8
19560601 19560630     0.0
19560701 19560731     6.1
19560801 19560831     0.8
19560901 19560930    18.6
19561001 19561031   150.2
19561101 19561130   215.2
19561201 19561231   406.5
19570101 19570131   564.0
19570201 19570228   355.3
19570301 19570331   360.3
19570401 19570430    30.5
19570501 19570531    12.9
19570601 19570630     4.6
19570701 19570731     5.3
19570801 19570831     0.0
19570901 19570930     3.8
19571001 19571031    21.4
19571101 19571130   113.6
19571201 19571231   412.2
19580101 19580131   173.1
19580201 19580228   221.1
19580301 19580331   194.4
19580401 19580430   127.1
19580501 19580531     5.4
19580601 19580630     0.0
19580701 19580731     3.3
19580801 19580831     0.3
19580901 19580930     0.0
19581001 19581031    37.9
19581101 19581130   132.4
19581201 19581231   181.9
19590101 19590131   442.5
19590201 19590228   103.3
19590301 19590331   140.6
19590401 19590430   331.3
19590501 19590531    12.2
19590601 19590630     0.3
19590701 19590731     0.0
19590801 19590831     0.0
19590901 19590930    36.3
19591001 19591031    18.5
19591101 19591130   138.7
19591201 19591231   328.4
19600101 19600131   568.1
19600201 19600229   414.1
19600301 19600331   446.0
19600401 19600430    81.4
19600501 19600531    13.2
19600601 19600630     0.0
19600701 19600731     0.0
19600801 19600831     0.0
19600901 19600930     2.0
19601001 19601031    47.1
19601101 19601130    77.6
19601201 19601231   106.2
19610101 19610131   263.2
19610201 19610228   368.6
19610301 19610331    94.4
