PRCP       014015 19010401 20180131 missing_value=99999.9 DARWIN AIRPORT                            
19950701 19950731     0.0
19950801 19950831     7.2
19950901 19950930     5.8
19951001 19951031    59.4
19951101 19951130   219.8
19951201 19951231   198.4
19960101 19960131   292.4
19960201 19960229   274.0
19960301 19960331   272.0
19960401 19960430   137.4
19960501 19960531     0.0
19960601 19960630     0.0
19960701 19960731     0.0
19960801 19960831     1.0
19960901 19960930     0.6
19961001 19961031   130.0
19961101 19961130   108.6
19961201 19961231   587.6
19970101 19970131   670.0
19970201 19970228   404.0
19970301 19970331   474.0
19970401 19970430     0.6
19970501 19970531   116.6
19970601 19970630     0.0
19970701 19970731     0.0
19970801 19970831     4.6
19970901 19970930     0.0
19971001 19971031    52.0
19971101 19971130   180.4
19971201 19971231   380.6
19980101 19980131   788.6
19980201 19980228   397.8
19980301 19980331   625.0
19980401 19980430    75.0
19980501 19980531     0.0
19980601 19980630     0.0
19980701 19980731     0.4
19980801 19980831     2.2
19980901 19980930    13.2
19981001 19981031   119.4
19981101 19981130   156.6
19981201 19981231   598.4
19990101 19990131   360.2
19990201 19990228   524.6
19990301 19990331   375.0
19990401 19990430   194.8
19990501 19990531     0.0
19990601 19990630     0.4
19990701 19990731     0.4
19990801 19990831     0.0
19990901 19990930     7.8
19991001 19991031   102.2
19991101 19991130    76.6
19991201 19991231   250.0
20000101 20000131   441.2
20000201 20000229   667.4
20000301 20000331   363.6
20000401 20000430   307.6
20000501 20000531     8.6
20000601 20000630     0.2
20000701 20000731     0.0
20000801 20000831     0.0
20000901 20000930     0.4
20001001 20001031    77.4
20001101 20001130    68.8
20001201 20001231   205.6
20010101 20010131   262.8
20010201 20010228   429.4
20010301 20010331   293.4
20010401 20010430    47.2
20010501 20010531     7.4
20010601 20010630     0.0
20010701 20010731    26.6
20010801 20010831     0.0
20010901 20010930     0.0
20011001 20011031    30.4
20011101 20011130   164.6
20011201 20011231   182.0
20020101 20020131   147.6
20020201 20020228   407.4
20020301 20020331   247.4
20020401 20020430    55.8
20020501 20020531    44.2
20020601 20020630     0.0
20020701 20020731     0.0
20020801 20020831     0.2
20020901 20020930    26.6
20021001 20021031     9.0
20021101 20021130   181.4
20021201 20021231    94.8
20030101 20030131   466.2
20030201 20030228   727.2
20030301 20030331   121.2
20030401 20030430    12.2
20030501 20030531     0.0
20030601 20030630     5.8
20030701 20030731     0.2
20030801 20030831     0.0
20030901 20030930     6.4
20031001 20031031    51.2
20031101 20031130   200.6
20031201 20031231   377.2
20040101 20040131   460.8
20040201 20040229   350.4
20040301 20040331   413.8
20040401 20040430    60.4
20040501 20040531    54.0
20040601 20040630    50.6
20040701 20040731     0.0
20040801 20040831     0.8
20040901 20040930     2.8
20041001 20041031    42.6
20041101 20041130   105.2
20041201 20041231   236.8
20050101 20050131   408.0
20050201 20050228   265.4
20050301 20050331   202.2
20050401 20050430    68.6
20050501 20050531     0.6
20050601 20050630     0.0
20050701 20050731     0.0
20050801 20050831     1.6
20050901 20050930     1.4
20051001 20051031    77.0
20051101 20051130   184.4
20051201 20051231   151.0
20060101 20060131   410.0
20060201 20060228   227.6
20060301 20060331   455.0
20060401 20060430   396.2
20060501 20060531    22.4
20060601 20060630     0.0
20060701 20060731     0.0
20060801 20060831     0.0
20060901 20060930     6.4
20061001 20061031     1.8
20061101 20061130    43.6
20061201 20061231   240.0
20070101 20070131   206.8
20070201 20070228   422.6
20070301 20070331   689.8
20070401 20070430    18.0
20070501 20070531    18.8
20070601 20070630     4.2
20070701 20070731     0.0
20070801 20070831     0.4
20070901 20070930    43.6
20071001 20071031    13.2
20071101 20071130   143.2
20071201 20071231   247.8
20080101 20080131   515.2
20080201 20080229   670.0
20080301 20080331   264.7
20080401 20080430    10.2
20080501 20080531     0.0
20080601 20080630     0.0
20080701 20080731     0.0
20080801 20080831     0.0
20080901 20080930     5.2
20081001 20081031   117.0
20081101 20081130    54.6
20081201 20081231   325.8
20090101 20090131   411.0
20090201 20090228   495.8
20090301 20090331   115.6
20090401 20090430    63.6
20090501 20090531     0.4
20090601 20090630     0.0
20090701 20090731     0.0
20090801 20090831     0.0
20090901 20090930    34.4
20091001 20091031    33.4
20091101 20091130   131.0
20091201 20091231   457.2
20100101 20100131   630.2
20100201 20100228   428.8
20100301 20100331   198.4
20100401 20100430   136.6
20100501 20100531    66.2
20100601 20100630     0.0
20100701 20100731     0.2
20100801 20100831     0.0
20100901 20100930    40.4
20101001 20101031   157.8
20101101 20101130   208.2
20101201 20101231   390.4
20110101 20110131   627.2
20110201 20110228  1110.2
20110301 20110331   231.6
20110401 20110430   193.0
20110501 20110531     0.6
20110601 20110630     0.0
20110701 20110731     0.0
20110801 20110831     0.0
20110901 20110930     3.2
20111001 20111031   141.0
20111101 20111130   152.0
20111201 20111231   227.2
20120101 20120131   459.2
20120201 20120229   250.2
20120301 20120331   572.4
20120401 20120430    70.2
20120501 20120531    51.4
20120601 20120630     0.0
20120701 20120731     0.0
20120801 20120831     0.0
20120901 20120930    21.2
20121001 20121031    16.8
20121101 20121130    79.3
20121201 20121231   203.0
20130101 20130131   219.8
20130201 20130228   398.4
20130301 20130331   381.0
20130401 20130430   101.6
20130501 20130531    31.6
20130601 20130630     0.6
20130701 20130731     0.0
20130801 20130831     2.6
20130901 20130930     0.2
20131001 20131031    98.6
20131101 20131130   314.2
20131201 20131231   210.8
20140101 20140131   608.6
20140201 20140228   369.0
20140301 20140331    92.4
20140401 20140430   177.2
20140501 20140531     8.6
20140601 20140630     0.0
20140701 20140731     0.0
20140801 20140831     0.0
20140901 20140930     0.0
20141001 20141031    14.8
20141101 20141130   165.8
20141201 20141231   111.0
20150101 20150131   484.6
20150201 20150228   353.2
20150301 20150331   230.8
20150401 20150430    21.2
20150501 20150531    13.8
20150601 20150630     0.4
20150701 20150731     0.0
20150801 20150831     0.2
20150901 20150930     3.4
20151001 20151031    42.6
20151101 20151130    84.2
20151201 20151231   509.4
20160101 20160131   169.8
20160201 20160229   150.4
20160301 20160331   115.8
20160401 20160430    46.4
20160501 20160531    62.4
20160601 20160630     0.0
20160701 20160731     0.0
20160801 20160831     0.0
20160901 20160930    64.4
20161001 20161031   130.8
20161101 20161130   208.2
20161201 20161231   406.8
20170101 20170131   470.6
20170201 20170228   624.8
20170301 20170331   458.4
20170401 20170430   184.8
20170501 20170531     0.0
20170601 20170630     0.0
20170701 20170731     0.0
20170801 20170831     0.0
20170901 20170930     0.0
20171001 20171031   104.8
20171101 20171130   175.0
20171201 20171231   182.4
20180101 20180131   857.2
