PRCP       010658 19040801 20171231 missing_value=99999.9 WONNAMINTA                                
19260701 19260731   183.0
19260801 19260831    44.0
19260901 19260930    64.7
19261001 19261031    68.2
19261101 19261130    16.7
19261201 19261231     0.3
19270101 19270131     4.6
19270201 19270228     0.0
19270301 19270331    71.0
19270401 19270430    12.7
19270501 19270531    40.5
19270601 19270630   162.6
19270701 19270731    97.9
19270801 19270831    55.7
19270901 19270930    53.9
19271001 19271031    53.4
19271101 19271130     9.7
19271201 19271231    28.8
19280101 19280131    12.7
19280201 19280229     0.0
19280301 19280331     2.6
19280401 19280430    34.1
19280501 19280531    65.9
19280601 19280630    45.2
19280701 19280731   193.6
19280801 19280831   101.9
19280901 19280930    64.1
19281001 19281031    20.0
19281101 19281130     0.0
19281201 19281231     3.6
19290101 19290131     8.9
19290201 19290228    16.2
19290301 19290331     1.5
19290401 19290430    17.5
19290501 19290531   116.5
19290601 19290630   123.2
19290701 19290731    43.8
19290801 19290831    44.3
19290901 19290930    28.9
19291001 19291031    17.8
19291101 19291130    39.5
19291201 19291231     5.8
19300101 19300131     0.0
19300201 19300228     3.8
19300301 19300331    29.0
19300401 19300430    28.5
19300501 19300531    28.0
19300601 19300630   164.7
19300701 19300731   178.9
19300801 19300831    54.5
19300901 19300930    66.7
19301001 19301031    11.9
19301101 19301130     7.1
19301201 19301231     4.6
19310101 19310131     0.0
19310201 19310228     2.0
19310301 19310331    10.2
19310401 19310430    45.5
19310501 19310531    77.6
19310601 19310630    66.4
19310701 19310731    90.4
19310801 19310831   103.8
19310901 19310930   100.7
19311001 19311031     8.9
19311101 19311130     5.1
19311201 19311231    10.2
19320101 19320131     7.9
19320201 19320229     0.5
19320301 19320331    20.0
19320401 19320430    45.4
19320501 19320531   135.7
19320601 19320630    66.0
19320701 19320731   155.0
19320801 19320831    91.3
19320901 19320930    27.5
19321001 19321031    77.4
19321101 19321130     4.1
19321201 19321231     1.3
19330101 19330131    17.0
19330201 19330228     0.8
19330301 19330331    11.0
19330401 19330430    17.6
19330501 19330531   101.8
19330601 19330630   111.8
19330701 19330731    73.7
19330801 19330831    69.2
19330901 19330930    42.5
19331001 19331031    63.6
19331101 19331130     1.8
19331201 19331231     2.8
19340101 19340131    19.3
19340201 19340228     1.8
19340301 19340331   107.0
19340401 19340430    33.9
19340501 19340531    59.8
19340601 19340630    94.9
19340701 19340731    86.3
19340801 19340831    88.1
19340901 19340930    52.8
19341001 19341031    12.4
19341101 19341130    31.0
19341201 19341231     1.9
19350101 19350131     6.3
19350201 19350228    40.0
19350301 19350331     1.1
19350401 19350430    30.4
19350501 19350531    37.6
19350601 19350630    72.7
19350701 19350731   140.7
19350801 19350831    84.5
19350901 19350930    51.0
19351001 19351031    66.1
19351101 19351130     1.3
19351201 19351231     0.5
19360101 19360131    28.9
19360201 19360229     0.0
19360301 19360331    11.2
19360401 19360430    25.4
19360501 19360531    63.1
19360601 19360630   148.1
19360701 19360731    52.4
19360801 19360831    93.9
19360901 19360930    33.5
19361001 19361031    11.1
19361101 19361130    17.8
19361201 19361231    36.6
19370101 19370131     0.0
19370201 19370228     3.0
19370301 19370331    15.5
19370401 19370430    51.8
19370501 19370531   101.2
19370601 19370630   105.5
19370701 19370731    46.0
19370801 19370831   107.2
19370901 19370930    22.3
19371001 19371031    18.7
19371101 19371130    17.0
19371201 19371231     2.8
19380101 19380131     0.0
19380201 19380228     0.0
19380301 19380331    41.4
19380401 19380430    27.7
19380501 19380531    54.7
19380601 19380630    38.9
19380701 19380731   118.1
19380801 19380831    71.8
19380901 19380930    63.5
19381001 19381031    24.3
19381101 19381130    14.2
19381201 19381231     5.6
19390101 19390131     7.6
19390201 19390228    36.6
19390301 19390331     0.5
19390401 19390430     9.2
19390501 19390531   112.3
19390601 19390630   135.4
19390701 19390731   184.3
19390801 19390831   122.2
19390901 19390930    15.7
19391001 19391031    56.1
19391101 19391130    36.9
19391201 19391231     0.0
19400101 19400131     6.2
19400201 19400229     0.0
19400301 19400331     0.0
19400401 19400430    17.3
19400501 19400531    33.6
19400601 19400630    67.2
19400701 19400731    68.3
19400801 19400831    49.9
19400901 19400930    29.3
19401001 19401031    21.2
19401101 19401130     3.8
19401201 19401231    27.6
19410101 19410131     0.0
19410201 19410228     3.0
19410301 19410331     5.9
19410401 19410430    57.6
19410501 19410531    40.3
19410601 19410630    99.9
19410701 19410731    94.6
19410801 19410831    62.7
19410901 19410930    71.9
19411001 19411031    17.0
19411101 19411130    15.3
19411201 19411231     3.8
19420101 19420131     6.4
19420201 19420228     0.3
19420301 19420331    21.8
19420401 19420430    19.1
19420501 19420531    98.3
19420601 19420630    97.4
19420701 19420731    69.3
19420801 19420831   114.3
19420901 19420930    55.6
19421001 19421031    23.2
19421101 19421130     2.0
19421201 19421231    25.1
19430101 19430131    38.1
19430201 19430228    13.3
19430301 19430331   114.9
19430401 19430430    92.5
19430501 19430531    45.6
19430601 19430630    86.9
19430701 19430731    82.8
19430801 19430831    94.2
19430901 19430930    65.7
19431001 19431031    20.1
19431101 19431130     0.3
19431201 19431231     8.9
19440101 19440131     1.3
19440201 19440229     0.0
19440301 19440331     1.6
19440401 19440430    12.7
19440501 19440531    62.7
19440601 19440630    36.3
19440701 19440731    95.2
19440801 19440831    54.9
19440901 19440930    19.3
19441001 19441031     0.8
19441101 19441130     5.2
19441201 19441231    18.1
19450101 19450131     0.8
19450201 19450228     1.3
19450301 19450331    21.6
19450401 19450430     7.2
19450501 19450531    67.3
19450601 19450630   330.3
19450701 19450731   103.2
19450801 19450831   141.2
19450901 19450930    46.2
19451001 19451031     3.9
19451101 19451130    12.2
19451201 19451231     6.7
19460101 19460131     0.6
19460201 19460228     0.0
19460301 19460331     7.5
19460401 19460430    34.0
19460501 19460531   115.9
19460601 19460630   175.9
19460701 19460731   235.6
19460801 19460831    63.9
19460901 19460930    17.8
19461001 19461031    10.2
19461101 19461130    44.7
19461201 19461231    13.3
19470101 19470131     0.0
19470201 19470228     5.1
19470301 19470331     1.5
19470401 19470430    42.5
19470501 19470531   118.8
19470601 19470630   148.1
19470701 19470731    44.6
19470801 19470831    42.2
19470901 19470930    46.8
19471001 19471031    73.8
19471101 19471130     0.0
19471201 19471231     2.5
19480101 19480131     0.0
19480201 19480229     0.0
19480301 19480331    10.4
19480401 19480430    24.6
19480501 19480531     8.9
19480601 19480630    74.4
19480701 19480731   100.4
19480801 19480831    91.4
19480901 19480930    89.9
19481001 19481031    19.9
19481101 19481130    26.2
19481201 19481231    22.7
19490101 19490131     0.0
19490201 19490228     0.0
19490301 19490331     7.7
19490401 19490430    20.7
19490501 19490531    24.9
19490601 19490630    73.4
19490701 19490731   126.5
19490801 19490831   109.7
19490901 19490930    15.8
19491001 19491031    66.5
19491101 19491130    38.6
19491201 19491231     0.0
19500101 19500131     0.0
19500201 19500228     0.0
19500301 19500331     0.0
19500401 19500430     0.0
19500501 19500531    73.5
19500601 19500630    59.6
19500701 19500731    82.8
