PRCP       010658 19040801 20171231 missing_value=99999.9 WONNAMINTA                                
20000701 20000731   138.6
20000801 20000831    67.1
20000901 20000930    37.0
20001001 20001031     0.0
20001101 20001130     7.0
20001201 20001231     1.2
20010101 20010131     1.2
20010201 20010228     8.4
20010301 20010331     1.6
20010401 20010430     0.6
20010501 20010531    66.4
20010601 20010630    16.8
20010701 20010731    80.0
20010801 20010831    95.8
20010901 20010930    36.2
20011001 20011031    13.2
20011101 20011130    31.2
20011201 20011231    29.8
20020101 20020131     7.0
20020201 20020228     2.6
20020301 20020331     2.0
20020401 20020430    26.8
20020501 20020531    40.8
20020601 20020630    68.8
20020701 20020731    55.2
20020801 20020831    64.6
20020901 20020930    30.2
20021001 20021031    19.4
20021101 20021130    17.8
20021201 20021231     1.2
20030101 20030131     0.0
20030201 20030228    13.4
20030301 20030331    20.8
20030401 20030430    53.4
20030501 20030531    56.4
20030601 20030630    91.2
20030701 20030731 99999.9
20030801 20030831    80.4
20030901 20030930    56.6
20031001 20031031    38.8
20031101 20031130    25.4
20031201 20031231     9.0
20040101 20040131     1.6
20040201 20040229    13.6
20040301 20040331     2.0
20040401 20040430     6.8
20040501 20040531    37.6
20040601 20040630   104.6
20040701 20040731    88.7
20040801 20040831    86.6
20040901 20040930    19.0
20041001 20041031    32.3
20041101 20041130    44.6
20041201 20041231     5.2
20050101 20050131     0.0
20050201 20050228     4.0
20050301 20050331    28.4
20050401 20050430    40.2
20050501 20050531   130.2
20050601 20050630    91.0
20050701 20050731    35.0
20050801 20050831    86.1
20050901 20050930 99999.9
20051001 20051031    31.2
20051101 20051130     9.0
20051201 20051231     3.0
20060101 20060131    56.0
20060201 20060228    25.7
20060301 20060331     0.8
20060401 20060430    40.0
20060501 20060531    12.6
20060601 20060630    18.2
20060701 20060731    56.0
20060801 20060831    84.2
20060901 20060930    29.4
20061001 20061031     5.4
20061101 20061130    13.6
20061201 20061231     8.0
20070101 20070131    17.4
20070201 20070228     1.0
20070301 20070331     2.0
20070401 20070430    36.0
20070501 20070531    39.4
20070601 20070630    60.8
20070701 20070731   122.0
20070801 20070831    56.6
20070901 20070930    42.2
20071001 20071031    24.0
20071101 20071130     2.4
20071201 20071231    22.2
20080101 20080131     0.0
20080201 20080229     0.0
20080301 20080331     2.6
20080401 20080430    95.2
20080501 20080531    51.0
20080601 20080630    59.2
20080701 20080731   124.2
20080801 20080831     9.0
20080901 20080930    39.6
20081001 20081031    32.4
20081101 20081130    30.2
20081201 20081231     5.0
20090101 20090131     8.6
20090201 20090228    11.4
20090301 20090331    12.6
20090401 20090430     3.0
20090501 20090531    30.0
20090601 20090630   118.6
20090701 20090731    76.2
20090801 20090831    78.4
20090901 20090930    47.8
20091001 20091031     7.8
20091101 20091130    28.4
20091201 20091231     0.0
20100101 20100131     2.0
20100201 20100228    16.7
20100301 20100331    40.0
20100401 20100430    12.0
20100501 20100531    43.8
20100601 20100630    42.2
20100701 20100731    31.4
20100801 20100831    40.8
20100901 20100930    12.4
20101001 20101031     6.8
20101101 20101130     4.4
20101201 20101231     9.5
20110101 20110131    48.4
20110201 20110228     0.2
20110301 20110331     0.6
20110401 20110430    11.8
20110501 20110531    36.6
20110601 20110630    94.0
20110701 20110731   100.6
20110801 20110831    67.0
20110901 20110930    44.2
20111001 20111031    58.6
20111101 20111130    45.2
20111201 20111231    99.6
20120101 20120131    21.4
20120201 20120229    11.4
20120301 20120331     3.0
20120401 20120430    11.2
20120501 20120531    53.4
20120601 20120630    66.8
20120701 20120731     9.4
20120801 20120831    53.4
20120901 20120930    89.0
20121001 20121031     4.0
20121101 20121130    41.0
20121201 20121231    45.6
20130101 20130131    15.3
20130201 20130228     2.8
20130301 20130331    60.8
20130401 20130430     8.6
20130501 20130531    79.6
20130601 20130630     6.4
20130701 20130731    73.2
20130801 20130831    47.6
20130901 20130930   110.8
20131001 20131031    32.4
20131101 20131130     8.0
20131201 20131231     4.6
20140101 20140131 99999.9
20140201 20140228 99999.9
20140301 20140331    13.6
20140401 20140430    23.2
20140501 20140531   100.8
20140601 20140630    35.2
20140701 20140731    91.8
20140801 20140831    85.0
20140901 20140930    59.4
20141001 20141031    20.6
20141101 20141130    20.2
20141201 20141231     0.6
20150101 20150131     4.2
20150201 20150228     8.0
20150301 20150331    37.6
20150401 20150430    43.2
20150501 20150531    30.6
20150601 20150630    57.0
20150701 20150731    43.0
20150801 20150831    85.7
20150901 20150930    24.4
20151001 20151031    11.8
20151101 20151130    15.0
20151201 20151231    37.4
20160101 20160131   113.2
20160201 20160229     0.8
20160301 20160331    38.6
20160401 20160430    51.0
20160501 20160531    62.2
20160601 20160630    42.2
20160701 20160731    51.0
20160801 20160831    82.4
20160901 20160930    41.0
20161001 20161031    22.6
20161101 20161130    11.2
20161201 20161231    20.6
20170101 20170131     2.6
20170201 20170228   159.8
20170301 20170331    40.0
20170401 20170430     0.4
20170501 20170531    49.4
20170601 20170630    60.2
20170701 20170731    98.4
20170801 20170831    93.8
20170901 20170930    57.1
20171001 20171031    38.2
20171101 20171130    23.6
20171201 20171231    26.4
