PRCP       051033 19230101 20171231 missing_value=99999.9 NYNGAN (MUDALL)                           
19441201 19441231     3.3
19450101 19450131    58.4
19450201 19450228    30.2
19450301 19450331     3.3
19450401 19450430    57.2
19450501 19450531    43.4
19450601 19450630    75.4
19450701 19450731    27.4
19450801 19450831    59.7
19450901 19450930     0.5
19451001 19451031    14.0
19451101 19451130     6.4
19451201 19451231     5.6
19460101 19460131    26.9
19460201 19460228    39.9
19460301 19460331    23.9
19460401 19460430     8.1
19460501 19460531    12.4
19460601 19460630    14.5
19460701 19460731    11.2
19460801 19460831     1.3
19460901 19460930    33.3
19461001 19461031    18.3
19461101 19461130     5.8
19461201 19461231    26.7
19470101 19470131    10.2
19470201 19470228   142.2
19470301 19470331    44.7
19470401 19470430    16.5
19470501 19470531    49.3
19470601 19470630    14.7
19470701 19470731    42.2
19470801 19470831    26.9
19470901 19470930    53.8
19471001 19471031    46.2
19471101 19471130    75.7
19471201 19471231    49.0
19480101 19480131    15.5
19480201 19480229    47.8
19480301 19480331    27.4
19480401 19480430    32.8
19480501 19480531    60.2
19480601 19480630   109.7
19480701 19480731     8.9
19480801 19480831    22.9
19480901 19480930    21.3
19481001 19481031     4.6
19481101 19481130    26.9
19481201 19481231    11.7
19490101 19490131    36.3
19490201 19490228    43.4
19490301 19490331    84.6
19490401 19490430    18.3
19490501 19490531    42.2
19490601 19490630    15.7
19490701 19490731    14.0
19490801 19490831    20.8
19490901 19490930    78.7
19491001 19491031    92.5
19491101 19491130    35.6
19491201 19491231    11.2
19500101 19500131    51.3
19500201 19500228   183.9
19500301 19500331   190.5
19500401 19500430    34.3
19500501 19500531    14.0
19500601 19500630    91.7
19500701 19500731    64.3
19500801 19500831    32.3
19500901 19500930    40.4
19501001 19501031   175.3
19501101 19501130   148.3
19501201 19501231     1.8
19510101 19510131    43.9
19510201 19510228    75.4
19510301 19510331     9.1
19510401 19510430     8.9
19510501 19510531    39.1
19510601 19510630    75.7
19510701 19510731    19.8
19510801 19510831    38.1
19510901 19510930    16.0
19511001 19511031     4.6
19511101 19511130    11.9
19511201 19511231    15.7
19520101 19520131     7.9
19520201 19520229    18.5
19520301 19520331    57.4
19520401 19520430    48.0
19520501 19520531    38.6
19520601 19520630    20.8
19520701 19520731    42.4
19520801 19520831   117.4
19520901 19520930    18.5
19521001 19521031    27.0
19521101 19521130    12.7
19521201 19521231    49.3
19530101 19530131    38.1
19530201 19530228    17.7
19530301 19530331    26.1
19530401 19530430    19.8
19530501 19530531    34.2
19530601 19530630     7.9
19530701 19530731     4.1
19530801 19530831    36.1
19530901 19530930    12.2
19531001 19531031    77.5
19531101 19531130    30.5
19531201 19531231    13.2
19540101 19540131    17.7
19540201 19540228    65.5
19540301 19540331     0.0
19540401 19540430    21.3
19540501 19540531     0.8
19540601 19540630    18.9
19540701 19540731     8.5
19540801 19540831    24.7
19540901 19540930    18.0
19541001 19541031    87.5
19541101 19541130    42.7
19541201 19541231    64.7
19550101 19550131    58.4
19550201 19550228   227.0
19550301 19550331     7.6
19550401 19550430    43.9
19550501 19550531    28.7
19550601 19550630    28.0
19550701 19550731    28.4
19550801 19550831    28.2
19550901 19550930    34.3
19551001 19551031   106.6
19551101 19551130    35.6
19551201 19551231     9.1
19560101 19560131    51.1
19560201 19560229   106.9
19560301 19560331   245.6
19560401 19560430    48.8
19560501 19560531   100.6
19560601 19560630    64.1
19560701 19560731    86.3
19560801 19560831     8.1
19560901 19560930    19.0
19561001 19561031    66.2
19561101 19561130     1.3
19561201 19561231    21.3
19570101 19570131     8.3
19570201 19570228    46.2
19570301 19570331     4.9
19570401 19570430     3.6
19570501 19570531     0.8
19570601 19570630    24.9
19570701 19570731    11.4
19570801 19570831    18.6
19570901 19570930     0.0
19571001 19571031     5.1
19571101 19571130     5.3
19571201 19571231    19.0
19580101 19580131    56.1
19580201 19580228    25.1
19580301 19580331    46.8
19580401 19580430    27.2
19580501 19580531    51.1
19580601 19580630     6.8
19580701 19580731    39.3
19580801 19580831    22.4
19580901 19580930    49.0
19581001 19581031    29.0
19581101 19581130     4.1
19581201 19581231    43.7
19590101 19590131   109.5
19590201 19590228   122.4
19590301 19590331    76.9
19590401 19590430    93.3
19590501 19590531     7.9
19590601 19590630    24.9
19590701 19590731    51.6
19590801 19590831     0.0
19590901 19590930     2.5
19591001 19591031    64.8
19591101 19591130    49.8
19591201 19591231    23.1
19600101 19600131    40.4
19600201 19600229    34.6
19600301 19600331    11.2
19600401 19600430    22.9
19600501 19600531    27.6
19600601 19600630     1.5
19600701 19600731    43.5
19600801 19600831    58.2
19600901 19600930    37.1
19601001 19601031    20.3
19601101 19601130    88.6
19601201 19601231    23.5
19610101 19610131   106.7
19610201 19610228    11.7
19610301 19610331    45.2
19610401 19610430    60.1
19610501 19610531    20.3
19610601 19610630    31.9
19610701 19610731    38.6
19610801 19610831    21.5
19610901 19610930     0.3
19611001 19611031    33.2
19611101 19611130   125.2
19611201 19611231   227.6
19620101 19620131    50.2
19620201 19620228    46.0
19620301 19620331    13.7
19620401 19620430     1.8
19620501 19620531    44.0
19620601 19620630     1.1
19620701 19620731    63.0
19620801 19620831    37.5
19620901 19620930    23.8
19621001 19621031    26.4
19621101 19621130    36.1
19621201 19621231   174.9
19630101 19630131   171.6
19630201 19630228    35.4
19630301 19630331    71.1
19630401 19630430     5.1
19630501 19630531    43.3
19630601 19630630    40.0
19630701 19630731    22.9
19630801 19630831    35.4
19630901 19630930    15.2
19631001 19631031    50.8
19631101 19631130    34.2
19631201 19631231    30.1
19640101 19640131    21.6
19640201 19640229    79.0
19640301 19640331    15.8
19640401 19640430    45.7
19640501 19640531    36.6
19640601 19640630    48.7
19640701 19640731    13.9
19640801 19640831    25.1
19640901 19640930    75.4
19641001 19641031    45.8
19641101 19641130     7.1
19641201 19641231    20.6
19650101 19650131     0.0
19650201 19650228     0.0
19650301 19650331     9.7
19650401 19650430     4.5
19650501 19650531    13.7
19650601 19650630    11.0
19650701 19650731     4.3
19650801 19650831    16.2
19650901 19650930     4.7
19651001 19651031    17.2
19651101 19651130     3.0
19651201 19651231    25.4
19660101 19660131    30.5
19660201 19660228    10.2
19660301 19660331    36.8
19660401 19660430     2.5
19660501 19660531    20.4
19660601 19660630     9.7
19660701 19660731    14.0
19660801 19660831    72.2
19660901 19660930    29.0
19661001 19661031    35.4
19661101 19661130    52.9
19661201 19661231    92.4
19670101 19670131     4.1
