PRCP       008066 19070901 20171231 missing_value=99999.9 KOKARDINE                                 
19290801 19290831    33.7
19290901 19290930     6.8
19291001 19291031    39.6
19291101 19291130    13.9
19291201 19291231     0.3
19300101 19300131     0.0
19300201 19300228    15.2
19300301 19300331    16.3
19300401 19300430    36.4
19300501 19300531    13.2
19300601 19300630   104.6
19300701 19300731    71.2
19300801 19300831    49.7
19300901 19300930    25.7
19301001 19301031    12.4
19301101 19301130     1.3
19301201 19301231    33.8
19310101 19310131     0.0
19310201 19310228     3.8
19310301 19310331     2.8
19310401 19310430    21.5
19310501 19310531    44.3
19310601 19310630    20.7
19310701 19310731    57.3
19310801 19310831    55.7
19310901 19310930    34.3
19311001 19311031     9.3
19311101 19311130     0.3
19311201 19311231     6.6
19320101 19320131    21.8
19320201 19320229     1.5
19320301 19320331    29.3
19320401 19320430    24.8
19320501 19320531    52.5
19320601 19320630    27.0
19320701 19320731    64.1
19320801 19320831    96.4
19320901 19320930    13.5
19321001 19321031    39.0
19321101 19321130     0.0
19321201 19321231     0.0
19330101 19330131     0.0
19330201 19330228    13.7
19330301 19330331     7.1
19330401 19330430     4.3
19330501 19330531    44.7
19330601 19330630    80.6
19330701 19330731    41.3
19330801 19330831    43.2
19330901 19330930    11.7
19331001 19331031    22.4
19331101 19331130     8.6
19331201 19331231    27.7
19340101 19340131    26.7
19340201 19340228     9.9
19340301 19340331    14.9
19340401 19340430    70.0
19340501 19340531    12.3
19340601 19340630    38.9
19340701 19340731    58.0
19340801 19340831    48.6
19340901 19340930    26.0
19341001 19341031     4.6
19341101 19341130    18.3
19341201 19341231     2.3
19350101 19350131    16.8
19350201 19350228    34.8
19350301 19350331     8.7
19350401 19350430    25.9
19350501 19350531     9.6
19350601 19350630    17.5
19350701 19350731    51.4
19350801 19350831    62.3
19350901 19350930    18.4
19351001 19351031     5.1
19351101 19351130     0.0
19351201 19351231     2.0
19360101 19360131    12.1
19360201 19360229     0.0
19360301 19360331    22.6
19360401 19360430     3.3
19360501 19360531    23.1
19360601 19360630   108.1
19360701 19360731    20.1
19360801 19360831    45.7
19360901 19360930    16.1
19361001 19361031     1.3
19361101 19361130     1.3
19361201 19361231    12.2
19370101 19370131     0.0
19370201 19370228     0.0
19370301 19370331    22.6
19370401 19370430    12.8
19370501 19370531    60.7
19370601 19370630    51.5
19370701 19370731     9.6
19370801 19370831    62.2
19370901 19370930    22.8
19371001 19371031     7.1
19371101 19371130    28.3
19371201 19371231     0.8
19380101 19380131    15.0
19380201 19380228     0.0
19380301 19380331    27.9
19380401 19380430    26.4
19380501 19380531     9.5
19380601 19380630    35.3
19380701 19380731    62.4
19380801 19380831    26.2
19380901 19380930    20.3
19381001 19381031     9.1
19381101 19381130    14.0
19381201 19381231     0.0
19390101 19390131    13.2
19390201 19390228    81.8
19390301 19390331     0.0
19390401 19390430     8.7
19390501 19390531    80.2
19390601 19390630    85.4
19390701 19390731    63.2
19390801 19390831    37.1
19390901 19390930     3.3
19391001 19391031    23.4
19391101 19391130    23.0
19391201 19391231     0.0
19400101 19400131     1.1
19400201 19400229     0.0
19400301 19400331     0.0
19400401 19400430     1.0
19400501 19400531    18.8
19400601 19400630    44.0
19400701 19400731    52.5
19400801 19400831     7.3
19400901 19400930    10.4
19401001 19401031    28.8
19401101 19401130     4.3
19401201 19401231    30.7
19410101 19410131     0.3
19410201 19410228    34.6
19410301 19410331     3.0
19410401 19410430    64.9
19410501 19410531    36.1
19410601 19410630    78.1
19410701 19410731    44.3
19410801 19410831    30.2
19410901 19410930    33.9
19411001 19411031    13.1
19411101 19411130     5.6
19411201 19411231    19.5
19420101 19420131     8.9
19420201 19420228     0.0
19420301 19420331    23.6
19420401 19420430    20.1
19420501 19420531    64.5
19420601 19420630    39.7
19420701 19420731    31.1
19420801 19420831    36.3
19420901 19420930    26.6
19421001 19421031    21.1
19421101 19421130     0.0
19421201 19421231    18.5
19430101 19430131    11.7
19430201 19430228   111.1
19430301 19430331    84.1
19430401 19430430    43.2
19430501 19430531    31.0
19430601 19430630    85.8
19430701 19430731    20.6
19430801 19430831    36.3
19430901 19430930    20.1
19431001 19431031    19.0
19431101 19431130     0.0
19431201 19431231     8.4
19440101 19440131     0.3
19440201 19440229     0.0
19440301 19440331     7.4
19440401 19440430     2.5
19440501 19440531    51.0
19440601 19440630    30.6
19440701 19440731    78.2
19440801 19440831    56.1
19440901 19440930     2.1
19441001 19441031     0.5
19441101 19441130     1.5
19441201 19441231     2.0
19450101 19450131     0.0
19450201 19450228     0.0
19450301 19450331    17.3
19450401 19450430    16.3
19450501 19450531    27.7
19450601 19450630   129.5
19450701 19450731    32.6
19450801 19450831    91.2
19450901 19450930    35.7
19451001 19451031     1.8
19451101 19451130     7.1
19451201 19451231     3.1
19460101 19460131     0.0
19460201 19460228    17.8
19460301 19460331     0.8
19460401 19460430    32.3
19460501 19460531    71.1
19460601 19460630    98.8
19460701 19460731   115.1
19460801 19460831    46.2
19460901 19460930     3.5
19461001 19461031     0.5
19461101 19461130    36.4
19461201 19461231     0.0
19470101 19470131     2.6
19470201 19470228    13.0
19470301 19470331    24.2
19470401 19470430    26.9
19470501 19470531    62.5
19470601 19470630    54.6
19470701 19470731    49.2
19470801 19470831    23.4
19470901 19470930    17.5
19471001 19471031    38.8
19471101 19471130    16.5
19471201 19471231     0.0
19480101 19480131     2.5
19480201 19480229     5.1
19480301 19480331    69.5
19480401 19480430    32.6
19480501 19480531     0.0
19480601 19480630    49.3
19480701 19480731    62.8
19480801 19480831    57.2
19480901 19480930    20.9
19481001 19481031     4.1
19481101 19481130    16.3
19481201 19481231    12.2
19490101 19490131     2.5
19490201 19490228     8.6
19490301 19490331     5.3
19490401 19490430    10.7
19490501 19490531     1.8
19490601 19490630    42.3
19490701 19490731    83.0
19490801 19490831    65.3
19490901 19490930    23.2
19491001 19491031    10.2
19491101 19491130    13.7
19491201 19491231     0.0
19500101 19500131     7.1
19500201 19500228     0.0
19500301 19500331     2.3
19500401 19500430     0.0
19500501 19500531    69.8
19500601 19500630    33.3
19500701 19500731    45.1
19500801 19500831    36.6
19500901 19500930    26.2
19501001 19501031    23.1
19501101 19501130     3.3
19501201 19501231     0.0
19510101 19510131    21.1
19510201 19510228    45.7
19510301 19510331     3.8
19510401 19510430    58.2
19510501 19510531    21.9
19510601 19510630    76.7
19510701 19510731    43.1
19510801 19510831    18.4
19510901 19510930    17.6
19511001 19511031     4.4
19511101 19511130     0.8
19511201 19511231    12.0
19520101 19520131     6.4
19520201 19520229    10.7
19520301 19520331     3.0
19520401 19520430     3.6
19520501 19520531    66.3
19520601 19520630    20.8
19520701 19520731    43.2
19520801 19520831    19.3
19520901 19520930    15.2
19521001 19521031    26.7
19521101 19521130     3.3
19521201 19521231     9.9
19530101 19530131     0.0
19530201 19530228    17.5
19530301 19530331    77.3
19530401 19530430    37.1
19530501 19530531    82.4
19530601 19530630    62.5
19530701 19530731    52.7
19530801 19530831    18.0
19530901 19530930     7.7
