PRCP       010112 19070101 20180131 missing_value=99999.9 NUNGARIN POST OFFICE                      
19281201 19281231    10.9
19290101 19290131     1.0
19290201 19290228    36.6
19290301 19290331    22.1
19290401 19290430     2.1
19290501 19290531    70.7
19290601 19290630    63.3
19290701 19290731    26.6
19290801 19290831    21.9
19290901 19290930     3.6
19291001 19291031    14.1
19291101 19291130    57.2
19291201 19291231     0.0
19300101 19300131     0.0
19300201 19300228     6.1
19300301 19300331    51.8
19300401 19300430    58.7
19300501 19300531    16.3
19300601 19300630    82.3
19300701 19300731    49.9
19300801 19300831    39.5
19300901 19300930    20.3
19301001 19301031     5.4
19301101 19301130     0.3
19301201 19301231    25.7
19310101 19310131     0.0
19310201 19310228     0.8
19310301 19310331     0.5
19310401 19310430    51.4
19310501 19310531    69.0
19310601 19310630    30.3
19310701 19310731    46.9
19310801 19310831    56.7
19310901 19310930    24.8
19311001 19311031    23.6
19311101 19311130    14.5
19311201 19311231     5.4
19320101 19320131    18.6
19320201 19320229     1.5
19320301 19320331    17.0
19320401 19320430    25.0
19320501 19320531    48.9
19320601 19320630    17.0
19320701 19320731    71.0
19320801 19320831    66.7
19320901 19320930    15.2
19321001 19321031    60.7
19321101 19321130     0.0
19321201 19321231    11.4
19330101 19330131     2.8
19330201 19330228     1.0
19330301 19330331    16.5
19330401 19330430     2.3
19330501 19330531    30.3
19330601 19330630    69.9
19330701 19330731    42.1
19330801 19330831    39.8
19330901 19330930    14.3
19331001 19331031    16.3
19331101 19331130    19.6
19331201 19331231     7.4
19340101 19340131    25.1
19340201 19340228     6.2
19340301 19340331    27.1
19340401 19340430    95.5
19340501 19340531     4.1
19340601 19340630    29.0
19340701 19340731    54.2
19340801 19340831    46.3
19340901 19340930    20.4
19341001 19341031     1.8
19341101 19341130    18.1
19341201 19341231     2.3
19350101 19350131    10.2
19350201 19350228    12.9
19350301 19350331     2.1
19350401 19350430    30.2
19350501 19350531    19.4
19350601 19350630    13.5
19350701 19350731    58.2
19350801 19350831    46.5
19350901 19350930    12.0
19351001 19351031    30.9
19351101 19351130     0.0
19351201 19351231     6.6
19360101 19360131    25.1
19360201 19360229     0.3
19360301 19360331    22.4
19360401 19360430     2.1
19360501 19360531    22.1
19360601 19360630    73.3
19360701 19360731    26.8
19360801 19360831    37.1
19360901 19360930    20.3
19361001 19361031     3.3
19361101 19361130     8.4
19361201 19361231    22.2
19370101 19370131     8.2
19370201 19370228     3.8
19370301 19370331    11.2
19370401 19370430    10.7
19370501 19370531    60.7
19370601 19370630    33.5
19370701 19370731    13.2
19370801 19370831    44.1
19370901 19370930     9.5
19371001 19371031     5.3
19371101 19371130    17.6
19371201 19371231     0.8
19380101 19380131    11.4
19380201 19380228     5.8
19380301 19380331    16.0
19380401 19380430    26.2
19380501 19380531    10.5
19380601 19380630    31.5
19380701 19380731    56.4
19380801 19380831    33.8
19380901 19380930    13.7
19381001 19381031     8.6
19381101 19381130    17.0
19381201 19381231     9.4
19390101 19390131     4.3
19390201 19390228    80.6
19390301 19390331     0.0
19390401 19390430    16.8
19390501 19390531    49.2
19390601 19390630    60.0
19390701 19390731    57.3
19390801 19390831    40.6
19390901 19390930     2.5
19391001 19391031    42.9
19391101 19391130    37.3
19391201 19391231     0.5
19400101 19400131     3.1
19400201 19400229     0.0
19400301 19400331     1.8
19400401 19400430     5.6
19400501 19400531    11.5
19400601 19400630    18.8
19400701 19400731    51.9
19400801 19400831     4.6
19400901 19400930    15.5
19401001 19401031    30.6
19401101 19401130     2.0
19401201 19401231    55.1
19410101 19410131     0.3
19410201 19410228    20.4
19410301 19410331     3.5
19410401 19410430    31.0
19410501 19410531    74.3
19410601 19410630    64.9
19410701 19410731    50.0
19410801 19410831    37.6
19410901 19410930    35.3
19411001 19411031    22.4
19411101 19411130     6.4
19411201 19411231    19.0
19420101 19420131    22.4
19420201 19420228     7.3
19420301 19420331    38.9
19420401 19420430    27.8
19420501 19420531    27.6
19420601 19420630    39.6
19420701 19420731    51.5
19420801 19420831    44.8
19420901 19420930    21.9
19421001 19421031     9.9
19421101 19421130     6.4
19421201 19421231    58.7
19430101 19430131    21.1
19430201 19430228   100.3
19430301 19430331    87.2
19430401 19430430    51.1
19430501 19430531    26.2
19430601 19430630    53.0
19430701 19430731    33.5
19430801 19430831    59.3
19430901 19430930    29.9
19431001 19431031    13.7
19431101 19431130     0.0
19431201 19431231     9.9
19440101 19440131     0.3
19440201 19440229     0.0
19440301 19440331    14.0
19440401 19440430     0.0
19440501 19440531    76.3
19440601 19440630    22.8
19440701 19440731    78.6
19440801 19440831    44.3
19440901 19440930    12.6
19441001 19441031     2.0
19441101 19441130     0.3
19441201 19441231     3.6
19450101 19450131     0.0
19450201 19450228     5.7
19450301 19450331    19.9
19450401 19450430    13.7
19450501 19450531    28.0
19450601 19450630   112.0
19450701 19450731    27.4
19450801 19450831    85.7
19450901 19450930    23.3
19451001 19451031     1.3
19451101 19451130     1.5
19451201 19451231     2.8
19460101 19460131     3.8
19460201 19460228     0.8
19460301 19460331     0.0
19460401 19460430     7.1
19460501 19460531    43.8
19460601 19460630    75.3
19460701 19460731    96.4
19460801 19460831    41.9
19460901 19460930    20.5
19461001 19461031     0.0
19461101 19461130    38.4
19461201 19461231     0.8
19470101 19470131     1.5
19470201 19470228     1.3
19470301 19470331    27.5
19470401 19470430    21.5
19470501 19470531    40.7
19470601 19470630    36.9
19470701 19470731    37.7
19470801 19470831    15.2
19470901 19470930    15.0
19471001 19471031    58.0
19471101 19471130     5.9
19471201 19471231     0.0
19480101 19480131     1.8
19480201 19480229     8.4
19480301 19480331     5.6
19480401 19480430    34.8
19480501 19480531     0.0
19480601 19480630    31.0
19480701 19480731    48.5
19480801 19480831    39.4
19480901 19480930    23.1
19481001 19481031     4.1
19481101 19481130     4.9
19481201 19481231    16.0
19490101 19490131     3.8
19490201 19490228     9.7
19490301 19490331     1.8
19490401 19490430     3.8
19490501 19490531     0.8
19490601 19490630    36.3
19490701 19490731    66.6
19490801 19490831    49.0
19490901 19490930    15.7
19491001 19491031     8.9
19491101 19491130    21.4
19491201 19491231     2.0
19500101 19500131    47.4
19500201 19500228     0.0
19500301 19500331     0.0
19500401 19500430     0.0
19500501 19500531    88.2
19500601 19500630    33.5
19500701 19500731    35.0
19500801 19500831    22.9
19500901 19500930    20.1
19501001 19501031    13.5
19501101 19501130     1.3
19501201 19501231     0.0
19510101 19510131    24.9
19510201 19510228    65.8
19510301 19510331     5.4
19510401 19510430    64.0
19510501 19510531    24.1
19510601 19510630    57.4
19510701 19510731    47.1
19510801 19510831    27.9
19510901 19510930     5.3
19511001 19511031     7.9
19511101 19511130     4.6
19511201 19511231    49.1
19520101 19520131    28.6
19520201 19520229     1.0
19520301 19520331     7.9
19520401 19520430     2.8
19520501 19520531    40.5
19520601 19520630    21.1
19520701 19520731    36.6
19520801 19520831     8.4
19520901 19520930    25.3
19521001 19521031    13.7
19521101 19521130     0.8
19521201 19521231    44.2
19530101 19530131     0.0
19530201 19530228     8.7
19530301 19530331   106.9
19530401 19530430    52.8
19530501 19530531    76.5
19530601 19530630    55.9
19530701 19530731    48.0
19530801 19530831    21.6
19530901 19530930     4.8
19531001 19531031    15.5
19531101 19531130     2.8
19531201 19531231     3.0
19540101 19540131     8.1
19540201 19540228     3.3
19540301 19540331     0.0
19540401 19540430     8.1
19540501 19540531    86.1
19540601 19540630     9.4
19540701 19540731    37.6
19540801 19540831    50.3
19540901 19540930    16.0
19541001 19541031     3.6
19541101 19541130     3.3
19541201 19541231     7.6
19550101 19550131     2.3
19550201 19550228   105.7
19550301 19550331     8.1
19550401 19550430    26.2
19550501 19550531    32.2
19550601 19550630    22.3
19550701 19550731    27.8
19550801 19550831    55.9
19550901 19550930    39.8
19551001 19551031    19.4
19551101 19551130     3.8
19551201 19551231     0.0
19560101 19560131     0.0
19560201 19560229     0.0
19560301 19560331     0.8
19560401 19560430     5.2
19560501 19560531    47.1
19560601 19560630    49.1
19560701 19560731    58.6
19560801 19560831     4.3
19560901 19560930     4.3
19561001 19561031    22.3
19561101 19561130    51.9
19561201 19561231     0.0
19570101 19570131     9.7
19570201 19570228     0.0
19570301 19570331     9.4
19570401 19570430     5.0
19570501 19570531    34.8
19570601 19570630    77.0
19570701 19570731    14.9
19570801 19570831    24.9
19570901 19570930     5.6
19571001 19571031     1.3
19571101 19571130     0.0
19571201 19571231     0.8
19580101 19580131     9.1
19580201 19580228     0.0
19580301 19580331    13.7
19580401 19580430     2.3
19580501 19580531    64.6
19580601 19580630    39.7
19580701 19580731    98.3
19580801 19580831    46.4
19580901 19580930    63.6
19581001 19581031    10.2
19581101 19581130    22.9
19581201 19581231    23.6
19590101 19590131     4.0
19590201 19590228    18.0
19590301 19590331    26.4
19590401 19590430     7.4
19590501 19590531    15.1
19590601 19590630    57.7
19590701 19590731    19.5
19590801 19590831    53.3
19590901 19590930    13.1
19591001 19591031    12.2
19591101 19591130    24.2
19591201 19591231     9.4
19600101 19600131    23.7
19600201 19600229    55.6
19600301 19600331    35.8
19600401 19600430    22.6
19600501 19600531    47.6
19600601 19600630    18.9
19600701 19600731    97.6
19600801 19600831     6.9
19600901 19600930    26.1
19601001 19601031     1.0
19601101 19601130     7.1
19601201 19601231    17.3
19610101 19610131    72.2
19610201 19610228     6.6
19610301 19610331    19.7
19610401 19610430    54.3
19610501 19610531     7.4
19610601 19610630    66.8
19610701 19610731    35.3
19610801 19610831    24.8
19610901 19610930     2.8
19611001 19611031     6.2
19611101 19611130     0.0
19611201 19611231     8.4
19620101 19620131    31.2
19620201 19620228     2.5
19620301 19620331    22.9
19620401 19620430     2.3
19620501 19620531    67.4
19620601 19620630    39.9
19620701 19620731    32.0
19620801 19620831    17.7
19620901 19620930    20.8
19621001 19621031    12.2
19621101 19621130     3.5
19621201 19621231    31.3
19630101 19630131    46.7
19630201 19630228    33.5
19630301 19630331    44.4
19630401 19630430    26.5
19630501 19630531   136.7
19630601 19630630    62.1
19630701 19630731    92.9
19630801 19630831    97.2
19630901 19630930     6.9
19631001 19631031     8.6
19631101 19631130    24.9
19631201 19631231    11.5
19640101 19640131    16.5
19640201 19640229    20.6
19640301 19640331    12.2
19640401 19640430    12.9
19640501 19640531     0.0
19640601 19640630    64.3
19640701 19640731    87.4
19640801 19640831    34.2
19640901 19640930    10.6
19641001 19641031    15.0
19641101 19641130    14.5
19641201 19641231     6.6
19650101 19650131     2.5
19650201 19650228     0.0
19650301 19650331     0.5
19650401 19650430     5.1
19650501 19650531    69.7
19650601 19650630    99.8
19650701 19650731    72.9
19650801 19650831    43.5
19650901 19650930    10.1
19651001 19651031    24.6
19651101 19651130    40.8
19651201 19651231     6.1
19660101 19660131    26.7
19660201 19660228    38.6
19660301 19660331     0.0
19660401 19660430    71.6
19660501 19660531     2.7
19660601 19660630    71.5
19660701 19660731    63.8
19660801 19660831    24.1
19660901 19660930    41.7
19661001 19661031    31.9
19661101 19661130     9.1
19661201 19661231     1.3
19670101 19670131    40.9
19670201 19670228     0.8
19670301 19670331     1.8
19670401 19670430    12.0
19670501 19670531    82.3
19670601 19670630    34.2
19670701 19670731    48.1
19670801 19670831    25.4
19670901 19670930     5.6
19671001 19671031    16.2
19671101 19671130     4.1
19671201 19671231     3.3
19680101 19680131    45.5
19680201 19680229    14.0
19680301 19680331    37.5
19680401 19680430    25.2
19680501 19680531    26.3
19680601 19680630   158.2
19680701 19680731    33.0
19680801 19680831    24.7
19680901 19680930    36.9
19681001 19681031    12.4
19681101 19681130     2.0
19681201 19681231     0.0
19690101 19690131     2.0
19690201 19690228     3.3
19690301 19690331     8.9
19690401 19690430    25.1
19690501 19690531    21.1
19690601 19690630    31.2
19690701 19690731    16.6
19690801 19690831    10.5
19690901 19690930    16.0
19691001 19691031     0.0
19691101 19691130     6.6
19691201 19691231     1.6
19700101 19700131     0.0
19700201 19700228    72.7
19700301 19700331     3.6
19700401 19700430    26.8
19700501 19700531    22.3
19700601 19700630    76.5
19700701 19700731    18.9
19700801 19700831    16.2
19700901 19700930    49.0
19701001 19701031    11.9
19701101 19701130     6.9
19701201 19701231     9.1
19710101 19710131     5.1
19710201 19710228    14.7
19710301 19710331   121.3
19710401 19710430     7.1
19710501 19710531     8.1
19710601 19710630    21.3
19710701 19710731    15.0
19710801 19710831    25.3
19710901 19710930    25.4
19711001 19711031    14.2
19711101 19711130    35.8
19711201 19711231     1.0
19720101 19720131     2.8
19720201 19720229     1.5
19720301 19720331     2.3
19720401 19720430     5.7
19720501 19720531    17.5
19720601 19720630    77.1
19720701 19720731    61.2
19720801 19720831    31.0
19720901 19720930    16.3
19721001 19721031     4.3
19721101 19721130    13.5
19721201 19721231     0.0
19730101 19730131    10.4
19730201 19730228     2.5
19730301 19730331     0.0
19730401 19730430    51.1
19730501 19730531    21.1
19730601 19730630    52.5
19730701 19730731    77.9
19730801 19730831    49.5
19730901 19730930    39.9
19731001 19731031    27.4
19731101 19731130    17.7
19731201 19731231     4.6
19740101 19740131     0.0
19740201 19740228     2.2
19740301 19740331    21.6
19740401 19740430   135.0
19740501 19740531    70.6
19740601 19740630    36.8
19740701 19740731    53.4
19740801 19740831    49.0
19740901 19740930    27.6
19741001 19741031    15.4
19741101 19741130    19.8
19741201 19741231     1.2
19750101 19750131     0.0
19750201 19750228     1.1
19750301 19750331    11.8
19750401 19750430    66.7
19750501 19750531    35.0
19750601 19750630    31.8
19750701 19750731    47.3
19750801 19750831    34.4
19750901 19750930    33.6
19751001 19751031    48.4
19751101 19751130     4.0
19751201 19751231    39.8
19760101 19760131     4.3
19760201 19760229     6.4
19760301 19760331     2.0
19760401 19760430    37.7
19760501 19760531    15.6
19760601 19760630    16.6
19760701 19760731    14.5
19760801 19760831    33.4
19760901 19760930    15.0
19761001 19761031    32.5
19761101 19761130    16.1
19761201 19761231     0.0
19770101 19770131     0.0
19770201 19770228     1.8
19770301 19770331     7.7
19770401 19770430    16.0
19770501 19770531    34.9
19770601 19770630    35.4
19770701 19770731    11.4
19770801 19770831    44.9
19770901 19770930     5.0
19771001 19771031    23.6
19771101 19771130    10.4
19771201 19771231    21.8
19780101 19780131    45.8
19780201 19780228    82.4
19780301 19780331     0.0
19780401 19780430    17.0
19780501 19780531    10.8
19780601 19780630    26.0
19780701 19780731    66.3
19780801 19780831    19.6
19780901 19780930    25.2
19781001 19781031     9.0
19781101 19781130    11.2
19781201 19781231    45.2
19790101 19790131     5.2
19790201 19790228    21.6
19790301 19790331    14.1
19790401 19790430    10.6
19790501 19790531    19.2
19790601 19790630    38.6
19790701 19790731    23.7
19790801 19790831    47.6
19790901 19790930    11.6
19791001 19791031     0.0
19791101 19791130    19.3
19791201 19791231     0.0
19800101 19800131    10.8
19800201 19800229    10.0
19800301 19800331     0.0
19800401 19800430    19.6
19800501 19800531    25.9
19800601 19800630    44.8
19800701 19800731    31.3
19800801 19800831    17.5
19800901 19800930     4.0
19801001 19801031    16.4
19801101 19801130     2.6
19801201 19801231     2.0
19810101 19810131     3.0
19810201 19810228    20.4
19810301 19810331    10.0
19810401 19810430     9.8
19810501 19810531   100.2
19810601 19810630    41.0
19810701 19810731    35.4
19810801 19810831    54.2
19810901 19810930     7.6
19811001 19811031    21.2
19811101 19811130    43.6
19811201 19811231    11.4
19820101 19820131    30.0
19820201 19820228     0.0
19820301 19820331    13.6
19820401 19820430     0.1
19820501 19820531    31.2
19820601 19820630    49.0
19820701 19820731    19.6
19820801 19820831    54.2
19820901 19820930    31.0
19821001 19821031    29.6
19821101 19821130    15.1
19821201 19821231    33.8
19830101 19830131     9.8
19830201 19830228     5.2
19830301 19830331    11.4
19830401 19830430     2.4
