PRCP       010112 19070101 20180131 missing_value=99999.9 NUNGARIN POST OFFICE                      
20030101 20030131     0.0
20030201 20030228    57.0
20030301 20030331    25.6
20030401 20030430    45.6
20030501 20030531    61.5
20030601 20030630    29.7
20030701 20030731    40.6
20030801 20030831    75.4
20030901 20030930    23.8
20031001 20031031     6.4
20031101 20031130    11.0
20031201 20031231    11.8
20040101 20040131    11.4
20040201 20040229     8.0
20040301 20040331     4.4
20040401 20040430     9.2
20040501 20040531    35.4
20040601 20040630    83.2
20040701 20040731    52.7
20040801 20040831    39.2
20040901 20040930    12.6
20041001 20041031    16.8
20041101 20041130     8.3
20041201 20041231     1.2
20050101 20050131     0.0
20050201 20050228     2.0
20050301 20050331    42.8
20050401 20050430    17.6
20050501 20050531    72.2
20050601 20050630    64.8
20050701 20050731    10.6
20050801 20050831    46.0
20050901 20050930    29.6
20051001 20051031     5.6
20051101 20051130     5.4
20051201 20051231     0.6
20060101 20060131   104.0
20060201 20060228    12.0
20060301 20060331    24.4
20060401 20060430    39.2
20060501 20060531    48.2
20060601 20060630     7.8
20060701 20060731    23.2
20060801 20060831    24.0
20060901 20060930    65.8
20061001 20061031    12.8
20061101 20061130    16.2
20061201 20061231    13.0
20070101 20070131    14.6
20070201 20070228     1.6
20070301 20070331     0.0
20070401 20070430    21.0
20070501 20070531    14.6
20070601 20070630    20.0
20070701 20070731    49.4
20070801 20070831    22.6
20070901 20070930    18.6
20071001 20071031    17.0
20071101 20071130     0.0
20071201 20071231    24.8
20080101 20080131     2.6
20080201 20080229    43.0
20080301 20080331     1.4
20080401 20080430    31.0
20080501 20080531     9.8
20080601 20080630    24.2
20080701 20080731    75.8
20080801 20080831    21.8
20080901 20080930    52.4
20081001 20081031    36.4
20081101 20081130    13.4
20081201 20081231     0.2
20090101 20090131     5.0
20090201 20090228    35.4
20090301 20090331    53.8
20090401 20090430     4.6
20090501 20090531    20.6
20090601 20090630    35.6
20090701 20090731    52.2
20090801 20090831    40.5
20090901 20090930    24.1
20091001 20091031    11.4
20091101 20091130    37.5
20091201 20091231     5.7
20100101 20100131     8.4
20100201 20100228     9.8
20100301 20100331    10.4
20100401 20100430     0.0
20100501 20100531    25.2
20100601 20100630    18.8
20100701 20100731    40.8
20100801 20100831    21.0
20100901 20100930    11.0
20101001 20101031     0.2
20101101 20101130     8.2
20101201 20101231    13.0
20110101 20110131    38.6
20110201 20110228   154.6
20110301 20110331    42.2
20110401 20110430     7.0
20110501 20110531    51.4
20110601 20110630    34.4
20110701 20110731    55.4
20110801 20110831    38.2
20110901 20110930    25.6
20111001 20111031    55.4
20111101 20111130     7.8
20111201 20111231    82.6
20120101 20120131    20.8
20120201 20120229     5.7
20120301 20120331     7.6
20120401 20120430     2.0
20120501 20120531    16.4
20120601 20120630    48.6
20120701 20120731    13.4
20120801 20120831    23.0
20120901 20120930    21.9
20121001 20121031    11.6
20121101 20121130    94.8
20121201 20121231    35.4
20130101 20130131    51.0
20130201 20130228     7.4
20130301 20130331    48.8
20130401 20130430     9.4
20130501 20130531    34.4
20130601 20130630     9.2
20130701 20130731    53.2
20130801 20130831    35.2
20130901 20130930    29.9
20131001 20131031    24.4
20131101 20131130    28.0
20131201 20131231     0.0
20140101 20140131     8.0
20140201 20140228    18.4
20140301 20140331     3.2
20140401 20140430    32.0
20140501 20140531    41.2
20140601 20140630    14.1
20140701 20140731    44.8
20140801 20140831     7.2
20140901 20140930    26.9
20141001 20141031    29.4
20141101 20141130    25.0
20141201 20141231     7.8
20150101 20150131 99999.9
20150201 20150228     1.2
20150301 20150331    33.8
20150401 20150430    27.3
20150501 20150531     8.2
20150601 20150630    36.2
20150701 20150731    59.1
20150801 20150831    58.6
20150901 20150930     1.8
20151001 20151031    10.3
20151101 20151130    17.3
20151201 20151231     3.7
20160101 20160131    67.1
20160201 20160229     3.9
20160301 20160331    43.5
20160401 20160430    69.3
20160501 20160531    49.6
20160601 20160630    27.9
20160701 20160731    37.1
20160801 20160831    30.7
20160901 20160930    12.6
20161001 20161031    10.0
20161101 20161130     0.0
20161201 20161231    14.7
20170101 20170131    65.9
20170201 20170228    51.4
20170301 20170331    19.1
20170401 20170430     9.3
20170501 20170531    14.9
20170601 20170630    27.0
20170701 20170731    33.6
20170801 20170831    46.1
20170901 20170930    15.6
20171001 20171031    21.5
20171101 20171130     8.8
20171201 20171231     6.0
20180101 20180131    21.8
