PRCP       079036 19061101 20180131 missing_value=99999.9 NATIMUK                                   
19281001 19281031    80.8
19281101 19281130     5.1
19281201 19281231     5.6
19290101 19290131    19.4
19290201 19290228     7.6
19290301 19290331    48.7
19290401 19290430    35.2
19290501 19290531    31.0
19290601 19290630    57.5
19290701 19290731    37.7
19290801 19290831    49.5
19290901 19290930    20.8
19291001 19291031    26.7
19291101 19291130    13.2
19291201 19291231    66.4
19300101 19300131     0.0
19300201 19300228    38.2
19300301 19300331     2.0
19300401 19300430    31.7
19300501 19300531    20.9
19300601 19300630     4.4
19300701 19300731    57.3
19300801 19300831    71.4
19300901 19300930    39.1
19301001 19301031    72.4
19301101 19301130    53.1
19301201 19301231   116.5
19310101 19310131     8.0
19310201 19310228     0.0
19310301 19310331    22.9
19310401 19310430    94.1
19310501 19310531    45.1
19310601 19310630    88.4
19310701 19310731    44.9
19310801 19310831    48.9
19310901 19310930    27.5
19311001 19311031     9.4
19311101 19311130    35.0
19311201 19311231     5.1
19320101 19320131     0.0
19320201 19320229    61.5
19320301 19320331    46.8
19320401 19320430    45.1
19320501 19320531    24.9
19320601 19320630    38.6
19320701 19320731    58.0
19320801 19320831    61.8
19320901 19320930    26.3
19321001 19321031    32.7
19321101 19321130    18.2
19321201 19321231    28.9
19330101 19330131    86.2
19330201 19330228     0.8
19330301 19330331    26.2
19330401 19330430    25.2
19330501 19330531    69.0
19330601 19330630    34.4
19330701 19330731    26.9
19330801 19330831    48.4
19330901 19330930    65.3
19331001 19331031    27.4
19331101 19331130    57.3
19331201 19331231    53.6
19340101 19340131     7.4
19340201 19340228     8.9
19340301 19340331    11.7
19340401 19340430    46.7
19340501 19340531     0.0
19340601 19340630    14.8
19340701 19340731    40.7
19340801 19340831    37.5
19340901 19340930    57.8
19341001 19341031   106.1
19341101 19341130    77.1
19341201 19341231     5.4
19350101 19350131    10.9
19350201 19350228     2.7
19350301 19350331    31.3
19350401 19350430    27.9
19350501 19350531    25.2
19350601 19350630    56.1
19350701 19350731    58.9
19350801 19350831    61.6
19350901 19350930    55.8
19351001 19351031    26.9
19351101 19351130    18.6
19351201 19351231    20.8
19360101 19360131    58.9
19360201 19360229     2.3
19360301 19360331     9.9
19360401 19360430     6.5
19360501 19360531    57.0
19360601 19360630    60.6
19360701 19360731   136.3
19360801 19360831    64.9
19360901 19360930    22.3
19361001 19361031    49.0
19361101 19361130    12.3
19361201 19361231    47.6
19370101 19370131    61.6
19370201 19370228    48.9
19370301 19370331    26.1
19370401 19370430     9.8
19370501 19370531    30.4
19370601 19370630    53.4
19370701 19370731    21.8
19370801 19370831    50.7
19370901 19370930    37.6
19371001 19371031    56.0
19371101 19371130     6.8
19371201 19371231    97.3
19380101 19380131    18.8
19380201 19380228    17.1
19380301 19380331     3.3
19380401 19380430    42.6
19380501 19380531     9.2
19380601 19380630    58.2
19380701 19380731    38.8
19380801 19380831    11.3
19380901 19380930    12.3
19381001 19381031     8.2
19381101 19381130    14.7
19381201 19381231     3.7
19390101 19390131    46.8
19390201 19390228    31.1
19390301 19390331     3.0
19390401 19390430    58.7
19390501 19390531    57.4
19390601 19390630    49.4
19390701 19390731    21.4
19390801 19390831    92.0
19390901 19390930    20.9
19391001 19391031    20.4
19391101 19391130    72.3
19391201 19391231     6.9
19400101 19400131    14.9
19400201 19400229     2.8
19400301 19400331     5.6
19400401 19400430    67.9
19400501 19400531    32.6
19400601 19400630    11.6
19400701 19400731    36.6
19400801 19400831    13.3
19400901 19400930    19.2
19401001 19401031    19.4
19401101 19401130    77.3
19401201 19401231    23.9
19410101 19410131   164.3
19410201 19410228    12.2
19410301 19410331    34.2
19410401 19410430    39.2
19410501 19410531     7.7
19410601 19410630    42.3
19410701 19410731    76.9
19410801 19410831    26.1
19410901 19410930    93.9
19411001 19411031    30.1
19411101 19411130    16.5
19411201 19411231    10.5
19420101 19420131    17.3
19420201 19420228    23.6
19420301 19420331     9.2
19420401 19420430    30.9
19420501 19420531    69.6
19420601 19420630    70.6
19420701 19420731    58.4
19420801 19420831    69.2
19420901 19420930    66.3
19421001 19421031    54.3
19421101 19421130    75.0
19421201 19421231    14.0
19430101 19430131    16.7
19430201 19430228    33.8
19430301 19430331     5.3
19430401 19430430    24.9
19430501 19430531    16.5
19430601 19430630    42.1
19430701 19430731    41.5
19430801 19430831    54.7
19430901 19430930    61.0
19431001 19431031    22.8
19431101 19431130     8.2
19431201 19431231    15.8
19440101 19440131    16.5
19440201 19440229    13.7
19440301 19440331     4.4
19440401 19440430    35.9
19440501 19440531    42.8
19440601 19440630     5.4
19440701 19440731    26.8
19440801 19440831     2.1
19440901 19440930    14.3
19441001 19441031    43.9
19441101 19441130    15.8
19441201 19441231    33.2
19450101 19450131    16.2
19450201 19450228    60.9
19450301 19450331     0.0
19450401 19450430     3.3
19450501 19450531    29.5
19450601 19450630    62.0
19450701 19450731    31.9
19450801 19450831    66.7
19450901 19450930    25.3
19451001 19451031    34.7
19451101 19451130    38.1
19451201 19451231    22.2
19460101 19460131    47.5
19460201 19460228   100.5
19460301 19460331   100.8
19460401 19460430    22.2
19460501 19460531    21.4
19460601 19460630    57.4
19460701 19460731    73.3
19460801 19460831    35.8
19460901 19460930    30.5
19461001 19461031    14.0
19461101 19461130    18.8
19461201 19461231    81.0
19470101 19470131     9.7
19470201 19470228    17.1
19470301 19470331    85.1
19470401 19470430    30.0
19470501 19470531     5.1
19470601 19470630    50.0
19470701 19470731    82.0
19470801 19470831    46.3
19470901 19470930    49.7
19471001 19471031    72.5
19471101 19471130    61.6
19471201 19471231    72.7
19480101 19480131     8.4
19480201 19480229    16.5
19480301 19480331     1.0
19480401 19480430    87.3
19480501 19480531    49.4
19480601 19480630    63.0
19480701 19480731    41.0
19480801 19480831    40.7
19480901 19480930    32.4
19481001 19481031   110.3
19481101 19481130    52.0
19481201 19481231    97.6
19490101 19490131    21.4
19490201 19490228   109.2
19490301 19490331     8.7
19490401 19490430     2.1
19490501 19490531    49.1
19490601 19490630    20.1
19490701 19490731    43.8
19490801 19490831    20.8
19490901 19490930    36.4
19491001 19491031    81.8
19491101 19491130    89.8
19491201 19491231     2.0
19500101 19500131     2.5
19500201 19500228    51.0
19500301 19500331   120.1
19500401 19500430    11.7
19500501 19500531   108.8
19500601 19500630    13.5
19500701 19500731    28.5
19500801 19500831    28.7
19500901 19500930    49.3
19501001 19501031    26.8
19501101 19501130    18.1
19501201 19501231    36.1
19510101 19510131    17.8
19510201 19510228    64.1
19510301 19510331    10.5
19510401 19510430    36.7
19510501 19510531    74.1
19510601 19510630    71.5
19510701 19510731    50.2
19510801 19510831    55.0
19510901 19510930    24.2
19511001 19511031    72.3
19511101 19511130    18.5
19511201 19511231    16.6
19520101 19520131    74.7
19520201 19520229    30.5
19520301 19520331    38.1
19520401 19520430    21.5
19520501 19520531    66.8
19520601 19520630    66.2
19520701 19520731    20.8
19520801 19520831    35.2
19520901 19520930    32.5
19521001 19521031    41.0
19521101 19521130    51.1
19521201 19521231    32.1
19530101 19530131    42.7
19530201 19530228     2.3
19530301 19530331     5.8
19530401 19530430    24.5
19530501 19530531    20.6
19530601 19530630    75.9
19530701 19530731    67.2
19530801 19530831    72.6
19530901 19530930    45.1
19531001 19531031    51.1
19531101 19531130    54.1
19531201 19531231    31.0
19540101 19540131    35.0
19540201 19540228     0.0
19540301 19540331     6.1
19540401 19540430    87.9
19540501 19540531    16.0
19540601 19540630    28.1
19540701 19540731    40.2
19540801 19540831    44.5
19540901 19540930    22.1
19541001 19541031    44.1
19541101 19541130    42.0
19541201 19541231    50.3
19550101 19550131     2.6
19550201 19550228    22.6
19550301 19550331    18.9
19550401 19550430    23.2
19550501 19550531    42.2
19550601 19550630   107.5
19550701 19550731    55.9
19550801 19550831   111.3
19550901 19550930    41.7
19551001 19551031    82.4
19551101 19551130    22.7
19551201 19551231    11.6
19560101 19560131    19.6
19560201 19560229     0.5
19560301 19560331    46.5
19560401 19560430    64.4
19560501 19560531    90.9
19560601 19560630    81.9
19560701 19560731    85.1
19560801 19560831    64.6
19560901 19560930    52.9
19561001 19561031    45.1
19561101 19561130    20.8
19561201 19561231    10.7
19570101 19570131     2.8
19570201 19570228   126.7
19570301 19570331    10.3
19570401 19570430    16.8
19570501 19570531    22.7
19570601 19570630    39.2
19570701 19570731    35.6
19570801 19570831    46.9
19570901 19570930    20.7
19571001 19571031    38.6
19571101 19571130    24.1
19571201 19571231    10.6
19580101 19580131     1.3
19580201 19580228     4.8
19580301 19580331     6.0
19580401 19580430    10.1
19580501 19580531    86.9
19580601 19580630     6.4
19580701 19580731    64.2
19580801 19580831    73.7
19580901 19580930    34.1
19581001 19581031    87.6
19581101 19581130    34.4
19581201 19581231     4.9
19590101 19590131    27.5
19590201 19590228    37.0
19590301 19590331    32.6
19590401 19590430    55.1
19590501 19590531     6.6
19590601 19590630    20.6
19590701 19590731    11.8
19590801 19590831    70.2
19590901 19590930    27.6
19591001 19591031    28.0
19591101 19591130    26.3
19591201 19591231    53.4
19600101 19600131    26.0
19600201 19600229    36.6
19600301 19600331    24.6
19600401 19600430    52.9
19600501 19600531    95.3
19600601 19600630    27.6
19600701 19600731    40.8
19600801 19600831    56.9
19600901 19600930    88.0
19601001 19601031    20.2
19601101 19601130    55.2
19601201 19601231    14.2
19610101 19610131     5.1
19610201 19610228    19.6
19610301 19610331    39.9
19610401 19610430    51.5
19610501 19610531    15.6
19610601 19610630    25.7
19610701 19610731    44.8
19610801 19610831    18.1
19610901 19610930    32.3
19611001 19611031    30.0
19611101 19611130    28.7
19611201 19611231    46.2
19620101 19620131     6.5
19620201 19620228    13.2
19620301 19620331    29.7
19620401 19620430     6.9
19620501 19620531    49.3
19620601 19620630    73.6
19620701 19620731    24.4
19620801 19620831    57.0
19620901 19620930    78.4
19621001 19621031    67.8
19621101 19621130    27.2
19621201 19621231    33.6
19630101 19630131    60.9
19630201 19630228    14.2
19630301 19630331    25.2
19630401 19630430     3.4
19630501 19630531    51.5
19630601 19630630    57.1
19630701 19630731    65.9
19630801 19630831    59.4
19630901 19630930    50.1
19631001 19631031    12.0
19631101 19631130     1.6
19631201 19631231     3.8
19640101 19640131     6.9
19640201 19640229    26.0
19640301 19640331    11.0
19640401 19640430    62.6
19640501 19640531    20.2
19640601 19640630    62.3
19640701 19640731   118.5
19640801 19640831    62.9
19640901 19640930    96.5
19641001 19641031    63.2
19641101 19641130    91.3
19641201 19641231    25.3
19650101 19650131     2.3
19650201 19650228     1.0
19650301 19650331     7.2
19650401 19650430    22.5
19650501 19650531    74.2
19650601 19650630    25.3
19650701 19650731    76.4
19650801 19650831    58.8
19650901 19650930    21.8
19651001 19651031    14.3
19651101 19651130    34.9
19651201 19651231    41.7
19660101 19660131    11.5
19660201 19660228    52.6
19660301 19660331    22.3
19660401 19660430     8.0
19660501 19660531    19.0
19660601 19660630    29.3
19660701 19660731    58.9
19660801 19660831    28.9
19660901 19660930    56.9
19661001 19661031    45.9
19661101 19661130    18.2
19661201 19661231    42.2
19670101 19670131     5.3
19670201 19670228    24.7
19670301 19670331     3.4
19670401 19670430     4.9
19670501 19670531    23.4
19670601 19670630     7.3
19670701 19670731    48.7
19670801 19670831    36.0
19670901 19670930    14.1
19671001 19671031     6.2
19671101 19671130     6.1
19671201 19671231    26.0
19680101 19680131    28.9
19680201 19680229    11.5
19680301 19680331    26.0
19680401 19680430    39.8
19680501 19680531    53.6
19680601 19680630    49.6
19680701 19680731    41.8
19680801 19680831    59.8
19680901 19680930    16.4
19681001 19681031    56.9
19681101 19681130    50.5
19681201 19681231     8.4
19690101 19690131    16.0
19690201 19690228    33.1
19690301 19690331    47.6
19690401 19690430    19.5
19690501 19690531    52.8
19690601 19690630     7.3
19690701 19690731    53.1
19690801 19690831    70.9
19690901 19690930    36.0
19691001 19691031    16.0
19691101 19691130    16.2
19691201 19691231    24.4
19700101 19700131    14.4
19700201 19700228     1.3
19700301 19700331    17.3
19700401 19700430    91.5
19700501 19700531    30.6
19700601 19700630    33.2
19700701 19700731    29.7
19700801 19700831    49.5
19700901 19700930    33.2
19701001 19701031    23.4
19701101 19701130    67.7
19701201 19701231    26.7
19710101 19710131     6.4
19710201 19710228    25.1
19710301 19710331    17.8
19710401 19710430   106.9
19710501 19710531    55.6
19710601 19710630    50.1
19710701 19710731    17.7
19710801 19710831    46.7
19710901 19710930    41.9
19711001 19711031    44.8
19711101 19711130    53.9
19711201 19711231    42.4
19720101 19720131    44.1
19720201 19720229    55.7
19720301 19720331    17.1
19720401 19720430    35.8
19720501 19720531    13.4
19720601 19720630    18.4
19720701 19720731    53.2
19720801 19720831    49.2
19720901 19720930    12.8
19721001 19721031    12.3
19721101 19721130    39.0
19721201 19721231     0.0
19730101 19730131    55.4
19730201 19730228    75.4
19730301 19730331    29.8
19730401 19730430    21.3
19730501 19730531    79.7
19730601 19730630    57.3
19730701 19730731    61.7
19730801 19730831    60.5
19730901 19730930    57.4
19731001 19731031    97.8
19731101 19731130    23.1
19731201 19731231    19.9
19740101 19740131   101.0
19740201 19740228    34.2
19740301 19740331    48.6
19740401 19740430    92.2
19740501 19740531    66.5
19740601 19740630    13.6
19740701 19740731    62.4
19740801 19740831    52.1
19740901 19740930    70.0
19741001 19741031    64.7
19741101 19741130     8.4
19741201 19741231    13.8
19750101 19750131    36.2
19750201 19750228     0.2
19750301 19750331    27.6
19750401 19750430    15.5
19750501 19750531    43.4
19750601 19750630    17.0
19750701 19750731    54.8
19750801 19750831    31.0
19750901 19750930    59.6
19751001 19751031   179.6
19751101 19751130    31.4
19751201 19751231    22.6
19760101 19760131    18.4
19760201 19760229     9.4
19760301 19760331    17.2
19760401 19760430    18.8
19760501 19760531    14.4
19760601 19760630    25.4
19760701 19760731    25.4
19760801 19760831    32.9
19760901 19760930    39.6
19761001 19761031    25.2
19761101 19761130    71.2
19761201 19761231    21.0
19770101 19770131    26.2
19770201 19770228    25.2
19770301 19770331    20.9
19770401 19770430     9.7
19770501 19770531    56.6
19770601 19770630    51.5
19770701 19770731    17.6
19770801 19770831    16.1
19770901 19770930    13.2
19771001 19771031    22.2
19771101 19771130    43.8
19771201 19771231     9.6
19780101 19780131     8.4
19780201 19780228     6.8
19780301 19780331    18.2
19780401 19780430    26.3
19780501 19780531    41.6
19780601 19780630    49.0
19780701 19780731    58.3
19780801 19780831    43.4
19780901 19780930    84.0
19781001 19781031    70.0
19781101 19781130    46.4
19781201 19781231    17.4
19790101 19790131    86.8
19790201 19790228    14.2
19790301 19790331     0.8
19790401 19790430    25.0
19790501 19790531    46.8
19790601 19790630    17.0
19790701 19790731    26.2
19790801 19790831    76.8
19790901 19790930    93.8
19791001 19791031    66.4
19791101 19791130    55.2
19791201 19791231     9.0
19800101 19800131     4.2
19800201 19800229     0.0
19800301 19800331     4.4
19800401 19800430    88.0
19800501 19800531    38.2
19800601 19800630    56.0
19800701 19800731    62.0
19800801 19800831    46.4
19800901 19800930    24.8
19801001 19801031    84.6
19801101 19801130    19.2
19801201 19801231    12.0
19810101 19810131    28.6
19810201 19810228    15.4
19810301 19810331     5.4
19810401 19810430     3.4
19810501 19810531    57.8
19810601 19810630   102.4
19810701 19810731   107.2
19810801 19810831   121.2
19810901 19810930    20.0
19811001 19811031    34.0
19811101 19811130    33.2
19811201 19811231     5.8
19820101 19820131    27.6
19820201 19820228     6.2
19820301 19820331    21.6
19820401 19820430    18.6
19820501 19820531    26.7
19820601 19820630    32.4
19820701 19820731     6.8
19820801 19820831    11.8
19820901 19820930    15.2
19821001 19821031     8.0
19821101 19821130     5.0
19821201 19821231     3.2
19830101 19830131     7.6
19830201 19830228     8.8
19830301 19830331    71.2
19830401 19830430    46.6
19830501 19830531    50.6
19830601 19830630    24.0
19830701 19830731    60.6
19830801 19830831    69.5
19830901 19830930    59.5
19831001 19831031    32.2
19831101 19831130    68.4
19831201 19831231     8.6
19840101 19840131    48.7
19840201 19840229     4.0
19840301 19840331    57.6
19840401 19840430    12.6
19840501 19840531    16.9
19840601 19840630    15.8
19840701 19840731    53.2
19840801 19840831    75.2
19840901 19840930    63.4
19841001 19841031     6.2
19841101 19841130    43.2
19841201 19841231     3.6
19850101 19850131    10.4
19850201 19850228     0.6
19850301 19850331    18.8
19850401 19850430    11.2
19850501 19850531    37.4
19850601 19850630    28.6
19850701 19850731    19.4
19850801 19850831    75.8
19850901 19850930    14.2
19851001 19851031    64.0
19851101 19851130    24.8
19851201 19851231    58.8
19860101 19860131     4.6
19860201 19860228     0.6
19860301 19860331     1.0
19860401 19860430    34.4
19860501 19860531    58.2
19860601 19860630    19.6
19860701 19860731   110.6
19860801 19860831    45.6
19860901 19860930    53.8
19861001 19861031    96.2
19861101 19861130    16.6
19861201 19861231    54.0
19870101 19870131    19.8
19870201 19870228    43.4
19870301 19870331    12.2
19870401 19870430    14.4
19870501 19870531    90.2
19870601 19870630    52.4
19870701 19870731    53.0
19870801 19870831    20.6
19870901 19870930     8.4
19871001 19871031    47.8
19871101 19871130    16.0
19871201 19871231    77.5
19880101 19880131    47.0
