PRCP       003030 18910101 20180131 missing_value=99999.9 BIDYADANGA                                
19121201 19121231     6.4
19130101 19130131    48.5
19130201 19130228    31.8
19130301 19130331   199.5
19130401 19130430     2.5
19130501 19130531     0.5
19130601 19130630     1.6
19130701 19130731     0.3
19130801 19130831     0.0
19130901 19130930     0.3
19131001 19131031     0.0
19131101 19131130     0.0
19131201 19131231    10.5
19140101 19140131   194.8
19140201 19140228   101.8
19140301 19140331    65.9
19140401 19140430    13.0
19140501 19140531    59.4
19140601 19140630     0.0
19140701 19140731     0.0
19140801 19140831     0.0
19140901 19140930     0.0
19141001 19141031     0.6
19141101 19141130    11.4
19141201 19141231   147.2
19150101 19150131   167.9
19150201 19150228    97.8
19150301 19150331    76.9
19150401 19150430     0.0
19150501 19150531   116.9
19150601 19150630    92.0
19150701 19150731     0.0
19150801 19150831     0.0
19150901 19150930     0.0
19151001 19151031     0.0
19151101 19151130     0.6
19151201 19151231    17.8
19160101 19160131    10.5
19160201 19160229    43.4
19160301 19160331   362.9
19160401 19160430     0.0
19160501 19160531     0.0
19160601 19160630    15.7
19160701 19160731     0.0
19160801 19160831     0.0
19160901 19160930     0.0
19161001 19161031    18.1
19161101 19161130     2.3
19161201 19161231    28.7
19170101 19170131   329.5
19170201 19170228     4.8
19170301 19170331    21.1
19170401 19170430    27.1
19170501 19170531     2.4
19170601 19170630     4.1
19170701 19170731     1.4
19170801 19170831     0.0
19170901 19170930     0.3
19171001 19171031     0.0
19171101 19171130     0.0
19171201 19171231   130.7
19180101 19180131   165.0
19180201 19180228   345.4
19180301 19180331     3.6
19180401 19180430     0.0
19180501 19180531     0.3
19180601 19180630     0.0
19180701 19180731    50.8
19180801 19180831     0.0
19180901 19180930     0.0
19181001 19181031     0.0
19181101 19181130     0.0
19181201 19181231   151.7
19190101 19190131    13.2
19190201 19190228   183.3
19190301 19190331     5.0
19190401 19190430   106.9
19190501 19190531     0.0
19190601 19190630     0.0
19190701 19190731     0.0
19190801 19190831    42.4
19190901 19190930     0.0
19191001 19191031     0.0
19191101 19191130     0.8
19191201 19191231    81.4
19200101 19200131    47.3
19200201 19200229    28.2
19200301 19200331    54.6
19200401 19200430    92.7
19200501 19200531     0.0
19200601 19200630    19.1
19200701 19200731     7.1
19200801 19200831     3.0
19200901 19200930    21.8
19201001 19201031     0.0
19201101 19201130    13.5
19201201 19201231    49.5
19210101 19210131     4.1
19210201 19210228   152.7
19210301 19210331   171.2
19210401 19210430     0.0
19210501 19210531    60.2
19210601 19210630    16.8
19210701 19210731     0.0
19210801 19210831     0.6
19210901 19210930     0.0
19211001 19211031     5.1
19211101 19211130     0.0
19211201 19211231     0.0
19220101 19220131    16.8
19220201 19220228   218.0
19220301 19220331     7.3
19220401 19220430     4.1
19220501 19220531   129.0
19220601 19220630    14.0
19220701 19220731     0.0
19220801 19220831     0.0
19220901 19220930     0.0
19221001 19221031     0.5
19221101 19221130     1.3
19221201 19221231    29.2
19230101 19230131   132.9
19230201 19230228    17.2
19230301 19230331   156.1
19230401 19230430    19.1
19230501 19230531    21.1
19230601 19230630    90.7
19230701 19230731     1.3
19230801 19230831     0.0
19230901 19230930     0.0
19231001 19231031     0.0
19231101 19231130     0.0
19231201 19231231     0.0
19240101 19240131    55.1
19240201 19240229     0.0
19240301 19240331     0.0
19240401 19240430     0.3
19240501 19240531     0.0
19240601 19240630     0.0
19240701 19240731     0.0
19240801 19240831     0.0
19240901 19240930     0.0
19241001 19241031     0.5
19241101 19241130     0.0
19241201 19241231     0.0
19250101 19250131   259.9
19250201 19250228    97.3
19250301 19250331   102.9
19250401 19250430     0.0
19250501 19250531     0.0
19250601 19250630     0.0
19250701 19250731    15.5
19250801 19250831     0.0
19250901 19250930     0.0
19251001 19251031     0.0
19251101 19251130     0.0
19251201 19251231    42.8
19260101 19260131   175.8
19260201 19260228   110.5
19260301 19260331    74.2
19260401 19260430   207.7
19260501 19260531    92.2
19260601 19260630     0.0
19260701 19260731     0.0
19260801 19260831     0.0
19260901 19260930     0.0
19261001 19261031     0.0
19261101 19261130     0.0
19261201 19261231   386.1
19270101 19270131   221.0
19270201 19270228   252.9
19270301 19270331   279.2
19270401 19270430     0.0
19270501 19270531     1.3
19270601 19270630    64.8
19270701 19270731     0.0
19270801 19270831     0.0
19270901 19270930     0.0
19271001 19271031     0.0
19271101 19271130     5.6
19271201 19271231    11.1
19280101 19280131    84.5
19280201 19280229    31.4
19280301 19280331    58.4
19280401 19280430     0.0
19280501 19280531     0.0
19280601 19280630     0.0
19280701 19280731     1.3
19280801 19280831     0.0
19280901 19280930     0.0
19281001 19281031     0.0
19281101 19281130     0.0
19281201 19281231   128.5
19290101 19290131    12.5
19290201 19290228   103.9
19290301 19290331   116.3
19290401 19290430     0.0
19290501 19290531     0.0
19290601 19290630    16.0
19290701 19290731     0.0
19290801 19290831     1.8
19290901 19290930     0.0
19291001 19291031     0.0
19291101 19291130     0.0
19291201 19291231     0.0
19300101 19300131    16.7
19300201 19300228   137.1
19300301 19300331     7.8
19300401 19300430     3.8
19300501 19300531     1.3
19300601 19300630     0.0
19300701 19300731     0.0
19300801 19300831    24.2
19300901 19300930     0.0
19301001 19301031     0.0
19301101 19301130     0.0
19301201 19301231   198.8
19310101 19310131   495.5
19310201 19310228     0.0
19310301 19310331    49.0
19310401 19310430     4.4
19310501 19310531    95.3
19310601 19310630     2.5
19310701 19310731     0.0
19310801 19310831     0.0
19310901 19310930     0.0
19311001 19311031     1.0
19311101 19311130     0.0
19311201 19311231     0.0
19320101 19320131   157.7
19320201 19320229   323.0
19320301 19320331   130.6
19320401 19320430     0.0
19320501 19320531    20.3
19320601 19320630    14.5
19320701 19320731     0.0
19320801 19320831     0.3
19320901 19320930     0.0
19321001 19321031     0.0
19321101 19321130     0.0
19321201 19321231     3.0
19330101 19330131     7.6
19330201 19330228     3.3
19330301 19330331   156.5
19330401 19330430    22.1
19330501 19330531   110.7
19330601 19330630     0.0
19330701 19330731     7.4
19330801 19330831    14.9
19330901 19330930     0.0
19331001 19331031     0.0
19331101 19331130     1.5
19331201 19331231    26.4
19340101 19340131    41.7
19340201 19340228    76.1
19340301 19340331   493.2
19340401 19340430   107.5
19340501 19340531    26.6
19340601 19340630    13.0
19340701 19340731     2.0
19340801 19340831     0.0
19340901 19340930     0.0
19341001 19341031     0.0
19341101 19341130     0.0
19341201 19341231    48.5
19350101 19350131    72.9
19350201 19350228    10.2
19350301 19350331   380.0
19350401 19350430     0.0
19350501 19350531     0.0
19350601 19350630     0.0
19350701 19350731     5.8
19350801 19350831     0.0
19350901 19350930     0.0
19351001 19351031     0.0
19351101 19351130     0.0
19351201 19351231     2.8
19360101 19360131   205.7
19360201 19360229    66.8
19360301 19360331     0.0
19360401 19360430     5.1
19360501 19360531     0.0
19360601 19360630     0.0
19360701 19360731     3.6
19360801 19360831     0.0
19360901 19360930     0.0
19361001 19361031     0.0
19361101 19361130     1.0
19361201 19361231    20.6
19370101 19370131   177.6
19370201 19370228    11.2
19370301 19370331    30.1
19370401 19370430     0.0
19370501 19370531     0.0
19370601 19370630     9.2
19370701 19370731     0.0
19370801 19370831     0.0
19370901 19370930     0.0
19371001 19371031     0.0
19371101 19371130     0.8
19371201 19371231     6.9
19380101 19380131   168.6
19380201 19380228    14.5
19380301 19380331     1.8
19380401 19380430     0.0
19380501 19380531     0.0
19380601 19380630    64.5
19380701 19380731     0.8
19380801 19380831     0.0
19380901 19380930     0.0
19381001 19381031     0.0
19381101 19381130    32.2
19381201 19381231    85.6
19390101 19390131   114.5
19390201 19390228   123.9
19390301 19390331    15.2
19390401 19390430     0.0
19390501 19390531     2.5
19390601 19390630    17.2
19390701 19390731     0.0
19390801 19390831     0.0
19390901 19390930     0.0
19391001 19391031     0.0
19391101 19391130     0.0
19391201 19391231     0.0
19400101 19400131   192.9
19400201 19400229    58.4
19400301 19400331   213.5
19400401 19400430    10.0
19400501 19400531     0.0
19400601 19400630     0.0
19400701 19400731     0.0
19400801 19400831     0.0
19400901 19400930     0.0
19401001 19401031     8.9
19401101 19401130     0.0
19401201 19401231    22.7
19410101 19410131    42.9
19410201 19410228    25.7
19410301 19410331    78.3
19410401 19410430    16.3
19410501 19410531    73.1
19410601 19410630    11.2
19410701 19410731     0.0
19410801 19410831     0.0
19410901 19410930     0.0
19411001 19411031     0.8
19411101 19411130     0.0
19411201 19411231    33.0
19420101 19420131   375.7
19420201 19420228   239.8
19420301 19420331   167.0
19420401 19420430     0.3
19420501 19420531    14.2
19420601 19420630    13.4
19420701 19420731     0.8
19420801 19420831     2.7
19420901 19420930     0.4
19421001 19421031     0.0
19421101 19421130     9.9
19421201 19421231   126.9
19430101 19430131    47.4
19430201 19430228    92.0
19430301 19430331   182.0
19430401 19430430   129.3
19430501 19430531     1.3
19430601 19430630     0.0
19430701 19430731     1.3
19430801 19430831     1.8
19430901 19430930     0.0
19431001 19431031     0.0
19431101 19431130    55.6
19431201 19431231    59.3
19440101 19440131    90.0
19440201 19440229    24.6
19440301 19440331    43.0
19440401 19440430     0.5
19440501 19440531     0.0
19440601 19440630     0.0
19440701 19440731     0.7
19440801 19440831     0.2
19440901 19440930     0.0
19441001 19441031     0.1
19441101 19441130     0.8
19441201 19441231    17.4
19450101 19450131    73.9
19450201 19450228    55.7
19450301 19450331    84.5
19450401 19450430     3.6
19450501 19450531     0.3
19450601 19450630    34.7
19450701 19450731     1.1
19450801 19450831     0.1
19450901 19450930     1.6
19451001 19451031     3.3
19451101 19451130     0.7
19451201 19451231    47.1
19460101 19460131   121.4
19460201 19460228   119.0
19460301 19460331     1.8
19460401 19460430     0.0
19460501 19460531     0.0
19460601 19460630     0.0
19460701 19460731     0.0
19460801 19460831     0.0
19460901 19460930     0.0
19461001 19461031     0.0
19461101 19461130     1.3
19461201 19461231    29.7
19470101 19470131    57.7
19470201 19470228   126.3
19470301 19470331   151.1
19470401 19470430    12.7
19470501 19470531     0.0
19470601 19470630     1.3
19470701 19470731     1.3
19470801 19470831    38.1
19470901 19470930     2.0
19471001 19471031     0.0
19471101 19471130     0.0
19471201 19471231    66.3
19480101 19480131    18.1
19480201 19480229   372.5
19480301 19480331   104.4
19480401 19480430    24.9
19480501 19480531     0.0
19480601 19480630     0.0
19480701 19480731     0.0
19480801 19480831     0.0
19480901 19480930     0.0
19481001 19481031     0.0
19481101 19481130     0.5
19481201 19481231    28.5
19490101 19490131    11.7
19490201 19490228   153.2
19490301 19490331    19.6
19490401 19490430     0.0
19490501 19490531    49.5
19490601 19490630    10.9
19490701 19490731     0.0
19490801 19490831     0.0
19490901 19490930     0.0
19491001 19491031     0.0
19491101 19491130     0.0
19491201 19491231   110.0
19500101 19500131    70.2
19500201 19500228    60.8
19500301 19500331     0.0
19500401 19500430    17.8
19500501 19500531   203.2
19500601 19500630    57.9
19500701 19500731     0.0
19500801 19500831     0.0
19500901 19500930     0.0
19501001 19501031     0.3
19501101 19501130     0.0
19501201 19501231    35.2
19510101 19510131    23.4
19510201 19510228    79.1
19510301 19510331    24.1
19510401 19510430     0.0
19510501 19510531     1.0
19510601 19510630    46.7
19510701 19510731     0.0
19510801 19510831     0.0
19510901 19510930     2.2
19511001 19511031     0.0
19511101 19511130     0.0
19511201 19511231     3.0
19520101 19520131    78.9
19520201 19520229    13.2
19520301 19520331     0.0
19520401 19520430     0.0
19520501 19520531    69.9
19520601 19520630     0.0
19520701 19520731     0.0
19520801 19520831     0.0
19520901 19520930     0.0
19521001 19521031     0.0
19521101 19521130     0.0
19521201 19521231     1.3
19530101 19530131    83.5
19530201 19530228     2.3
19530301 19530331    21.3
19530401 19530430    44.7
19530501 19530531    20.8
19530601 19530630     0.0
19530701 19530731    32.2
19530801 19530831     2.3
19530901 19530930     0.0
19531001 19531031     0.0
19531101 19531130     1.8
19531201 19531231     6.1
19540101 19540131   189.6
19540201 19540228     1.6
19540301 19540331     3.0
19540401 19540430   326.5
19540501 19540531     0.6
19540601 19540630    15.3
19540701 19540731    20.6
19540801 19540831     0.3
19540901 19540930     0.0
19541001 19541031     0.0
19541101 19541130     6.1
19541201 19541231    25.8
19550101 19550131   138.2
19550201 19550228   146.2
19550301 19550331    23.4
19550401 19550430    37.1
19550501 19550531     0.0
19550601 19550630    83.2
19550701 19550731    18.8
19550801 19550831     0.2
19550901 19550930     0.4
19551001 19551031     0.4
19551101 19551130    52.8
19551201 19551231    17.8
19560101 19560131    59.5
19560201 19560229   432.5
19560301 19560331    47.8
19560401 19560430     0.0
19560501 19560531    48.0
19560601 19560630    19.3
19560701 19560731    63.0
19560801 19560831     0.0
19560901 19560930     3.0
19561001 19561031     0.0
19561101 19561130     0.0
19561201 19561231     0.0
19570101 19570131    32.8
19570201 19570228   313.9
19570301 19570331    31.2
19570401 19570430     0.0
19570501 19570531    35.8
19570601 19570630    18.6
19570701 19570731    41.2
19570801 19570831     0.0
19570901 19570930     0.0
19571001 19571031     0.8
19571101 19571130     0.5
