PRCP       010041 19100101 20180131 missing_value=99999.9 DOONGIN PEAK                              
19311201 19311231    15.9
19320101 19320131     6.5
19320201 19320229     0.0
19320301 19320331    11.4
19320401 19320430    19.6
19320501 19320531    68.7
19320601 19320630    31.1
19320701 19320731    85.8
19320801 19320831   112.9
19320901 19320930    23.9
19321001 19321031    90.0
19321101 19321130     0.0
19321201 19321231     2.3
19330101 19330131     5.3
19330201 19330228     1.3
19330301 19330331     4.6
19330401 19330430     4.1
19330501 19330531    61.4
19330601 19330630    77.6
19330701 19330731    33.7
19330801 19330831    42.1
19330901 19330930    20.4
19331001 19331031    30.1
19331101 19331130     6.4
19331201 19331231     0.5
19340101 19340131    24.1
19340201 19340228     8.7
19340301 19340331    66.6
19340401 19340430    79.3
19340501 19340531    32.0
19340601 19340630    41.1
19340701 19340731    42.6
19340801 19340831    29.3
19340901 19340930    10.4
19341001 19341031     3.1
19341101 19341130    16.0
19341201 19341231     6.6
19350101 19350131    19.3
19350201 19350228     8.9
19350301 19350331     4.8
19350401 19350430    22.4
19350501 19350531    11.0
19350601 19350630    37.3
19350701 19350731    55.4
19350801 19350831    49.0
19350901 19350930    17.9
19351001 19351031    13.4
19351101 19351130     0.0
19351201 19351231     0.8
19360101 19360131     6.1
19360201 19360229     0.0
19360301 19360331     5.2
19360401 19360430     5.1
19360501 19360531    16.5
19360601 19360630    47.0
19360701 19360731    27.4
19360801 19360831    56.9
19360901 19360930    21.9
19361001 19361031     0.0
19361101 19361130     0.0
19361201 19361231    70.3
19370101 19370131     1.0
19370201 19370228     0.0
19370301 19370331     5.1
19370401 19370430    16.4
19370501 19370531    67.0
19370601 19370630    46.8
19370701 19370731    11.6
19370801 19370831    47.8
19370901 19370930     8.2
19371001 19371031     5.3
19371101 19371130    20.1
19371201 19371231     0.0
19380101 19380131     2.3
19380201 19380228     0.0
19380301 19380331    50.6
19380401 19380430    16.7
19380501 19380531    24.6
19380601 19380630    41.5
19380701 19380731    63.1
19380801 19380831    16.7
19380901 19380930    16.6
19381001 19381031    20.2
19381101 19381130     4.6
19381201 19381231     0.0
19390101 19390131    21.5
19390201 19390228   122.5
19390301 19390331     1.1
19390401 19390430    15.8
19390501 19390531    93.9
19390601 19390630    87.0
19390701 19390731    78.9
19390801 19390831    66.4
19390901 19390930     6.6
19391001 19391031    35.6
19391101 19391130    50.3
19391201 19391231     0.5
19400101 19400131     8.7
19400201 19400229     0.0
19400301 19400331     0.0
19400401 19400430     4.1
19400501 19400531    13.9
19400601 19400630    49.2
19400701 19400731    42.8
19400801 19400831     9.6
19400901 19400930    11.9
19401001 19401031    34.5
19401101 19401130     2.6
19401201 19401231    44.5
19410101 19410131     2.5
19410201 19410228     7.6
19410301 19410331     2.3
19410401 19410430    32.0
19410501 19410531    40.1
19410601 19410630    66.4
19410701 19410731    49.9
19410801 19410831    49.1
19410901 19410930    23.5
19411001 19411031   169.5
19411101 19411130    18.0
19411201 19411231     6.6
19420101 19420131     6.1
19420201 19420228     0.3
19420301 19420331    66.1
19420401 19420430     5.8
19420501 19420531    58.5
19420601 19420630    29.2
19420701 19420731    37.0
19420801 19420831    58.9
19420901 19420930    29.3
19421001 19421031    12.5
19421101 19421130     0.8
19421201 19421231    40.2
19430101 19430131    23.7
19430201 19430228    48.8
19430301 19430331    36.1
19430401 19430430    28.6
19430501 19430531    56.1
19430601 19430630    67.8
19430701 19430731    34.9
19430801 19430831    36.8
19430901 19430930    26.0
19431001 19431031     5.8
19431101 19431130     0.0
19431201 19431231     7.6
19440101 19440131     2.0
19440201 19440229     0.0
19440301 19440331     2.0
19440401 19440430    18.3
19440501 19440531    49.8
19440601 19440630    23.1
19440701 19440731    83.5
19440801 19440831    35.5
19440901 19440930    11.9
19441001 19441031     2.3
19441101 19441130     1.8
19441201 19441231     0.3
19450101 19450131     0.0
19450201 19450228     3.4
19450301 19450331    22.0
19450401 19450430    14.5
19450501 19450531    32.1
19450601 19450630   181.5
19450701 19450731    33.1
19450801 19450831    96.0
19450901 19450930    21.8
19451001 19451031     0.0
19451101 19451130     7.9
19451201 19451231     1.3
19460101 19460131     0.0
19460201 19460228     0.0
19460301 19460331     1.1
19460401 19460430    25.1
19460501 19460531    58.9
19460601 19460630    84.4
19460701 19460731   103.3
19460801 19460831    57.5
19460901 19460930     4.9
19461001 19461031     0.8
19461101 19461130    29.5
19461201 19461231     0.0
19470101 19470131     4.6
19470201 19470228     1.0
19470301 19470331     5.6
19470401 19470430    33.2
19470501 19470531    46.2
19470601 19470630    64.1
19470701 19470731    47.5
19470801 19470831     9.7
19470901 19470930    16.8
19471001 19471031    57.7
19471101 19471130    32.8
19471201 19471231     1.0
19480101 19480131     3.8
19480201 19480229     0.5
19480301 19480331    13.0
19480401 19480430    25.9
19480501 19480531     0.0
19480601 19480630    59.3
19480701 19480731    41.6
19480801 19480831    63.0
19480901 19480930    38.8
19481001 19481031    14.3
19481101 19481130    26.7
19481201 19481231     1.8
19490101 19490131     0.0
19490201 19490228     5.1
19490301 19490331     0.0
19490401 19490430    10.9
19490501 19490531     2.5
19490601 19490630    39.0
19490701 19490731    48.6
19490801 19490831    64.3
19490901 19490930    23.7
19491001 19491031    16.4
19491101 19491130    23.1
19491201 19491231     0.0
19500101 19500131     4.0
19500201 19500228     0.3
19500301 19500331     2.3
19500401 19500430     0.0
19500501 19500531    66.6
19500601 19500630    38.2
19500701 19500731    49.5
19500801 19500831    17.9
19500901 19500930    27.3
19501001 19501031    22.6
19501101 19501130     5.1
19501201 19501231     1.5
19510101 19510131    26.1
19510201 19510228    34.6
19510301 19510331     7.6
19510401 19510430    74.3
19510501 19510531    15.2
19510601 19510630    81.9
19510701 19510731    27.2
19510801 19510831    26.1
19510901 19510930     7.9
19511001 19511031    12.2
19511101 19511130     6.1
19511201 19511231    24.7
19520101 19520131     6.6
19520201 19520229     2.8
19520301 19520331     8.9
19520401 19520430     4.2
19520501 19520531    34.6
19520601 19520630    25.8
19520701 19520731    96.2
19520801 19520831    15.1
19520901 19520930    23.8
19521001 19521031    24.6
19521101 19521130     2.6
19521201 19521231    59.9
19530101 19530131     0.0
19530201 19530228    11.1
19530301 19530331    61.5
19530401 19530430    72.6
19530501 19530531   100.5
19530601 19530630    65.2
19530701 19530731    37.5
19530801 19530831    33.5
19530901 19530930     9.6
19531001 19531031    27.7
19531101 19531130     5.0
19531201 19531231     0.0
19540101 19540131     3.6
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430     5.1
19540501 19540531    63.5
19540601 19540630    28.3
19540701 19540731    52.2
19540801 19540831    26.2
19540901 19540930    19.9
19541001 19541031     5.8
19541101 19541130     4.9
19541201 19541231     2.5
19550101 19550131    11.0
19550201 19550228    97.8
19550301 19550331    19.1
19550401 19550430    51.8
19550501 19550531    34.6
19550601 19550630    12.5
19550701 19550731    25.2
19550801 19550831    82.4
19550901 19550930    72.1
19551001 19551031    34.3
19551101 19551130     2.5
19551201 19551231     5.1
19560101 19560131     0.0
19560201 19560229     0.0
19560301 19560331     0.0
19560401 19560430    13.4
19560501 19560531    61.0
19560601 19560630    49.3
19560701 19560731    73.4
19560801 19560831     1.0
19560901 19560930    13.2
19561001 19561031     6.6
19561101 19561130    51.1
19561201 19561231     0.0
19570101 19570131    22.1
19570201 19570228     0.0
19570301 19570331     9.7
19570401 19570430     9.6
19570501 19570531    39.2
19570601 19570630   149.0
19570701 19570731    13.2
19570801 19570831    34.7
