PRCP       010041 19100101 20180131 missing_value=99999.9 DOONGIN PEAK                              
20060501 20060531    10.2
20060601 20060630    10.0
20060701 20060731    30.0
20060801 20060831    25.2
20060901 20060930    41.0
20061001 20061031     2.6
20061101 20061130    23.2
20061201 20061231     8.8
20070101 20070131    19.0
20070201 20070228     1.0
20070301 20070331     1.0
20070401 20070430    22.2
20070501 20070531    29.8
20070601 20070630    20.0
20070701 20070731    75.0
20070801 20070831    29.0
20070901 20070930    18.0
20071001 20071031    22.6
20071101 20071130     0.0
20071201 20071231    28.0
20080101 20080131     0.0
20080201 20080229    19.2
20080301 20080331     1.6
20080401 20080430    66.8
20080501 20080531    20.4
20080601 20080630    36.6
20080701 20080731    89.4
20080801 20080831    10.2
20080901 20080930    44.0
20081001 20081031    31.6
20081101 20081130    21.0
20081201 20081231     2.0
20090101 20090131     3.4
20090201 20090228     6.2
20090301 20090331    23.2
20090401 20090430    10.4
20090501 20090531 99999.9
20090601 20090630    41.8
20090701 20090731    69.0
20090801 20090831    46.4
20090901 20090930    30.0
20091001 20091031    24.6
20091101 20091130    13.0
20091201 20091231     6.0
20100101 20100131 99999.9
20100201 20100228     0.2
20100301 20100331 99999.9
20100401 20100430     0.0
20100501 20100531    32.0
20100601 20100630    15.6
20100701 20100731    41.8
20100801 20100831    28.8
20100901 20100930     3.8
20101001 20101031     1.4
20101101 20101130 99999.9
20101201 20101231    13.4
20110101 20110131    15.6
20110201 20110228    25.9
20110301 20110331    14.4
20110401 20110430     7.2
20110501 20110531 99999.9
20110601 20110630    38.4
20110701 20110731    63.7
20110801 20110831    40.8
20110901 20110930    31.8
20111001 20111031    40.0
20111101 20111130    11.6
20111201 20111231    18.2
20120101 20120131 99999.9
20120201 20120229    19.8
20120301 20120331     3.8
20120401 20120430 99999.9
20120501 20120531    16.6
20120601 20120630    44.2
20120701 20120731     7.0
20120801 20120831    40.6
20120901 20120930 99999.9
20121001 20121031     1.4
20121101 20121130    34.8
20121201 20121231    33.4
20130101 20130131    67.2
20130201 20130228     7.0
20130301 20130331    41.6
20130401 20130430     1.0
20130501 20130531    44.8
20130601 20130630     4.4
20130701 20130731 99999.9
20130801 20130831    48.6
20130901 20130930    61.6
20131001 20131031    33.6
20131101 20131130     6.0
20131201 20131231     2.2
20140101 20140131     0.0
20140201 20140228     2.4
20140301 20140331     8.6
20140401 20140430    32.2
20140501 20140531    62.2
20140601 20140630    29.8
20140701 20140731    70.6
20140801 20140831    21.6
20140901 20140930    25.4
20141001 20141031    34.2
20141101 20141130    18.0
20141201 20141231     0.0
20150101 20150131     0.0
20150201 20150228     6.0
20150301 20150331    43.4
20150401 20150430    26.6
20150501 20150531    15.8
20150601 20150630    25.8
20150701 20150731    64.4
20150801 20150831    46.0
20150901 20150930     8.6
20151001 20151031     2.0
20151101 20151130    55.8
20151201 20151231     4.6
20160101 20160131    51.6
20160201 20160229     0.4
20160301 20160331    76.4
20160401 20160430    37.0
20160501 20160531    36.6
20160601 20160630    32.2
20160701 20160731    46.1
20160801 20160831    43.6
20160901 20160930    16.0
20161001 20161031     9.4
20161101 20161130     0.0
20161201 20161231    20.6
20170101 20170131    63.6
20170201 20170228   104.2
20170301 20170331    44.0
20170401 20170430     5.2
20170501 20170531     8.4
20170601 20170630     7.6
20170701 20170731    45.8
20170801 20170831    67.2
20170901 20170930    34.6
20171001 20171031    48.0
20171101 20171130    25.6
20171201 20171231    13.4
20180101 20180131    19.2
