PRCP       041011 19090101 20140228 missing_value=99999.9 CAMBOOYA POST OFFICE                      
19301201 19301231    56.1
19310101 19310131    37.3
19310201 19310228    79.4
19310301 19310331   107.2
19310401 19310430    38.3
19310501 19310531    58.0
19310601 19310630    31.4
19310701 19310731    30.6
19310801 19310831    18.9
19310901 19310930    33.0
19311001 19311031    30.5
19311101 19311130   149.1
19311201 19311231   162.4
19320101 19320131     8.6
19320201 19320229    11.2
19320301 19320331    35.1
19320401 19320430   118.8
19320501 19320531    19.3
19320601 19320630    18.2
19320701 19320731    45.7
19320801 19320831    16.2
19320901 19320930    42.4
19321001 19321031   113.0
19321101 19321130    87.8
19321201 19321231    89.3
19330101 19330131   179.8
19330201 19330228    35.8
19330301 19330331    18.8
19330401 19330430    80.0
19330501 19330531    10.0
19330601 19330630    19.6
19330701 19330731    73.8
19330801 19330831    26.6
19330901 19330930    64.1
19331001 19331031    18.5
19331101 19331130   141.8
19331201 19331231    68.7
19340101 19340131   108.2
19340201 19340228    97.3
19340301 19340331     8.6
19340401 19340430    59.2
19340501 19340531    36.1
19340601 19340630    21.9
19340701 19340731    79.0
19340801 19340831    36.3
19340901 19340930    28.2
19341001 19341031    60.0
19341101 19341130   129.2
19341201 19341231   163.5
19350101 19350131    76.2
19350201 19350228    47.9
19350301 19350331    33.6
19350401 19350430    25.4
19350501 19350531    40.8
19350601 19350630     9.2
19350701 19350731    36.1
19350801 19350831    17.9
19350901 19350930    60.4
19351001 19351031   135.9
19351101 19351130     8.1
19351201 19351231   132.1
19360101 19360131    60.5
19360201 19360229    21.3
19360301 19360331    27.8
19360401 19360430     8.4
19360501 19360531     9.4
19360601 19360630    36.8
19360701 19360731    41.3
19360801 19360831     3.0
19360901 19360930    39.0
19361001 19361031     6.1
19361101 19361130    23.5
19361201 19361231   108.8
19370101 19370131    41.7
19370201 19370228    19.9
19370301 19370331   145.9
19370401 19370430    28.4
19370501 19370531     2.0
19370601 19370630    27.5
19370701 19370731    20.8
19370801 19370831    52.8
19370901 19370930    16.5
19371001 19371031   116.2
19371101 19371130    73.1
19371201 19371231    94.3
19380101 19380131    95.2
19380201 19380228    24.4
19380301 19380331    58.5
19380401 19380430    70.9
19380501 19380531    98.7
19380601 19380630    22.3
19380701 19380731    41.7
19380801 19380831    27.7
19380901 19380930    10.7
19381001 19381031   104.4
19381101 19381130    90.4
19381201 19381231     9.4
19390101 19390131   104.6
19390201 19390228     9.7
19390301 19390331   110.5
19390401 19390430    44.3
19390501 19390531    11.4
19390601 19390630    84.0
19390701 19390731    64.5
19390801 19390831    24.9
19390901 19390930     5.6
19391001 19391031    70.8
19391101 19391130   134.7
19391201 19391231   114.5
19400101 19400131    97.7
19400201 19400229   166.5
19400301 19400331    88.1
19400401 19400430    11.4
19400501 19400531    48.2
19400601 19400630    33.6
19400701 19400731     3.3
19400801 19400831     3.8
19400901 19400930    34.6
19401001 19401031    19.5
19401101 19401130    70.4
19401201 19401231   113.1
19410101 19410131   201.4
19410201 19410228    42.1
19410301 19410331   107.7
19410401 19410430     9.7
19410501 19410531     6.6
19410601 19410630    53.4
19410701 19410731    17.6
19410801 19410831     4.5
19410901 19410930     4.8
19411001 19411031    24.3
19411101 19411130    47.8
19411201 19411231     3.3
19420101 19420131   138.9
19420201 19420228   241.8
19420301 19420331    64.2
19420401 19420430    21.4
19420501 19420531    34.6
19420601 19420630    16.8
19420701 19420731    62.4
19420801 19420831    20.1
19420901 19420930    11.9
19421001 19421031   123.5
19421101 19421130    26.4
19421201 19421231   194.0
19430101 19430131    69.1
19430201 19430228    37.0
19430301 19430331    15.7
19430401 19430430    38.9
19430501 19430531    23.8
19430601 19430630    25.9
19430701 19430731     8.3
19430801 19430831    48.9
19430901 19430930    42.0
19431001 19431031   117.0
19431101 19431130    92.8
19431201 19431231   216.4
19440101 19440131   115.8
19440201 19440229    83.1
19440301 19440331     2.9
19440401 19440430    12.0
19440501 19440531    47.2
19440601 19440630    18.5
19440701 19440731    75.0
19440801 19440831    62.1
19440901 19440930    54.4
19441001 19441031    24.7
19441101 19441130    22.1
19441201 19441231    73.1
19450101 19450131    90.2
19450201 19450228    58.7
19450301 19450331     9.4
19450401 19450430    83.6
19450501 19450531    30.0
19450601 19450630   126.7
19450701 19450731    32.8
19450801 19450831    60.6
19450901 19450930    56.1
19451001 19451031    35.0
19451101 19451130    81.9
19451201 19451231    43.2
19460101 19460131   272.0
19460201 19460228    91.4
19460301 19460331    66.8
19460401 19460430    16.5
19460501 19460531     3.3
19460601 19460630     0.0
19460701 19460731     5.3
19460801 19460831     7.1
19460901 19460930   104.1
19461001 19461031    26.1
19461101 19461130    33.3
19461201 19461231    51.4
19470101 19470131   121.3
19470201 19470228    44.3
19470301 19470331    92.7
19470401 19470430    37.3
19470501 19470531    41.4
19470601 19470630    19.3
19470701 19470731     4.8
19470801 19470831    16.3
19470901 19470930    70.7
19471001 19471031    89.1
19471101 19471130    96.1
19471201 19471231   160.1
19480101 19480131    23.2
19480201 19480229    43.0
19480301 19480331    71.6
19480401 19480430    16.0
19480501 19480531    48.1
19480601 19480630   135.7
19480701 19480731    38.0
19480801 19480831     9.5
19480901 19480930    59.1
19481001 19481031     0.0
19481101 19481130    45.8
19481201 19481231   143.4
19490101 19490131    72.9
19490201 19490228    84.3
19490301 19490331    95.5
19490401 19490430     1.5
19490501 19490531     8.6
19490601 19490630    48.5
19490701 19490731    37.1
19490801 19490831     9.7
19490901 19490930    50.3
19491001 19491031   168.4
19491101 19491130   105.2
19491201 19491231    56.6
19500101 19500131   128.0
19500201 19500228   145.0
19500301 19500331    54.2
19500401 19500430    63.0
19500501 19500531    41.4
19500601 19500630   174.0
19500701 19500731   108.8
19500801 19500831     3.0
19500901 19500930     9.9
19501001 19501031   159.5
19501101 19501130    89.6
19501201 19501231    14.0
19510101 19510131   350.1
19510201 19510228    14.5
19510301 19510331    67.1
19510401 19510430    44.5
19510501 19510531    54.5
19510601 19510630    41.4
19510701 19510731     2.0
19510801 19510831     9.4
19510901 19510930    13.3
19511001 19511031    31.0
19511101 19511130    12.7
19511201 19511231    45.2
19520101 19520131    16.5
19520201 19520229    97.4
19520301 19520331    39.7
19520401 19520430    61.5
19520501 19520531    75.5
19520601 19520630    81.0
19520701 19520731    22.1
19520801 19520831    32.8
19520901 19520930    37.3
19521001 19521031   199.7
19521101 19521130    30.2
19521201 19521231    36.1
19530101 19530131    84.4
19530201 19530228   102.0
19530301 19530331   135.5
19530401 19530430    23.1
19530501 19530531    40.6
19530601 19530630     5.3
19530701 19530731     3.8
19530801 19530831    58.7
19530901 19530930     0.8
19531001 19531031    52.3
19531101 19531130    29.2
19531201 19531231    45.5
19540101 19540131    32.1
19540201 19540228   297.5
19540301 19540331    23.9
19540401 19540430    17.4
19540501 19540531    14.2
19540601 19540630    24.7
19540701 19540731    60.4
19540801 19540831    69.7
19540901 19540930    74.2
19541001 19541031    98.0
19541101 19541130    62.1
19541201 19541231    60.4
19550101 19550131    73.6
19550201 19550228   110.4
19550301 19550331   122.8
19550401 19550430    75.8
19550501 19550531    77.8
19550601 19550630     8.9
19550701 19550731    29.0
19550801 19550831    15.5
19550901 19550930    48.0
19551001 19551031   121.6
19551101 19551130    30.2
19551201 19551231   144.3
19560101 19560131   254.1
19560201 19560229   138.6
19560301 19560331    69.9
19560401 19560430    77.5
19560501 19560531    94.5
19560601 19560630    46.6
19560701 19560731    30.2
19560801 19560831     0.0
19560901 19560930    19.3
19561001 19561031    49.8
19561101 19561130    31.3
19561201 19561231   202.0
19570101 19570131    54.4
19570201 19570228    49.3
19570301 19570331    50.6
19570401 19570430    12.7
19570501 19570531     0.0
19570601 19570630    35.3
19570701 19570731    78.8
19570801 19570831     9.2
19570901 19570930     8.2
19571001 19571031    49.7
19571101 19571130    30.3
19571201 19571231    32.5
19580101 19580131    60.3
19580201 19580228    98.3
19580301 19580331   107.6
19580401 19580430    76.0
19580501 19580531     3.6
19580601 19580630    70.6
19580701 19580731    16.5
19580801 19580831    30.0
19580901 19580930    27.5
19581001 19581031    89.2
19581101 19581130    14.5
19581201 19581231   119.6
19590101 19590131   159.4
19590201 19590228   126.5
19590301 19590331    51.3
19590401 19590430    23.0
19590501 19590531    30.3
19590601 19590630     0.0
19590701 19590731    48.0
19590801 19590831     0.0
19590901 19590930    26.1
19591001 19591031   133.4
19591101 19591130    98.1
19591201 19591231    93.9
19600101 19600131    46.0
19600201 19600229   140.7
19600301 19600331    15.4
19600401 19600430    33.0
19600501 19600531    15.7
19600601 19600630    38.0
19600701 19600731    38.4
19600801 19600831    41.2
19600901 19600930     7.1
19601001 19601031    28.5
19601101 19601130    59.9
19601201 19601231    96.3
19610101 19610131    50.1
19610201 19610228    99.6
19610301 19610331    10.7
19610401 19610430     9.4
19610501 19610531    30.6
19610601 19610630    38.8
19610701 19610731    63.5
19610801 19610831    46.1
19610901 19610930    13.2
19611001 19611031    56.5
19611101 19611130   226.1
19611201 19611231    46.8
19620101 19620131    97.9
19620201 19620228    37.9
19620301 19620331   139.5
19620401 19620430    65.8
19620501 19620531    14.7
19620601 19620630     7.6
19620701 19620731    65.0
19620801 19620831    46.3
19620901 19620930    54.4
19621001 19621031    60.6
19621101 19621130    42.6
19621201 19621231    75.4
19630101 19630131    88.4
19630201 19630228    42.9
19630301 19630331   148.0
19630401 19630430    29.8
19630501 19630531    47.3
19630601 19630630    11.6
19630701 19630731     5.8
19630801 19630831    62.7
19630901 19630930    11.2
19631001 19631031    69.1
19631101 19631130   141.9
19631201 19631231   109.0
19640101 19640131    37.6
19640201 19640229   136.2
19640301 19640331   191.0
19640401 19640430    53.2
19640501 19640531    68.8
19640601 19640630    41.6
19640701 19640731    36.1
19640801 19640831    10.4
19640901 19640930    46.3
19641001 19641031    80.1
19641101 19641130    48.6
19641201 19641231   131.9
19650101 19650131    77.2
19650201 19650228    12.4
19650301 19650331    10.7
19650401 19650430    43.7
19650501 19650531     4.9
19650601 19650630    29.7
19650701 19650731   138.5
19650801 19650831    52.2
19650901 19650930    19.6
19651001 19651031    36.6
19651101 19651130    15.7
19651201 19651231   165.4
19660101 19660131    14.0
19660201 19660228    73.3
19660301 19660331   125.1
19660401 19660430    29.8
19660501 19660531     1.3
19660601 19660630    47.8
19660701 19660731     7.8
19660801 19660831    99.4
19660901 19660930    47.8
19661001 19661031    49.3
19661101 19661130    63.3
19661201 19661231    92.3
19670101 19670131    78.1
19670201 19670228    80.6
19670301 19670331    89.7
19670401 19670430    11.3
19670501 19670531    64.1
19670601 19670630   163.2
19670701 19670731    12.0
19670801 19670831    26.6
19670901 19670930     4.8
19671001 19671031    85.0
19671101 19671130    57.9
19671201 19671231    27.0
19680101 19680131   180.4
19680201 19680229    18.6
19680301 19680331    84.1
19680401 19680430    47.2
19680501 19680531    37.4
19680601 19680630    14.1
19680701 19680731    93.8
19680801 19680831    61.2
19680901 19680930     9.9
19681001 19681031    12.2
19681101 19681130    42.1
19681201 19681231   100.2
19690101 19690131   143.5
19690201 19690228    16.3
19690301 19690331    29.7
19690401 19690430     8.4
19690501 19690531    60.7
19690601 19690630    22.2
19690701 19690731    19.9
19690801 19690831    78.8
19690901 19690930    33.0
19691001 19691031    90.2
19691101 19691130    68.8
19691201 19691231    73.7
19700101 19700131    68.6
19700201 19700228    56.6
19700301 19700331    54.9
19700401 19700430    27.7
19700501 19700531    16.7
19700601 19700630    14.7
19700701 19700731     1.5
19700801 19700831     6.8
19700901 19700930    69.6
19701001 19701031    86.6
19701101 19701130    32.2
19701201 19701231   200.3
19710101 19710131   132.7
19710201 19710228   186.2
19710301 19710331     7.9
19710401 19710430    10.4
19710501 19710531    23.7
19710601 19710630    19.5
19710701 19710731    21.8
19710801 19710831    58.9
19710901 19710930    41.2
19711001 19711031    50.2
