PRCP       041011 19090101 20140228 missing_value=99999.9 CAMBOOYA POST OFFICE                      
20040601 20040630     2.2
20040701 20040731     6.8
20040801 20040831    20.4
20040901 20040930    15.6
20041001 20041031    57.1
20041101 20041130   119.2
20041201 20041231    84.6
20050101 20050131    65.0
20050201 20050228    31.9
20050301 20050331    17.6
20050401 20050430     3.0
20050501 20050531    19.8
20050601 20050630    72.6
20050701 20050731     5.6
20050801 20050831     8.6
20050901 20050930    11.4
20051001 20051031   136.8
20051101 20051130    84.7
20051201 20051231    67.4
20060101 20060131   104.0
20060201 20060228    33.2
20060301 20060331    18.4
20060401 20060430    22.8
20060501 20060531    18.4
20060601 20060630     4.8
20060701 20060731    31.6
20060801 20060831    20.8
20060901 20060930    50.1
20061001 20061031     5.5
20061101 20061130   103.3
20061201 20061231    63.8
20070101 20070131     6.5
20070201 20070228    43.6
20070301 20070331    25.5
20070401 20070430    33.4
20070501 20070531     4.4
20070601 20070630    59.9
20070701 20070731     0.0
20070801 20070831    69.4
20070901 20070930    24.8
20071001 20071031    79.2
20071101 20071130   120.0
20071201 20071231    41.4
20080101 20080131    40.4
20080201 20080229   119.4
20080301 20080331    38.6
20080401 20080430    39.4
20080501 20080531     8.8
20080601 20080630    23.8
20080701 20080731    46.6
20080801 20080831     5.4
20080901 20080930    33.4
20081001 20081031    47.8
20081101 20081130   208.0
20081201 20081231   150.8
20090101 20090131    46.8
20090201 20090228    69.2
20090301 20090331    61.8
20090401 20090430    51.0
20090501 20090531    47.4
20090601 20090630    42.8
20090701 20090731     4.6
20090801 20090831     4.6
20090901 20090930    18.2
20091001 20091031    27.2
20091101 20091130    22.3
20091201 20091231    50.0
20100101 20100131    38.8
20100201 20100228    80.9
20100301 20100331   118.4
20100401 20100430    21.0
20100501 20100531    36.4
20100601 20100630     8.6
20100701 20100731    32.2
20100801 20100831    71.8
20100901 20100930    76.8
20101001 20101031    73.7
20101101 20101130    82.0
20101201 20101231   325.6
20110101 20110131   128.7
20110201 20110228    31.6
20110301 20110331    86.2
20110401 20110430    45.4
20110501 20110531    77.6
20110601 20110630     6.0
20110701 20110731    11.8
20110801 20110831    58.2
20110901 20110930    17.2
20111001 20111031   144.0
20111101 20111130    57.0
20111201 20111231   134.8
20120101 20120131    45.6
20120201 20120229    94.4
20120301 20120331    72.2
20120401 20120430    27.4
20120501 20120531    17.4
20120601 20120630    94.6
20120701 20120731    27.0
20120801 20120831     4.4
20120901 20120930    20.4
20121001 20121031    47.8
20121101 20121130    59.8
20121201 20121231    76.8
20130101 20130131   162.2
20130201 20130228    60.0
20130301 20130331    64.4
20130401 20130430    38.4
20130501 20130531    40.0
20130601 20130630    41.6
20130701 20130731    25.6
20130801 20130831     5.0
20130901 20130930    20.3
20131001 20131031    36.2
20131101 20131130    82.0
20131201 20131231    57.4
20140101 20140131    41.2
20140201 20140228    17.7
