PRCP       010636 19061001 20121231 missing_value=99999.9 THE OAKS                                  
19280901 19280930    45.6
19281001 19281031    13.9
19281101 19281130     1.7
19281201 19281231    10.4
19290101 19290131     8.4
19290201 19290228     2.6
19290301 19290331     8.4
19290401 19290430     6.6
19290501 19290531    84.4
19290601 19290630    94.2
19290701 19290731    34.2
19290801 19290831    31.5
19290901 19290930    41.2
19291001 19291031    11.7
19291101 19291130    59.0
19291201 19291231     2.1
19300101 19300131     0.0
19300201 19300228     0.0
19300301 19300331    13.0
19300401 19300430    22.8
19300501 19300531    52.6
19300601 19300630    87.9
19300701 19300731   114.7
19300801 19300831    36.4
19300901 19300930    32.4
19301001 19301031    14.6
19301101 19301130     0.0
19301201 19301231     2.3
19310101 19310131     0.0
19310201 19310228     6.0
19310301 19310331    25.4
19310401 19310430    23.2
19310501 19310531    63.3
19310601 19310630    43.2
19310701 19310731    46.6
19310801 19310831    97.3
19310901 19310930    88.9
19311001 19311031     6.1
19311101 19311130    14.8
19311201 19311231    25.4
19320101 19320131    32.5
19320201 19320229     8.3
19320301 19320331    22.4
19320401 19320430    28.4
19320501 19320531   110.4
19320601 19320630    29.9
19320701 19320731   106.7
19320801 19320831    92.7
19320901 19320930    25.9
19321001 19321031   130.5
19321101 19321130     0.0
19321201 19321231     5.9
19330101 19330131    11.9
19330201 19330228     9.7
19330301 19330331    14.2
19330401 19330430    11.7
19330501 19330531    73.9
19330601 19330630    73.9
19330701 19330731    32.1
19330801 19330831    50.2
19330901 19330930    28.5
19331001 19331031    65.9
19331101 19331130    23.1
19331201 19331231    10.1
19340101 19340131    10.7
19340201 19340228     6.1
19340301 19340331   114.3
19340401 19340430    43.8
19340501 19340531    48.8
19340601 19340630    66.4
19340701 19340731    77.1
19340801 19340831    65.3
19340901 19340930    15.0
19341001 19341031    12.2
19341101 19341130    14.0
19341201 19341231     7.6
19350101 19350131     3.6
19350201 19350228    22.1
19350301 19350331     3.0
19350401 19350430    26.2
19350501 19350531    16.8
19350601 19350630    60.2
19350701 19350731   138.1
19350801 19350831    68.3
19350901 19350930    38.5
19351001 19351031    52.3
19351101 19351130     0.0
19351201 19351231     0.0
19360101 19360131    29.7
19360201 19360229     0.0
19360301 19360331     5.3
19360401 19360430    21.6
19360501 19360531    85.1
19360601 19360630   117.3
19360701 19360731    24.0
19360801 19360831    52.9
19360901 19360930    18.0
19361001 19361031     2.0
19361101 19361130     9.6
19361201 19361231    38.2
19370101 19370131     0.0
19370201 19370228     0.0
19370301 19370331    63.0
19370401 19370430    69.4
19370501 19370531    93.0
19370601 19370630    94.7
19370701 19370731    25.7
19370801 19370831    76.6
19370901 19370930    18.0
19371001 19371031    10.6
19371101 19371130    19.3
19371201 19371231     0.0
19380101 19380131     4.8
19380201 19380228     0.0
19380301 19380331    39.8
19380401 19380430     8.9
19380501 19380531    33.3
19380601 19380630    29.8
19380701 19380731    67.8
19380801 19380831    47.9
19380901 19380930    35.9
19381001 19381031    16.5
