PRCP       033082 18980101 20180131 missing_value=99999.9 STRATHMORE                                
19191201 19191231     2.5
19200101 19200131   262.4
19200201 19200229    27.5
19200301 19200331    79.2
19200401 19200430    31.9
19200501 19200531    97.8
19200601 19200630    57.2
19200701 19200731    19.6
19200801 19200831    30.7
19200901 19200930    32.2
19201001 19201031    35.5
19201101 19201130    49.8
19201201 19201231    35.5
19210101 19210131   189.0
19210201 19210228    67.6
19210301 19210331    62.3
19210401 19210430    21.1
19210501 19210531    32.6
19210601 19210630    15.5
19210701 19210731    75.9
19210801 19210831     9.7
19210901 19210930   108.0
19211001 19211031    71.3
19211101 19211130    17.3
19211201 19211231   125.4
19220101 19220131    73.1
19220201 19220228   189.6
19220301 19220331   117.6
19220401 19220430     0.0
19220501 19220531     5.1
19220601 19220630    25.8
19220701 19220731   128.1
19220801 19220831     0.0
19220901 19220930    24.9
19221001 19221031     0.0
19221101 19221130    38.1
19221201 19221231   317.8
19230101 19230131    64.4
19230201 19230228    24.1
19230301 19230331     2.5
19230401 19230430    36.4
19230501 19230531     0.0
19230601 19230630   161.0
19230701 19230731     9.4
19230801 19230831    13.0
19230901 19230930     0.0
19231001 19231031     0.0
19231101 19231130     0.0
19231201 19231231    81.0
19240101 19240131    28.4
19240201 19240229   512.8
19240301 19240331   127.7
19240401 19240430   126.9
19240501 19240531     3.8
19240601 19240630    13.0
19240701 19240731     0.0
19240801 19240831    43.2
19240901 19240930    14.2
19241001 19241031    41.0
19241101 19241130    50.1
19241201 19241231   167.1
19250101 19250131   168.5
19250201 19250228   179.2
19250301 19250331    89.5
19250401 19250430     0.0
19250501 19250531     0.0
19250601 19250630    46.8
19250701 19250731     4.6
19250801 19250831    34.5
19250901 19250930    47.0
19251001 19251031     0.0
19251101 19251130     0.0
19251201 19251231    90.4
19260101 19260131    69.2
19260201 19260228    77.5
19260301 19260331    90.2
19260401 19260430     0.0
19260501 19260531     0.0
19260601 19260630     0.0
19260701 19260731     0.0
19260801 19260831     0.0
19260901 19260930    37.7
19261001 19261031     0.0
19261101 19261130    54.4
19261201 19261231   186.4
19270101 19270131   319.8
19270201 19270228    86.0
