PRCP       018033 19081001 20171231 missing_value=99999.9 GOODE                                     
19300901 19300930    11.2
19301001 19301031    11.9
19301101 19301130    13.2
19301201 19301231     6.8
19310101 19310131     5.6
19310201 19310228     0.0
19310301 19310331    86.1
19310401 19310430    60.7
19310501 19310531    37.6
19310601 19310630    54.2
19310701 19310731    68.6
19310801 19310831    32.1
19310901 19310930    24.9
19311001 19311031    15.5
19311101 19311130    26.4
19311201 19311231     1.8
19320101 19320131     0.0
19320201 19320229    60.5
19320301 19320331     0.0
19320401 19320430    63.3
19320501 19320531    27.5
19320601 19320630    47.1
19320701 19320731    27.7
19320801 19320831    72.5
19320901 19320930    79.2
19321001 19321031    40.7
19321101 19321130    10.9
19321201 19321231    22.6
19330101 19330131    10.2
19330201 19330228     0.0
19330301 19330331    12.8
19330401 19330430    16.0
19330501 19330531    30.1
19330601 19330630    17.8
19330701 19330731    59.2
19330801 19330831    61.5
19330901 19330930    26.2
19331001 19331031    12.7
19331101 19331130    33.5
19331201 19331231     5.1
19340101 19340131     2.0
19340201 19340228    11.4
19340301 19340331     8.6
19340401 19340430    25.5
19340501 19340531     3.8
19340601 19340630    30.1
19340701 19340731    19.0
19340801 19340831    65.3
19340901 19340930    25.4
19341001 19341031    22.0
19341101 19341130    33.8
19341201 19341231     0.0
19350101 19350131     7.4
19350201 19350228     0.0
19350301 19350331    66.3
19350401 19350430    20.9
19350501 19350531    16.4
19350601 19350630    19.0
19350701 19350731    13.4
19350801 19350831    54.8
19350901 19350930    43.5
19351001 19351031    48.7
19351101 19351130    17.6
19351201 19351231     9.4
19360101 19360131     4.3
19360201 19360229    15.0
19360301 19360331     0.0
19360401 19360430     8.1
19360501 19360531    19.0
19360601 19360630    21.9
19360701 19360731    32.1
19360801 19360831    29.1
19360901 19360930     4.4
19361001 19361031    50.0
19361101 19361130    14.2
19361201 19361231    21.2
19370101 19370131     7.2
19370201 19370228     5.3
19370301 19370331     1.5
19370401 19370430     4.5
19370501 19370531    39.2
19370601 19370630    45.1
19370701 19370731    18.4
19370801 19370831    28.8
19370901 19370930    22.9
19371001 19371031    10.9
19371101 19371130    59.0
