PRCP       098000 19091101 20180131 missing_value=99999.9 CITY OF MELBOURNE BAY                     
20040801 20040831   145.8
20040901 20040930    77.4
20041001 20041031    50.0
20041101 20041130    67.2
20041201 20041231    30.6
20050101 20050131    32.6
20050201 20050228    48.8
20050301 20050331    23.6
20050401 20050430    64.8
20050501 20050531    45.6
20050601 20050630   104.4
20050701 20050731   107.4
20050801 20050831   158.4
20050901 20050930   102.6
20051001 20051031    87.8
20051101 20051130    81.4
20051201 20051231    72.4
20060101 20060131    23.4
20060201 20060228    44.0
20060301 20060331    76.6
20060401 20060430   136.8
20060501 20060531    79.6
20060601 20060630    62.8
20060701 20060731   120.8
20060801 20060831    61.8
20060901 20060930    65.6
20061001 20061031    41.4
20061101 20061130    40.0
20061201 20061231    21.8
20070101 20070131    74.8
20070201 20070228    41.2
20070301 20070331    40.0
20070401 20070430    49.0
20070501 20070531   174.2
20070601 20070630   103.2
20070701 20070731    90.4
20070801 20070831   147.6
20070901 20070930   109.0
20071001 20071031    78.0
20071101 20071130    12.4
20071201 20071231   120.8
20080101 20080131     5.4
20080201 20080229    28.6
20080301 20080331    69.2
20080401 20080430    60.2
20080501 20080531    69.8
20080601 20080630   104.0
20080701 20080731   124.0
20080801 20080831   149.6
20080901 20080930   108.2
20081001 20081031    31.8
20081101 20081130    80.4
20081201 20081231    78.6
20090101 20090131    33.6
20090201 20090228     6.6
20090301 20090331    82.0
20090401 20090430    97.8
20090501 20090531    58.8
20090601 20090630   114.4
20090701 20090731   187.2
20090801 20090831   221.4
20090901 20090930   139.2
20091001 20091031    57.6
20091101 20091130    45.4
20091201 20091231    42.2
20100101 20100131    18.6
20100201 20100228    84.6
20100301 20100331    69.6
20100401 20100430    72.0
20100501 20100531    69.2
20100601 20100630   127.2
20100701 20100731   104.6
20100801 20100831   206.2
20100901 20100930    98.8
20101001 20101031    87.6
20101101 20101130    90.6
20101201 20101231    70.4
20110101 20110131   108.6
20110201 20110228    65.4
20110301 20110331    77.8
20110401 20110430    59.2
20110501 20110531    78.0
20110601 20110630   133.4
20110701 20110731    95.6
20110801 20110831    89.6
20110901 20110930    80.8
20111001 20111031    90.8
20111101 20111130    90.2
20111201 20111231    25.8
20120101 20120131    42.4
20120201 20120229    17.2
20120301 20120331    80.0
20120401 20120430    94.8
20120501 20120531   214.0
20120601 20120630   114.8
20120701 20120731   112.8
20120801 20120831   140.6
20120901 20120930    86.6
20121001 20121031    49.0
20121101 20121130    32.2
20121201 20121231    76.4
20130101 20130131    16.4
20130201 20130228    26.2
20130301 20130331    83.2
20130401 20130430    55.2
20130501 20130531   109.6
20130601 20130630    88.6
20130701 20130731   226.6
20130801 20130831   350.2
20130901 20130930   114.6
20131001 20131031   108.6
20131101 20131130   162.8
20131201 20131231    68.8
20140101 20140131    30.0
20140201 20140228    17.8
20140301 20140331    73.2
20140401 20140430    92.8
20140501 20140531    81.2
20140601 20140630   127.0
20140701 20140731   171.4
20140801 20140831    99.4
20140901 20140930    79.2
20141001 20141031    59.6
20141101 20141130    43.0
20141201 20141231    36.4
20150101 20150131    75.4
20150201 20150228    41.2
20150301 20150331    86.6
20150401 20150430    39.2
20150501 20150531   142.6
20150601 20150630    61.8
20150701 20150731   159.8
20150801 20150831    94.8
20150901 20150930    67.4
20151001 20151031     4.6
20151101 20151130    46.0
20151201 20151231    39.8
20160101 20160131    79.0
20160201 20160229    77.6
20160301 20160331    49.4
20160401 20160430    42.6
20160501 20160531   185.2
20160601 20160630   192.2
20160701 20160731   179.2
20160801 20160831   129.2
20160901 20160930   121.4
20161001 20161031   151.8
20161101 20161130    75.2
20161201 20161231    58.0
20170101 20170131    57.6
20170201 20170228    26.6
20170301 20170331    49.0
20170401 20170430    62.0
20170501 20170531    81.0
20170601 20170630    56.4
20170701 20170731   158.6
20170801 20170831   182.8
20170901 20170930   128.0
20171001 20171031    88.8
20171101 20171130    18.0
20171201 20171231    28.4
20180101 20180131    16.4
