PRCP       059019 19280101 20171231 missing_value=99999.9 THE RACECOURSE                            
19491201 19491231    96.3
19500101 19500131   248.2
19500201 19500228   230.1
19500301 19500331   118.4
19500401 19500430   142.7
19500501 19500531    28.2
19500601 19500630   725.2
19500701 19500731   244.1
19500801 19500831   118.1
19500901 19500930    88.1
19501001 19501031   140.5
19501101 19501130   222.5
19501201 19501231    88.9
19510101 19510131   279.4
19510201 19510228   137.7
19510301 19510331   150.1
19510401 19510430    18.3
19510501 19510531    19.8
19510601 19510630   171.2
19510701 19510731     4.9
19510801 19510831    35.1
19510901 19510930     5.8
19511001 19511031    16.5
19511101 19511130    48.5
19511201 19511231    47.1
19520101 19520131    94.3
19520201 19520229   188.8
19520301 19520331   101.9
19520401 19520430    46.2
19520501 19520531    70.6
19520601 19520630    51.7
19520701 19520731    87.2
19520801 19520831   305.9
19520901 19520930    19.6
19521001 19521031   152.7
19521101 19521130    26.5
19521201 19521231    88.8
19530101 19530131   107.8
19530201 19530228   295.6
19530301 19530331   168.3
19530401 19530430    38.6
19530501 19530531    50.9
19530601 19530630     0.0
19530701 19530731    17.4
19530801 19530831    42.0
19530901 19530930    15.1
19531001 19531031    59.2
19531101 19531130    50.1
19531201 19531231    80.4
19540101 19540131    98.3
19540201 19540228   567.9
19540301 19540331    28.4
19540401 19540430    64.5
19540501 19540531   116.1
19540601 19540630    57.2
19540701 19540731   200.9
19540801 19540831    84.6
19540901 19540930   168.4
19541001 19541031   168.7
19541101 19541130   128.3
19541201 19541231   141.0
19550101 19550131   162.1
19550201 19550228   164.8
19550301 19550331   202.9
19550401 19550430   154.4
19550501 19550531   122.2
19550601 19550630    37.6
19550701 19550731    39.4
19550801 19550831     1.0
19550901 19550930    43.2
19551001 19551031    89.2
19551101 19551130    18.8
19551201 19551231   191.5
19560101 19560131   254.5
19560201 19560229   464.3
19560301 19560331   195.2
19560401 19560430   108.2
19560501 19560531   107.4
19560601 19560630   113.3
19560701 19560731    23.1
19560801 19560831    21.8
19560901 19560930    54.9
19561001 19561031    59.9
19561101 19561130    27.2
19561201 19561231   121.7
19570101 19570131   112.0
19570201 19570228   222.1
19570301 19570331    88.9
19570401 19570430    33.5
19570501 19570531     0.3
19570601 19570630    16.0
19570701 19570731    43.7
19570801 19570831   159.3
19570901 19570930     4.6
19571001 19571031    73.7
19571101 19571130    31.8
19571201 19571231   114.8
19580101 19580131   176.3
19580201 19580228    89.2
19580301 19580331    77.5
19580401 19580430   118.1
19580501 19580531    22.9
19580601 19580630   160.6
19580701 19580731     9.1
19580801 19580831    85.0
19580901 19580930    68.4
19581001 19581031    43.1
19581101 19581130    29.7
19581201 19581231   170.6
19590101 19590131   507.4
19590201 19590228   128.3
19590301 19590331   267.2
19590401 19590430    79.8
19590501 19590531    35.6
19590601 19590630    82.6
19590701 19590731    71.4
19590801 19590831    42.7
19590901 19590930    71.4
19591001 19591031    70.4
19591101 19591130   338.6
19591201 19591231   180.4
19600101 19600131    91.3
