PRCP       022815 19100101 20161031 missing_value=99999.9 PIONEER BEND                              
19311201 19311231     5.0
19320101 19320131     0.8
19320201 19320229    66.1
19320301 19320331    52.9
19320401 19320430   106.9
19320501 19320531    35.6
19320601 19320630   107.0
19320701 19320731    99.6
19320801 19320831   108.6
19320901 19320930    50.8
19321001 19321031    50.3
19321101 19321130     7.0
19321201 19321231     5.7
19330101 19330131    27.7
19330201 19330228     1.6
19330301 19330331    11.9
19330401 19330430    33.8
19330501 19330531   109.4
19330601 19330630    73.7
19330701 19330731    94.6
19330801 19330831    76.6
19330901 19330930    70.8
19331001 19331031    31.1
19331101 19331130    19.4
19331201 19331231    20.4
19340101 19340131     8.6
19340201 19340228     2.8
19340301 19340331    19.2
19340401 19340430    54.5
19340501 19340531    12.5
19340601 19340630    71.4
19340701 19340731    87.0
19340801 19340831   127.1
19340901 19340930   100.6
19341001 19341031    61.6
19341101 19341130    45.7
19341201 19341231     7.7
19350101 19350131     9.5
19350201 19350228     5.7
19350301 19350331    50.9
19350401 19350430    52.2
19350501 19350531    73.4
19350601 19350630    84.8
19350701 19350731   105.7
19350801 19350831    69.1
19350901 19350930    53.3
19351001 19351031    71.9
19351101 19351130    23.6
19351201 19351231    17.3
19360101 19360131    17.3
19360201 19360229     0.0
19360301 19360331    10.1
19360401 19360430    20.3
19360501 19360531    78.4
19360601 19360630    54.9
19360701 19360731    97.3
19360801 19360831   102.4
19360901 19360930    31.2
19361001 19361031    63.9
19361101 19361130    16.4
19361201 19361231    15.2
19370101 19370131    27.3
19370201 19370228    11.4
19370301 19370331     7.1
19370401 19370430    39.3
19370501 19370531    94.9
19370601 19370630    55.0
19370701 19370731    86.6
19370801 19370831    98.2
19370901 19370930    67.8
19371001 19371031    30.6
19371101 19371130    50.8
19371201 19371231    47.6
19380101 19380131     4.4
19380201 19380228    75.1
19380301 19380331     6.1
19380401 19380430    70.6
19380501 19380531    57.9
19380601 19380630   128.9
19380701 19380731    84.4
19380801 19380831   130.0
19380901 19380930    36.0
19381001 19381031     6.4
19381101 19381130     7.4
19381201 19381231    14.7
19390101 19390131    49.8
19390201 19390228    49.0
19390301 19390331    29.9
19390401 19390430    38.3
19390501 19390531    69.1
19390601 19390630   119.6
19390701 19390731    72.3
19390801 19390831   151.3
19390901 19390930    12.3
19391001 19391031    61.4
19391101 19391130    42.2
19391201 19391231     3.8
19400101 19400131    32.3
19400201 19400229     3.8
19400301 19400331    12.4
19400401 19400430    51.1
19400501 19400531    53.0
19400601 19400630    52.0
19400701 19400731   144.1
19400801 19400831    47.5
19400901 19400930    25.6
19401001 19401031    22.2
19401101 19401130    53.7
19401201 19401231     8.6
19410101 19410131    64.2
19410201 19410228     9.6
19410301 19410331    46.5
19410401 19410430    37.6
19410501 19410531    25.6
19410601 19410630    59.0
19410701 19410731   108.8
19410801 19410831    47.5
19410901 19410930    69.8
19411001 19411031    23.9
19411101 19411130    10.9
19411201 19411231     3.8
19420101 19420131    23.9
19420201 19420228    39.6
19420301 19420331    11.5
19420401 19420430    15.7
19420501 19420531   135.9
19420601 19420630   159.6
19420701 19420731   112.4
19420801 19420831   126.4
19420901 19420930   126.4
19421001 19421031    11.6
19421101 19421130    35.2
19421201 19421231     6.8
19430101 19430131     9.9
19430201 19430228    46.5
19430301 19430331    17.5
19430401 19430430    48.7
19430501 19430531    27.9
19430601 19430630    81.7
19430701 19430731   186.3
19430801 19430831   126.6
19430901 19430930    43.6
19431001 19431031    28.8
19431101 19431130    22.9
19431201 19431231    12.6
19440101 19440131     1.5
19440201 19440229    10.2
19440301 19440331     5.1
19440401 19440430    90.9
19440501 19440531   112.7
19440601 19440630    14.0
19440701 19440731    55.8
19440801 19440831     9.7
19440901 19440930    41.9
19441001 19441031    78.3
19441101 19441130    49.2
19441201 19441231    16.8
19450101 19450131     8.8
19450201 19450228    34.7
19450301 19450331     0.0
19450401 19450430     7.4
19450501 19450531    46.3
19450601 19450630    87.0
19450701 19450731    45.6
19450801 19450831    74.6
19450901 19450930    65.3
19451001 19451031    28.3
19451101 19451130    46.4
19451201 19451231    38.5
19460101 19460131    82.3
19460201 19460228   107.7
19460301 19460331    39.1
19460401 19460430    33.3
19460501 19460531    45.5
19460601 19460630    46.0
19460701 19460731   177.8
19460801 19460831    36.3
19460901 19460930    33.3
19461001 19461031    19.1
19461101 19461130    16.5
19461201 19461231    21.8
19470101 19470131     1.8
19470201 19470228     0.0
19470301 19470331    24.1
19470401 19470430    69.9
19470501 19470531    32.3
19470601 19470630   130.3
19470701 19470731   201.7
19470801 19470831    35.8
19470901 19470930    61.5
19471001 19471031    96.5
19471101 19471130    51.6
19471201 19471231    23.1
19480101 19480131     5.6
19480201 19480229    33.8
19480301 19480331     5.8
19480401 19480430    58.9
19480501 19480531    51.1
19480601 19480630    56.1
19480701 19480731   116.1
19480801 19480831    79.5
19480901 19480930    48.8
19481001 19481031    73.4
19481101 19481130    19.6
19481201 19481231    30.7
19490101 19490131     3.0
19490201 19490228    51.8
19490301 19490331     0.0
19490401 19490430    17.3
19490501 19490531    71.9
19490601 19490630    63.8
19490701 19490731    98.0
19490801 19490831    55.4
19490901 19490930    17.3
19491001 19491031    85.9
19491101 19491130   101.3
19491201 19491231     0.5
19500101 19500131     4.3
19500201 19500228     2.0
19500301 19500331     2.5
19500401 19500430    40.9
19500501 19500531    39.9
19500601 19500630    90.9
19500701 19500731   105.2
19500801 19500831   127.0
19500901 19500930    38.9
19501001 19501031    74.2
19501101 19501130    33.0
19501201 19501231    20.3
19510101 19510131    18.0
19510201 19510228     7.4
19510301 19510331     0.0
19510401 19510430    38.3
19510501 19510531   132.6
19510601 19510630   118.0
19510701 19510731   201.0
19510801 19510831   136.3
19510901 19510930    31.8
19511001 19511031    98.8
19511101 19511130    15.2
19511201 19511231    25.2
19520101 19520131    34.6
19520201 19520229    27.9
19520301 19520331     0.0
19520401 19520430    46.6
19520501 19520531   137.8
19520601 19520630    77.8
19520701 19520731    82.3
19520801 19520831    66.3
19520901 19520930    85.3
19521001 19521031    42.0
19521101 19521130    65.7
19521201 19521231     9.4
19530101 19530131     5.8
19530201 19530228     7.9
19530301 19530331     1.5
19530401 19530430    19.6
19530501 19530531    35.3
19530601 19530630   197.9
19530701 19530731   103.8
19530801 19530831   112.2
19530901 19530930    40.1
19531001 19531031    18.4
19531101 19531130    48.8
19531201 19531231    41.0
19540101 19540131    22.1
19540201 19540228     1.6
19540301 19540331     8.9
19540401 19540430   100.6
19540501 19540531    33.6
19540601 19540630   134.8
19540701 19540731   105.1
19540801 19540831    53.8
19540901 19540930    35.2
19541001 19541031    50.4
19541101 19541130    22.4
19541201 19541231    20.1
19550101 19550131     2.3
19550201 19550228    31.1
19550301 19550331     8.7
19550401 19550430    47.1
19550501 19550531   129.4
19550601 19550630   226.1
19550701 19550731    73.4
19550801 19550831   143.1
19550901 19550930    60.2
19551001 19551031    52.4
19551101 19551130    46.9
19551201 19551231    19.0
19560101 19560131    32.0
19560201 19560229     2.3
19560301 19560331    38.8
19560401 19560430    44.2
19560501 19560531   101.8
19560601 19560630   212.6
19560701 19560731   100.0
19560801 19560831   129.5
19560901 19560930    88.4
19561001 19561031    58.6
19561101 19561130     6.4
19561201 19561231    18.2
19570101 19570131     1.5
19570201 19570228     1.0
19570301 19570331    18.0
19570401 19570430    41.7
19570501 19570531    26.9
19570601 19570630   122.7
19570701 19570731   115.3
19570801 19570831    82.3
19570901 19570930    56.9
19571001 19571031    24.0
19571101 19571130    16.6
19571201 19571231     9.8
19580101 19580131     7.7
19580201 19580228     3.6
19580301 19580331    11.0
19580401 19580430     9.9
19580501 19580531   145.2
19580601 19580630    65.8
19580701 19580731   124.6
19580801 19580831    89.5
19580901 19580930    92.9
19581001 19581031    81.5
19581101 19581130    13.1
19581201 19581231     9.2
19590101 19590131     1.8
19590201 19590228    27.9
19590301 19590331    26.0
19590401 19590430     3.7
19590501 19590531    18.6
19590601 19590630    30.5
19590701 19590731    67.8
19590801 19590831    56.2
19590901 19590930    61.5
19591001 19591031    79.1
19591101 19591130     9.7
19591201 19591231    37.8
19600101 19600131    22.4
19600201 19600229    68.3
19600301 19600331    15.4
19600401 19600430    65.0
19600501 19600531   128.1
19600601 19600630    80.9
19600701 19600731   106.1
19600801 19600831    65.6
19600901 19600930   114.8
19601001 19601031    12.5
19601101 19601130    19.4
19601201 19601231    16.9
19610101 19610131     4.4
19610201 19610228     4.3
19610301 19610331     6.8
19610401 19610430    90.3
19610501 19610531    39.7
19610601 19610630    47.1
19610701 19610731    79.1
19610801 19610831    65.4
19610901 19610930    37.0
19611001 19611031    17.0
19611101 19611130     6.9
19611201 19611231     4.6
19620101 19620131     4.6
19620201 19620228    21.1
19620301 19620331    18.0
19620401 19620430    20.2
19620501 19620531    69.1
19620601 19620630    96.0
19620701 19620731    69.5
19620801 19620831    85.4
19620901 19620930    29.7
19621001 19621031    56.0
19621101 19621130    20.6
19621201 19621231    31.5
19630101 19630131    31.8
19630201 19630228    11.4
19630301 19630331     1.3
19630401 19630430    67.8
19630501 19630531    75.8
19630601 19630630   101.6
19630701 19630731   151.3
19630801 19630831    95.6
19630901 19630930    60.6
19631001 19631031    18.4
19631101 19631130     7.6
19631201 19631231     8.4
19640101 19640131     7.3
19640201 19640229    40.9
19640301 19640331    13.2
19640401 19640430    59.3
19640501 19640531    54.5
19640601 19640630   177.8
19640701 19640731   211.1
19640801 19640831    46.0
19640901 19640930    54.6
19641001 19641031    68.7
19641101 19641130    59.4
19641201 19641231    24.2
19650101 19650131     2.9
19650201 19650228     2.0
19650301 19650331    11.7
19650401 19650430    21.0
19650501 19650531   115.1
19650601 19650630    50.3
19650701 19650731   129.5
19650801 19650831   112.6
19650901 19650930    29.0
19651001 19651031    15.6
19651101 19651130    50.6
19651201 19651231     5.7
19660101 19660131     5.4
19660201 19660228     5.2
19660301 19660331    33.8
19660401 19660430    13.3
19660501 19660531    56.4
19660601 19660630    70.1
19660701 19660731   167.1
19660801 19660831    84.4
19660901 19660930    76.9
19661001 19661031    34.0
19661101 19661130    23.1
19661201 19661231    69.1
19670101 19670131     3.3
19670201 19670228    96.8
19670301 19670331    14.1
19670401 19670430    16.4
19670501 19670531    22.9
19670601 19670630    28.8
19670701 19670731   115.1
19670801 19670831    69.9
19670901 19670930    61.0
19671001 19671031    14.8
19671101 19671130     3.1
19671201 19671231    22.2
19680101 19680131     0.5
19680201 19680229     4.4
19680301 19680331    67.4
19680401 19680430   154.6
19680501 19680531   122.2
19680601 19680630    76.3
19680701 19680731   139.5
19680801 19680831   148.0
19680901 19680930    62.8
19681001 19681031    49.8
19681101 19681130    51.2
19681201 19681231    20.6
19690101 19690131    14.7
19690201 19690228    80.8
19690301 19690331    18.4
19690401 19690430    52.0
19690501 19690531   138.0
19690601 19690630    54.7
19690701 19690731   102.4
19690801 19690831    44.1
19690901 19690930    56.4
19691001 19691031     1.6
19691101 19691130    19.8
19691201 19691231    17.7
19700101 19700131    41.5
19700201 19700228     0.0
19700301 19700331     7.8
