PRCP       022815 19100101 20161031 missing_value=99999.9 PIONEER BEND                              
20060601 20060630    38.8
20060701 20060731    86.6
20060801 20060831    22.2
20060901 20060930    24.0
20061001 20061031     2.0
20061101 20061130     4.8
20061201 20061231    12.0
20070101 20070131    17.0
20070201 20070228     2.4
20070301 20070331    26.2
20070401 20070430    84.0
20070501 20070531   122.8
20070601 20070630    53.2
20070701 20070731    90.4
20070801 20070831    35.0
20070901 20070930    39.6
20071001 20071031    39.6
20071101 20071130    23.8
20071201 20071231    22.2
20080101 20080131     1.8
20080201 20080229    21.6
20080301 20080331    10.2
20080401 20080430    39.4
20080501 20080531    56.9
20080601 20080630    61.8
20080701 20080731   110.7
20080801 20080831   121.7
20080901 20080930    26.4
20081001 20081031     6.4
20081101 20081130    39.6
20081201 20081231    33.7
20090101 20090131     2.4
20090201 20090228     0.0
20090301 20090331    22.3
20090401 20090430    78.8
20090501 20090531    51.1
20090601 20090630   137.4
20090701 20090731   165.9
20090801 20090831    76.3
20090901 20090930    91.0
20091001 20091031    34.4
20091101 20091130    16.6
20091201 20091231    19.6
20100101 20100131    22.0
20100201 20100228     0.0
20100301 20100331    26.5
20100401 20100430    37.4
20100501 20100531    74.1
20100601 20100630    85.0
20100701 20100731    72.9
20100801 20100831   129.9
20100901 20100930    96.8
20101001 20101031    33.3
20101101 20101130    33.0
20101201 20101231    25.9
20110101 20110131     7.0
20110201 20110228    61.2
20110301 20110331    87.8
20110401 20110430    20.9
20110501 20110531    59.0
20110601 20110630    99.9
20110701 20110731    91.5
20110801 20110831    63.8
20110901 20110930    34.5
20111001 20111031    44.7
20111101 20111130    20.7
20111201 20111231    54.0
20120101 20120131     1.2
20120201 20120229    11.3
20120301 20120331    34.0
20120401 20120430    37.8
20120501 20120531    51.6
20120601 20120630   148.3
20120701 20120731    65.8
20120801 20120831    35.5
20120901 20120930    39.2
20121001 20121031    20.6
20121101 20121130     7.4
20121201 20121231    14.8
20130101 20130131     0.0
20130201 20130228     7.8
20130301 20130331    19.6
20130401 20130430    67.1
20130501 20130531    55.5
20130601 20130630   176.6
20130701 20130731   172.0
20130801 20130831   107.7
20130901 20130930    80.2
20131001 20131031    49.0
20131101 20131130    44.8
20131201 20131231    53.8
20140101 20140131    43.4
20140201 20140228    32.6
20140301 20140331    16.5
20140401 20140430    45.2
20140501 20140531 99999.9
20140601 20140630 99999.9
20140701 20140731 99999.9
20140801 20140831 99999.9
20140901 20140930 99999.9
20141001 20141031     6.0
20141101 20141130     3.0
20141201 20141231    31.7
20150101 20150131     9.2
20150201 20150228     0.0
20150301 20150331    15.7
20150401 20150430    50.9
20150501 20150531    48.9
20150601 20150630    71.4
20150701 20150731   107.6
20150801 20150831    88.9
20150901 20150930    39.8
20151001 20151031     5.0
20151101 20151130    28.5
20151201 20151231     1.6
20160101 20160131    30.3
20160201 20160229    71.8
20160301 20160331    33.6
20160401 20160430    26.4
20160501 20160531   127.2
20160601 20160630   125.8
20160701 20160731   176.6
20160801 20160831    95.6
20160901 20160930   176.8
20161001 20161031    60.0
