PRCP       015135 19690801 20180131 missing_value=99999.9 TENNANT CREEK AIRPORT                     
19910701 19910731     7.8
19910801 19910831     0.0
19910901 19910930     0.8
19911001 19911031     0.0
19911101 19911130    38.8
19911201 19911231    22.8
19920101 19920131    39.0
19920201 19920229    37.2
19920301 19920331    10.2
19920401 19920430     1.6
19920501 19920531    31.0
19920601 19920630     0.0
19920701 19920731     0.0
19920801 19920831     0.0
19920901 19920930     3.2
19921001 19921031    16.8
19921101 19921130    19.8
19921201 19921231    43.6
19930101 19930131   178.8
19930201 19930228   360.2
19930301 19930331    12.8
19930401 19930430     0.0
19930501 19930531    18.4
19930601 19930630     9.4
19930701 19930731     0.0
19930801 19930831     0.0
19930901 19930930     1.2
19931001 19931031    14.2
19931101 19931130    45.4
19931201 19931231   183.8
19940101 19940131    32.8
19940201 19940228   121.6
19940301 19940331     2.0
19940401 19940430     0.0
19940501 19940531     0.0
19940601 19940630     0.0
19940701 19940731     0.0
19940801 19940831     0.0
19940901 19940930     0.0
19941001 19941031     0.0
19941101 19941130    34.6
19941201 19941231    20.0
19950101 19950131    92.8
19950201 19950228    87.0
19950301 19950331    32.0
19950401 19950430     0.0
19950501 19950531    38.4
19950601 19950630     0.0
19950701 19950731     2.4
19950801 19950831     0.0
19950901 19950930     2.8
19951001 19951031    15.6
19951101 19951130    44.8
19951201 19951231    40.8
19960101 19960131    31.2
19960201 19960229    29.2
19960301 19960331   161.0
19960401 19960430    23.6
19960501 19960531     0.0
19960601 19960630     0.0
19960701 19960731     3.4
19960801 19960831     1.0
19960901 19960930     0.0
19961001 19961031     6.8
19961101 19961130     5.2
19961201 19961231    80.4
19970101 19970131   273.4
19970201 19970228   273.6
19970301 19970331     0.2
19970401 19970430     0.0
19970501 19970531     0.0
19970601 19970630     0.0
19970701 19970731     0.0
19970801 19970831     0.0
19970901 19970930     0.6
19971001 19971031     3.2
19971101 19971130    25.8
19971201 19971231   145.4
19980101 19980131    54.8
19980201 19980228    59.0
19980301 19980331     1.0
19980401 19980430    22.0
19980501 19980531     7.2
19980601 19980630     1.0
19980701 19980731     1.2
19980801 19980831     0.0
19980901 19980930    21.8
19981001 19981031    17.0
19981101 19981130    57.4
19981201 19981231    44.8
19990101 19990131    94.2
19990201 19990228    99.8
19990301 19990331    35.6
19990401 19990430     0.0
19990501 19990531     0.0
19990601 19990630     0.0
19990701 19990731     0.0
19990801 19990831     0.0
19990901 19990930     0.0
19991001 19991031    63.4
19991101 19991130    44.6
19991201 19991231    80.8
20000101 20000131    16.0
20000201 20000229   354.0
20000301 20000331    54.6
20000401 20000430   135.4
20000501 20000531     0.0
20000601 20000630     2.8
20000701 20000731     0.0
20000801 20000831     0.0
20000901 20000930     0.0
20001001 20001031    31.8
20001101 20001130   159.8
20001201 20001231   249.8
20010101 20010131    72.0
20010201 20010228   196.0
20010301 20010331   237.6
20010401 20010430     0.0
20010501 20010531     0.0
20010601 20010630     0.0
20010701 20010731     7.8
20010801 20010831     0.0
20010901 20010930     1.8
20011001 20011031    36.8
20011101 20011130    55.8
20011201 20011231   120.2
20020101 20020131   244.4
20020201 20020228   135.6
20020301 20020331     7.6
20020401 20020430     0.0
20020501 20020531     0.0
20020601 20020630     0.0
20020701 20020731     0.0
20020801 20020831     0.0
20020901 20020930     0.2
20021001 20021031     0.0
20021101 20021130    27.6
20021201 20021231    10.4
20030101 20030131   106.2
20030201 20030228   377.0
20030301 20030331     7.6
20030401 20030430     1.0
20030501 20030531     0.0
20030601 20030630     0.0
20030701 20030731     0.0
20030801 20030831    18.2
20030901 20030930     7.6
20031001 20031031    17.2
20031101 20031130     9.6
20031201 20031231   141.2
20040101 20040131    93.2
20040201 20040229   131.2
20040301 20040331    91.8
20040401 20040430     0.0
20040501 20040531    22.4
20040601 20040630     0.0
20040701 20040731     0.0
20040801 20040831     0.2
20040901 20040930     0.0
20041001 20041031     0.0
20041101 20041130    66.0
20041201 20041231    12.0
