PRCP       040094 18960701 20180131 missing_value=99999.9 HARRISVILLE POST OFFICE                   
19180601 19180630    19.4
19180701 19180731     3.9
19180801 19180831    34.5
19180901 19180930    22.9
19181001 19181031    13.2
19181101 19181130    33.6
19181201 19181231    52.7
19190101 19190131    16.3
19190201 19190228    24.9
19190301 19190331   257.1
19190401 19190430    30.4
19190501 19190531    98.4
19190601 19190630     8.6
19190701 19190731     0.3
19190801 19190831    13.0
19190901 19190930     4.8
19191001 19191031    14.5
19191101 19191130    41.7
19191201 19191231    32.0
19200101 19200131   146.6
19200201 19200229    22.2
19200301 19200331    50.9
19200401 19200430    22.7
19200501 19200531    60.3
19200601 19200630    51.5
19200701 19200731    64.5
19200801 19200831    39.5
19200901 19200930    39.7
19201001 19201031    62.0
19201101 19201130    76.0
19201201 19201231    37.4
19210101 19210131    49.1
19210201 19210228    37.7
19210301 19210331    82.5
19210401 19210430    61.9
19210501 19210531    24.0
19210601 19210630   211.3
19210701 19210731   159.5
19210801 19210831     5.9
19210901 19210930    80.7
19211001 19211031    38.6
19211101 19211130    28.2
19211201 19211231   296.2
19220101 19220131    45.9
19220201 19220228    81.9
19220301 19220331    30.2
19220401 19220430     0.0
19220501 19220531     3.6
19220601 19220630    24.2
19220701 19220731    75.3
19220801 19220831     8.4
19220901 19220930    46.9
19221001 19221031    33.1
19221101 19221130    65.2
19221201 19221231   103.7
19230101 19230131    45.7
19230201 19230228     2.5
19230301 19230331    70.4
19230401 19230430    11.5
19230501 19230531     1.0
19230601 19230630    67.8
19230701 19230731    12.9
19230801 19230831    11.2
19230901 19230930    34.3
19231001 19231031    12.0
19231101 19231130    40.1
19231201 19231231   159.5
19240101 19240131    88.4
19240201 19240229   256.7
19240301 19240331    55.9
19240401 19240430    67.2
19240501 19240531     3.3
19240601 19240630    86.3
19240701 19240731    83.2
19240801 19240831    47.2
19240901 19240930    70.9
19241001 19241031    52.2
19241101 19241130   126.0
19241201 19241231    55.1
19250101 19250131   120.6
19250201 19250228    36.4
19250301 19250331   101.7
19250401 19250430     1.3
19250501 19250531    55.4
19250601 19250630    77.6
19250701 19250731    17.8
19250801 19250831    54.1
19250901 19250930     5.3
19251001 19251031     4.1
19251101 19251130   108.0
19251201 19251231   163.2
19260101 19260131    45.5
19260201 19260228     2.0
19260301 19260331    16.6
19260401 19260430     8.9
19260501 19260531     7.2
19260601 19260630    80.6
19260701 19260731     6.4
19260801 19260831    11.7
19260901 19260930    31.7
19261001 19261031    22.1
19261101 19261130    12.4
19261201 19261231   112.2
19270101 19270131   420.4
19270201 19270228   127.7
19270301 19270331   118.0
19270401 19270430    33.8
19270501 19270531    11.7
19270601 19270630    52.8
19270701 19270731     6.9
19270801 19270831     5.3
19270901 19270930    23.1
19271001 19271031    83.6
19271101 19271130   114.4
19271201 19271231   139.3
19280101 19280131    78.1
19280201 19280229   269.2
19280301 19280331    43.6
19280401 19280430   141.2
19280501 19280531    27.4
19280601 19280630    54.2
19280701 19280731    22.2
19280801 19280831    15.2
19280901 19280930     0.3
19281001 19281031    31.7
19281101 19281130    10.5
19281201 19281231   151.9
19290101 19290131   104.3
19290201 19290228   272.1
19290301 19290331   157.6
19290401 19290430   125.5
19290501 19290531     2.0
19290601 19290630    32.8
19290701 19290731    13.4
19290801 19290831    51.6
19290901 19290930     7.4
19291001 19291031    97.4
19291101 19291130    32.7
19291201 19291231   261.2
19300101 19300131   169.2
19300201 19300228    79.6
19300301 19300331    45.0
19300401 19300430    42.6
19300501 19300531   124.3
19300601 19300630   155.9
19300701 19300731    47.4
19300801 19300831    42.4
19300901 19300930    34.5
19301001 19301031   109.1
19301101 19301130    31.7
19301201 19301231    50.8
19310101 19310131    80.8
19310201 19310228   222.9
19310301 19310331   135.0
19310401 19310430    33.5
19310501 19310531    56.4
19310601 19310630    12.2
19310701 19310731    38.6
19310801 19310831     5.9
19310901 19310930    16.8
19311001 19311031    14.2
19311101 19311130   102.8
19311201 19311231   136.8
19320101 19320131    22.4
19320201 19320229    57.6
19320301 19320331     7.1
19320401 19320430    84.9
19320501 19320531     8.9
19320601 19320630    29.5
19320701 19320731    23.4
19320801 19320831    13.8
19320901 19320930    79.8
19321001 19321031    46.9
19321101 19321130    69.2
19321201 19321231    36.9
19330101 19330131   269.3
19330201 19330228    60.9
19330301 19330331     2.1
19330401 19330430    88.7
19330501 19330531    22.9
19330601 19330630    17.8
19330701 19330731    64.1
19330801 19330831     9.7
19330901 19330930    28.2
19331001 19331031    46.6
19331101 19331130   136.5
19331201 19331231   120.3
19340101 19340131   137.2
19340201 19340228   191.7
19340301 19340331     0.3
19340401 19340430    93.5
19340501 19340531    27.0
19340601 19340630    15.8
19340701 19340731   105.0
19340801 19340831    40.0
19340901 19340930    33.6
19341001 19341031    49.2
19341101 19341130    87.7
19341201 19341231   150.1
19350101 19350131   132.9
19350201 19350228   119.8
19350301 19350331    26.1
19350401 19350430    57.5
19350501 19350531    26.7
19350601 19350630     2.3
19350701 19350731    34.9
19350801 19350831     3.8
