PRCP       094063 18901101 20110630 missing_value=99999.9 SORELL (WHITLEA)                          
19860801 19860831    39.9
19860901 19860930    24.0
19861001 19861031    52.4
19861101 19861130    24.0
19861201 19861231    75.6
19870101 19870131    34.8
19870201 19870228    15.0
19870301 19870331    19.0
19870401 19870430    15.4
19870501 19870531    44.2
19870601 19870630    17.2
19870701 19870731    40.2
19870801 19870831    38.0
19870901 19870930    30.0
19871001 19871031    54.4
19871101 19871130    59.2
19871201 19871231    43.8
19880101 19880131    33.8
19880201 19880229    22.4
19880301 19880331    21.0
19880401 19880430    13.6
19880501 19880531    51.8
19880601 19880630    55.8
19880701 19880731    54.4
19880801 19880831    51.0
19880901 19880930    36.2
19881001 19881031    75.0
19881101 19881130    26.2
19881201 19881231    46.2
19890101 19890131    57.2
19890201 19890228    18.4
19890301 19890331    59.4
19890401 19890430    18.8
19890501 19890531    29.4
19890601 19890630    40.8
19890701 19890731    45.0
19890801 19890831    38.2
19890901 19890930    25.6
19891001 19891031    80.2
19891101 19891130    23.4
19891201 19891231    24.8
19900101 19900131    29.8
19900201 19900228    43.0
19900301 19900331    19.6
19900401 19900430    41.6
19900501 19900531    19.2
19900601 19900630    25.8
19900701 19900731   101.2
19900801 19900831    65.2
19900901 19900930    34.4
19901001 19901031    37.6
19901101 19901130    25.8
19901201 19901231    40.8
19910101 19910131    35.4
19910201 19910228     0.4
19910301 19910331    45.0
19910401 19910430    25.4
19910501 19910531     3.8
19910601 19910630    39.6
19910701 19910731    32.5
19910801 19910831    65.6
19910901 19910930    32.6
19911001 19911031    38.0
19911101 19911130    34.6
19911201 19911231    47.8
19920101 19920131    21.8
19920201 19920229    16.0
19920301 19920331     2.0
19920401 19920430    66.6
19920501 19920531    29.8
19920601 19920630    21.6
19920701 19920731    63.0
19920801 19920831    55.4
19920901 19920930    54.0
19921001 19921031    55.6
19921101 19921130    40.4
19921201 19921231    20.8
19930101 19930131    33.2
19930201 19930228    77.0
19930301 19930331    33.6
19930401 19930430    10.0
19930501 19930531    13.6
19930601 19930630    25.6
19930701 19930731    22.6
19930801 19930831    21.6
19930901 19930930    39.4
19931001 19931031    41.4
19931101 19931130    59.4
19931201 19931231   169.4
19940101 19940131    24.0
19940201 19940228    36.8
19940301 19940331    11.4
19940401 19940430    48.4
19940501 19940531    39.4
19940601 19940630    13.4
19940701 19940731    19.6
19940801 19940831    59.8
19940901 19940930    26.4
19941001 19941031    33.2
19941101 19941130    29.4
19941201 19941231     4.8
19950101 19950131    85.4
19950201 19950228    25.0
19950301 19950331     4.6
19950401 19950430    93.4
19950501 19950531     3.6
19950601 19950630    50.8
19950701 19950731    52.8
19950801 19950831    61.8
19950901 19950930    23.4
19951001 19951031    34.0
19951101 19951130    55.0
19951201 19951231   106.0
19960101 19960131   106.8
19960201 19960229    65.0
19960301 19960331    35.2
19960401 19960430   127.2
19960501 19960531    11.4
19960601 19960630    20.6
19960701 19960731    46.8
19960801 19960831    31.2
19960901 19960930    55.4
19961001 19961031    41.6
19961101 19961130    58.2
19961201 19961231    22.0
19970101 19970131    86.2
19970201 19970228    41.2
19970301 19970331    66.6
19970401 19970430    17.2
19970501 19970531    26.8
19970601 19970630    21.2
19970701 19970731    14.8
19970801 19970831    59.6
19970901 19970930    41.4
19971001 19971031    32.2
19971101 19971130    39.6
19971201 19971231    17.2
19980101 19980131    33.0
19980201 19980228    81.4
19980301 19980331     8.2
19980401 19980430    34.2
19980501 19980531    22.6
19980601 19980630    82.0
19980701 19980731    34.4
19980801 19980831    13.2
19980901 19980930    50.0
19981001 19981031    50.0
19981101 19981130    56.6
19981201 19981231    87.0
19990101 19990131    11.6
19990201 19990228    71.4
19990301 19990331   105.2
19990401 19990430    40.8
19990501 19990531    24.2
19990601 19990630    18.2
19990701 19990731    33.6
19990801 19990831    13.2
19990901 19990930    15.4
19991001 19991031    29.0
19991101 19991130    34.2
19991201 19991231    36.2
20000101 20000131    77.8
20000201 20000229    29.0
20000301 20000331    16.6
20000401 20000430    15.2
20000501 20000531    36.8
20000601 20000630    14.4
20000701 20000731    82.6
20000801 20000831    47.6
20000901 20000930    27.0
20001001 20001031    57.6
20001101 20001130    32.6
20001201 20001231    36.2
20010101 20010131    12.6
20010201 20010228     2.6
20010301 20010331    57.8
20010401 20010430    59.4
20010501 20010531    28.4
20010601 20010630    43.4
20010701 20010731    34.2
20010801 20010831    51.8
20010901 20010930    36.0
20011001 20011031    74.6
20011101 20011130   110.0
20011201 20011231    44.6
20020101 20020131   105.4
20020201 20020228    45.2
20020301 20020331    14.6
20020401 20020430    17.8
20020501 20020531    46.2
20020601 20020630    45.0
20020701 20020731    23.2
20020801 20020831    55.8
20020901 20020930    37.4
20021001 20021031    52.2
20021101 20021130    10.6
20021201 20021231     5.4
20030101 20030131    17.2
20030201 20030228     9.6
20030301 20030331   120.6
20030401 20030430    51.6
20030501 20030531    33.4
20030601 20030630    49.2
20030701 20030731    29.6
20030801 20030831    87.2
20030901 20030930    51.8
20031001 20031031    17.0
20031101 20031130     1.2
20031201 20031231    22.8
20040101 20040131    77.0
20040201 20040229    10.8
20040301 20040331    17.6
20040401 20040430    53.2
20040501 20040531    37.8
20040601 20040630    64.4
20040701 20040731    36.3
20040801 20040831    47.4
20040901 20040930    24.8
20041001 20041031    27.2
20041101 20041130    58.0
20041201 20041231    25.0
20050101 20050131    36.6
20050201 20050228    79.6
20050301 20050331    28.2
20050401 20050430    36.0
20050501 20050531    22.8
20050601 20050630    38.0
20050701 20050731    26.6
20050801 20050831    31.8
20050901 20050930   107.2
20051001 20051031    63.2
20051101 20051130    50.0
20051201 20051231    84.4
20060101 20060131    39.0
20060201 20060228    23.8
20060301 20060331    11.6
20060401 20060430    42.0
20060501 20060531    22.6
20060601 20060630     5.8
20060701 20060731    39.2
20060801 20060831     7.0
20060901 20060930    34.8
20061001 20061031    40.6
20061101 20061130    15.0
20061201 20061231    42.2
20070101 20070131    80.8
20070201 20070228    34.2
20070301 20070331    18.2
20070401 20070430    18.2
20070501 20070531    22.8
20070601 20070630    31.2
20070701 20070731    40.2
20070801 20070831    34.8
20070901 20070930    37.2
20071001 20071031    28.6
20071101 20071130     4.8
20071201 20071231    50.0
20080101 20080131     6.4
20080201 20080229    62.0
20080301 20080331    36.2
20080401 20080430    14.6
20080501 20080531    14.0
20080601 20080630     6.4
20080701 20080731    37.2
20080801 20080831    24.4
20080901 20080930    15.4
20081001 20081031    19.8
20081101 20081130    61.0
20081201 20081231    34.0
20090101 20090131    10.8
20090201 20090228    36.6
20090301 20090331    46.4
20090401 20090430    44.6
20090501 20090531    28.6
20090601 20090630   125.2
20090701 20090731    41.4
20090801 20090831    72.6
20090901 20090930   111.0
20091001 20091031    39.2
20091101 20091130    52.6
20091201 20091231    68.2
20100101 20100131     8.8
20100201 20100228    42.2
20100301 20100331    20.6
20100401 20100430    23.4
20100501 20100531    31.4
20100601 20100630     4.6
20100701 20100731     3.6
20100801 20100831    72.6
20100901 20100930    62.0
20101001 20101031    33.8
20101101 20101130    80.0
20101201 20101231    30.4
20110101 20110131    34.2
20110201 20110228    30.6
20110301 20110331    57.4
20110401 20110430   100.8
20110501 20110531    27.0
20110601 20110630    91.6
