PRCP       094063 18901101 20110630 missing_value=99999.9 SORELL (WHITLEA)                          
19121001 19121031    68.7
19121101 19121130    35.8
19121201 19121231    79.1
19130101 19130131    24.0
19130201 19130228     1.9
19130301 19130331    48.3
19130401 19130430    61.5
19130501 19130531    11.8
19130601 19130630    31.2
19130701 19130731    16.1
19130801 19130831    30.4
19130901 19130930    28.6
19131001 19131031    54.0
19131101 19131130    77.7
19131201 19131231    20.4
19140101 19140131     6.4
19140201 19140228     4.8
19140301 19140331    31.4
19140401 19140430    73.4
19140501 19140531    17.8
19140601 19140630     9.7
19140701 19140731    42.2
19140801 19140831    10.9
19140901 19140930    24.5
19141001 19141031     9.1
19141101 19141130    52.0
19141201 19141231    54.3
19150101 19150131     7.0
19150201 19150228    47.0
19150301 19150331    58.7
19150401 19150430   113.0
19150501 19150531    56.5
19150601 19150630    30.7
19150701 19150731    13.3
19150801 19150831    44.5
19150901 19150930    24.7
19151001 19151031    65.2
19151101 19151130    46.5
19151201 19151231     5.4
19160101 19160131   113.1
19160201 19160229    44.5
19160301 19160331    18.8
19160401 19160430    84.8
19160501 19160531    32.2
19160601 19160630    41.3
19160701 19160731    52.3
19160801 19160831    58.1
19160901 19160930    40.4
19161001 19161031    63.5
19161101 19161130   119.5
19161201 19161231   197.0
19170101 19170131    15.6
19170201 19170228    48.8
19170301 19170331    50.5
19170401 19170430    74.1
19170501 19170531    57.1
19170601 19170630    73.2
19170701 19170731    32.2
19170801 19170831    32.5
19170901 19170930   110.8
19171001 19171031    70.8
19171101 19171130    66.0
19171201 19171231    30.1
19180101 19180131    13.9
19180201 19180228    90.1
19180301 19180331    42.2
19180401 19180430    64.3
19180501 19180531    45.4
19180601 19180630    20.0
19180701 19180731    49.3
19180801 19180831    61.7
19180901 19180930    58.7
19181001 19181031    63.3
19181101 19181130    29.2
19181201 19181231    34.8
19190101 19190131    36.0
19190201 19190228    41.7
19190301 19190331    89.3
19190401 19190430    17.3
19190501 19190531    17.1
19190601 19190630    41.3
19190701 19190731    42.3
19190801 19190831    22.4
19190901 19190930    21.6
19191001 19191031    30.8
19191101 19191130     5.6
19191201 19191231    40.5
19200101 19200131    20.6
19200201 19200229     8.6
19200301 19200331    39.6
19200401 19200430    37.9
19200501 19200531    40.9
19200601 19200630    70.0
19200701 19200731    21.8
19200801 19200831    42.3
19200901 19200930    50.5
19201001 19201031    22.4
19201101 19201130    14.9
19201201 19201231    52.9
19210101 19210131    54.7
19210201 19210228    31.5
19210301 19210331    26.6
19210401 19210430    20.8
19210501 19210531    26.1
19210601 19210630    30.1
19210701 19210731    65.3
19210801 19210831    46.8
19210901 19210930    15.3
19211001 19211031    20.7
19211101 19211130    24.2
19211201 19211231    31.0
19220101 19220131    43.9
19220201 19220228    89.1
19220301 19220331    15.0
19220401 19220430    32.6
19220501 19220531    15.1
19220601 19220630    65.8
19220701 19220731   123.6
19220801 19220831    37.1
19220901 19220930    15.8
19221001 19221031    65.8
19221101 19221130    10.2
19221201 19221231   108.0
19230101 19230131    64.9
19230201 19230228    20.1
19230301 19230331    54.2
19230401 19230430     0.8
19230501 19230531    70.3
19230601 19230630   103.6
19230701 19230731    35.3
19230801 19230831    36.1
19230901 19230930    65.9
19231001 19231031    93.5
19231101 19231130   145.3
19231201 19231231    86.4
19240101 19240131   126.6
19240201 19240229    59.4
19240301 19240331    69.3
19240401 19240430    40.0
19240501 19240531    16.3
19240601 19240630    81.5
19240701 19240731    12.1
19240801 19240831    47.8
19240901 19240930    42.3
19241001 19241031    50.0
19241101 19241130    68.6
19241201 19241231    29.9
19250101 19250131    40.3
19250201 19250228    14.9
19250301 19250331    42.6
19250401 19250430    50.3
19250501 19250531    67.3
19250601 19250630    54.6
19250701 19250731    47.5
19250801 19250831    23.7
19250901 19250930    17.6
19251001 19251031    40.4
19251101 19251130    22.7
19251201 19251231    19.2
19260101 19260131    37.3
19260201 19260228    33.8
19260301 19260331    12.8
19260401 19260430    74.5
19260501 19260531    57.8
19260601 19260630    86.5
19260701 19260731    45.5
19260801 19260831    33.8
19260901 19260930    64.8
19261001 19261031   111.3
19261101 19261130    22.2
19261201 19261231    38.9
19270101 19270131    19.9
19270201 19270228    49.2
19270301 19270331    29.4
19270401 19270430    11.7
19270501 19270531    44.6
19270601 19270630    19.5
19270701 19270731    30.6
19270801 19270831    26.3
19270901 19270930    17.9
19271001 19271031    35.2
19271101 19271130    33.9
19271201 19271231    69.2
19280101 19280131   115.5
19280201 19280229    54.1
19280301 19280331    21.7
19280401 19280430    60.0
19280501 19280531    52.9
19280601 19280630    35.9
19280701 19280731    18.7
19280801 19280831    16.5
19280901 19280930   102.2
19281001 19281031    53.3
19281101 19281130    33.7
19281201 19281231    42.0
19290101 19290131    54.9
19290201 19290228    17.7
19290301 19290331    27.0
19290401 19290430   159.8
19290501 19290531   101.1
19290601 19290630    31.0
