PRCP       064008 18790401 20180131 missing_value=99999.9 COONABARABRAN (NAMOI STREET)              
19750301 19750331    41.4
19750401 19750430    21.0
19750501 19750531     2.8
19750601 19750630    62.2
19750701 19750731    37.0
19750801 19750831    48.8
19750901 19750930    45.4
19751001 19751031   113.0
19751101 19751130    37.8
19751201 19751231    54.8
19760101 19760131   310.4
19760201 19760229   180.0
19760301 19760331    81.6
19760401 19760430     2.6
19760501 19760531    18.6
19760601 19760630    60.7
19760701 19760731   100.6
19760801 19760831    12.2
19760901 19760930    83.6
19761001 19761031    72.2
19761101 19761130    77.4
19761201 19761231    41.2
19770101 19770131   170.5
19770201 19770228   188.0
19770301 19770331   114.1
19770401 19770430    45.1
19770501 19770531   185.0
19770601 19770630    36.2
19770701 19770731     6.8
19770801 19770831    33.2
19770901 19770930    28.8
19771001 19771031    27.6
19771101 19771130    41.0
19771201 19771231    28.8
19780101 19780131   186.6
19780201 19780228    40.6
19780301 19780331    96.8
19780401 19780430     2.6
19780501 19780531    99.2
19780601 19780630    57.6
19780701 19780731    85.4
19780801 19780831    35.0
19780901 19780930   146.0
19781001 19781031    26.4
19781101 19781130   114.4
19781201 19781231   144.8
19790101 19790131    23.0
19790201 19790228     5.2
19790301 19790331    66.8
19790401 19790430    14.0
19790501 19790531    56.4
19790601 19790630    58.8
19790701 19790731    38.2
19790801 19790831    28.4
19790901 19790930    86.0
19791001 19791031    83.4
19791101 19791130    94.8
19791201 19791231    48.6
19800101 19800131   119.2
19800201 19800229    31.0
19800301 19800331    81.2
19800401 19800430     1.0
19800501 19800531   134.6
19800601 19800630    53.0
19800701 19800731    38.2
19800801 19800831    35.6
19800901 19800930     0.4
19801001 19801031    66.0
19801101 19801130     1.4
19801201 19801231   105.8
19810101 19810131    41.4
19810201 19810228   123.8
19810301 19810331     0.0
19810401 19810430    14.8
19810501 19810531    61.4
19810601 19810630   131.6
19810701 19810731    87.8
19810801 19810831    15.0
19810901 19810930    46.0
19811001 19811031   100.2
19811101 19811130   102.0
19811201 19811231    34.2
19820101 19820131    73.4
19820201 19820228    29.6
19820301 19820331   132.2
19820401 19820430     2.2
19820501 19820531    47.2
19820601 19820630    13.8
19820701 19820731    10.6
19820801 19820831     0.0
19820901 19820930     8.8
19821001 19821031    31.8
19821101 19821130    15.0
19821201 19821231    49.4
19830101 19830131   223.4
19830201 19830228    26.2
19830301 19830331    42.0
19830401 19830430   131.6
19830501 19830531   214.8
19830601 19830630    31.4
19830701 19830731    66.4
19830801 19830831    78.8
19830901 19830930    64.8
19831001 19831031    52.2
19831101 19831130   119.2
19831201 19831231    56.0
19840101 19840131   338.0
19840201 19840229    46.4
19840301 19840331    33.4
19840401 19840430    84.2
19840501 19840531     7.4
19840601 19840630     4.6
19840701 19840731   124.6
19840801 19840831    48.6
19840901 19840930    48.8
19841001 19841031    33.0
19841101 19841130    47.6
19841201 19841231    36.6
19850101 19850131     2.8
19850201 19850228    41.2
19850301 19850331    11.2
19850401 19850430    52.0
19850501 19850531    52.4
19850601 19850630    61.2
19850701 19850731    11.4
19850801 19850831   170.8
19850901 19850930    27.0
19851001 19851031    88.2
19851101 19851130    95.2
19851201 19851231   137.2
19860101 19860131    48.4
19860201 19860228     6.2
19860301 19860331     0.0
19860401 19860430    27.8
19860501 19860531    47.4
19860601 19860630     1.2
19860701 19860731   129.6
19860801 19860831    77.4
19860901 19860930    54.2
19861001 19861031    48.0
19861101 19861130    76.0
19861201 19861231    28.0
19870101 19870131    97.4
19870201 19870228    62.4
19870301 19870331   132.0
19870401 19870430     1.8
19870501 19870531    77.6
19870601 19870630    57.2
19870701 19870731    24.0
19870801 19870831   147.6
19870901 19870930    16.2
19871001 19871031    68.8
19871101 19871130    39.0
19871201 19871231    63.6
19880101 19880131   158.6
19880201 19880229    57.8
19880301 19880331    15.8
19880401 19880430   225.2
19880501 19880531    45.4
19880601 19880630    33.4
19880701 19880731    77.6
19880801 19880831    38.0
19880901 19880930    52.8
19881001 19881031     6.0
19881101 19881130    41.8
19881201 19881231   100.2
19890101 19890131    32.0
19890201 19890228    67.8
19890301 19890331   125.2
19890401 19890430   132.2
19890501 19890531   169.8
19890601 19890630   117.2
19890701 19890731    74.6
19890801 19890831    12.0
19890901 19890930     2.0
19891001 19891031    50.4
19891101 19891130   116.8
19891201 19891231    55.8
19900101 19900131    74.0
19900201 19900228    35.8
19900301 19900331   124.6
19900401 19900430   254.0
19900501 19900531   114.0
19900601 19900630    28.6
19900701 19900731    88.8
19900801 19900831    34.6
19900901 19900930    23.2
19901001 19901031    63.2
19901101 19901130    27.0
19901201 19901231    49.0
19910101 19910131   204.8
19910201 19910228    69.8
19910301 19910331    29.4
19910401 19910430    22.6
19910501 19910531   127.4
19910601 19910630   143.4
19910701 19910731    72.8
19910801 19910831     4.0
19910901 19910930    30.6
19911001 19911031    14.4
19911101 19911130    24.0
19911201 19911231   156.0
19920101 19920131   114.0
19920201 19920229   171.7
19920301 19920331    26.2
19920401 19920430    26.2
19920501 19920531    19.6
19920601 19920630    10.8
19920701 19920731    41.8
19920801 19920831    92.2
19920901 19920930    38.9
19921001 19921031    70.2
19921101 19921130   123.0
19921201 19921231   135.8
19930101 19930131    82.6
19930201 19930228    42.4
19930301 19930331    45.0
19930401 19930430     0.8
19930501 19930531    55.6
19930601 19930630    63.6
19930701 19930731   114.8
19930801 19930831    27.2
19930901 19930930    91.2
19931001 19931031   129.6
19931101 19931130    85.4
19931201 19931231   163.2
19940101 19940131    13.4
19940201 19940228   104.2
19940301 19940331    74.0
19940401 19940430    11.4
19940501 19940531     4.8
19940601 19940630    20.6
19940701 19940731    16.0
19940801 19940831    10.6
19940901 19940930     3.8
19941001 19941031    20.2
19941101 19941130    92.6
19941201 19941231    47.0
19950101 19950131   250.0
19950201 19950228    18.2
19950301 19950331     0.0
19950401 19950430     2.4
19950501 19950531   103.0
19950601 19950630    64.2
19950701 19950731    22.6
19950801 19950831     0.0
19950901 19950930    89.8
19951001 19951031    35.3
19951101 19951130   108.0
19951201 19951231    61.8
19960101 19960131   222.2
19960201 19960229    11.8
19960301 19960331     7.0
19960401 19960430     3.4
19960501 19960531    63.0
19960601 19960630    57.2
19960701 19960731   117.8
19960801 19960831   105.4
19960901 19960930    61.2
19961001 19961031    45.6
19961101 19961130    87.4
19961201 19961231   194.0
19970101 19970131   162.6
19970201 19970228   130.4
19970301 19970331    20.2
19970401 19970430     1.4
19970501 19970531    72.6
19970601 19970630    30.0
19970701 19970731    15.8
19970801 19970831    12.4
19970901 19970930   139.2
19971001 19971031    94.8
19971101 19971130    35.8
19971201 19971231    94.8
19980101 19980131   109.4
19980201 19980228    74.4
19980301 19980331     7.4
19980401 19980430   105.6
19980501 19980531    77.0
19980601 19980630    88.0
19980701 19980731   246.2
19980801 19980831   121.2
19980901 19980930   134.4
19981001 19981031   112.8
19981101 19981130    99.8
19981201 19981231    14.6
19990101 19990131    20.8
19990201 19990228    74.8
19990301 19990331   145.6
19990401 19990430   123.6
19990501 19990531    12.4
19990601 19990630    50.8
19990701 19990731    63.4
19990801 19990831    55.2
19990901 19990930    43.4
19991001 19991031   140.6
19991101 19991130   103.6
19991201 19991231    50.8
20000101 20000131    74.4
20000201 20000229    19.6
20000301 20000331   132.6
20000401 20000430    81.0
20000501 20000531   123.4
20000601 20000630    40.4
20000701 20000731    34.2
20000801 20000831    74.0
20000901 20000930    13.4
20001001 20001031   147.0
20001101 20001130   316.8
20001201 20001231    24.4
20010101 20010131    58.8
20010201 20010228    50.2
20010301 20010331    97.2
20010401 20010430    29.2
20010501 20010531    29.2
20010601 20010630    32.2
20010701 20010731    89.6
20010801 20010831    16.0
20010901 20010930    26.2
20011001 20011031    93.6
20011101 20011130   148.6
20011201 20011231    20.4
20020101 20020131    33.8
20020201 20020228   104.4
20020301 20020331    47.4
20020401 20020430    11.0
20020501 20020531    13.2
20020601 20020630    40.4
20020701 20020731     3.8
20020801 20020831    10.0
20020901 20020930    54.2
20021001 20021031     6.0
20021101 20021130    31.4
20021201 20021231    83.4
20030101 20030131    24.2
20030201 20030228   104.4
20030301 20030331    10.6
20030401 20030430   188.0
20030501 20030531     5.4
20030601 20030630    56.8
20030701 20030731    33.2
20030801 20030831   131.8
20030901 20030930     4.8
20031001 20031031    52.4
20031101 20031130    29.2
20031201 20031231    25.2
20040101 20040131   118.1
20040201 20040229   196.0
20040301 20040331    55.6
20040401 20040430    49.0
20040501 20040531    54.4
20040601 20040630    26.2
20040701 20040731    56.8
20040801 20040831    57.4
20040901 20040930    39.8
20041001 20041031    36.8
20041101 20041130    85.6
20041201 20041231   121.0
20050101 20050131    70.2
20050201 20050228    34.8
20050301 20050331    64.4
20050401 20050430     0.6
20050501 20050531    24.0
20050601 20050630   175.0
20050701 20050731    28.6
20050801 20050831    37.4
20050901 20050930   101.4
20051001 20051031   109.8
20051101 20051130    64.4
20051201 20051231    18.0
20060101 20060131    45.2
20060201 20060228    49.4
20060301 20060331    27.0
20060401 20060430    47.6
20060501 20060531     0.0
20060601 20060630    61.0
20060701 20060731   101.6
20060801 20060831    15.4
20060901 20060930    15.0
20061001 20061031     1.4
20061101 20061130    52.8
20061201 20061231    44.8
20070101 20070131    98.6
20070201 20070228   106.8
20070301 20070331    99.8
20070401 20070430    17.4
20070501 20070531    77.0
20070601 20070630   100.2
20070701 20070731    10.6
20070801 20070831    22.4
20070901 20070930     1.8
20071001 20071031    60.4
20071101 20071130    87.0
20071201 20071231   289.6
20080101 20080131    79.8
20080201 20080229   146.8
20080301 20080331    29.0
20080401 20080430    24.4
20080501 20080531    27.2
20080601 20080630    48.2
20080701 20080731    34.4
20080801 20080831    52.4
20080901 20080930    86.2
20081001 20081031    70.8
20081101 20081130   163.2
20081201 20081231   131.2
20090101 20090131    36.8
20090201 20090228   141.6
20090301 20090331     2.4
20090401 20090430    49.8
20090501 20090531    32.2
20090601 20090630    58.2
20090701 20090731    27.2
20090801 20090831    14.0
20090901 20090930    84.2
20091001 20091031    58.8
20091101 20091130     9.6
20091201 20091231   214.4
20100101 20100131   216.4
20100201 20100228   142.2
20100301 20100331    89.2
20100401 20100430    27.4
20100501 20100531    46.6
20100601 20100630    40.8
20100701 20100731   144.6
20100801 20100831    94.6
20100901 20100930    64.0
20101001 20101031   102.8
20101101 20101130   189.0
20101201 20101231   293.6
20110101 20110131    51.6
20110201 20110228    15.6
20110301 20110331    57.0
20110401 20110430    20.2
20110501 20110531    59.4
20110601 20110630    17.4
20110701 20110731     8.8
20110801 20110831    41.8
20110901 20110930    89.4
20111001 20111031    55.0
20111101 20111130   124.6
20111201 20111231   122.6
20120101 20120131   126.8
20120201 20120229   125.8
20120301 20120331   149.2
20120401 20120430    24.4
20120501 20120531    58.6
20120601 20120630    64.2
20120701 20120731   117.4
20120801 20120831     8.6
20120901 20120930    42.0
20121001 20121031     7.2
20121101 20121130    32.0
20121201 20121231    42.6
20130101 20130131    87.2
20130201 20130228    49.0
20130301 20130331   136.5
20130401 20130430     0.0
20130501 20130531    39.2
20130601 20130630   106.0
20130701 20130731    37.5
20130801 20130831     4.4
20130901 20130930    32.0
20131001 20131031     9.0
20131101 20131130    16.0
20131201 20131231    24.0
20140101 20140131     4.4
20140201 20140228    95.8
20140301 20140331   101.0
20140401 20140430    19.6
20140501 20140531    16.8
20140601 20140630    73.4
20140701 20140731    37.6
20140801 20140831    64.6
20140901 20140930    19.0
20141001 20141031    19.6
20141101 20141130    15.4
20141201 20141231    60.2
20150101 20150131    87.6
20150201 20150228    20.4
20150301 20150331    21.6
20150401 20150430   101.6
20150501 20150531    69.4
20150601 20150630    63.2
20150701 20150731    45.6
20150801 20150831 99999.9
20150901 20150930 99999.9
20151001 20151031 99999.9
20151101 20151130 99999.9
20151201 20151231 99999.9
20160101 20160131 99999.9
20160201 20160229 99999.9
20160301 20160331 99999.9
20160401 20160430 99999.9
20160501 20160531 99999.9
20160601 20160630 99999.9
20160701 20160731    22.6
20160801 20160831    55.1
20160901 20160930   261.2
20161001 20161031    90.3
20161101 20161130    14.7
20161201 20161231    22.7
20170101 20170131   113.7
20170201 20170228    17.5
20170301 20170331   147.5
20170401 20170430    12.1
20170501 20170531    20.1
20170601 20170630    11.5
20170701 20170731     0.5
20170801 20170831    20.8
20170901 20170930     3.2
20171001 20171031    60.9
20171101 20171130    49.1
20171201 20171231    82.2
20180101 20180131    43.9
