PRCP       064008 18790401 20180131 missing_value=99999.9 COONABARABRAN (NAMOI STREET)              
19010201 19010228     0.0
19010301 19010331    41.6
19010401 19010430    74.2
19010501 19010531    83.6
19010601 19010630    47.6
19010701 19010731    20.5
19010801 19010831   140.6
19010901 19010930    30.2
19011001 19011031    59.3
19011101 19011130    42.7
19011201 19011231     5.1
19020101 19020131    10.4
19020201 19020228     8.0
19020301 19020331    15.3
19020401 19020430     4.5
19020501 19020531     0.5
19020601 19020630    18.6
19020701 19020731     3.3
19020801 19020831    61.6
19020901 19020930    14.0
19021001 19021031    55.2
19021101 19021130    38.3
19021201 19021231   161.3
19030101 19030131    13.5
19030201 19030228     1.9
19030301 19030331    44.7
19030401 19030430   105.5
19030501 19030531   115.8
19030601 19030630     5.1
19030701 19030731    64.1
19030801 19030831    41.9
19030901 19030930   152.4
19031001 19031031    55.8
19031101 19031130    50.8
19031201 19031231    60.9
19040101 19040131    48.4
19040201 19040229   266.9
19040301 19040331   113.1
19040401 19040430    10.9
19040501 19040531    16.3
19040601 19040630    29.5
19040701 19040731    67.0
19040801 19040831    42.4
19040901 19040930    15.3
19041001 19041031    92.7
19041101 19041130    22.8
19041201 19041231    50.8
19050101 19050131     0.6
19050201 19050228    88.3
19050301 19050331    76.2
19050401 19050430   213.4
19050501 19050531    55.8
19050601 19050630    48.5
19050701 19050731    44.2
19050801 19050831    29.2
19050901 19050930     5.6
19051001 19051031    23.6
19051101 19051130    27.7
19051201 19051231    13.2
19060101 19060131    67.1
19060201 19060228    53.8
19060301 19060331   102.9
19060401 19060430    85.1
19060501 19060531    35.6
19060601 19060630    60.5
19060701 19060731    17.5
19060801 19060831   146.3
19060901 19060930   144.5
19061001 19061031    51.8
19061101 19061130    77.5
19061201 19061231    49.4
19070101 19070131    90.4
19070201 19070228     6.1
19070301 19070331    72.9
19070401 19070430    41.2
19070501 19070531     4.6
19070601 19070630    88.8
19070701 19070731    57.7
19070801 19070831    71.2
19070901 19070930    23.6
19071001 19071031    12.7
19071101 19071130    77.0
19071201 19071231    74.4
19080101 19080131    25.1
19080201 19080229   223.1
19080301 19080331   102.1
19080401 19080430    69.0
19080501 19080531    28.4
19080601 19080630    48.2
19080701 19080731    28.4
19080801 19080831    43.5
19080901 19080930    49.0
19081001 19081031    56.9
19081101 19081130   104.4
19081201 19081231    58.4
19090101 19090131    25.2
19090201 19090228   196.2
19090301 19090331    34.2
19090401 19090430    56.7
19090501 19090531    18.2
19090601 19090630    67.7
19090701 19090731    36.3
19090801 19090831   148.7
19090901 19090930    55.7
19091001 19091031    26.4
19091101 19091130    53.2
19091201 19091231   126.5
19100101 19100131   207.6
19100201 19100228     6.8
19100301 19100331    66.0
19100401 19100430    16.3
19100501 19100531    45.3
19100601 19100630   107.8
19100701 19100731    28.3
19100801 19100831    20.5
19100901 19100930    30.7
19101001 19101031    62.8
19101101 19101130    51.8
19101201 19101231   107.6
19110101 19110131   205.0
19110201 19110228   141.6
19110301 19110331    33.5
19110401 19110430    15.0
19110501 19110531    55.1
19110601 19110630    23.2
19110701 19110731    74.7
19110801 19110831    41.8
19110901 19110930    94.5
19111001 19111031    14.8
19111101 19111130    45.2
19111201 19111231    67.1
19120101 19120131    41.1
19120201 19120229    27.2
19120301 19120331    20.4
19120401 19120430     0.8
19120501 19120531     4.0
19120601 19120630    92.5
19120701 19120731   100.2
19120801 19120831    27.9
19120901 19120930    10.1
19121001 19121031    44.0
19121101 19121130    29.5
19121201 19121231    28.2
19130101 19130131    29.7
19130201 19130228    61.2
19130301 19130331    60.2
19130401 19130430   115.3
19130501 19130531   135.1
19130601 19130630    55.9
19130701 19130731    22.9
19130801 19130831    13.3
19130901 19130930    34.1
19131001 19131031    34.5
19131101 19131130    21.6
19131201 19131231    50.8
19140101 19140131    58.0
19140201 19140228   119.8
19140301 19140331   105.3
19140401 19140430    15.0
19140501 19140531    69.5
19140601 19140630     0.5
19140701 19140731    33.5
19140801 19140831     0.0
19140901 19140930    12.4
19141001 19141031    34.3
19141101 19141130    60.3
19141201 19141231   100.6
19150101 19150131    22.3
19150201 19150228     7.7
19150301 19150331     9.6
19150401 19150430    20.1
19150501 19150531    67.3
19150601 19150630    22.6
19150701 19150731    69.5
19150801 19150831    45.2
19150901 19150930    20.8
19151001 19151031    53.8
19151101 19151130     1.3
19151201 19151231    44.1
19160101 19160131    24.0
19160201 19160229    36.1
19160301 19160331    11.5
19160401 19160430    91.7
19160501 19160531    24.1
19160601 19160630   162.5
19160701 19160731   141.2
19160801 19160831    58.9
19160901 19160930    83.7
19161001 19161031    88.0
19161101 19161130    64.7
19161201 19161231   120.9
19170101 19170131   112.1
19170201 19170228    56.4
19170301 19170331    11.7
19170401 19170430    16.5
19170501 19170531     3.5
19170601 19170630    81.2
19170701 19170731    30.0
19170801 19170831    47.9
19170901 19170930    81.0
19171001 19171031    43.4
19171101 19171130   123.8
19171201 19171231    78.1
19180101 19180131   162.5
19180201 19180228     5.1
19180301 19180331     8.1
19180401 19180430    38.7
19180501 19180531    29.6
19180601 19180630    22.9
19180701 19180731    57.7
19180801 19180831   133.1
19180901 19180930     7.6
19181001 19181031     8.3
19181101 19181130    21.1
19181201 19181231     2.0
19190101 19190131    50.3
19190201 19190228    41.2
19190301 19190331    28.1
19190401 19190430    14.2
19190501 19190531    81.1
19190601 19190630    17.0
19190701 19190731    15.3
19190801 19190831    30.4
19190901 19190930     5.1
19191001 19191031    12.3
19191101 19191130    10.7
19191201 19191231    78.1
19200101 19200131    66.5
19200201 19200229    39.1
19200301 19200331    11.2
19200401 19200430     9.2
19200501 19200531    19.3
19200601 19200630   231.8
19200701 19200731   310.9
19200801 19200831    70.9
19200901 19200930    91.5
19201001 19201031    29.6
19201101 19201130    46.4
19201201 19201231   115.6
19210101 19210131    19.1
19210201 19210228    16.3
19210301 19210331   129.5
19210401 19210430   107.2
19210501 19210531    94.9
19210601 19210630   151.2
19210701 19210731   116.6
19210801 19210831    41.6
19210901 19210930    35.8
19211001 19211031    23.8
19211101 19211130    49.0
19211201 19211231    70.1
19220101 19220131    24.2
19220201 19220228    34.6
19220301 19220331     5.6
19220401 19220430    16.3
19220501 19220531     2.0
19220601 19220630    37.0
19220701 19220731    75.7
19220801 19220831     6.1
19220901 19220930    25.4
19221001 19221031    26.6
19221101 19221130    16.5
19221201 19221231   112.3
19230101 19230131     4.0
19230201 19230228     0.8
19230301 19230331    32.3
19230401 19230430     0.0
19230501 19230531     3.0
19230601 19230630   123.8
19230701 19230731    66.1
19230801 19230831    13.3
19230901 19230930    59.7
19231001 19231031    18.1
19231101 19231130    30.2
19231201 19231231   147.6
