PRCP       003027 19090701 20180131 missing_value=99999.9 FOSSIL DOWNS                              
19310601 19310630     0.0
19310701 19310731     0.0
19310801 19310831     0.0
19310901 19310930     0.0
19311001 19311031     0.0
19311101 19311130     0.0
19311201 19311231    33.8
19320101 19320131   147.8
19320201 19320229    89.7
19320301 19320331    35.8
19320401 19320430     0.0
19320501 19320531     0.0
19320601 19320630     0.0
19320701 19320731     0.0
19320801 19320831     0.0
19320901 19320930     0.0
19321001 19321031     0.0
19321101 19321130     0.0
19321201 19321231   116.2
19330101 19330131    21.8
19330201 19330228   109.1
19330301 19330331    56.8
19330401 19330430     0.0
19330501 19330531     0.0
19330601 19330630     5.8
19330701 19330731     0.0
19330801 19330831    30.5
19330901 19330930     0.0
19331001 19331031     0.0
19331101 19331130     0.0
19331201 19331231    59.7
19340101 19340131   236.1
19340201 19340228    72.2
19340301 19340331   208.5
19340401 19340430    37.9
19340501 19340531    15.5
19340601 19340630     0.0
19340701 19340731    53.2
19340801 19340831     0.0
19340901 19340930     0.0
19341001 19341031     0.0
19341101 19341130     0.8
19341201 19341231     3.0
19350101 19350131   102.8
19350201 19350228    63.3
19350301 19350331   125.6
19350401 19350430     0.0
19350501 19350531     0.0
19350601 19350630     0.0
19350701 19350731     0.0
19350801 19350831     0.0
19350901 19350930     0.0
19351001 19351031     0.0
19351101 19351130    15.7
19351201 19351231    47.2
19360101 19360131    46.5
19360201 19360229   168.8
19360301 19360331     2.8
19360401 19360430     0.0
19360501 19360531     0.0
19360601 19360630     0.0
19360701 19360731     0.0
19360801 19360831     6.6
19360901 19360930     0.0
19361001 19361031     0.0
19361101 19361130    39.7
19361201 19361231    61.1
19370101 19370131   277.1
19370201 19370228    60.6
19370301 19370331    27.4
19370401 19370430     0.0
19370501 19370531     0.0
19370601 19370630     0.0
19370701 19370731     0.0
19370801 19370831     0.0
19370901 19370930     4.3
19371001 19371031     3.6
19371101 19371130     3.8
19371201 19371231   148.2
19380101 19380131   109.6
19380201 19380228   181.7
19380301 19380331     0.0
19380401 19380430     0.0
19380501 19380531     0.0
19380601 19380630     0.0
19380701 19380731     5.1
19380801 19380831     0.0
19380901 19380930     0.0
19381001 19381031     0.0
19381101 19381130    39.1
19381201 19381231    22.6
19390101 19390131    99.4
19390201 19390228   152.6
19390301 19390331    22.5
19390401 19390430     0.0
19390501 19390531     0.0
19390601 19390630    38.1
19390701 19390731    96.9
19390801 19390831     0.8
19390901 19390930     0.0
19391001 19391031     0.0
19391101 19391130    29.2
19391201 19391231    42.3
19400101 19400131   230.9
19400201 19400229    27.5
19400301 19400331    23.4
19400401 19400430     0.0
19400501 19400531     0.0
19400601 19400630     0.0
19400701 19400731     0.0
19400801 19400831     0.0
19400901 19400930     0.0
19401001 19401031     0.0
19401101 19401130     0.0
19401201 19401231    63.9
19410101 19410131    48.8
19410201 19410228    61.4
19410301 19410331   156.3
19410401 19410430     0.8
19410501 19410531    13.2
19410601 19410630    83.9
19410701 19410731     0.0
19410801 19410831     0.0
19410901 19410930     0.0
19411001 19411031     0.0
19411101 19411130    16.5
19411201 19411231    49.5
19420101 19420131   172.1
19420201 19420228   200.0
19420301 19420331   104.6
19420401 19420430     0.0
19420501 19420531     0.0
19420601 19420630     1.5
19420701 19420731     0.0
19420801 19420831     1.0
19420901 19420930     0.0
19421001 19421031    19.3
19421101 19421130    41.1
19421201 19421231    41.7
19430101 19430131   108.7
19430201 19430228   123.3
19430301 19430331   141.9
19430401 19430430   108.8
19430501 19430531     1.0
19430601 19430630     0.0
19430701 19430731    12.7
19430801 19430831     0.0
19430901 19430930     0.0
19431001 19431031     9.4
19431101 19431130     6.9
19431201 19431231    59.6
19440101 19440131   176.0
19440201 19440229    22.9
19440301 19440331    95.2
19440401 19440430    25.9
19440501 19440531     0.0
19440601 19440630     0.0
19440701 19440731     0.0
19440801 19440831     0.0
19440901 19440930     0.0
19441001 19441031     8.1
19441101 19441130     6.6
19441201 19441231   104.6
19450101 19450131    85.4
19450201 19450228   123.9
19450301 19450331    64.9
19450401 19450430     0.0
19450501 19450531     0.3
19450601 19450630     0.0
19450701 19450731     0.0
19450801 19450831     0.0
19450901 19450930     0.0
19451001 19451031     2.5
19451101 19451130     8.4
19451201 19451231    83.1
19460101 19460131   141.5
19460201 19460228    85.9
19460301 19460331    17.8
19460401 19460430     0.0
19460501 19460531     0.0
19460601 19460630     0.0
19460701 19460731     0.0
19460801 19460831     0.0
19460901 19460930     0.3
19461001 19461031     0.0
19461101 19461130     5.3
19461201 19461231    82.4
19470101 19470131    73.3
19470201 19470228   200.3
19470301 19470331    41.0
19470401 19470430     3.3
19470501 19470531     0.0
19470601 19470630     0.0
19470701 19470731     0.0
19470801 19470831    26.7
19470901 19470930     0.0
19471001 19471031     0.0
19471101 19471130     9.0
19471201 19471231    20.6
19480101 19480131    32.1
19480201 19480229   175.2
19480301 19480331    55.9
19480401 19480430    36.5
19480501 19480531     0.0
19480601 19480630     0.0
19480701 19480731    10.9
19480801 19480831     0.0
19480901 19480930     2.0
19481001 19481031     0.0
19481101 19481130    12.7
19481201 19481231   117.0
19490101 19490131    61.7
19490201 19490228   160.3
19490301 19490331    19.8
19490401 19490430     0.0
19490501 19490531   203.6
19490601 19490630     0.0
19490701 19490731     0.0
19490801 19490831     0.0
19490901 19490930     0.0
19491001 19491031     0.0
19491101 19491130    24.0
19491201 19491231   115.4
