PRCP       003027 19090701 20180131 missing_value=99999.9 FOSSIL DOWNS                              
20050801 20050831     0.0
20050901 20050930     0.0
20051001 20051031     0.0
20051101 20051130    11.0
20051201 20051231   209.9
20060101 20060131   246.0
20060201 20060228   103.0
20060301 20060331   141.8
20060401 20060430    10.4
20060501 20060531     0.0
20060601 20060630     0.0
20060701 20060731     0.0
20060801 20060831     0.0
20060901 20060930     0.0
20061001 20061031    27.0
20061101 20061130    50.2
20061201 20061231    54.4
20070101 20070131   224.4
20070201 20070228     0.0
20070301 20070331   296.4
20070401 20070430     0.0
20070501 20070531    17.0
20070601 20070630    27.2
20070701 20070731     0.0
20070801 20070831     0.0
20070901 20070930     0.0
20071001 20071031     0.0
20071101 20071130    12.0
20071201 20071231   109.8
20080101 20080131   159.6
20080201 20080229   348.5
20080301 20080331    18.2
20080401 20080430     6.0
20080501 20080531     0.0
20080601 20080630     7.0
20080701 20080731     0.0
20080801 20080831     0.0
20080901 20080930     0.0
20081001 20081031     0.0
20081101 20081130     8.6
20081201 20081231   284.3
20090101 20090131   210.3
20090201 20090228   181.3
20090301 20090331    68.8
20090401 20090430     0.0
20090501 20090531     0.0
20090601 20090630     0.0
20090701 20090731     0.0
20090801 20090831     0.0
20090901 20090930 99999.9
20091001 20091031    33.0
20091101 20091130     2.0
20091201 20091231    87.0
20100101 20100131   197.9
20100201 20100228   112.9
20100301 20100331    15.1
20100401 20100430     6.4
20100501 20100531    66.8
20100601 20100630     0.0
20100701 20100731    68.0
20100801 20100831    31.0
20100901 20100930     3.0
20101001 20101031    85.2
20101101 20101130    29.4
20101201 20101231    54.8
20110101 20110131   293.8
20110201 20110228   242.6
20110301 20110331   183.8
20110401 20110430    96.7
20110501 20110531     0.0
20110601 20110630     0.0
20110701 20110731     0.0
20110801 20110831     0.0
20110901 20110930     0.0
20111001 20111031    10.4
20111101 20111130    65.6
20111201 20111231   194.4
20120101 20120131   227.5
20120201 20120229    92.0
20120301 20120331   305.1
20120401 20120430     0.0
20120501 20120531     0.0
20120601 20120630     0.0
20120701 20120731     0.0
20120801 20120831     0.0
20120901 20120930     0.0
20121001 20121031     3.6
20121101 20121130    28.4
20121201 20121231   117.4
20130101 20130131   170.4
20130201 20130228   174.5
20130301 20130331   176.5
20130401 20130430    26.5
20130501 20130531    54.2
20130601 20130630     3.0
20130701 20130731     0.0
20130801 20130831     0.0
20130901 20130930     0.0
20131001 20131031     5.0
20131101 20131130    13.0
20131201 20131231   103.0
20140101 20140131   218.5
20140201 20140228   102.0
20140301 20140331    21.0
20140401 20140430     8.0
20140501 20140531    25.0
20140601 20140630     0.0
20140701 20140731     5.0
20140801 20140831     0.0
20140901 20140930     0.0
20141001 20141031     0.0
20141101 20141130    40.5
20141201 20141231   173.5
20150101 20150131   219.5
20150201 20150228    82.0
20150301 20150331   129.5
20150401 20150430     0.0
20150501 20150531     0.0
20150601 20150630     0.0
20150701 20150731     0.0
20150801 20150831     0.0
20150901 20150930     0.0
20151001 20151031    21.8
20151101 20151130    80.0
20151201 20151231 99999.9
20160101 20160131   154.9
20160201 20160229    35.4
20160301 20160331    66.4
20160401 20160430    11.4
20160501 20160531   165.0
20160601 20160630     0.0
20160701 20160731    35.2
20160801 20160831    46.7
20160901 20160930     0.0
20161001 20161031     7.0
20161101 20161130    15.0
20161201 20161231   300.2
20170101 20170131   229.2
20170201 20170228   221.0
20170301 20170331   120.4
20170401 20170430    21.2
20170501 20170531     0.0
20170601 20170630     0.0
20170701 20170731     0.0
20170801 20170831     0.0
20170901 20170930     0.0
20171001 20171031    16.0
20171101 20171130    38.2
20171201 20171231    89.2
20180101 20180131   316.0
