PRCP       035010 19310101 20101031 missing_value=99999.9 BLAIR ATHOL                               
19521201 19521231     6.3
19530101 19530131   258.4
19530201 19530228    63.3
19530301 19530331    18.3
19530401 19530430     1.0
19530501 19530531     0.0
19530601 19530630     0.0
19530701 19530731     0.0
19530801 19530831    31.8
19530901 19530930     0.0
19531001 19531031    43.8
19531101 19531130    17.3
19531201 19531231    14.3
19540101 19540131    84.2
19540201 19540228   403.6
19540301 19540331    73.2
19540401 19540430    98.1
19540501 19540531     0.0
19540601 19540630    13.2
19540701 19540731    58.7
19540801 19540831    19.6
19540901 19540930    24.9
19541001 19541031   107.9
19541101 19541130    20.0
19541201 19541231    65.7
19550101 19550131   149.1
19550201 19550228   331.7
19550301 19550331   277.7
19550401 19550430    41.4
19550501 19550531   155.7
19550601 19550630    19.9
19550701 19550731    23.4
19550801 19550831    13.2
19550901 19550930     0.0
19551001 19551031    36.6
19551101 19551130    16.5
19551201 19551231    27.4
19560101 19560131   105.9
19560201 19560229   316.5
19560301 19560331   156.4
19560401 19560430    26.9
19560501 19560531    70.7
19560601 19560630    58.7
19560701 19560731    55.7
19560801 19560831    11.4
19560901 19560930    35.3
19561001 19561031    38.6
19561101 19561130    50.6
19561201 19561231   238.1
19570101 19570131   196.5
19570201 19570228    62.5
19570301 19570331    74.4
19570401 19570430     0.0
19570501 19570531     6.1
19570601 19570630    22.3
19570701 19570731    61.0
19570801 19570831    64.1
19570901 19570930     0.8
19571001 19571031    15.5
19571101 19571130    22.1
19571201 19571231    30.3
19580101 19580131   269.3
19580201 19580228   263.0
19580301 19580331    94.7
19580401 19580430   159.9
19580501 19580531    18.8
19580601 19580630    50.7
19580701 19580731     1.0
19580801 19580831     0.0
19580901 19580930     2.3
19581001 19581031     6.3
19581101 19581130    28.5
19581201 19581231   165.6
19590101 19590131   156.8
19590201 19590228   145.2
19590301 19590331    50.0
19590401 19590430    24.1
19590501 19590531    68.5
19590601 19590630     2.0
19590701 19590731    29.2
19590801 19590831     2.1
19590901 19590930     1.8
19591001 19591031    59.9
19591101 19591130    13.2
19591201 19591231   111.7
19600101 19600131    72.2
19600201 19600229   159.7
19600301 19600331    29.3
19600401 19600430     1.5
19600501 19600531    36.1
19600601 19600630     4.1
19600701 19600731    14.3
19600801 19600831     5.1
19600901 19600930    20.0
19601001 19601031    24.9
19601101 19601130    77.8
19601201 19601231   117.0
19610101 19610131    86.2
19610201 19610228   158.5
19610301 19610331    42.9
19610401 19610430     0.8
19610501 19610531    16.3
19610601 19610630    14.0
19610701 19610731     6.4
19610801 19610831     2.3
19610901 19610930     2.5
19611001 19611031    15.5
19611101 19611130   221.8
19611201 19611231    25.0
19620101 19620131    37.6
19620201 19620228    70.3
19620301 19620331   147.9
19620401 19620430    41.4
19620501 19620531    50.6
19620601 19620630    24.4
19620701 19620731     1.8
19620801 19620831     0.0
19620901 19620930    25.7
19621001 19621031     5.5
19621101 19621130    10.2
19621201 19621231    65.3
19630101 19630131   198.1
19630201 19630228   101.9
19630301 19630331   168.8
