PRCP       007049 18990101 20170331 missing_value=99999.9 MILEURA                                   
19201201 19201231     0.0
19210101 19210131    10.9
19210201 19210228    21.6
19210301 19210331     7.6
19210401 19210430     0.0
19210501 19210531    60.7
19210601 19210630    17.5
19210701 19210731     3.5
19210801 19210831    39.9
19210901 19210930     0.0
19211001 19211031    16.7
19211101 19211130     0.0
19211201 19211231     0.0
19220101 19220131     0.0
19220201 19220228     0.0
19220301 19220331    22.4
19220401 19220430    13.2
19220501 19220531    79.3
19220601 19220630    18.5
19220701 19220731     6.6
19220801 19220831    18.1
19220901 19220930     2.5
19221001 19221031     0.0
19221101 19221130     0.0
19221201 19221231     0.0
19230101 19230131    45.0
19230201 19230228    18.3
19230301 19230331     6.0
19230401 19230430    43.7
19230501 19230531     0.0
19230601 19230630    37.3
19230701 19230731    55.1
19230801 19230831     4.6
19230901 19230930     0.0
19231001 19231031     0.0
19231101 19231130     0.0
19231201 19231231     7.6
19240101 19240131     0.0
19240201 19240229     3.6
19240301 19240331    11.2
19240401 19240430     0.0
19240501 19240531     0.0
19240601 19240630     9.1
19240701 19240731    21.6
19240801 19240831     7.6
19240901 19240930    19.8
19241001 19241031     0.0
19241101 19241130     9.4
19241201 19241231     0.0
19250101 19250131    43.4
19250201 19250228    18.8
19250301 19250331    30.7
19250401 19250430     0.0
19250501 19250531    28.4
19250601 19250630     6.1
19250701 19250731     1.8
19250801 19250831    15.2
19250901 19250930     7.4
19251001 19251031     3.0
19251101 19251130     2.5
19251201 19251231    18.6
19260101 19260131     8.9
19260201 19260228    13.1
19260301 19260331   128.2
19260401 19260430    12.7
19260501 19260531    16.3
19260601 19260630     3.0
19260701 19260731     9.7
19260801 19260831     0.0
19260901 19260930     0.0
19261001 19261031     0.0
19261101 19261130    10.4
19261201 19261231     8.1
19270101 19270131     1.3
19270201 19270228     8.3
19270301 19270331    66.2
19270401 19270430     0.0
19270501 19270531     9.9
19270601 19270630    54.2
19270701 19270731    24.9
19270801 19270831     3.3
19270901 19270930     9.4
19271001 19271031     6.8
19271101 19271130     0.0
19271201 19271231    18.5
19280101 19280131    17.9
19280201 19280229    28.0
19280301 19280331     1.0
19280401 19280430     3.0
19280501 19280531    46.5
19280601 19280630     8.7
19280701 19280731    21.4
19280801 19280831     1.3
19280901 19280930     3.3
19281001 19281031     0.0
19281101 19281130    21.3
19281201 19281231    13.7
19290101 19290131     0.5
19290201 19290228    61.2
19290301 19290331    45.5
19290401 19290430     0.0
19290501 19290531   100.4
19290601 19290630    32.9
19290701 19290731     0.0
19290801 19290831    23.7
19290901 19290930     0.0
19291001 19291031     0.0
19291101 19291130     0.5
19291201 19291231     0.0
19300101 19300131     0.0
19300201 19300228     1.5
19300301 19300331    35.8
19300401 19300430    20.0
19300501 19300531     1.6
19300601 19300630    14.3
19300701 19300731     3.6
19300801 19300831    48.6
19300901 19300930     0.8
19301001 19301031    47.0
19301101 19301130     0.3
19301201 19301231    11.4
19310101 19310131     5.2
19310201 19310228    43.7
19310301 19310331    31.3
19310401 19310430    24.9
19310501 19310531    38.9
19310601 19310630    54.8
19310701 19310731    26.7
