PRCP       050031 18901001 20180131 missing_value=99999.9 PEAK HILL POST OFFICE                     
19120901 19120930    21.3
19121001 19121031    23.4
19121101 19121130     4.6
19121201 19121231    18.5
19130101 19130131    31.2
19130201 19130228    43.7
19130301 19130331    88.1
19130401 19130430    40.6
19130501 19130531    59.4
19130601 19130630    64.8
19130701 19130731     7.7
19130801 19130831    15.8
19130901 19130930    11.6
19131001 19131031    34.0
19131101 19131130     1.0
19131201 19131231    17.3
19140101 19140131    52.8
19140201 19140228    68.1
19140301 19140331    98.9
19140401 19140430    13.8
19140501 19140531    77.5
19140601 19140630    29.2
19140701 19140731    46.5
19140801 19140831     0.0
19140901 19140930    27.4
19141001 19141031    21.5
19141101 19141130    36.2
19141201 19141231    86.9
19150101 19150131    14.8
19150201 19150228     5.3
19150301 19150331    15.5
19150401 19150430    40.6
19150501 19150531    80.8
19150601 19150630    62.2
19150701 19150731    57.6
19150801 19150831    35.3
19150901 19150930    23.6
19151001 19151031    57.4
19151101 19151130     1.0
19151201 19151231    22.6
19160101 19160131    52.0
19160201 19160229     9.4
19160301 19160331     9.1
19160401 19160430   188.0
19160501 19160531    12.0
19160601 19160630   186.5
19160701 19160731   120.5
19160801 19160831    76.9
19160901 19160930    64.8
19161001 19161031    91.0
19161101 19161130    67.9
19161201 19161231   103.9
19170101 19170131    93.2
19170201 19170228    27.2
19170301 19170331    29.7
19170401 19170430     2.0
19170501 19170531    11.9
19170601 19170630    59.7
19170701 19170731    67.9
19170801 19170831    85.6
19170901 19170930    36.6
19171001 19171031    71.7
19171101 19171130   116.3
19171201 19171231    28.0
19180101 19180131    85.8
19180201 19180228    17.0
19180301 19180331    15.8
19180401 19180430    17.1
19180501 19180531    31.0
19180601 19180630    34.2
19180701 19180731    39.8
19180801 19180831    96.2
19180901 19180930     6.6
19181001 19181031    22.0
19181101 19181130     3.0
19181201 19181231     5.6
19190101 19190131     6.6
19190201 19190228    61.5
19190301 19190331     0.0
19190401 19190430     9.1
19190501 19190531    88.3
19190601 19190630    11.5
19190701 19190731     3.6
19190801 19190831    27.2
19190901 19190930    22.9
19191001 19191031     2.1
19191101 19191130     3.1
19191201 19191231    92.1
19200101 19200131    20.2
19200201 19200229    29.2
19200301 19200331    56.7
19200401 19200430     4.1
19200501 19200531     1.3
19200601 19200630   123.7
19200701 19200731    70.3
19200801 19200831    50.6
19200901 19200930    47.6
19201001 19201031    32.9
19201101 19201130    25.6
19201201 19201231   125.8
19210101 19210131    45.0
19210201 19210228    17.1
19210301 19210331    47.5
19210401 19210430    64.5
19210501 19210531    50.2
19210601 19210630    35.0
19210701 19210731    50.4
19210801 19210831    37.5
19210901 19210930    24.9
19211001 19211031    20.7
19211101 19211130    75.4
19211201 19211231    69.4
19220101 19220131    35.4
19220201 19220228     3.9
19220301 19220331     0.0
19220401 19220430    29.0
19220501 19220531    23.9
19220601 19220630    32.9
19220701 19220731    39.4
19220801 19220831    14.8
