PRCP       018031 19100101 20171231 missing_value=99999.9 GILLES DOWNS                              
19311201 19311231     7.6
19320101 19320131     0.0
19320201 19320229    42.2
19320301 19320331     4.6
19320401 19320430    25.7
19320501 19320531    26.9
19320601 19320630    21.3
19320701 19320731    25.1
19320801 19320831    23.1
19320901 19320930    91.2
19321001 19321031    10.7
19321101 19321130     1.3
19321201 19321231     1.8
19330101 19330131     5.6
19330201 19330228     0.0
19330301 19330331    16.3
19330401 19330430     6.9
19330501 19330531    22.4
19330601 19330630     2.0
19330701 19330731    10.4
19330801 19330831    44.7
19330901 19330930    22.9
19331001 19331031     0.0
19331101 19331130    21.3
19331201 19331231    12.2
19340101 19340131     2.5
19340201 19340228    22.6
19340301 19340331    18.8
19340401 19340430     4.8
19340501 19340531     6.4
19340601 19340630     9.4
19340701 19340731     9.4
19340801 19340831    22.4
19340901 19340930    19.1
19341001 19341031    26.9
19341101 19341130    19.6
19341201 19341231     0.0
19350101 19350131    42.4
19350201 19350228     0.0
19350301 19350331    27.7
19350401 19350430    34.3
19350501 19350531     7.9
19350601 19350630    13.2
19350701 19350731     4.8
19350801 19350831    18.3
19350901 19350930    30.7
19351001 19351031    50.3
19351101 19351130     5.1
19351201 19351231     7.6
19360101 19360131    42.7
19360201 19360229    19.1
19360301 19360331     5.1
19360401 19360430     0.0
19360501 19360531     7.9
19360601 19360630     7.1
19360701 19360731    42.4
19360801 19360831    11.2
19360901 19360930     2.0
19361001 19361031    13.0
19361101 19361130     3.8
19361201 19361231    18.3
19370101 19370131    51.6
19370201 19370228    14.7
19370301 19370331     4.3
19370401 19370430     2.5
19370501 19370531    17.5
19370601 19370630    17.8
19370701 19370731    13.0
19370801 19370831    48.0
19370901 19370930     8.4
19371001 19371031     6.1
19371101 19371130   120.9
19371201 19371231    13.2
19380101 19380131     4.3
19380201 19380228    86.9
19380301 19380331     0.0
19380401 19380430     8.7
19380501 19380531     0.0
19380601 19380630    21.8
19380701 19380731    25.5
19380801 19380831    35.0
19380901 19380930     4.3
19381001 19381031    52.3
19381101 19381130     1.6
19381201 19381231     0.0
19390101 19390131     8.9
19390201 19390228    39.9
19390301 19390331    18.1
19390401 19390430     2.5
19390501 19390531    22.1
19390601 19390630    15.0
19390701 19390731    20.5
19390801 19390831    32.4
19390901 19390930     8.9
19391001 19391031     0.0
19391101 19391130    49.1
19391201 19391231     0.0
19400101 19400131    22.9
19400201 19400229     1.3
19400301 19400331    20.8
19400401 19400430     4.4
19400501 19400531    14.5
19400601 19400630     3.0
19400701 19400731    10.5
19400801 19400831    12.1
19400901 19400930     2.1
19401001 19401031     2.7
19401101 19401130     3.8
19401201 19401231     8.1
19410101 19410131    53.4
19410201 19410228     0.0
19410301 19410331    12.3
19410401 19410430     8.9
19410501 19410531     2.3
19410601 19410630    15.4
19410701 19410731    20.5
19410801 19410831    10.4
19410901 19410930    22.3
19411001 19411031    37.5
19411101 19411130    34.0
19411201 19411231     1.5
19420101 19420131    38.9
19420201 19420228     0.5
19420301 19420331     4.6
19420401 19420430    78.5
19420501 19420531    61.4
19420601 19420630    40.4
19420701 19420731    18.9
19420801 19420831    37.8
19420901 19420930    38.7
19421001 19421031     2.3
19421101 19421130    36.5
19421201 19421231    34.0
19430101 19430131     5.6
19430201 19430228    14.5
19430301 19430331     0.8
19430401 19430430     5.1
19430501 19430531     0.8
19430601 19430630     9.7
19430701 19430731    12.8
19430801 19430831    21.2
19430901 19430930    16.0
19431001 19431031    28.9
19431101 19431130     5.1
19431201 19431231     3.5
19440101 19440131     0.0
19440201 19440229    58.4
19440301 19440331     0.0
19440401 19440430    24.2
19440501 19440531    27.2
19440601 19440630     1.3
19440701 19440731     6.6
19440801 19440831    13.9
19440901 19440930     8.6
19441001 19441031     7.9
19441101 19441130     1.3
19441201 19441231    27.9
19450101 19450131    19.3
19450201 19450228     4.1
19450301 19450331     0.0
19450401 19450430     0.0
19450501 19450531     4.6
19450601 19450630    23.1
19450701 19450731     9.0
19450801 19450831     8.9
19450901 19450930    16.4
19451001 19451031    26.3
19451101 19451130    12.9
19451201 19451231    38.6
19460101 19460131    48.0
19460201 19460228   199.1
19460301 19460331     5.9
19460401 19460430     9.9
19460501 19460531    14.8
19460601 19460630    11.7
19460701 19460731    19.9
19460801 19460831     8.3
19460901 19460930    13.5
19461001 19461031     6.1
19461101 19461130    58.0
19461201 19461231    59.2
19470101 19470131     9.4
19470201 19470228    13.7
19470301 19470331   180.6
19470401 19470430    18.3
19470501 19470531     4.8
19470601 19470630    22.7
19470701 19470731    17.9
19470801 19470831    29.2
19470901 19470930    21.9
19471001 19471031    25.4
19471101 19471130     1.8
19471201 19471231    12.4
19480101 19480131     0.0
19480201 19480229     0.0
19480301 19480331     0.0
19480401 19480430    21.4
19480501 19480531     2.5
19480601 19480630    14.8
19480701 19480731     2.5
19480801 19480831     5.1
19480901 19480930     0.0
19481001 19481031    31.8
19481101 19481130    24.1
19481201 19481231    38.4
19490101 19490131     0.0
19490201 19490228    38.6
19490301 19490331     0.0
19490401 19490430     2.5
