PRCP       018031 19100101 20171231 missing_value=99999.9 GILLES DOWNS                              
20051101 20051130    17.5
20051201 20051231    18.5
20060101 20060131     4.0
20060201 20060228    19.0
20060301 20060331    12.5
20060401 20060430    24.0
20060501 20060531    10.5
20060601 20060630     7.0
20060701 20060731    29.0
20060801 20060831     0.0
20060901 20060930     2.5
20061001 20061031     0.0
20061101 20061130     7.0
20061201 20061231    21.5
20070101 20070131   177.0
20070201 20070228     7.0
20070301 20070331    86.0
20070401 20070430    21.5
20070501 20070531    50.5
20070601 20070630    15.0
20070701 20070731     0.0
20070801 20070831     6.0
20070901 20070930     0.0
20071001 20071031    15.0
20071101 20071130     7.0
20071201 20071231    19.0
20080101 20080131     3.0
20080201 20080229     0.0
20080301 20080331     0.0
20080401 20080430     5.0
20080501 20080531    10.0
20080601 20080630    26.0
20080701 20080731    16.0
20080801 20080831    26.0
20080901 20080930     1.5
20081001 20081031     2.5
20081101 20081130     9.5
20081201 20081231    73.0
20090101 20090131     0.0
20090201 20090228     7.0
20090301 20090331     9.0
20090401 20090430    10.5
20090501 20090531    21.0
20090601 20090630    39.0
20090701 20090731    19.0
20090801 20090831    18.0
20090901 20090930 99999.9
20091001 20091031 99999.9
20091101 20091130 99999.9
20091201 20091231 99999.9
20100101 20100131    12.5
20100201 20100228    14.0
20100301 20100331     2.0
20100401 20100430     8.0
20100501 20100531    49.5
20100601 20100630    23.9
20100701 20100731    33.6
20100801 20100831    27.3
20100901 20100930    58.5
20101001 20101031    63.4
20101101 20101130     3.1
20101201 20101231    51.4
20110101 20110131     0.0
20110201 20110228    76.5
20110301 20110331    74.1
20110401 20110430     6.8
20110501 20110531    14.4
20110601 20110630    22.5
20110701 20110731    13.5
20110801 20110831    16.8
20110901 20110930     9.2
20111001 20111031    62.4
20111101 20111130    17.6
20111201 20111231    42.0
20120101 20120131    18.0
20120201 20120229    10.1
20120301 20120331    47.1
20120401 20120430     2.1
20120501 20120531    24.4
20120601 20120630    14.6
20120701 20120731    17.4
20120801 20120831    11.4
20120901 20120930     3.4
20121001 20121031     5.8
20121101 20121130    17.2
20121201 20121231     5.8
20130101 20130131     0.0
20130201 20130228    25.0
20130301 20130331    16.2
20130401 20130430    15.4
20130501 20130531    27.6
20130601 20130630    74.2
20130701 20130731    49.5
20130801 20130831    17.6
20130901 20130930    15.3
20131001 20131031     0.0
20131101 20131130     2.4
20131201 20131231     6.6
20140101 20140131    13.2
20140201 20140228    50.9
20140301 20140331     1.5
20140401 20140430   117.5
20140501 20140531    28.6
20140601 20140630    22.7
20140701 20140731    14.1
20140801 20140831     0.0
20140901 20140930    14.0
20141001 20141031     0.0
20141101 20141130     3.5
20141201 20141231     8.8
20150101 20150131    28.6
20150201 20150228     0.0
20150301 20150331     0.0
20150401 20150430    21.0
20150501 20150531    10.5
20150601 20150630    25.0
20150701 20150731    14.8
20150801 20150831    37.4
20150901 20150930     7.3
20151001 20151031     0.0
20151101 20151130    26.6
20151201 20151231     0.0
20160101 20160131    24.8
20160201 20160229     0.0
20160301 20160331    89.0
20160401 20160430     5.5
20160501 20160531    23.9
20160601 20160630    56.7
20160701 20160731     9.2
20160801 20160831    30.8
20160901 20160930    49.8
20161001 20161031    17.8
20161101 20161130     0.0
20161201 20161231    41.0
20170101 20170131    37.1
20170201 20170228     5.8
20170301 20170331     0.0
20170401 20170430    75.7
20170501 20170531     6.9
20170601 20170630     5.5
20170701 20170731     5.0
20170801 20170831    23.4
20170901 20170930     3.1
20171001 20171031     9.2
20171101 20171130    25.1
20171201 20171231    21.1
