PRCP       086131 18630101 20180131 missing_value=99999.9 YAN YEAN                                  
18841201 18841231    69.8
18850101 18850131    16.3
18850201 18850228    54.5
18850301 18850331    46.6
18850401 18850430    68.3
18850501 18850531    31.8
18850601 18850630    78.2
18850701 18850731    33.1
18850801 18850831    33.9
18850901 18850930    90.9
18851001 18851031    92.4
18851101 18851130    87.3
18851201 18851231    56.1
18860101 18860131   100.2
18860201 18860228    48.8
18860301 18860331    49.5
18860401 18860430    27.1
18860501 18860531    33.8
18860601 18860630    26.5
18860701 18860731    34.8
18860801 18860831    53.6
18860901 18860930    53.5
18861001 18861031    79.2
18861101 18861130    55.2
18861201 18861231    78.2
18870101 18870131    22.8
18870201 18870228    41.2
18870301 18870331    28.9
18870401 18870430    86.5
18870501 18870531    81.5
18870601 18870630    79.6
18870701 18870731    66.3
18870801 18870831    40.0
18870901 18870930    59.5
18871001 18871031    73.0
18871101 18871130   184.7
18871201 18871231    85.8
18880101 18880131    52.5
18880201 18880229    17.5
18880301 18880331    41.5
18880401 18880430    20.3
18880501 18880531    81.6
18880601 18880630    40.9
18880701 18880731    32.7
18880801 18880831    46.0
18880901 18880930    42.2
18881001 18881031    65.2
18881101 18881130    24.1
18881201 18881231    56.1
18890101 18890131    87.4
18890201 18890228   100.4
18890301 18890331     3.8
18890401 18890430    97.4
18890501 18890531    57.8
18890601 18890630    70.1
18890701 18890731    66.0
18890801 18890831    85.0
18890901 18890930    51.4
18891001 18891031    79.2
18891101 18891130    63.8
18891201 18891231    37.1
18900101 18900131    21.1
18900201 18900228    21.1
18900301 18900331    67.5
18900401 18900430    37.0
18900501 18900531    67.3
18900601 18900630    82.7
18900701 18900731    63.7
18900801 18900831    53.9
18900901 18900930    85.7
18901001 18901031    55.6
18901101 18901130    87.4
18901201 18901231    38.4
18910101 18910131    19.0
18910201 18910228     1.8
18910301 18910331    62.8
18910401 18910430    46.2
18910501 18910531    34.2
18910601 18910630    83.9
18910701 18910731   146.8
18910801 18910831    39.6
18910901 18910930    51.3
18911001 18911031    35.1
18911101 18911130    65.0
18911201 18911231    49.6
18920101 18920131    15.2
18920201 18920229    12.7
18920301 18920331    31.5
18920401 18920430   113.6
18920501 18920531    46.0
18920601 18920630    39.9
18920701 18920731    57.7
18920801 18920831    53.1
18920901 18920930    65.8
18921001 18921031    57.6
18921101 18921130    87.1
18921201 18921231    23.7
18930101 18930131    28.2
18930201 18930228     4.1
18930301 18930331    28.9
18930401 18930430    36.5
18930501 18930531    82.1
18930601 18930630    51.4
18930701 18930731    47.7
18930801 18930831    46.7
18930901 18930930   101.5
18931001 18931031    58.0
18931101 18931130    64.3
18931201 18931231    88.7
18940101 18940131    15.5
18940201 18940228    17.8
18940301 18940331    19.4
18940401 18940430    60.2
18940501 18940531    64.3
18940601 18940630    39.7
18940701 18940731    69.3
18940801 18940831    75.7
18940901 18940930    65.5
18941001 18941031   100.0
18941101 18941130    15.2
18941201 18941231    67.2
18950101 18950131    37.4
18950201 18950228    24.4
18950301 18950331    41.2
18950401 18950430    37.8
18950501 18950531    19.0
18950601 18950630    52.3
18950701 18950731    46.1
18950801 18950831    35.8
18950901 18950930    50.1
18951001 18951031    14.0
18951101 18951130     8.3
18951201 18951231    51.1
18960101 18960131    50.5
18960201 18960229    52.3
18960301 18960331    18.7
18960401 18960430    58.4
18960501 18960531    53.6
18960601 18960630    59.2
18960701 18960731    45.6
18960801 18960831   100.9
18960901 18960930    37.0
18961001 18961031    26.2
18961101 18961130    15.5
18961201 18961231    21.6
18970101 18970131   123.9
18970201 18970228    84.3
18970301 18970331    30.4
18970401 18970430    21.9
18970501 18970531    38.7
18970601 18970630    29.0
18970701 18970731    47.8
18970801 18970831    50.8
18970901 18970930    52.8
18971001 18971031    39.4
18971101 18971130    23.6
18971201 18971231    21.2
18980101 18980131     1.8
18980201 18980228    22.3
18980301 18980331     7.4
18980401 18980430    50.1
18980501 18980531    44.7
18980601 18980630    60.0
18980701 18980731    40.3
18980801 18980831    35.8
18980901 18980930    48.9
18981001 18981031    22.2
18981101 18981130    22.0
18981201 18981231    38.2
18990101 18990131    58.4
18990201 18990228    30.5
18990301 18990331    76.9
18990401 18990430    59.4
18990501 18990531    48.3
18990601 18990630    76.1
18990701 18990731    25.1
18990801 18990831    63.0
18990901 18990930    45.4
18991001 18991031    66.5
18991101 18991130    45.6
18991201 18991231    31.0
19000101 19000131    45.3
19000201 19000228     8.1
19000301 19000331   111.7
19000401 19000430    82.9
19000501 19000531    83.3
19000601 19000630    38.2
19000701 19000731    19.6
19000801 19000831    58.8
19000901 19000930    76.5
19001001 19001031    36.0
19001101 19001130    51.3
19001201 19001231    21.6
19010101 19010131    90.5
19010201 19010228    26.6
19010301 19010331    64.1
19010401 19010430   215.2
19010501 19010531    25.6
19010601 19010630    77.3
19010701 19010731    47.2
19010801 19010831    62.7
19010901 19010930    72.3
19011001 19011031    59.7
19011101 19011130    28.8
19011201 19011231    15.7
19020101 19020131    72.7
19020201 19020228    30.8
19020301 19020331   128.4
19020401 19020430     9.1
19020501 19020531    36.2
19020601 19020630    44.2
19020701 19020731    24.4
19020801 19020831    34.4
19020901 19020930    67.6
19021001 19021031    66.4
19021101 19021130    24.1
19021201 19021231   100.1
19030101 19030131    34.3
19030201 19030228    37.6
19030301 19030331    73.9
19030401 19030430    93.5
19030501 19030531    39.9
19030601 19030630    73.5
19030701 19030731    49.1
19030801 19030831    16.8
19030901 19030930    92.0
19031001 19031031    87.0
19031101 19031130    86.4
19031201 19031231    53.3
19040101 19040131   131.9
19040201 19040229   124.3
19040301 19040331    25.4
19040401 19040430    19.6
19040501 19040531    47.5
19040601 19040630    63.6
19040701 19040731    51.3
19040801 19040831    88.3
19040901 19040930    22.7
19041001 19041031    72.9
19041101 19041130    25.7
19041201 19041231     4.0
19050101 19050131    40.6
19050201 19050228    58.1
19050301 19050331    22.1
19050401 19050430    68.9
19050501 19050531    69.4
19050601 19050630    42.0
19050701 19050731    91.1
19050801 19050831    41.3
19050901 19050930    78.0
19051001 19051031   107.6
19051101 19051130    37.8
19051201 19051231    96.0
19060101 19060131     8.9
19060201 19060228     1.5
19060301 19060331    82.5
19060401 19060430    15.7
19060501 19060531    55.1
19060601 19060630    35.6
19060701 19060731    32.9
19060801 19060831    52.3
19060901 19060930    86.2
19061001 19061031    90.2
19061101 19061130    82.0
19061201 19061231    38.5
19070101 19070131    32.8
19070201 19070228    15.0
19070301 19070331    31.5
19070401 19070430    74.6
19070501 19070531    40.3
19070601 19070630    37.1
19070701 19070731    46.0
19070801 19070831    48.2
19070901 19070930    27.3
19071001 19071031    42.4
19071101 19071130    60.1
19071201 19071231   121.6
19080101 19080131    27.4
19080201 19080229    10.9
19080301 19080331    32.5
19080401 19080430     6.6
19080501 19080531    27.0
19080601 19080630    86.4
19080701 19080731    30.9
19080801 19080831    51.9
19080901 19080930    44.1
19081001 19081031    55.4
19081101 19081130    29.5
19081201 19081231    22.8
19090101 19090131    78.1
19090201 19090228    37.8
19090301 19090331    27.5
19090401 19090430    58.4
19090501 19090531    81.4
19090601 19090630    58.4
19090701 19090731    44.2
19090801 19090831    72.7
19090901 19090930    32.2
19091001 19091031    29.0
