PRCP       009503 18970701 20140831 missing_value=99999.9 BOYANUP POST OFFICE                       
19190601 19190630   170.1
19190701 19190731   280.6
19190801 19190831   143.0
19190901 19190930    57.7
19191001 19191031    61.1
19191101 19191130    21.7
19191201 19191231     2.8
19200101 19200131     1.5
19200201 19200229     0.5
19200301 19200331    27.5
19200401 19200430    15.2
19200501 19200531   216.1
19200601 19200630   188.6
19200701 19200731   181.4
19200801 19200831   270.3
19200901 19200930    66.8
19201001 19201031    52.6
19201101 19201130    20.2
19201201 19201231     6.1
19210101 19210131    10.6
19210201 19210228    24.4
19210301 19210331    84.2
19210401 19210430    35.4
19210501 19210531   184.1
19210601 19210630   242.0
19210701 19210731   216.0
19210801 19210831   112.0
19210901 19210930   106.5
19211001 19211031   102.8
19211101 19211130    58.6
19211201 19211231    25.3
19220101 19220131     7.5
19220201 19220228    13.8
19220301 19220331    59.2
19220401 19220430    16.8
19220501 19220531    92.4
19220601 19220630   126.9
19220701 19220731   234.1
19220801 19220831   176.4
19220901 19220930    94.7
19221001 19221031    67.7
19221101 19221130    52.2
19221201 19221231    43.9
19230101 19230131    26.4
19230201 19230228     0.0
19230301 19230331    51.1
19230401 19230430    60.8
19230501 19230531   267.4
19230601 19230630   313.6
19230701 19230731   118.9
19230801 19230831   139.9
19230901 19230930   172.5
19231001 19231031    54.2
19231101 19231130     5.5
19231201 19231231     3.6
19240101 19240131     8.9
19240201 19240229     7.6
19240301 19240331     9.9
19240401 19240430     4.1
19240501 19240531   191.2
19240601 19240630   149.0
19240701 19240731   177.1
19240801 19240831   156.2
19240901 19240930    87.1
19241001 19241031   171.1
19241101 19241130    56.4
19241201 19241231     1.0
19250101 19250131    26.5
19250201 19250228     9.7
19250301 19250331    23.9
19250401 19250430    17.4
19250501 19250531   127.7
19250601 19250630   148.0
19250701 19250731   198.6
19250801 19250831    49.6
19250901 19250930   117.7
19251001 19251031    82.6
19251101 19251130     7.9
19251201 19251231    18.9
19260101 19260131     0.0
19260201 19260228    20.3
19260301 19260331    50.9
19260401 19260430   160.7
19260501 19260531   177.4
19260601 19260630   193.7
19260701 19260731   356.8
19260801 19260831   124.1
19260901 19260930   175.1
19261001 19261031   160.0
19261101 19261130    43.1
19261201 19261231    14.3
19270101 19270131    26.2
19270201 19270228     3.5
19270301 19270331    81.6
19270401 19270430    55.0
19270501 19270531   109.5
19270601 19270630   221.3
19270701 19270731   205.5
19270801 19270831   127.3
19270901 19270930   181.6
19271001 19271031    65.8
19271101 19271130     2.3
19271201 19271231     5.9
19280101 19280131    18.3
19280201 19280229     0.3
19280301 19280331     6.1
19280401 19280430    42.6
19280501 19280531   171.2
19280601 19280630   174.8
19280701 19280731   184.7
19280801 19280831   194.6
19280901 19280930   147.7
19281001 19281031    92.3
19281101 19281130    19.4
19281201 19281231    13.8
19290101 19290131     0.8
19290201 19290228    15.0
19290301 19290331    29.2
19290401 19290430    52.9
19290501 19290531   268.2
19290601 19290630   238.9
19290701 19290731    94.2
19290801 19290831    98.2
19290901 19290930    41.7
19291001 19291031    28.0
19291101 19291130    55.6
19291201 19291231     6.9
19300101 19300131     0.0
19300201 19300228     5.1
19300301 19300331    21.8
19300401 19300430    47.5
19300501 19300531    80.6
19300601 19300630   346.0
19300701 19300731   230.1
19300801 19300831    84.0
19300901 19300930    92.8
19301001 19301031    76.8
19301101 19301130    32.7
19301201 19301231    12.7
19310101 19310131     0.0
19310201 19310228     2.6
19310301 19310331    22.6
19310401 19310430    78.0
19310501 19310531   100.0
19310601 19310630   149.5
19310701 19310731   181.2
19310801 19310831   198.6
19310901 19310930   164.7
19311001 19311031    55.4
19311101 19311130     5.1
19311201 19311231    14.7
19320101 19320131    10.1
19320201 19320229     2.3
19320301 19320331    27.8
19320401 19320430    42.1
19320501 19320531   167.0
19320601 19320630   200.2
19320701 19320731   182.6
19320801 19320831   103.2
19320901 19320930    61.0
19321001 19321031    44.3
19321101 19321130    11.7
19321201 19321231     8.6
19330101 19330131    14.7
19330201 19330228     9.9
19330301 19330331    14.3
19330401 19330430    22.3
19330501 19330531   116.2
19330601 19330630   300.5
19330701 19330731   177.9
19330801 19330831   119.2
19330901 19330930    95.9
19331001 19331031   137.9
19331101 19331130    12.5
19331201 19331231     6.1
19340101 19340131    12.6
19340201 19340228    11.9
19340301 19340331    57.0
19340401 19340430    18.9
19340501 19340531   133.5
19340601 19340630   164.6
19340701 19340731   200.9
19340801 19340831   140.0
19340901 19340930   114.8
19341001 19341031    30.3
19341101 19341130    12.6
19341201 19341231    11.8
19350101 19350131     7.6
19350201 19350228    14.9
19350301 19350331     6.7
19350401 19350430    43.1
19350501 19350531    85.6
19350601 19350630   151.8
19350701 19350731   285.0
19350801 19350831   111.0
19350901 19350930   142.7
19351001 19351031    66.9
19351101 19351130    13.4
19351201 19351231     7.9
19360101 19360131    40.2
19360201 19360229     1.0
19360301 19360331    10.5
19360401 19360430    23.6
19360501 19360531   100.6
19360601 19360630   207.3
19360701 19360731   117.6
19360801 19360831   169.2
19360901 19360930    59.7
19361001 19361031    30.5
19361101 19361130    17.8
19361201 19361231    10.6
19370101 19370131     0.5
19370201 19370228    13.5
19370301 19370331     6.9
19370401 19370430    95.2
19370501 19370531   248.3
19370601 19370630   205.1
19370701 19370731    74.0
19370801 19370831   116.0
19370901 19370930    59.0
19371001 19371031    67.6
19371101 19371130    19.6
19371201 19371231    15.3
19380101 19380131     0.0
19380201 19380228    10.7
19380301 19380331    71.1
19380401 19380430    62.7
19380501 19380531   172.9
19380601 19380630    81.8
19380701 19380731   185.0
19380801 19380831   135.5
19380901 19380930    85.7
19381001 19381031    63.2
19381101 19381130    50.4
