PRCP       008106 19070101 20160531 missing_value=99999.9 PERANGERY                                 
19281201 19281231     0.0
19290101 19290131     0.0
19290201 19290228    37.4
19290301 19290331     5.1
19290401 19290430     0.0
19290501 19290531    92.4
19290601 19290630    65.6
19290701 19290731    18.2
19290801 19290831    18.2
19290901 19290930     6.7
19291001 19291031     5.1
19291101 19291130    32.2
19291201 19291231     0.0
19300101 19300131     0.0
19300201 19300228     0.0
19300301 19300331    20.8
19300401 19300430    18.6
19300501 19300531    16.3
19300601 19300630   111.5
19300701 19300731    38.5
19300801 19300831    22.2
19300901 19300930     6.2
19301001 19301031    20.6
19301101 19301130     0.8
19301201 19301231     6.4
19310101 19310131     0.0
19310201 19310228     0.0
19310301 19310331     3.8
19310401 19310430    13.4
19310501 19310531   105.8
19310601 19310630    29.1
19310701 19310731    57.6
19310801 19310831    40.2
19310901 19310930    40.6
19311001 19311031    14.1
19311101 19311130    61.8
19311201 19311231    25.4
19320101 19320131    31.4
19320201 19320229     8.1
19320301 19320331    35.5
19320401 19320430    26.3
19320501 19320531    59.0
19320601 19320630    32.0
19320701 19320731    55.6
19320801 19320831    93.1
19320901 19320930    15.4
19321001 19321031    64.6
19321101 19321130     0.0
19321201 19321231     9.8
19330101 19330131     1.8
19330201 19330228     9.2
19330301 19330331    20.8
19330401 19330430     4.1
19330501 19330531    70.5
19330601 19330630   124.3
19330701 19330731    37.8
19330801 19330831    66.0
19330901 19330930     9.1
19331001 19331031    20.4
19331101 19331130    14.3
19331201 19331231    16.4
19340101 19340131    19.9
19340201 19340228     2.6
19340301 19340331    98.8
19340401 19340430   106.5
19340501 19340531    10.3
19340601 19340630    43.1
19340701 19340731    56.4
19340801 19340831    53.9
19340901 19340930    11.6
19341001 19341031     5.0
19341101 19341130     6.7
19341201 19341231     1.8
19350101 19350131    25.4
19350201 19350228    75.1
19350301 19350331    64.1
19350401 19350430    38.3
19350501 19350531    13.9
19350601 19350630    15.3
19350701 19350731    43.3
19350801 19350831    59.6
19350901 19350930    11.2
19351001 19351031     4.7
19351101 19351130     0.0
19351201 19351231     1.3
19360101 19360131    10.5
19360201 19360229    12.5
19360301 19360331    12.5
19360401 19360430     8.7
19360501 19360531    24.7
19360601 19360630    58.0
19360701 19360731    31.3
19360801 19360831    36.7
19360901 19360930    17.2
19361001 19361031     5.1
19361101 19361130    12.7
19361201 19361231     6.5
19370101 19370131     5.1
19370201 19370228    16.8
19370301 19370331     3.8
19370401 19370430    38.6
19370501 19370531    40.2
19370601 19370630    93.3
19370701 19370731     7.7
19370801 19370831    39.9
19370901 19370930    13.1
19371001 19371031     1.0
19371101 19371130     4.6
19371201 19371231     0.0
19380101 19380131    15.2
19380201 19380228     2.5
19380301 19380331    26.2
19380401 19380430    31.3
19380501 19380531     9.7
19380601 19380630    13.0
19380701 19380731    80.1
19380801 19380831    18.7
19380901 19380930     6.1
19381001 19381031     2.8
19381101 19381130    14.6
19381201 19381231    14.5
19390101 19390131    51.8
19390201 19390228    75.5
19390301 19390331     1.5
19390401 19390430     2.1
19390501 19390531    61.9
19390601 19390630    91.5
19390701 19390731    80.8
19390801 19390831    43.8
19390901 19390930     1.3
19391001 19391031    38.6
19391101 19391130    14.8
19391201 19391231     0.0
19400101 19400131     0.0
19400201 19400229     0.0
19400301 19400331     0.0
19400401 19400430     0.0
19400501 19400531    18.9
19400601 19400630    49.2
19400701 19400731    48.3
19400801 19400831    14.0
19400901 19400930     6.8
19401001 19401031    13.4
19401101 19401130     1.0
19401201 19401231     9.2
19410101 19410131     0.0
19410201 19410228     0.0
19410301 19410331     0.0
19410401 19410430   107.2
19410501 19410531    41.3
19410601 19410630    48.4
19410701 19410731    35.9
19410801 19410831    31.1
19410901 19410930    18.0
19411001 19411031    10.0
19411101 19411130    11.7
19411201 19411231    23.1
19420101 19420131     8.7
19420201 19420228     0.0
19420301 19420331    23.7
19420401 19420430    47.9
19420501 19420531    82.7
19420601 19420630    73.6
19420701 19420731    28.3
19420801 19420831    30.2
19420901 19420930    16.8
19421001 19421031     3.3
19421101 19421130     0.0
19421201 19421231    17.5
19430101 19430131    21.6
19430201 19430228    82.3
19430301 19430331    80.4
19430401 19430430    17.0
19430501 19430531    20.3
19430601 19430630    55.4
19430701 19430731    39.9
19430801 19430831    35.3
19430901 19430930    13.3
19431001 19431031    14.7
19431101 19431130     0.0
19431201 19431231    23.1
19440101 19440131     0.0
19440201 19440229     0.0
19440301 19440331     0.0
19440401 19440430     8.8
19440501 19440531    24.3
19440601 19440630    13.2
19440701 19440731    82.4
19440801 19440831    43.3
19440901 19440930     4.0
19441001 19441031     2.5
19441101 19441130     0.0
19441201 19441231     7.9
19450101 19450131     0.0
19450201 19450228    22.6
19450301 19450331     9.4
19450401 19450430     0.0
19450501 19450531    31.7
19450601 19450630   145.1
19450701 19450731    21.7
19450801 19450831    59.5
19450901 19450930    13.9
19451001 19451031     2.5
19451101 19451130    15.5
19451201 19451231     2.5
19460101 19460131     0.0
19460201 19460228    25.4
19460301 19460331     0.0
19460401 19460430    31.8
19460501 19460531    30.7
19460601 19460630    87.9
19460701 19460731    98.7
19460801 19460831    41.7
19460901 19460930     3.1
19461001 19461031     7.6
19461101 19461130    28.4
19461201 19461231     0.0
19470101 19470131    16.2
19470201 19470228    15.7
19470301 19470331    81.5
19470401 19470430    14.4
19470501 19470531    65.3
19470601 19470630    38.9
19470701 19470731    37.5
19470801 19470831    13.5
19470901 19470930    19.3
19471001 19471031    39.8
19471101 19471130     0.0
19471201 19471231     0.0
19480101 19480131     6.4
19480201 19480229    53.4
19480301 19480331     0.0
19480401 19480430    19.1
19480501 19480531     0.0
19480601 19480630    36.6
19480701 19480731    42.1
19480801 19480831    42.7
19480901 19480930    13.7
19481001 19481031     0.8
19481101 19481130    48.5
19481201 19481231     3.8
19490101 19490131     0.0
19490201 19490228     9.7
19490301 19490331     0.0
19490401 19490430    12.2
19490501 19490531     1.8
19490601 19490630    29.5
19490701 19490731   122.0
19490801 19490831    87.9
19490901 19490930    38.0
19491001 19491031    17.2
19491101 19491130    14.9
19491201 19491231     6.4
19500101 19500131    26.9
19500201 19500228     0.0
19500301 19500331     6.4
19500401 19500430     0.0
19500501 19500531    84.6
19500601 19500630    32.2
19500701 19500731    42.2
19500801 19500831    51.4
19500901 19500930    16.3
19501001 19501031    11.6
19501101 19501130     2.5
19501201 19501231     0.0
19510101 19510131    94.8
19510201 19510228    22.4
19510301 19510331    31.0
19510401 19510430    75.1
19510501 19510531    10.8
19510601 19510630   127.4
19510701 19510731    81.2
19510801 19510831    20.8
19510901 19510930    26.7
19511001 19511031     5.9
19511101 19511130     1.0
19511201 19511231     9.4
19520101 19520131    40.9
19520201 19520229    41.4
19520301 19520331     0.0
19520401 19520430     7.4
19520501 19520531    24.4
19520601 19520630    18.1
19520701 19520731    64.1
19520801 19520831    12.6
19520901 19520930     4.1
19521001 19521031     9.9
19521101 19521130     1.8
19521201 19521231     5.8
19530101 19530131     8.6
19530201 19530228     0.0
19530301 19530331   101.9
19530401 19530430    21.1
19530501 19530531    78.2
19530601 19530630    73.8
19530701 19530731    43.6
19530801 19530831     4.8
19530901 19530930     1.3
19531001 19531031    20.6
19531101 19531130     4.1
19531201 19531231    15.2
19540101 19540131     6.9
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430    10.7
19540501 19540531    50.8
19540601 19540630    21.6
19540701 19540731    45.3
19540801 19540831    36.9
19540901 19540930     5.8
19541001 19541031     0.5
19541101 19541130     2.5
19541201 19541231     2.0
19550101 19550131    14.0
19550201 19550228    21.3
19550301 19550331     0.0
19550401 19550430    22.7
19550501 19550531    20.3
19550601 19550630    18.2
19550701 19550731    30.3
19550801 19550831    81.2
19550901 19550930    10.5
19551001 19551031     7.9
19551101 19551130     0.0
19551201 19551231     0.0
19560101 19560131     0.0
19560201 19560229     4.8
19560301 19560331    13.0
19560401 19560430     7.1
19560501 19560531    65.5
19560601 19560630    73.8
19560701 19560731    36.7
19560801 19560831    10.2
19560901 19560930     0.0
19561001 19561031     7.8
19561101 19561130    13.4
19561201 19561231     2.0
19570101 19570131    37.0
19570201 19570228     2.6
19570301 19570331     6.2
19570401 19570430     1.5
19570501 19570531    14.0
19570601 19570630    96.7
19570701 19570731    13.9
19570801 19570831    38.8
19570901 19570930     3.0
19571001 19571031     4.8
19571101 19571130     0.0
19571201 19571231     0.0
19580101 19580131    41.8
19580201 19580228     0.0
19580301 19580331     3.3
19580401 19580430     1.8
19580501 19580531    81.8
19580601 19580630    28.0
19580701 19580731   114.0
19580801 19580831   104.8
19580901 19580930    52.4
19581001 19581031     2.8
19581101 19581130    32.7
19581201 19581231    30.1
19590101 19590131     0.5
19590201 19590228     4.8
19590301 19590331     5.5
19590401 19590430    20.3
19590501 19590531     6.0
19590601 19590630   121.1
19590701 19590731    14.0
19590801 19590831    55.8
19590901 19590930     0.8
19591001 19591031     0.3
19591101 19591130     2.9
19591201 19591231     5.1
19600101 19600131     4.1
19600201 19600229    21.4
19600301 19600331    63.5
19600401 19600430     1.5
19600501 19600531    61.0
19600601 19600630    18.3
19600701 19600731    83.5
19600801 19600831     4.0
19600901 19600930    26.4
19601001 19601031     8.7
19601101 19601130     7.6
19601201 19601231     0.0
19610101 19610131    20.8
19610201 19610228     0.0
19610301 19610331     2.5
19610401 19610430   118.7
19610501 19610531     5.1
19610601 19610630    83.0
19610701 19610731    23.3
19610801 19610831    34.9
19610901 19610930     4.3
19611001 19611031     2.3
19611101 19611130     0.0
19611201 19611231    12.1
19620101 19620131    30.3
19620201 19620228    11.7
19620301 19620331    12.7
19620401 19620430    10.5
19620501 19620531   111.5
19620601 19620630    42.1
19620701 19620731    31.2
19620801 19620831     6.8
19620901 19620930     6.3
19621001 19621031    17.7
19621101 19621130     0.0
19621201 19621231     6.8
19630101 19630131    59.7
19630201 19630228    12.2
19630301 19630331    15.8
19630401 19630430    11.7
19630501 19630531    95.6
19630601 19630630    62.3
19630701 19630731    84.1
19630801 19630831    58.8
19630901 19630930    11.1
19631001 19631031     0.0
19631101 19631130     0.0
19631201 19631231     3.5
19640101 19640131    21.1
19640201 19640229    10.2
19640301 19640331    11.2
19640401 19640430    23.9
19640501 19640531     3.3
19640601 19640630    88.4
19640701 19640731   105.0
19640801 19640831    20.5
19640901 19640930    20.1
19641001 19641031     5.9
19641101 19641130    18.1
19641201 19641231     1.8
19650101 19650131    16.5
19650201 19650228     0.0
19650301 19650331     5.9
19650401 19650430    14.3
19650501 19650531    42.2
19650601 19650630   138.8
19650701 19650731    51.8
19650801 19650831    24.2
19650901 19650930     7.4
19651001 19651031    13.5
19651101 19651130    34.2
19651201 19651231     0.0
19660101 19660131     0.0
19660201 19660228    23.2
19660301 19660331     9.7
19660401 19660430    82.5
19660501 19660531     1.3
19660601 19660630    36.8
19660701 19660731    23.4
19660801 19660831    30.4
19660901 19660930    11.9
19661001 19661031    19.4
19661101 19661130     5.1
19661201 19661231     0.0
19670101 19670131    30.0
19670201 19670228     0.0
19670301 19670331     2.5
19670401 19670430     5.9
19670501 19670531    47.2
19670601 19670630    52.6
19670701 19670731    50.1
19670801 19670831    17.4
19670901 19670930     7.4
19671001 19671031     0.0
19671101 19671130     2.3
19671201 19671231    17.2
19680101 19680131    47.7
19680201 19680229     1.5
19680301 19680331     7.2
19680401 19680430    64.2
19680501 19680531    35.1
19680601 19680630   119.4
19680701 19680731    32.5
19680801 19680831    25.4
19680901 19680930    37.3
19681001 19681031     3.2
19681101 19681130     7.6
19681201 19681231     0.0
19690101 19690131     0.0
19690201 19690228     0.0
19690301 19690331     0.0
19690401 19690430     5.6
19690501 19690531    57.2
19690601 19690630    57.6
19690701 19690731    47.8
19690801 19690831    11.9
19690901 19690930    35.2
19691001 19691031     5.8
19691101 19691130    16.5
19691201 19691231     0.0
19700101 19700131     3.8
19700201 19700228   115.5
19700301 19700331     0.0
19700401 19700430    19.3
19700501 19700531    25.0
19700601 19700630    54.9
19700701 19700731    20.0
19700801 19700831    11.1
19700901 19700930     5.4
19701001 19701031     7.9
19701101 19701130    13.7
19701201 19701231     8.9
19710101 19710131    11.7
19710201 19710228    32.5
19710301 19710331   115.8
19710401 19710430     1.4
19710501 19710531    15.2
19710601 19710630    19.0
19710701 19710731    20.0
19710801 19710831    46.0
19710901 19710930    19.8
19711001 19711031     5.1
19711101 19711130    19.8
