PRCP       036026 18850101 20180131 missing_value=99999.9 ISISFORD POST OFFICE                      
19061201 19061231    15.0
19070101 19070131    12.7
19070201 19070228     4.8
19070301 19070331    65.1
19070401 19070430    56.4
19070501 19070531    16.3
19070601 19070630    12.4
19070701 19070731    20.1
19070801 19070831    13.0
19070901 19070930     0.0
19071001 19071031    16.5
19071101 19071130    18.8
19071201 19071231   119.3
19080101 19080131     3.6
19080201 19080229   145.7
19080301 19080331   171.4
19080401 19080430    36.6
19080501 19080531    18.6
19080601 19080630    20.8
19080701 19080731    42.4
19080801 19080831     6.9
19080901 19080930     0.0
19081001 19081031    83.4
19081101 19081130    33.8
19081201 19081231    43.1
19090101 19090131    97.8
19090201 19090228    18.3
19090301 19090331    54.8
19090401 19090430    14.8
19090501 19090531     0.0
19090601 19090630    46.7
19090701 19090731     0.0
19090801 19090831    21.6
19090901 19090930     0.0
19091001 19091031    14.0
19091101 19091130     6.1
19091201 19091231     2.8
19100101 19100131    27.1
19100201 19100228    50.0
19100301 19100331   255.7
19100401 19100430     0.0
19100501 19100531     4.3
19100601 19100630    43.8
19100701 19100731     6.1
19100801 19100831     0.0
19100901 19100930     8.6
19101001 19101031    24.6
19101101 19101130    74.5
19101201 19101231    59.4
19110101 19110131   186.7
19110201 19110228    84.6
19110301 19110331     0.0
19110401 19110430    63.7
19110501 19110531     8.9
19110601 19110630     0.0
19110701 19110731    12.2
19110801 19110831     7.9
19110901 19110930    10.2
19111001 19111031     8.4
19111101 19111130    67.3
19111201 19111231    45.2
19120101 19120131    24.9
19120201 19120229     4.6
19120301 19120331    38.7
19120401 19120430     0.0
19120501 19120531     0.0
19120601 19120630   120.2
19120701 19120731    68.1
19120801 19120831     0.0
19120901 19120930     0.0
19121001 19121031     1.8
19121101 19121130    17.5
19121201 19121231    39.1
19130101 19130131    57.3
19130201 19130228   192.4
19130301 19130331    21.4
19130401 19130430    84.6
19130501 19130531    13.2
19130601 19130630    11.9
19130701 19130731     5.1
19130801 19130831     0.0
19130901 19130930     7.6
19131001 19131031     4.3
19131101 19131130     0.0
19131201 19131231   122.1
19140101 19140131   112.8
19140201 19140228   101.4
19140301 19140331     8.5
19140401 19140430     2.5
19140501 19140531    23.9
19140601 19140630    68.4
19140701 19140731     1.3
19140801 19140831     0.0
19140901 19140930     1.3
19141001 19141031    19.1
19141101 19141130   156.8
19141201 19141231    42.2
19150101 19150131     8.6
19150201 19150228     3.3
19150301 19150331     0.0
19150401 19150430     0.0
19150501 19150531    21.6
19150601 19150630     0.0
19150701 19150731    22.9
19150801 19150831    20.9
19150901 19150930    24.1
19151001 19151031     0.0
19151101 19151130     0.0
19151201 19151231   142.5
19160101 19160131    21.4
19160201 19160229    58.4
19160301 19160331    92.9
19160401 19160430    53.6
19160501 19160531     0.0
19160601 19160630    31.2
19160701 19160731    69.1
19160801 19160831     2.8
19160901 19160930     6.9
19161001 19161031    44.6
19161101 19161130    91.0
19161201 19161231    83.8
19170101 19170131    86.8
19170201 19170228   100.3
19170301 19170331    90.6
19170401 19170430     0.0
19170501 19170531     0.0
19170601 19170630     1.3
19170701 19170731     6.6
19170801 19170831    16.8
19170901 19170930    68.8
19171001 19171031    34.0
19171101 19171130   126.4
19171201 19171231    32.5
19180101 19180131   313.9
19180201 19180228    80.3
19180301 19180331    13.5
19180401 19180430    88.6
19180501 19180531     0.0
19180601 19180630     0.0
19180701 19180731     0.0
19180801 19180831    22.6
19180901 19180930    17.8
19181001 19181031    13.2
19181101 19181130    39.2
19181201 19181231    27.4
19190101 19190131    12.4
19190201 19190228   102.9
19190301 19190331    18.6
19190401 19190430    11.9
19190501 19190531    27.2
19190601 19190630     0.0
19190701 19190731     0.0
19190801 19190831     3.3
19190901 19190930     0.0
19191001 19191031     1.5
19191101 19191130     0.0
19191201 19191231    67.6
19200101 19200131     7.9
19200201 19200229    38.9
19200301 19200331     0.0
19200401 19200430    78.7
19200501 19200531    82.8
19200601 19200630    68.4
19200701 19200731   156.8
19200801 19200831     9.4
19200901 19200930    37.1
19201001 19201031   141.7
19201101 19201130    60.0
19201201 19201231    17.6
19210101 19210131    32.3
19210201 19210228    49.3
19210301 19210331   161.9
19210401 19210430    17.8
19210501 19210531    10.6
19210601 19210630    87.9
19210701 19210731    89.1
19210801 19210831    10.2
19210901 19210930    43.0
19211001 19211031     9.7
19211101 19211130     8.7
19211201 19211231    61.2
19220101 19220131    20.3
19220201 19220228   127.8
19220301 19220331     0.0
19220401 19220430     0.0
19220501 19220531     2.3
19220601 19220630     8.1
19220701 19220731     0.0
19220801 19220831     0.0
19220901 19220930     0.0
19221001 19221031    51.3
19221101 19221130     3.3
19221201 19221231   129.5
19230101 19230131     5.6
19230201 19230228     5.1
19230301 19230331     8.2
19230401 19230430    20.8
19230501 19230531     1.3
19230601 19230630   109.7
19230701 19230731     0.0
19230801 19230831     8.9
19230901 19230930     2.0
19231001 19231031    42.9
19231101 19231130     1.5
19231201 19231231    36.0
19240101 19240131    63.7
19240201 19240229   225.8
19240301 19240331   150.1
19240401 19240430    75.4
19240501 19240531     0.0
19240601 19240630     2.5
19240701 19240731    37.5
19240801 19240831   106.3
19240901 19240930     6.9
19241001 19241031   114.3
19241101 19241130    66.7
19241201 19241231    47.9
19250101 19250131    52.8
19250201 19250228     0.8
19250301 19250331   239.7
19250401 19250430     0.0
19250501 19250531     2.3
19250601 19250630     3.8
19250701 19250731     2.0
19250801 19250831    10.7
19250901 19250930    13.4
19251001 19251031     0.0
19251101 19251130    10.2
19251201 19251231    28.0
19260101 19260131    23.9
19260201 19260228     0.0
19260301 19260331    25.4
19260401 19260430     0.0
19260501 19260531     5.1
19260601 19260630     0.0
19260701 19260731     2.5
19260801 19260831     0.0
19260901 19260930    96.8
19261001 19261031     0.8
19261101 19261130    11.4
19261201 19261231    34.1
19270101 19270131    18.4
19270201 19270228     3.8
19270301 19270331    50.0
19270401 19270430     0.0
19270501 19270531     1.3
19270601 19270630     6.1
19270701 19270731     0.0
19270801 19270831     0.5
19270901 19270930     5.3
19271001 19271031    13.8
19271101 19271130     7.9
19271201 19271231   132.5
19280101 19280131     0.0
19280201 19280229    15.8
19280301 19280331    42.7
19280401 19280430    35.8
19280501 19280531     0.0
19280601 19280630    19.9
19280701 19280731     8.4
19280801 19280831     0.5
19280901 19280930     0.0
19281001 19281031     0.0
19281101 19281130    61.5
19281201 19281231    73.2
19290101 19290131     3.8
19290201 19290228    61.2
19290301 19290331    67.6
19290401 19290430    48.0
19290501 19290531     0.0
19290601 19290630     7.3
19290701 19290731     0.0
19290801 19290831     0.0
19290901 19290930     0.0
19291001 19291031     3.3
19291101 19291130     6.6
19291201 19291231    41.9
19300101 19300131   170.9
19300201 19300228    68.1
