PRCP       095016 19100701 20180131 missing_value=99999.9 OSTERLEY                                  
19320601 19320630    67.9
19320701 19320731    30.7
19320801 19320831    54.1
19320901 19320930    38.3
19321001 19321031   112.4
19321101 19321130    44.5
19321201 19321231    59.4
19330101 19330131    38.8
19330201 19330228    21.6
19330301 19330331    62.8
19330401 19330430    48.8
19330501 19330531    62.0
19330601 19330630    43.4
19330701 19330731    19.2
19330801 19330831    39.8
19330901 19330930    42.4
19331001 19331031    77.4
19331101 19331130    61.5
19331201 19331231    19.3
19340101 19340131    35.2
19340201 19340228    21.6
19340301 19340331    27.0
19340401 19340430    47.2
19340501 19340531     7.4
19340601 19340630    30.7
19340701 19340731   105.2
19340801 19340831    42.2
19340901 19340930    97.1
19341001 19341031    70.1
19341101 19341130    86.2
19341201 19341231   159.9
19350101 19350131    50.7
19350201 19350228   143.2
19350301 19350331    67.0
19350401 19350430   159.7
19350501 19350531    44.1
19350601 19350630    70.0
19350701 19350731    54.2
19350801 19350831    80.7
19350901 19350930    38.2
19351001 19351031    83.9
19351101 19351130    76.4
19351201 19351231   126.9
19360101 19360131    20.2
19360201 19360229     5.4
19360301 19360331    20.0
19360401 19360430    50.1
19360501 19360531    35.9
19360601 19360630    34.5
19360701 19360731    40.7
19360801 19360831   224.4
19360901 19360930    53.0
19361001 19361031    85.2
19361101 19361130    45.8
19361201 19361231    86.0
19370101 19370131   115.7
19370201 19370228    48.5
19370301 19370331    42.8
19370401 19370430    26.9
19370501 19370531    93.6
19370601 19370630    20.7
19370701 19370731    79.9
19370801 19370831    37.3
19370901 19370930    58.5
19371001 19371031    69.7
19371101 19371130    38.7
19371201 19371231    95.2
19380101 19380131    71.8
19380201 19380228   145.7
19380301 19380331    90.4
19380401 19380430    50.4
19380501 19380531    52.9
19380601 19380630    65.8
19380701 19380731    77.0
19380801 19380831    17.5
19380901 19380930    48.0
19381001 19381031    67.1
19381101 19381130    34.1
19381201 19381231   128.8
19390101 19390131     8.7
19390201 19390228    59.1
19390301 19390331    38.7
19390401 19390430    47.6
19390501 19390531    50.9
19390601 19390630   113.9
19390701 19390731    40.3
19390801 19390831   190.9
19390901 19390930   110.9
19391001 19391031    51.9
19391101 19391130    52.3
19391201 19391231    62.3
19400101 19400131    72.5
19400201 19400229    71.5
19400301 19400331    31.8
19400401 19400430    19.6
19400501 19400531    29.6
19400601 19400630    21.2
19400701 19400731    65.0
19400801 19400831    42.8
19400901 19400930    59.6
19401001 19401031    75.8
19401101 19401130    74.0
19401201 19401231   102.1
19410101 19410131   116.8
19410201 19410228    42.2
19410301 19410331    99.7
19410401 19410430    17.4
19410501 19410531    26.0
19410601 19410630    40.8
19410701 19410731    73.4
19410801 19410831    43.5
19410901 19410930   115.1
19411001 19411031    51.0
19411101 19411130    42.8
19411201 19411231    73.3
19420101 19420131    30.5
19420201 19420228    45.0
19420301 19420331    34.9
19420401 19420430    65.1
19420501 19420531    80.2
19420601 19420630    27.7
19420701 19420731    59.4
19420801 19420831    55.8
19420901 19420930   120.5
19421001 19421031    42.0
19421101 19421130    33.2
19421201 19421231    49.6
19430101 19430131    25.7
19430201 19430228    35.1
19430301 19430331    14.7
19430401 19430430   114.9
19430501 19430531    56.9
19430601 19430630    78.9
19430701 19430731    67.3
19430801 19430831    36.4
19430901 19430930    40.3
19431001 19431031     5.1
19431101 19431130    96.2
19431201 19431231    25.4
19440101 19440131    58.5
19440201 19440229    45.7
19440301 19440331    53.9
19440401 19440430    59.4
19440501 19440531    34.0
19440601 19440630   100.3
19440701 19440731    48.0
19440801 19440831    19.3
19440901 19440930    83.9
19441001 19441031    80.2
19441101 19441130    58.8
19441201 19441231    29.3
19450101 19450131    85.7
19450201 19450228    30.7
19450301 19450331    16.5
19450401 19450430     5.1
19450501 19450531    23.9
19450601 19450630    31.8
19450701 19450731    20.1
19450801 19450831   115.2
19450901 19450930    43.2
19451001 19451031    37.1
19451101 19451130    28.5
19451201 19451231    19.3
19460101 19460131    42.1
19460201 19460228   132.3
19460301 19460331   143.5
19460401 19460430    32.6
19460501 19460531    28.3
19460601 19460630    51.6
19460701 19460731   150.1
19460801 19460831   136.0
19460901 19460930    71.5
19461001 19461031    61.8
19461101 19461130    68.1
19461201 19461231    40.3
19470101 19470131    16.1
19470201 19470228    33.3
19470301 19470331    35.6
19470401 19470430    37.5
19470501 19470531    63.6
19470601 19470630   249.5
19470701 19470731    69.6
19470801 19470831   105.6
19470901 19470930    73.1
19471001 19471031   177.2
19471101 19471130    48.6
19471201 19471231   124.8
19480101 19480131    21.0
19480201 19480229    24.8
19480301 19480331    90.2
19480401 19480430    43.9
19480501 19480531   190.6
19480601 19480630    62.2
19480701 19480731    50.1
19480801 19480831    43.5
19480901 19480930   134.1
19481001 19481031   137.7
19481101 19481130    74.9
19481201 19481231    59.0
19490101 19490131    83.3
19490201 19490228    46.2
19490301 19490331    38.4
19490401 19490430    60.4
19490501 19490531    25.8
19490601 19490630    48.0
19490701 19490731    92.8
19490801 19490831    53.2
19490901 19490930    34.0
19491001 19491031   121.5
19491101 19491130    82.9
19491201 19491231    23.7
19500101 19500131    45.5
19500201 19500228    28.5
19500301 19500331    23.2
19500401 19500430    52.6
19500501 19500531    47.9
19500601 19500630    19.4
19500701 19500731    24.6
19500801 19500831    70.8
19500901 19500930    67.5
19501001 19501031   101.7
19501101 19501130    79.8
19501201 19501231    56.8
19510101 19510131    25.9
19510201 19510228    43.2
19510301 19510331    48.1
19510401 19510430   113.8
19510501 19510531    50.5
19510601 19510630    21.1
19510701 19510731    91.5
19510801 19510831    64.5
19510901 19510930    26.0
19511001 19511031    53.3
19511101 19511130    59.3
19511201 19511231    48.4
19520101 19520131    36.2
19520201 19520229    33.1
19520301 19520331    18.4
19520401 19520430   118.5
19520501 19520531    82.6
19520601 19520630   249.9
19520701 19520731    76.3
19520801 19520831    20.3
19520901 19520930    70.8
19521001 19521031    87.7
19521101 19521130    56.1
19521201 19521231    22.6
19530101 19530131    19.6
19530201 19530228    28.6
19530301 19530331    36.7
19530401 19530430    59.0
19530501 19530531    30.8
19530601 19530630    69.9
19530701 19530731    95.5
19530801 19530831    61.7
19530901 19530930   102.6
19531001 19531031    35.6
19531101 19531130   174.9
19531201 19531231   103.0
19540101 19540131    30.5
19540201 19540228   124.9
19540301 19540331    31.6
19540401 19540430    54.6
19540501 19540531    65.3
19540601 19540630   113.0
19540701 19540731    31.6
19540801 19540831    91.1
19540901 19540930    18.9
19541001 19541031    54.6
19541101 19541130    57.3
19541201 19541231    16.0
19550101 19550131    16.7
19550201 19550228    26.1
19550301 19550331    19.2
19550401 19550430    66.6
19550501 19550531    40.2
19550601 19550630    35.8
19550701 19550731    77.6
19550801 19550831    71.7
19550901 19550930    33.3
19551001 19551031    88.5
19551101 19551130    81.0
19551201 19551231    86.3
19560101 19560131    70.0
19560201 19560229   133.5
19560301 19560331    50.4
19560401 19560430    86.3
19560501 19560531   107.0
19560601 19560630   104.9
19560701 19560731    68.9
19560801 19560831    96.2
19560901 19560930    31.4
19561001 19561031    95.8
19561101 19561130    81.3
19561201 19561231    63.6
19570101 19570131    23.2
19570201 19570228    34.8
19570301 19570331    19.4
19570401 19570430    58.6
19570501 19570531    62.0
19570601 19570630    33.9
19570701 19570731    17.8
19570801 19570831    15.0
19570901 19570930   101.5
19571001 19571031    86.6
19571101 19571130    92.6
19571201 19571231    79.8
19580101 19580131    13.3
19580201 19580228    53.6
19580301 19580331    55.6
