PRCP       012029 19010101 20180131 missing_value=99999.9 FRASER RANGE                              
19961101 19961130     7.0
19961201 19961231     1.0
19970101 19970131     8.8
19970201 19970228    33.2
19970301 19970331    13.0
19970401 19970430     7.0
19970501 19970531    64.2
19970601 19970630    19.8
19970701 19970731    32.8
19970801 19970831    58.4
19970901 19970930    65.4
19971001 19971031     6.8
19971101 19971130    18.6
19971201 19971231     5.4
19980101 19980131     0.0
19980201 19980228     0.0
19980301 19980331     3.0
19980401 19980430    34.3
19980501 19980531    21.6
19980601 19980630 99999.9
19980701 19980731    48.9
19980801 19980831    44.6
19980901 19980930    30.8
19981001 19981031     3.8
19981101 19981130    23.4
19981201 19981231    14.1
19990101 19990131    59.6
19990201 19990228     5.4
19990301 19990331   162.0
19990401 19990430     4.6
19990501 19990531    33.4
19990601 19990630    10.8
19990701 19990731    36.0
19990801 19990831    23.4
19990901 19990930    27.4
19991001 19991031     5.0
19991101 19991130    16.2
19991201 19991231    14.2
20000101 20000131   161.6
20000201 20000229    74.2
20000301 20000331   103.2
20000401 20000430    31.6
20000501 20000531     7.2
20000601 20000630    11.2
20000701 20000731    15.4
20000801 20000831    35.0
20000901 20000930    22.4
20001001 20001031    11.2
20001101 20001130    45.6
20001201 20001231     0.8
20010101 20010131    16.4
20010201 20010228   249.6
20010301 20010331     0.0
20010401 20010430     0.0
20010501 20010531    32.8
20010601 20010630    13.0
20010701 20010731    42.0
20010801 20010831    20.8
20010901 20010930    22.4
20011001 20011031    18.2
20011101 20011130    20.6
20011201 20011231    12.6
20020101 20020131 99999.9
20020201 20020228 99999.9
20020301 20020331     8.6
20020401 20020430    37.4
20020501 20020531     0.4
20020601 20020630    14.8
20020701 20020731    16.8
20020801 20020831    23.3
20020901 20020930     0.0
20021001 20021031     8.0
20021101 20021130    26.6
20021201 20021231    67.2
20030101 20030131    10.7
20030201 20030228    41.6
20030301 20030331    28.8
20030401 20030430    18.3
20030501 20030531    55.2
20030601 20030630    11.4
20030701 20030731    28.6
20030801 20030831    35.2
20030901 20030930    52.4
20031001 20031031    12.4
20031101 20031130    65.8
20031201 20031231    18.8
20040101 20040131    53.8
20040201 20040229    47.4
20040301 20040331    53.6
20040401 20040430    31.8
20040501 20040531    19.4
20040601 20040630    25.4
20040701 20040731    18.2
20040801 20040831    31.6
20040901 20040930    19.4
20041001 20041031    17.6
20041101 20041130     0.0
20041201 20041231     6.5
20050101 20050131    16.5
20050201 20050228     2.2
20050301 20050331    20.8
20050401 20050430    26.6
20050501 20050531    21.4
20050601 20050630    40.0
20050701 20050731     0.0
20050801 20050831    55.0
20050901 20050930    22.0
20051001 20051031    36.2
20051101 20051130     7.6
20051201 20051231    11.2
20060101 20060131   123.7
20060201 20060228     5.6
20060301 20060331    54.4
20060401 20060430    32.2
20060501 20060531    20.0
20060601 20060630     3.8
20060701 20060731    18.0
20060801 20060831     0.0
20060901 20060930    27.6
20061001 20061031    17.4
20061101 20061130    35.2
20061201 20061231    24.0
20070101 20070131    86.4
20070201 20070228     0.0
20070301 20070331    14.0
20070401 20070430    21.6
20070501 20070531    19.9
20070601 20070630    34.0
20070701 20070731 99999.9
20070801 20070831    11.4
20070901 20070930    13.0
20071001 20071031    12.2
20071101 20071130     0.0
20071201 20071231    23.0
20080101 20080131     2.2
20080201 20080229    43.0
20080301 20080331     3.4
20080401 20080430    26.0
20080501 20080531     9.6
20080601 20080630     0.0
20080701 20080731    56.4
20080801 20080831    26.4
20080901 20080930    19.4
20081001 20081031    60.8
20081101 20081130    36.2
20081201 20081231    43.4
20090101 20090131    86.6
20090201 20090228     9.0
20090301 20090331     5.6
20090401 20090430    34.0
20090501 20090531 99999.9
20090601 20090630 99999.9
20090701 20090731 99999.9
20090801 20090831 99999.9
20090901 20090930 99999.9
20091001 20091031     6.8
20091101 20091130    26.2
20091201 20091231    17.9
20100101 20100131     9.7
20100201 20100228     4.2
20100301 20100331    77.5
20100401 20100430    19.2
20100501 20100531    56.8
20100601 20100630     6.0
20100701 20100731    21.8
20100801 20100831    19.1
20100901 20100930    28.6
20101001 20101031    21.5
20101101 20101130     1.0
20101201 20101231    16.5
20110101 20110131    35.1
20110201 20110228    16.5
20110301 20110331    29.2
20110401 20110430     6.4
20110501 20110531    18.4
20110601 20110630    15.6
20110701 20110731    16.6
20110801 20110831     8.6
20110901 20110930    22.9
20111001 20111031    60.2
20111101 20111130     9.2
20111201 20111231    14.8
20120101 20120131    10.0
20120201 20120229    10.0
20120301 20120331   107.0
20120401 20120430     2.0
20120501 20120531 99999.9
20120601 20120630 99999.9
20120701 20120731 99999.9
20120801 20120831 99999.9
20120901 20120930 99999.9
20121001 20121031 99999.9
20121101 20121130 99999.9
20121201 20121231 99999.9
20130101 20130131    36.0
20130201 20130228     8.5
20130301 20130331   162.1
20130401 20130430     3.0
20130501 20130531    93.0
20130601 20130630    21.0
20130701 20130731    43.3
20130801 20130831    21.7
20130901 20130930    23.4
20131001 20131031    16.5
20131101 20131130    47.5
20131201 20131231    21.0
20140101 20140131   175.8
20140201 20140228    10.5
20140301 20140331 99999.9
20140401 20140430    21.3
20140501 20140531    30.9
20140601 20140630     7.2
20140701 20140731    39.0
20140801 20140831 99999.9
20140901 20140930 99999.9
20141001 20141031 99999.9
20141101 20141130    12.8
20141201 20141231    37.2
20150101 20150131     4.4
20150201 20150228    68.0
20150301 20150331     7.8
20150401 20150430    28.7
20150501 20150531     5.8
20150601 20150630    57.1
20150701 20150731    52.7
20150801 20150831    61.3
20150901 20150930     9.6
20151001 20151031     8.7
20151101 20151130    37.7
20151201 20151231    40.4
20160101 20160131    72.6
20160201 20160229     7.5
20160301 20160331    36.8
20160401 20160430     2.9
20160501 20160531    23.2
20160601 20160630    51.2
20160701 20160731    39.6
20160801 20160831    54.4
20160901 20160930    27.4
20161001 20161031    14.1
20161101 20161130     0.0
20161201 20161231    19.4
20170101 20170131    20.4
20170201 20170228    57.2
20170301 20170331    29.7
20170401 20170430    11.0
20170501 20170531    30.0
20170601 20170630     9.2
20170701 20170731    28.0
20170801 20170831    19.1
20170901 20170930    16.6
20171001 20171031     0.0
20171101 20171130    83.0
20171201 20171231    30.5
20180101 20180131    23.0
