PRCP       012029 19010101 20180131 missing_value=99999.9 FRASER RANGE                              
19221201 19221231    16.3
19230101 19230131     6.1
19230201 19230228     0.0
19230301 19230331    15.2
19230401 19230430    48.9
19230501 19230531     8.8
19230601 19230630    80.2
19230701 19230731    16.3
19230801 19230831    11.2
19230901 19230930    16.4
19231001 19231031     5.6
19231101 19231130     0.0
19231201 19231231    25.8
19240101 19240131     0.0
19240201 19240229     1.3
19240301 19240331    19.6
19240401 19240430    15.8
19240501 19240531    27.3
19240601 19240630    10.8
19240701 19240731     5.1
19240801 19240831    13.0
19240901 19240930    45.3
19241001 19241031    61.1
19241101 19241130     6.2
19241201 19241231     0.0
19250101 19250131    10.4
19250201 19250228    46.7
19250301 19250331    23.4
19250401 19250430   148.3
19250501 19250531    18.6
19250601 19250630    13.7
19250701 19250731    23.3
19250801 19250831     3.0
19250901 19250930    26.6
19251001 19251031    15.4
19251101 19251130    10.2
19251201 19251231    14.2
19260101 19260131     0.0
19260201 19260228     6.2
19260301 19260331    40.9
19260401 19260430    14.8
19260501 19260531    22.3
19260601 19260630    15.6
19260701 19260731    27.0
19260801 19260831    27.0
19260901 19260930    13.2
19261001 19261031     5.4
19261101 19261130     2.3
19261201 19261231     0.0
19270101 19270131    16.0
19270201 19270228    18.0
19270301 19270331   141.3
19270401 19270430     3.3
19270501 19270531    10.7
19270601 19270630    29.9
19270701 19270731    17.8
19270801 19270831    13.7
19270901 19270930    23.0
19271001 19271031    19.5
19271101 19271130    13.7
19271201 19271231    12.2
19280101 19280131     6.1
19280201 19280229     9.9
19280301 19280331    26.9
19280401 19280430    11.7
19280501 19280531    17.5
19280601 19280630     2.0
19280701 19280731    30.0
19280801 19280831    40.9
19280901 19280930     9.9
19281001 19281031    20.8
19281101 19281130     7.1
19281201 19281231    22.9
19290101 19290131     5.6
19290201 19290228     6.4
19290301 19290331    15.7
19290401 19290430     0.0
19290501 19290531    63.8
19290601 19290630    31.2
19290701 19290731     8.6
19290801 19290831    18.0
19290901 19290930     1.5
19291001 19291031     8.6
19291101 19291130    39.9
19291201 19291231     0.0
19300101 19300131     7.6
19300201 19300228    34.0
19300301 19300331    42.7
19300401 19300430    32.5
19300501 19300531    25.7
19300601 19300630     6.6
19300701 19300731    34.8
19300801 19300831     9.1
19300901 19300930     4.6
19301001 19301031     4.8
19301101 19301130    51.6
19301201 19301231     0.0
19310101 19310131    17.8
19310201 19310228    28.2
19310301 19310331    10.7
19310401 19310430    18.3
19310501 19310531    63.0
19310601 19310630    36.8
19310701 19310731    29.7
19310801 19310831    53.3
19310901 19310930    12.7
19311001 19311031    15.2
19311101 19311130    61.0
19311201 19311231     0.0
19320101 19320131     6.9
19320201 19320229     0.0
19320301 19320331    18.8
19320401 19320430    23.1
19320501 19320531    50.3
19320601 19320630    13.2
19320701 19320731    16.3
19320801 19320831    60.5
19320901 19320930     1.0
19321001 19321031    56.1
19321101 19321130    11.7
19321201 19321231     0.8
19330101 19330131     0.0
19330201 19330228     0.0
19330301 19330331     0.0
19330401 19330430    15.5
19330501 19330531    54.6
19330601 19330630    21.8
19330701 19330731    18.8
19330801 19330831    49.8
19330901 19330930     6.1
19331001 19331031    20.3
19331101 19331130    23.6
19331201 19331231    14.0
19340101 19340131    19.6
19340201 19340228     0.0
19340301 19340331    25.9
19340401 19340430    52.8
19340501 19340531     1.8
19340601 19340630    24.6
19340701 19340731    37.3
19340801 19340831    16.5
19340901 19340930    17.8
19341001 19341031     0.0
19341101 19341130    17.8
19341201 19341231     5.1
19350101 19350131    18.3
19350201 19350228    14.7
19350301 19350331     5.6
19350401 19350430    18.0
19350501 19350531     2.0
19350601 19350630    25.9
19350701 19350731    20.8
19350801 19350831    39.4
19350901 19350930    14.5
19351001 19351031    59.7
19351101 19351130     0.0
19351201 19351231     0.0
19360101 19360131    20.3
19360201 19360229     0.0
19360301 19360331     0.0
19360401 19360430    11.7
19360501 19360531    15.7
19360601 19360630    27.4
19360701 19360731    61.8
19360801 19360831    11.9
19360901 19360930     0.0
19361001 19361031     0.0
19361101 19361130    35.6
19361201 19361231    38.9
19370101 19370131    28.5
19370201 19370228     3.0
19370301 19370331   164.9
19370401 19370430     8.1
19370501 19370531    20.4
19370601 19370630    31.3
19370701 19370731     1.8
19370801 19370831    29.1
19370901 19370930    16.2
19371001 19371031    10.7
19371101 19371130    33.8
19371201 19371231    10.9
19380101 19380131    36.9
19380201 19380228     0.0
19380301 19380331    21.3
19380401 19380430    15.3
19380501 19380531    41.7
19380601 19380630    34.8
19380701 19380731    47.7
19380801 19380831     9.6
19380901 19380930    12.5
19381001 19381031    14.2
19381101 19381130    23.6
19381201 19381231     9.9
19390101 19390131   117.2
19390201 19390228     0.0
19390301 19390331     5.8
19390401 19390430     8.1
19390501 19390531     6.1
19390601 19390630    26.2
19390701 19390731    25.7
19390801 19390831    31.0
19390901 19390930    10.4
19391001 19391031    51.1
19391101 19391130    64.8
19391201 19391231     0.0
19400101 19400131    12.2
19400201 19400229     0.0
19400301 19400331     2.3
19400401 19400430     0.0
19400501 19400531    36.8
19400601 19400630     9.9
19400701 19400731    26.2
19400801 19400831    13.7
19400901 19400930    19.1
19401001 19401031    52.3
19401101 19401130     3.3
19401201 19401231    28.0
19410101 19410131     3.6
19410201 19410228     3.0
19410301 19410331    15.5
19410401 19410430    10.2
19410501 19410531    26.2
19410601 19410630    21.8
19410701 19410731    34.0
19410801 19410831    53.5
19410901 19410930    21.3
19411001 19411031    72.1
19411101 19411130    16.2
19411201 19411231    11.2
19420101 19420131    78.8
19420201 19420228    40.8
19420301 19420331    70.7
19420401 19420430    78.1
19420501 19420531    40.5
19420601 19420630    41.2
19420701 19420731    43.7
19420801 19420831    33.0
19420901 19420930    14.7
19421001 19421031    26.7
19421101 19421130     2.8
19421201 19421231    21.9
19430101 19430131     3.8
19430201 19430228    43.7
19430301 19430331   112.4
19430401 19430430    52.1
19430501 19430531     9.4
19430601 19430630    22.7
19430701 19430731    36.9
19430801 19430831    27.2
19430901 19430930    28.4
19431001 19431031     6.6
19431101 19431130    16.0
19431201 19431231    56.2
19440101 19440131     0.0
19440201 19440229     0.0
19440301 19440331     3.0
19440401 19440430    10.4
19440501 19440531    45.7
19440601 19440630     5.6
19440701 19440731    32.0
19440801 19440831    42.9
19440901 19440930     0.0
19441001 19441031     0.0
19441101 19441130     6.9
19441201 19441231    18.3
19450101 19450131    13.2
19450201 19450228     2.0
19450301 19450331     0.3
19450401 19450430     2.0
19450501 19450531    12.0
19450601 19450630    43.7
19450701 19450731    18.3
19450801 19450831    26.4
19450901 19450930    42.5
19451001 19451031     0.0
19451101 19451130     2.8
19451201 19451231    11.7
19460101 19460131     4.8
19460201 19460228    33.5
19460301 19460331     0.0
19460401 19460430    10.1
19460501 19460531    16.4
19460601 19460630    29.8
19460701 19460731    19.8
19460801 19460831    15.9
19460901 19460930    13.7
19461001 19461031     4.1
19461101 19461130    60.0
19461201 19461231    19.8
19470101 19470131    63.0
19470201 19470228    46.2
19470301 19470331    21.8
19470401 19470430    36.2
19470501 19470531    11.1
19470601 19470630    10.1
19470701 19470731    30.7
19470801 19470831    18.0
19470901 19470930     6.3
19471001 19471031    35.4
19471101 19471130    19.0
19471201 19471231     0.0
19480101 19480131     0.0
19480201 19480229   206.5
19480301 19480331     4.5
19480401 19480430    16.5
19480501 19480531     0.0
19480601 19480630    20.3
19480701 19480731    29.2
19480801 19480831    14.9
19480901 19480930     4.6
19481001 19481031    29.3
19481101 19481130     6.1
19481201 19481231    19.1
19490101 19490131     0.0
19490201 19490228     6.4
19490301 19490331     0.0
19490401 19490430     1.5
19490501 19490531    11.8
19490601 19490630    17.0
19490701 19490731    46.2
19490801 19490831    49.3
19490901 19490930    27.0
19491001 19491031    37.6
19491101 19491130    23.6
19491201 19491231    23.6
19500101 19500131     5.1
19500201 19500228     0.0
19500301 19500331     0.0
19500401 19500430     0.0
19500501 19500531    93.5
19500601 19500630    17.2
19500701 19500731    13.7
19500801 19500831    30.7
19500901 19500930    12.4
19501001 19501031    25.4
19501101 19501130     7.4
19501201 19501231     0.0
19510101 19510131    61.2
19510201 19510228    19.6
19510301 19510331    11.4
19510401 19510430    18.0
19510501 19510531    21.1
19510601 19510630    84.5
19510701 19510731    31.7
19510801 19510831    20.3
19510901 19510930    54.8
19511001 19511031    13.0
19511101 19511130     0.0
19511201 19511231    19.6
19520101 19520131   141.2
19520201 19520229    60.5
19520301 19520331    16.0
19520401 19520430    24.1
19520501 19520531     3.8
19520601 19520630    13.1
19520701 19520731    10.9
19520801 19520831     0.0
19520901 19520930    31.3
19521001 19521031    42.8
19521101 19521130    20.3
19521201 19521231     0.0
19530101 19530131     0.0
19530201 19530228     8.1
19530301 19530331    68.4
19530401 19530430    46.2
19530501 19530531    28.0
19530601 19530630    55.0
19530701 19530731    24.8
19530801 19530831    29.2
19530901 19530930    10.5
19531001 19531031     6.4
19531101 19531130     0.0
19531201 19531231     6.6
19540101 19540131     0.0
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430     7.8
19540501 19540531    34.8
19540601 19540630     9.3
19540701 19540731    21.1
19540801 19540831    83.7
19540901 19540930    31.2
19541001 19541031    16.8
19541101 19541130     8.9
19541201 19541231     0.0
19550101 19550131    43.2
19550201 19550228    55.7
19550301 19550331    56.4
19550401 19550430    31.5
19550501 19550531    41.0
19550601 19550630    47.8
19550701 19550731    31.5
19550801 19550831    38.5
19550901 19550930   121.4
19551001 19551031     0.0
19551101 19551130    20.3
19551201 19551231    10.2
19560101 19560131     0.0
19560201 19560229     0.0
19560301 19560331     0.0
19560401 19560430     0.0
19560501 19560531    67.0
19560601 19560630    45.0
19560701 19560731    73.5
19560801 19560831     0.0
19560901 19560930     0.0
19561001 19561031     9.9
19561101 19561130    21.6
19561201 19561231    17.8
19570101 19570131     0.0
19570201 19570228    46.5
19570301 19570331     4.1
19570401 19570430     0.0
19570501 19570531     0.0
19570601 19570630    75.9
19570701 19570731     0.0
19570801 19570831    33.2
19570901 19570930     4.3
19571001 19571031     0.0
19571101 19571130     0.0
19571201 19571231    12.4
19580101 19580131     6.1
19580201 19580228     9.4
19580301 19580331    11.4
19580401 19580430     0.0
19580501 19580531    24.6
19580601 19580630    18.9
19580701 19580731    60.9
19580801 19580831    43.9
19580901 19580930    67.0
19581001 19581031    17.8
19581101 19581130    12.9
19581201 19581231    50.4
19590101 19590131    14.0
19590201 19590228    42.9
19590301 19590331     3.6
19590401 19590430    16.7
19590501 19590531     3.3
19590601 19590630    47.9
19590701 19590731     9.0
19590801 19590831    24.5
19590901 19590930    32.1
19591001 19591031    10.3
19591101 19591130    40.9
19591201 19591231    39.6
19600101 19600131    42.5
19600201 19600229    47.6
19600301 19600331    66.4
19600401 19600430    25.1
19600501 19600531    29.8
19600601 19600630    18.6
19600701 19600731   126.3
19600801 19600831     8.0
19600901 19600930    54.1
19601001 19601031     5.0
19601101 19601130     5.5
19601201 19601231    56.6
19610101 19610131    61.4
19610201 19610228     5.1
19610301 19610331    12.7
19610401 19610430   100.0
19610501 19610531     3.8
19610601 19610630    26.5
19610701 19610731    28.2
19610801 19610831    13.8
19610901 19610930    13.8
19611001 19611031     0.0
19611101 19611130     0.0
19611201 19611231     8.7
19620101 19620131     0.0
19620201 19620228     9.2
19620301 19620331    34.8
19620401 19620430    10.2
19620501 19620531    66.2
19620601 19620630    36.5
19620701 19620731    27.3
19620801 19620831    10.6
19620901 19620930    39.3
19621001 19621031    22.9
19621101 19621130     2.1
19621201 19621231    16.8
19630101 19630131    40.5
19630201 19630228   139.4
19630301 19630331    65.6
19630401 19630430    47.7
19630501 19630531   112.0
19630601 19630630    41.1
19630701 19630731    70.9
19630801 19630831    54.5
19630901 19630930     7.2
19631001 19631031     3.8
19631101 19631130    52.2
19631201 19631231    12.8
19640101 19640131    30.0
19640201 19640229     4.8
19640301 19640331     7.1
19640401 19640430    63.6
19640501 19640531     2.8
19640601 19640630    38.6
19640701 19640731   104.2
19640801 19640831    25.2
19640901 19640930    59.0
19641001 19641031    21.1
19641101 19641130    33.0
19641201 19641231     0.0
19650101 19650131     0.0
19650201 19650228     2.8
19650301 19650331     4.8
19650401 19650430     1.0
19650501 19650531    72.4
19650601 19650630    93.2
19650701 19650731    24.9
19650801 19650831    45.5
19650901 19650930    22.5
19651001 19651031    20.6
19651101 19651130    28.4
19651201 19651231     6.3
19660101 19660131    33.2
19660201 19660228    28.0
19660301 19660331     0.0
19660401 19660430    41.5
19660501 19660531    12.5
19660601 19660630    51.1
