PRCP       031011 19100101 20180131 missing_value=99999.9 CAIRNS AERO                               
20051001 20051031     8.8
20051101 20051130    30.2
20051201 20051231    35.0
20060101 20060131   339.0
20060201 20060228   272.4
20060301 20060331   585.2
20060401 20060430   634.6
20060501 20060531    47.4
20060601 20060630    93.2
20060701 20060731    41.6
20060801 20060831    16.8
20060901 20060930    67.2
20061001 20061031    68.6
20061101 20061130    28.4
20061201 20061231    94.6
20070101 20070131   179.6
20070201 20070228   686.4
20070301 20070331   212.6
20070401 20070430    68.8
20070501 20070531   146.8
20070601 20070630    58.6
20070701 20070731    22.2
20070801 20070831    13.0
20070901 20070930     4.8
20071001 20071031    31.6
20071101 20071130    79.0
20071201 20071231   309.6
20080101 20080131   399.0
20080201 20080229   543.2
20080301 20080331   771.6
20080401 20080430    13.0
20080501 20080531    44.8
20080601 20080630    20.0
20080701 20080731    48.2
20080801 20080831     2.8
20080901 20080930    39.4
20081001 20081031    80.0
20081101 20081130    58.0
20081201 20081231   195.2
20090101 20090131   868.0
20090201 20090228   620.0
20090301 20090331   152.0
20090401 20090430   134.0
20090501 20090531    87.2
20090601 20090630     4.4
20090701 20090731     5.0
20090801 20090831     8.0
20090901 20090930     3.6
20091001 20091031    30.8
20091101 20091130   208.2
20091201 20091231    78.2
20100101 20100131   696.6
20100201 20100228   290.8
20100301 20100331   436.2
20100401 20100430   252.8
20100501 20100531    30.6
20100601 20100630    10.8
20100701 20100731    36.6
20100801 20100831    62.6
20100901 20100930    91.8
20101001 20101031   184.6
20101101 20101130   204.4
20101201 20101231   362.0
20110101 20110131   410.0
20110201 20110228   999.2
20110301 20110331   402.0
20110401 20110430    65.8
20110501 20110531    13.6
20110601 20110630    69.2
20110701 20110731    12.0
20110801 20110831     9.6
20110901 20110930    14.0
20111001 20111031   394.4
20111101 20111130    82.0
20111201 20111231   151.4
20120101 20120131   355.4
20120201 20120229   268.2
20120301 20120331   907.6
20120401 20120430   156.6
20120501 20120531   144.2
20120601 20120630    15.6
20120701 20120731    43.6
20120801 20120831     5.8
20120901 20120930    13.0
20121001 20121031    29.0
20121101 20121130    21.8
20121201 20121231    42.6
20130101 20130131   326.8
20130201 20130228   116.8
20130301 20130331   183.6
20130401 20130430    93.4
20130501 20130531   172.4
20130601 20130630    27.0
20130701 20130731    37.6
20130801 20130831     3.6
20130901 20130930    43.6
20131001 20131031    41.8
20131101 20131130   165.2
20131201 20131231    56.8
20140101 20140131   323.0
20140201 20140228   395.8
20140301 20140331   419.4
20140401 20140430   358.8
20140501 20140531    92.8
20140601 20140630    71.6
20140701 20140731    14.4
20140801 20140831    29.8
20140901 20140930     1.8
20141001 20141031    13.8
20141101 20141130    19.2
20141201 20141231    86.2
20150101 20150131   210.8
20150201 20150228   596.2
20150301 20150331   241.2
20150401 20150430    83.2
20150501 20150531    27.4
20150601 20150630   177.6
20150701 20150731    25.0
20150801 20150831    17.0
20150901 20150930    13.0
20151001 20151031    64.8
20151101 20151130    92.4
20151201 20151231   357.8
20160101 20160131   288.8
20160201 20160229   136.0
20160301 20160331   258.2
20160401 20160430   152.8
20160501 20160531   180.0
20160601 20160630    66.6
20160701 20160731    85.0
20160801 20160831    41.8
20160901 20160930    49.0
20161001 20161031    70.6
20161101 20161130    17.6
20161201 20161231    60.0
20170101 20170131   374.8
20170201 20170228   483.8
20170301 20170331   121.2
20170401 20170430   183.2
20170501 20170531    72.4
20170601 20170630    34.6
20170701 20170731    50.0
20170801 20170831     1.4
20170901 20170930    50.4
20171001 20171031   185.4
20171101 20171130   104.6
20171201 20171231    26.8
20180101 20180131   664.6
