PRCP       031011 19100101 20180131 missing_value=99999.9 CAIRNS AERO                               
19311201 19311231   499.0
19320101 19320131   731.1
19320201 19320229    78.1
19320301 19320331   400.5
19320401 19320430    24.6
19320501 19320531   306.7
19320601 19320630    18.4
19320701 19320731    30.3
19320801 19320831    48.7
19320901 19320930    10.3
19321001 19321031     0.0
19321101 19321130    16.6
19321201 19321231   343.6
19330101 19330131   161.8
19330201 19330228   843.0
19330301 19330331   284.1
19330401 19330430   442.0
19330501 19330531   128.5
19330601 19330630   104.4
19330701 19330731    17.3
19330801 19330831    42.0
19330901 19330930    20.5
19331001 19331031    50.3
19331101 19331130   368.8
19331201 19331231   133.9
19340101 19340131   760.6
19340201 19340228   684.0
19340301 19340331   594.0
19340401 19340430   292.6
19340501 19340531   105.3
19340601 19340630    28.4
19340701 19340731    27.4
19340801 19340831    10.6
19340901 19340930    52.6
19341001 19341031    31.9
19341101 19341130   130.1
19341201 19341231     0.8
19350101 19350131   200.3
19350201 19350228   278.6
19350301 19350331  1008.6
19350401 19350430    75.6
19350501 19350531   150.7
19350601 19350630    32.3
19350701 19350731    10.6
19350801 19350831    51.2
19350901 19350930     0.0
19351001 19351031    84.1
19351101 19351130    84.4
19351201 19351231    18.6
19360101 19360131   377.2
19360201 19360229   753.9
19360301 19360331   454.2
19360401 19360430   180.4
19360501 19360531    87.4
19360601 19360630   133.3
19360701 19360731    26.6
19360801 19360831     0.8
19360901 19360930   114.5
19361001 19361031     8.0
19361101 19361130     5.3
19361201 19361231   180.3
19370101 19370131   186.5
19370201 19370228    63.7
19370301 19370331   442.7
19370401 19370430   134.4
19370501 19370531    48.7
19370601 19370630     3.9
19370701 19370731    73.5
19370801 19370831    16.4
19370901 19370930    32.2
19371001 19371031     0.8
19371101 19371130    85.4
19371201 19371231    59.5
19380101 19380131   509.5
19380201 19380228   474.5
19380301 19380331    73.1
19380401 19380430    32.1
19380501 19380531    66.7
19380601 19380630    30.8
19380701 19380731    68.7
19380801 19380831    27.0
19380901 19380930    21.1
19381001 19381031    62.9
19381101 19381130    71.8
19381201 19381231    58.7
19390101 19390131   684.6
19390201 19390228   961.2
19390301 19390331  1019.6
19390401 19390430   249.0
19390501 19390531    77.5
19390601 19390630   143.5
19390701 19390731     8.2
19390801 19390831     5.0
19390901 19390930     6.5
19391001 19391031    18.8
19391101 19391130    52.6
19391201 19391231     7.4
19400101 19400131   270.5
19400201 19400229   547.1
19400301 19400331   910.7
19400401 19400430   195.4
19400501 19400531    56.0
19400601 19400630    92.3
19400701 19400731    20.5
19400801 19400831     8.5
19400901 19400930     2.4
19401001 19401031    26.3
19401101 19401130   101.0
19401201 19401231    14.4
19410101 19410131   339.3
19410201 19410228   649.6
19410301 19410331   368.3
19410401 19410430   518.9
19410501 19410531   148.8
19410601 19410630     8.2
19410701 19410731    18.1
19410801 19410831    32.9
19410901 19410930     5.2
19411001 19411031     3.1
19411101 19411130   100.9
19411201 19411231   116.7
19420101 19420131    77.3
19420201 19420228   394.8
19420301 19420331    91.6
19420401 19420430   241.5
19420501 19420531    72.4
19420601 19420630   152.6
19420701 19420731    15.7
19420801 19420831    20.3
19420901 19420930    79.4
19421001 19421031    39.5
19421101 19421130    43.5
19421201 19421231   649.3
19430101 19430131   119.0
19430201 19430228   702.1
19430301 19430331   164.6
19430401 19430430    99.2
19430501 19430531    26.5
19430601 19430630    29.1
19430701 19430731     1.4
19430801 19430831     3.3
19430901 19430930    50.3
19431001 19431031    45.1
19431101 19431130    69.5
19431201 19431231    80.5
19440101 19440131   110.1
19440201 19440229   510.9
19440301 19440331   276.6
19440401 19440430    52.0
19440501 19440531     6.4
19440601 19440630    99.0
19440701 19440731    66.4
19440801 19440831    27.1
19440901 19440930    86.3
19441001 19441031    28.8
19441101 19441130    30.5
19441201 19441231    93.5
19450101 19450131   572.2
19450201 19450228   587.9
19450301 19450331  1127.5
19450401 19450430   129.2
19450501 19450531   190.9
19450601 19450630    46.8
19450701 19450731    56.4
19450801 19450831     4.2
19450901 19450930     7.8
19451001 19451031    25.6
19451101 19451130    68.1
19451201 19451231   266.8
19460101 19460131   284.9
19460201 19460228   526.3
19460301 19460331   177.2
19460401 19460430    15.0
19460501 19460531    69.5
19460601 19460630    15.2
19460701 19460731    17.3
19460801 19460831     2.1
19460901 19460930     6.1
19461001 19461031     4.9
19461101 19461130    39.7
19461201 19461231    60.0
19470101 19470131   103.9
19470201 19470228   464.2
19470301 19470331   314.1
19470401 19470430    85.0
19470501 19470531   111.3
19470601 19470630    60.3
19470701 19470731    24.1
19470801 19470831    93.5
19470901 19470930    57.6
19471001 19471031    34.4
19471101 19471130    77.6
19471201 19471231    35.1
19480101 19480131   608.1
19480201 19480229   263.5
19480301 19480331   291.1
19480401 19480430   112.1
19480501 19480531    49.2
19480601 19480630    84.2
19480701 19480731    89.4
19480801 19480831    29.0
19480901 19480930     0.0
19481001 19481031     2.3
19481101 19481130    27.7
19481201 19481231   165.4
19490101 19490131   278.9
19490201 19490228   415.0
19490301 19490331   699.7
19490401 19490430   276.6
19490501 19490531    82.1
19490601 19490630     9.0
19490701 19490731    10.8
19490801 19490831    48.4
19490901 19490930    18.8
19491001 19491031     6.3
19491101 19491130    60.8
19491201 19491231   136.7
19500101 19500131   528.5
19500201 19500228   223.3
19500301 19500331   546.1
19500401 19500430   513.3
19500501 19500531    52.9
19500601 19500630    66.8
19500701 19500731    53.0
19500801 19500831     4.7
19500901 19500930    39.8
19501001 19501031    52.5
19501101 19501130   335.8
19501201 19501231   581.9
19510101 19510131   492.1
19510201 19510228   116.5
19510301 19510331   153.9
19510401 19510430    23.6
19510501 19510531    35.3
19510601 19510630    34.0
19510701 19510731    27.2
19510801 19510831     6.5
19510901 19510930   103.2
19511001 19511031    28.0
19511101 19511130   120.6
19511201 19511231     9.0
19520101 19520131   633.9
19520201 19520229   179.9
19520301 19520331   199.2
19520401 19520430   167.2
19520501 19520531   133.8
19520601 19520630    20.9
19520701 19520731    14.3
19520801 19520831    72.2
19520901 19520930    38.9
19521001 19521031    70.5
19521101 19521130    60.7
19521201 19521231    78.8
19530101 19530131  1028.9
19530201 19530228   344.3
19530301 19530331   569.9
19530401 19530430   133.6
19530501 19530531    65.5
19530601 19530630    23.9
19530701 19530731    47.0
19530801 19530831    26.3
19530901 19530930    84.0
19531001 19531031    10.2
19531101 19531130   106.1
19531201 19531231   129.6
19540101 19540131   331.2
19540201 19540228   305.6
19540301 19540331   374.2
19540401 19540430   252.7
19540501 19540531    59.2
19540601 19540630    42.4
19540701 19540731    31.8
19540801 19540831    62.0
