PRCP       080065 18930101 20180131 missing_value=99999.9 YARROWEYAH                                
19880901 19880930    60.6
19881001 19881031    16.4
19881101 19881130   120.4
19881201 19881231   112.0
19890101 19890131    29.6
19890201 19890228    15.2
19890301 19890331   103.0
19890401 19890430    96.8
19890501 19890531    56.0
19890601 19890630    50.6
19890701 19890731    34.6
19890801 19890831    83.2
19890901 19890930     9.2
19891001 19891031    35.2
19891101 19891130    75.0
19891201 19891231     1.4
19900101 19900131    25.4
19900201 19900228    47.0
19900301 19900331    12.2
19900401 19900430    68.6
19900501 19900531    91.8
19900601 19900630    42.6
19900701 19900731    74.2
19900801 19900831    43.2
19900901 19900930    23.2
19901001 19901031    31.4
19901101 19901130     6.0
19901201 19901231     4.4
19910101 19910131    46.6
19910201 19910228     0.0
19910301 19910331     3.4
19910401 19910430    17.4
19910501 19910531    10.2
19910601 19910630   116.2
19910701 19910731    37.4
19910801 19910831    41.6
19910901 19910930    55.2
19911001 19911031     0.0
19911101 19911130     2.0
19911201 19911231    37.0
19920101 19920131    19.2
19920201 19920229    18.8
19920301 19920331     4.0
19920401 19920430     7.6
19920501 19920531    98.0
19920601 19920630    25.2
19920701 19920731    27.0
19920801 19920831    80.8
19920901 19920930   103.8
19921001 19921031    79.0
19921101 19921130    56.2
19921201 19921231   101.0
19930101 19930131    47.2
19930201 19930228    37.4
19930301 19930331    53.2
19930401 19930430     0.0
19930501 19930531    50.8
19930601 19930630    15.2
19930701 19930731    72.8
19930801 19930831    10.2
19930901 19930930    97.0
19931001 19931031    97.2
19931101 19931130    43.4
19931201 19931231    89.6
19940101 19940131     8.4
19940201 19940228    74.0
19940301 19940331    48.6
19940401 19940430     3.8
19940501 19940531    10.0
19940601 19940630    35.0
19940701 19940731    16.0
19940801 19940831     4.6
19940901 19940930    17.8
19941001 19941031    39.6
19941101 19941130    13.2
19941201 19941231    21.8
19950101 19950131   103.4
19950201 19950228    10.6
19950301 19950331     1.2
19950401 19950430    34.8
19950501 19950531    71.6
19950601 19950630    52.6
19950701 19950731    91.8
19950801 19950831    10.0
19950901 19950930    32.0
19951001 19951031    35.8
19951101 19951130    54.0
19951201 19951231     0.6
19960101 19960131    65.6
19960201 19960229    39.6
19960301 19960331    15.4
19960401 19960430    25.2
19960501 19960531    25.6
19960601 19960630    76.0
19960701 19960731    58.6
19960801 19960831    46.8
19960901 19960930    46.8
19961001 19961031    33.2
19961101 19961130    21.8
19961201 19961231    10.6
19970101 19970131    18.4
19970201 19970228     5.0
19970301 19970331    93.4
19970401 19970430     3.2
19970501 19970531    44.2
19970601 19970630    18.0
19970701 19970731     7.6
19970801 19970831    46.8
19970901 19970930    51.0
19971001 19971031     4.6
19971101 19971130    22.8
19971201 19971231     9.6
19980101 19980131     7.6
19980201 19980228    17.0
19980301 19980331     1.0
19980401 19980430    65.8
19980501 19980531     4.0
19980601 19980630    42.4
19980701 19980731    52.8
19980801 19980831    14.0
19980901 19980930    47.8
19981001 19981031    38.4
19981101 19981130    44.0
19981201 19981231     0.0
19990101 19990131    28.8
19990201 19990228    12.8
19990301 19990331    61.8
19990401 19990430    12.2
19990501 19990531    43.2
19990601 19990630    22.8
19990701 19990731    24.8
19990801 19990831    55.2
19990901 19990930    26.6
19991001 19991031    41.2
19991101 19991130    29.2
19991201 19991231    64.4
20000101 20000131    11.6
20000201 20000229    32.0
20000301 20000331    24.8
20000401 20000430    35.0
20000501 20000531    45.2
20000601 20000630    39.7
20000701 20000731    38.4
20000801 20000831    70.6
20000901 20000930    55.2
20001001 20001031    46.4
20001101 20001130    56.8
20001201 20001231     2.4
20010101 20010131 99999.9
20010201 20010228 99999.9
20010301 20010331 99999.9
20010401 20010430 99999.9
20010501 20010531 99999.9
20010601 20010630 99999.9
20010701 20010731 99999.9
20010801 20010831 99999.9
20010901 20010930 99999.9
20011001 20011031 99999.9
20011101 20011130 99999.9
20011201 20011231 99999.9
20020101 20020131     7.8
20020201 20020228    54.4
20020301 20020331    37.0
20020401 20020430     9.2
20020501 20020531    20.8
20020601 20020630    24.4
20020701 20020731    11.8
20020801 20020831    23.4
20020901 20020930    29.8
20021001 20021031     3.0
20021101 20021130     8.6
20021201 20021231     3.4
20030101 20030131    33.0
20030201 20030228    65.8
20030301 20030331     0.0
20030401 20030430    22.2
20030501 20030531    54.4
20030601 20030630    45.6
20030701 20030731    71.8
20030801 20030831    57.6
20030901 20030930    33.8
20031001 20031031    45.0
20031101 20031130    54.0
20031201 20031231   111.0
20040101 20040131     4.8
20040201 20040229 99999.9
20040301 20040331     2.0
20040401 20040430    41.6
20040501 20040531    23.4
20040601 20040630    56.2
20040701 20040731    27.2
20040801 20040831    34.6
20040901 20040930    43.6
20041001 20041031     6.8
20041101 20041130    34.6
20041201 20041231    99.2
20050101 20050131   100.6
20050201 20050228 99999.9
20050301 20050331 99999.9
20050401 20050430     8.0
20050501 20050531     0.0
20050601 20050630 99999.9
20050701 20050731 99999.9
20050801 20050831 99999.9
20050901 20050930 99999.9
20051001 20051031 99999.9
20051101 20051130 99999.9
20051201 20051231 99999.9
20060101 20060131 99999.9
20060201 20060228 99999.9
20060301 20060331 99999.9
20060401 20060430 99999.9
20060501 20060531 99999.9
20060601 20060630 99999.9
20060701 20060731 99999.9
20060801 20060831 99999.9
20060901 20060930 99999.9
20061001 20061031 99999.9
20061101 20061130 99999.9
20061201 20061231 99999.9
20070101 20070131     0.0
20070201 20070228    12.2
20070301 20070331 99999.9
20070401 20070430 99999.9
20070501 20070531    56.4
20070601 20070630 99999.9
20070701 20070731 99999.9
20070801 20070831 99999.9
20070901 20070930 99999.9
20071001 20071031 99999.9
20071101 20071130 99999.9
20071201 20071231 99999.9
20080101 20080131    49.6
20080201 20080229    17.1
20080301 20080331    12.6
20080401 20080430     7.2
20080501 20080531    19.6
20080601 20080630    22.5
20080701 20080731    45.4
20080801 20080831    21.8
20080901 20080930    16.7
20081001 20081031     6.6
20081101 20081130    94.6
20081201 20081231    61.6
20090101 20090131     0.2
20090201 20090228     4.6
20090301 20090331    16.4
20090401 20090430    33.0
20090501 20090531    22.2
20090601 20090630    37.8
20090701 20090731    30.3
20090801 20090831    17.8
20090901 20090930    29.6
20091001 20091031    22.0
20091101 20091130    57.4
20091201 20091231     7.8
20100101 20100131    22.4
20100201 20100228    84.4
20100301 20100331    65.8
20100401 20100430    34.6
20100501 20100531    63.0
20100601 20100630    23.5
20100701 20100731    33.2
20100801 20100831    60.3
20100901 20100930    70.1
20101001 20101031   130.0
20101101 20101130    43.0
20101201 20101231   116.2
20110101 20110131    88.4
20110201 20110228   136.6
20110301 20110331    41.8
20110401 20110430    55.6
20110501 20110531    22.7
20110601 20110630    22.1
20110701 20110731    33.0
20110801 20110831    47.0
20110901 20110930    31.1
20111001 20111031    14.7
20111101 20111130    62.1
20111201 20111231    48.0
20120101 20120131    45.8
20120201 20120229   101.0
20120301 20120331   146.0
20120401 20120430    28.9
20120501 20120531    11.7
20120601 20120630    16.1
20120701 20120731    50.2
20120801 20120831    28.7
20120901 20120930    14.1
20121001 20121031    48.2
20121101 20121130    13.0
20121201 20121231    20.2
20130101 20130131     3.2
20130201 20130228    36.2
20130301 20130331    28.4
20130401 20130430     5.0
20130501 20130531    33.2
20130601 20130630    67.9
20130701 20130731    48.8
20130801 20130831    30.1
20130901 20130930    14.2
20131001 20131031    13.2
20131101 20131130    21.6
20131201 20131231    42.6
20140101 20140131    22.8
20140201 20140228    15.6
20140301 20140331    58.4
20140401 20140430    86.8
20140501 20140531    48.4
20140601 20140630    71.1
20140701 20140731    24.6
20140801 20140831     4.5
20140901 20140930    46.2
20141001 20141031    11.6
20141101 20141130    46.4
20141201 20141231    19.6
20150101 20150131    70.4
20150201 20150228    40.4
20150301 20150331     8.2
20150401 20150430    71.6
20150501 20150531    17.0
20150601 20150630    23.2
20150701 20150731    27.0
20150801 20150831    39.2
20150901 20150930    14.6
20151001 20151031    19.2
20151101 20151130   113.2
20151201 20151231    16.0
20160101 20160131    44.8
20160201 20160229    19.4
20160301 20160331    12.6
20160401 20160430    12.4
20160501 20160531    92.5
20160601 20160630    81.6
20160701 20160731    56.0
20160801 20160831    72.6
20160901 20160930   115.8
20161001 20161031    41.0
20161101 20161130    28.6
20161201 20161231    15.4
20170101 20170131    20.6
20170201 20170228    17.4
20170301 20170331    38.8
20170401 20170430    44.8
20170501 20170531    24.6
20170601 20170630     3.0
20170701 20170731    44.8
20170801 20170831    61.3
20170901 20170930     5.2
20171001 20171031    34.2
20171101 20171130    22.8
20171201 20171231    75.6
20180101 20180131    27.6
