PRCP       080065 18930101 20180131 missing_value=99999.9 YARROWEYAH                                
19141201 19141231    32.1
19150101 19150131    18.3
19150201 19150228     5.6
19150301 19150331     1.0
19150401 19150430    14.2
19150501 19150531    54.7
19150601 19150630    65.8
19150701 19150731    39.7
19150801 19150831    67.9
19150901 19150930    59.5
19151001 19151031    37.2
19151101 19151130     0.3
19151201 19151231     9.2
19160101 19160131    30.3
19160201 19160229    12.2
19160301 19160331     5.8
19160401 19160430    16.2
19160501 19160531    15.6
19160601 19160630    68.1
19160701 19160731    48.4
19160801 19160831    60.2
19160901 19160930   114.9
19161001 19161031    59.5
19161101 19161130    71.2
19161201 19161231    75.7
19170101 19170131    25.9
19170201 19170228    36.5
19170301 19170331    14.0
19170401 19170430     7.4
19170501 19170531    53.8
19170601 19170630   115.0
19170701 19170731    48.7
19170801 19170831    74.0
19170901 19170930    64.8
19171001 19171031    90.0
19171101 19171130    55.5
19171201 19171231     3.9
19180101 19180131    96.4
19180201 19180228    48.5
19180301 19180331    43.0
19180401 19180430    28.3
19180501 19180531   170.4
19180601 19180630    41.5
19180701 19180731    16.9
19180801 19180831   109.0
19180901 19180930    14.3
19181001 19181031    18.8
19181101 19181130     8.9
19181201 19181231    17.8
19190101 19190131     0.3
19190201 19190228    46.3
19190301 19190331    20.4
19190401 19190430    28.2
19190501 19190531    48.1
19190601 19190630    28.5
19190701 19190731    13.7
19190801 19190831    14.9
19190901 19190930    46.4
19191001 19191031    17.9
19191101 19191130    29.0
19191201 19191231    61.0
19200101 19200131     5.3
19200201 19200229     0.0
19200301 19200331     9.9
19200401 19200430    10.4
19200501 19200531    13.7
19200601 19200630    56.6
19200701 19200731    65.9
19200801 19200831    89.2
19200901 19200930    68.1
19201001 19201031    58.8
19201101 19201130    72.1
19201201 19201231    16.6
19210101 19210131    34.6
19210201 19210228    37.4
19210301 19210331    46.0
19210401 19210430    19.1
19210501 19210531    89.2
19210601 19210630    71.6
19210701 19210731    55.9
19210801 19210831    52.1
19210901 19210930    84.7
19211001 19211031    35.8
19211101 19211130    18.8
19211201 19211231    13.0
19220101 19220131    15.2
19220201 19220228     5.1
19220301 19220331     0.0
19220401 19220430    18.4
19220501 19220531    36.2
19220601 19220630    27.4
19220701 19220731    33.4
19220801 19220831    34.0
19220901 19220930    71.9
19221001 19221031    41.7
19221101 19221130     0.0
19221201 19221231    28.0
19230101 19230131     6.1
19230201 19230228     0.0
19230301 19230331     1.3
19230401 19230430     0.3
19230501 19230531    43.9
19230601 19230630    99.2
19230701 19230731    95.0
19230801 19230831    24.0
19230901 19230930    41.7
19231001 19231031    35.7
19231101 19231130    15.8
19231201 19231231    69.2
19240101 19240131    37.2
19240201 19240229    40.4
19240301 19240331   135.5
19240401 19240430    67.1
19240501 19240531    26.2
19240601 19240630    65.3
19240701 19240731    16.3
19240801 19240831    89.0
19240901 19240930    60.7
19241001 19241031    35.9
19241101 19241130    99.1
19241201 19241231    65.4
19250101 19250131   138.0
19250201 19250228    46.8
19250301 19250331     6.8
19250401 19250430     2.0
19250501 19250531    59.5
19250601 19250630    42.9
19250701 19250731    47.3
19250801 19250831    26.6
19250901 19250930    34.1
19251001 19251031    19.4
19251101 19251130    31.8
19251201 19251231     0.0
19260101 19260131     0.0
19260201 19260228     0.0
19260301 19260331    60.0
19260401 19260430   225.8
19260501 19260531    45.0
19260601 19260630    30.3
19260701 19260731    27.2
19260801 19260831    54.0
19260901 19260930    21.7
19261001 19261031    40.6
19261101 19261130     1.5
19261201 19261231    29.2
19270101 19270131    10.7
19270201 19270228    14.8
19270301 19270331     4.1
19270401 19270430     1.5
19270501 19270531    29.6
19270601 19270630    12.7
19270701 19270731    26.9
19270801 19270831    34.7
19270901 19270930    27.2
19271001 19271031    44.0
19271101 19271130    18.3
19271201 19271231     8.6
19280101 19280131    67.9
19280201 19280229    58.5
19280301 19280331    55.6
19280401 19280430    33.4
19280501 19280531    33.5
19280601 19280630    38.5
19280701 19280731    23.4
19280801 19280831     8.7
19280901 19280930    14.8
19281001 19281031    32.3
19281101 19281130     1.6
19281201 19281231     0.5
19290101 19290131     4.6
19290201 19290228    18.0
19290301 19290331    56.9
19290401 19290430    56.4
19290501 19290531    13.0
19290601 19290630    15.3
19290701 19290731     3.3
19290801 19290831    28.6
19290901 19290930    19.3
19291001 19291031    34.0
19291101 19291130    12.0
19291201 19291231    44.0
19300101 19300131     0.0
19300201 19300228     0.0
19300301 19300331    13.7
19300401 19300430    10.2
19300501 19300531    25.7
19300601 19300630     5.1
19300701 19300731    27.3
19300801 19300831    40.8
19300901 19300930    17.0
19301001 19301031    60.5
19301101 19301130    23.5
19301201 19301231   113.2
19310101 19310131    10.4
19310201 19310228     2.3
19310301 19310331    64.1
19310401 19310430    43.3
19310501 19310531   113.6
19310601 19310630    95.6
19310701 19310731    29.3
19310801 19310831    21.1
19310901 19310930    24.9
19311001 19311031    40.9
19311101 19311130    50.3
19311201 19311231     3.3
19320101 19320131     0.0
19320201 19320229    10.7
19320301 19320331    42.6
19320401 19320430    63.0
19320501 19320531     8.9
19320601 19320630    39.7
19320701 19320731    50.5
19320801 19320831    61.1
19320901 19320930    50.0
19321001 19321031    28.5
19321101 19321130    47.0
19321201 19321231    31.7
19330101 19330131    15.2
19330201 19330228     0.0
19330301 19330331    17.0
19330401 19330430    12.5
19330501 19330531    24.0
19330601 19330630    44.5
19330701 19330731    27.4
19330801 19330831    24.6
19330901 19330930    56.6
19331001 19331031    28.7
19331101 19331130    28.2
19331201 19331231    61.9
19340101 19340131    47.3
19340201 19340228    69.8
19340301 19340331    22.1
19340401 19340430    48.9
19340501 19340531     0.0
19340601 19340630    15.0
19340701 19340731    35.8
19340801 19340831    44.9
19340901 19340930    20.2
19341001 19341031    94.0
19341101 19341130   111.1
19341201 19341231    18.3
19350101 19350131    21.6
19350201 19350228    20.9
19350301 19350331    20.0
19350401 19350430    98.9
19350501 19350531    10.5
19350601 19350630    20.7
19350701 19350731    66.8
19350801 19350831    40.0
19350901 19350930    37.8
19351001 19351031   107.3
19351101 19351130     2.6
19351201 19351231    25.4
19360101 19360131    41.5
19360201 19360229     2.6
19360301 19360331    18.5
19360401 19360430    31.2
19360501 19360531    17.6
19360601 19360630    66.5
19360701 19360731    85.9
19360801 19360831    58.3
19360901 19360930    13.0
19361001 19361031    33.6
19361101 19361130     8.9
19361201 19361231    47.0
19370101 19370131    45.2
19370201 19370228     7.3
19370301 19370331     2.5
19370401 19370430    12.7
19370501 19370531    17.3
19370601 19370630    31.5
19370701 19370731    17.1
19370801 19370831    45.0
19370901 19370930    13.8
