PRCP       044168 19040101 20151231 missing_value=99999.9 BAYRICK                                   
19251201 19251231    69.2
19260101 19260131    39.6
19260201 19260228     5.4
19260301 19260331    31.7
19260401 19260430     8.1
19260501 19260531    26.6
19260601 19260630     4.6
19260701 19260731     5.6
19260801 19260831     2.5
19260901 19260930    82.6
19261001 19261031     2.5
19261101 19261130     0.0
19261201 19261231    40.2
19270101 19270131    24.6
19270201 19270228    15.2
19270301 19270331    37.0
19270401 19270430     2.0
19270501 19270531    16.8
19270601 19270630    34.1
19270701 19270731     0.0
19270801 19270831     0.0
19270901 19270930     3.8
19271001 19271031    43.7
19271101 19271130    10.1
19271201 19271231   156.3
19280101 19280131     3.8
19280201 19280229    39.6
19280301 19280331    38.8
19280401 19280430    77.3
19280501 19280531     2.5
19280601 19280630    35.5
19280701 19280731    20.6
19280801 19280831     0.0
19280901 19280930     0.0
19281001 19281031     0.0
19281101 19281130    51.1
19281201 19281231   103.3
19290101 19290131    15.2
19290201 19290228    91.7
19290301 19290331    63.2
19290401 19290430    51.1
19290501 19290531     0.0
19290601 19290630    11.4
19290701 19290731     0.0
19290801 19290831     0.0
19290901 19290930     0.0
19291001 19291031    13.9
19291101 19291130    12.0
19291201 19291231    84.3
19300101 19300131    91.6
19300201 19300228    98.0
19300301 19300331    16.0
19300401 19300430    16.5
19300501 19300531    51.5
19300601 19300630    17.2
19300701 19300731    37.1
19300801 19300831    65.0
19300901 19300930     0.0
19301001 19301031    49.5
19301101 19301130    14.0
19301201 19301231     0.0
19310101 19310131    24.6
19310201 19310228     7.6
19310301 19310331   109.3
19310401 19310430    51.3
19310501 19310531    20.3
19310601 19310630    45.0
19310701 19310731    17.2
19310801 19310831     2.8
19310901 19310930     6.1
19311001 19311031    35.1
19311101 19311130    63.6
19311201 19311231   105.4
19320101 19320131     9.2
19320201 19320229    61.4
19320301 19320331    24.9
19320401 19320430    27.4
19320501 19320531    69.6
19320601 19320630    38.4
19320701 19320731     2.0
19320801 19320831     0.0
19320901 19320930     2.8
19321001 19321031     5.6
19321101 19321130    80.4
19321201 19321231     0.0
19330101 19330131    72.3
19330201 19330228    26.7
19330301 19330331     5.1
19330401 19330430     0.0
19330501 19330531    14.2
19330601 19330630    71.1
19330701 19330731   143.6
19330801 19330831    28.8
19330901 19330930    23.7
19331001 19331031    53.3
19331101 19331130   192.3
19331201 19331231    84.2
19340101 19340131    76.7
19340201 19340228    23.4
19340301 19340331     0.0
19340401 19340430    24.2
19340501 19340531    12.2
19340601 19340630    25.2
19340701 19340731    28.0
19340801 19340831     7.6
19340901 19340930     0.0
19341001 19341031    52.6
19341101 19341130    29.5
19341201 19341231    11.4
19350101 19350131     7.6
19350201 19350228     8.4
19350301 19350331     0.0
19350401 19350430    13.5
19350501 19350531     0.0
19350601 19350630    46.7
19350701 19350731    28.0
19350801 19350831    14.0
19350901 19350930    36.3
19351001 19351031    34.1
19351101 19351130     8.1
19351201 19351231    17.8
