PRCP       078078 18830101 20180131 missing_value=99999.9 KANIVA                                    
19041201 19041231     0.0
19050101 19050131    21.9
19050201 19050228     5.1
19050301 19050331     0.0
19050401 19050430    83.9
19050501 19050531    30.3
19050601 19050630    73.9
19050701 19050731    36.1
19050801 19050831    20.8
19050901 19050930    42.6
19051001 19051031    59.8
19051101 19051130    18.6
19051201 19051231     3.8
19060101 19060131     0.0
19060201 19060228     7.1
19060301 19060331     4.6
19060401 19060430     4.6
19060501 19060531    66.1
19060601 19060630   105.7
19060701 19060731    74.6
19060801 19060831    42.9
19060901 19060930    57.7
19061001 19061031    31.3
19061101 19061130    59.7
19061201 19061231    10.2
19070101 19070131    37.3
19070201 19070228    20.6
19070301 19070331     0.0
19070401 19070430    83.8
19070501 19070531    47.3
19070601 19070630    27.8
19070701 19070731    48.8
19070801 19070831    75.9
19070901 19070930    10.1
19071001 19071031    17.2
19071101 19071130    41.7
19071201 19071231    19.1
19080101 19080131     9.4
19080201 19080229    11.5
19080301 19080331    11.5
19080401 19080430     3.8
19080501 19080531    76.7
19080601 19080630    53.6
19080701 19080731    23.1
19080801 19080831    26.5
19080901 19080930    84.6
19081001 19081031    57.5
19081101 19081130    31.5
19081201 19081231    25.4
19090101 19090131    12.7
19090201 19090228     5.6
19090301 19090331    10.4
19090401 19090430    38.9
19090501 19090531    58.6
19090601 19090630    62.0
19090701 19090731    76.5
19090801 19090831    85.8
19090901 19090930    38.3
19091001 19091031    50.5
19091101 19091130    19.8
19091201 19091231     7.9
19100101 19100131     0.0
19100201 19100228     0.0
19100301 19100331   158.8
19100401 19100430     3.6
19100501 19100531    70.1
19100601 19100630    51.7
19100701 19100731    69.9
19100801 19100831    34.0
19100901 19100930    75.0
19101001 19101031    23.6
19101101 19101130    39.7
19101201 19101231    23.4
19110101 19110131     0.0
19110201 19110228    85.5
19110301 19110331     0.0
19110401 19110430    20.6
19110501 19110531    24.9
19110601 19110630    54.8
19110701 19110731    42.3
19110801 19110831    19.8
19110901 19110930    55.4
19111001 19111031     9.7
19111101 19111130     0.0
19111201 19111231    37.6
19120101 19120131     0.0
19120201 19120229     4.3
19120301 19120331     7.6
19120401 19120430    16.7
19120501 19120531     7.6
19120601 19120630    63.6
19120701 19120731    43.3
19120801 19120831    51.9
19120901 19120930   108.6
19121001 19121031    16.7
19121101 19121130    41.5
19121201 19121231    20.9
19130101 19130131     0.0
19130201 19130228    25.6
19130301 19130331    27.6
19130401 19130430    22.9
19130501 19130531    17.3
19130601 19130630     2.3
19130701 19130731    27.6
19130801 19130831    60.5
19130901 19130930   115.6
19131001 19131031    50.0
19131101 19131130    30.7
19131201 19131231    16.5
19140101 19140131     4.8
19140201 19140228    24.9
19140301 19140331    17.5
19140401 19140430    40.9
19140501 19140531    20.7
19140601 19140630    11.9
