PRCP       016055 18940101 20180131 missing_value=99999.9 YARDEA                                    
19151201 19151231    14.0
19160101 19160131     2.6
19160201 19160229     2.8
19160301 19160331     1.8
19160401 19160430     2.1
19160501 19160531    12.6
19160601 19160630    55.0
19160701 19160731    58.3
19160801 19160831    65.6
19160901 19160930    38.7
19161001 19161031    53.2
19161101 19161130    13.5
19161201 19161231     1.8
19170101 19170131    30.4
19170201 19170228     0.0
19170301 19170331    13.7
19170401 19170430     0.0
19170501 19170531    35.3
19170601 19170630    49.8
19170701 19170731    65.5
19170801 19170831    51.3
19170901 19170930    49.8
19171001 19171031    55.6
19171101 19171130    28.2
19171201 19171231     6.1
19180101 19180131    13.5
19180201 19180228     0.8
19180301 19180331    12.4
19180401 19180430    12.7
19180501 19180531    21.8
19180601 19180630    48.5
19180701 19180731    26.6
19180801 19180831    67.4
19180901 19180930     0.0
19181001 19181031    30.7
19181101 19181130     0.0
19181201 19181231     8.9
19190101 19190131     8.9
19190201 19190228    35.2
19190301 19190331     0.8
19190401 19190430    24.6
19190501 19190531    18.2
19190601 19190630    10.8
19190701 19190731    11.0
19190801 19190831    28.3
19190901 19190930    29.5
19191001 19191031    16.5
19191101 19191130     7.0
19191201 19191231    31.8
19200101 19200131    25.4
19200201 19200229     0.0
19200301 19200331     5.9
19200401 19200430    12.0
19200501 19200531    63.2
19200601 19200630    45.8
19200701 19200731    38.6
19200801 19200831    38.1
19200901 19200930    69.7
19201001 19201031    32.8
19201101 19201130    35.7
19201201 19201231    14.5
19210101 19210131    21.6
19210201 19210228    85.5
19210301 19210331    78.8
19210401 19210430    10.4
19210501 19210531    73.7
19210601 19210630    68.5
19210701 19210731    13.8
19210801 19210831    12.3
19210901 19210930    19.2
19211001 19211031    34.1
19211101 19211130    20.8
19211201 19211231    34.6
19220101 19220131    12.7
19220201 19220228     9.7
19220301 19220331     2.0
19220401 19220430    14.2
19220501 19220531    24.4
19220601 19220630    14.6
19220701 19220731    24.9
19220801 19220831    15.9
19220901 19220930    13.4
19221001 19221031     2.1
19221101 19221130     0.0
19221201 19221231    47.8
19230101 19230131     3.1
19230201 19230228     0.0
19230301 19230331     0.0
19230401 19230430     7.9
19230501 19230531    32.1
19230601 19230630    35.4
19230701 19230731    49.5
19230801 19230831    29.1
19230901 19230930    28.7
19231001 19231031    13.6
19231101 19231130     1.3
19231201 19231231    57.6
19240101 19240131    17.0
19240201 19240229    12.2
19240301 19240331     3.8
19240401 19240430     2.6
19240501 19240531    18.1
19240601 19240630    25.9
19240701 19240731     2.3
19240801 19240831    39.2
19240901 19240930    33.8
19241001 19241031   102.1
19241101 19241130    22.1
19241201 19241231    13.7
19250101 19250131     7.9
19250201 19250228    28.2
19250301 19250331     0.0
19250401 19250430     4.7
19250501 19250531    34.9
19250601 19250630    14.0
19250701 19250731    43.4
19250801 19250831    19.7
19250901 19250930    21.4
19251001 19251031     7.9
19251101 19251130    14.5
19251201 19251231     3.3
19260101 19260131     0.0
19260201 19260228     7.9
19260301 19260331    34.3
19260401 19260430    18.0
19260501 19260531    39.3
19260601 19260630    76.0
19260701 19260731    29.4
19260801 19260831    50.0
