PRCP       091044 19080101 20180131 missing_value=99999.9 IRISHTOWN (JOHNS HILL ROAD)               
19291101 19291130    84.2
19291201 19291231   101.6
19300101 19300131    34.6
19300201 19300228    27.9
19300301 19300331    17.3
19300401 19300430    88.4
19300501 19300531   102.6
19300601 19300630    23.9
19300701 19300731   151.3
19300801 19300831   163.6
19300901 19300930   141.4
19301001 19301031   100.4
19301101 19301130   105.5
19301201 19301231    97.4
19310101 19310131    50.6
19310201 19310228    35.0
19310301 19310331    98.2
19310401 19310430   103.5
19310501 19310531   256.6
19310601 19310630   247.7
19310701 19310731   222.3
19310801 19310831   124.8
19310901 19310930   132.1
19311001 19311031    66.8
19311101 19311130    76.8
19311201 19311231     5.3
19320101 19320131    50.4
19320201 19320229    55.1
19320301 19320331   144.0
19320401 19320430   139.3
19320501 19320531    20.9
19320601 19320630   194.1
19320701 19320731   109.4
19320801 19320831   124.2
19320901 19320930    66.9
19321001 19321031    90.1
19321101 19321130    74.4
19321201 19321231    75.3
19330101 19330131    46.3
19330201 19330228    27.4
19330301 19330331    78.8
19330401 19330430    73.3
19330501 19330531    98.8
19330601 19330630    94.9
19330701 19330731    62.0
19330801 19330831   177.7
19330901 19330930   113.2
19331001 19331031    83.4
19331101 19331130    46.3
19331201 19331231    69.9
19340101 19340131    16.6
19340201 19340228     9.0
19340301 19340331    16.6
19340401 19340430    76.1
19340501 19340531    28.9
19340601 19340630    50.3
19340701 19340731   115.2
19340801 19340831   123.9
19340901 19340930   115.1
19341001 19341031   110.7
19341101 19341130   127.2
19341201 19341231    72.3
19350101 19350131    56.3
19350201 19350228    82.3
19350301 19350331   118.8
19350401 19350430    94.3
19350501 19350531   131.7
19350601 19350630   124.4
19350701 19350731   125.6
19350801 19350831   168.4
19350901 19350930    60.1
19351001 19351031    64.8
19351101 19351130    87.8
19351201 19351231    17.2
19360101 19360131    16.8
19360201 19360229    14.2
19360301 19360331    48.1
19360401 19360430    96.9
19360501 19360531    73.5
19360601 19360630    92.4
19360701 19360731   138.0
19360801 19360831   279.0
19360901 19360930   146.7
19361001 19361031   163.9
19361101 19361130    57.6
19361201 19361231    50.7
19370101 19370131   183.2
19370201 19370228    49.9
19370301 19370331    70.9
19370401 19370430    52.9
19370501 19370531   140.1
19370601 19370630    28.9
19370701 19370731   114.2
19370801 19370831    92.9
19370901 19370930   130.9
19371001 19371031    95.2
19371101 19371130    57.8
19371201 19371231   126.0
19380101 19380131   104.1
19380201 19380228    72.5
19380301 19380331    37.7
19380401 19380430   107.4
19380501 19380531    89.4
19380601 19380630   198.1
19380701 19380731   127.9
19380801 19380831    67.5
19380901 19380930   101.3
19381001 19381031   101.4
19381101 19381130    46.1
19381201 19381231   106.0
19390101 19390131     3.3
19390201 19390228    81.3
19390301 19390331    44.4
19390401 19390430   102.8
19390501 19390531   121.6
19390601 19390630   171.3
19390701 19390731    79.8
19390801 19390831   261.2
19390901 19390930   183.1
19391001 19391031    85.6
19391101 19391130   161.1
19391201 19391231    73.1
19400101 19400131    55.3
19400201 19400229    57.4
19400301 19400331    18.7
19400401 19400430    53.0
19400501 19400531    37.9
19400601 19400630    85.3
19400701 19400731   157.3
19400801 19400831    75.6
19400901 19400930    56.5
19401001 19401031    54.3
19401101 19401130    83.4
19401201 19401231    62.5
19410101 19410131    33.0
19410201 19410228    27.1
19410301 19410331   121.3
19410401 19410430    35.9
19410501 19410531    67.8
19410601 19410630    84.3
19410701 19410731   165.1
19410801 19410831    80.7
19410901 19410930   121.8
19411001 19411031   104.9
19411101 19411130    80.7
19411201 19411231    35.3
19420101 19420131    64.9
19420201 19420228    38.6
19420301 19420331    52.2
19420401 19420430    97.5
19420501 19420531   147.4
19420601 19420630   126.8
19420701 19420731   242.7
19420801 19420831   165.1
19420901 19420930   168.7
19421001 19421031    50.1
19421101 19421130    30.6
19421201 19421231    33.8
19430101 19430131    52.9
19430201 19430228    57.4
19430301 19430331    14.8
19430401 19430430   136.1
19430501 19430531    80.5
19430601 19430630   116.4
19430701 19430731   146.5
19430801 19430831   146.7
19430901 19430930   112.4
19431001 19431031    58.9
19431101 19431130    86.8
19431201 19431231    26.2
19440101 19440131    68.8
19440201 19440229    75.9
19440301 19440331    23.4
19440401 19440430    95.7
19440501 19440531   140.7
19440601 19440630    85.8
19440701 19440731   119.2
19440801 19440831    62.4
19440901 19440930    86.3
19441001 19441031   120.7
19441101 19441130   105.3
19441201 19441231    98.0
19450101 19450131    49.9
19450201 19450228   105.0
19450301 19450331    52.7
19450401 19450430    21.3
19450501 19450531    68.1
19450601 19450630   202.2
19450701 19450731   116.0
19450801 19450831   216.0
19450901 19450930   106.9
19451001 19451031   118.0
19451101 19451130    86.5
19451201 19451231    18.5
19460101 19460131    83.8
19460201 19460228   116.4
19460301 19460331   125.0
19460401 19460430    49.9
19460501 19460531   109.6
19460601 19460630    79.6
19460701 19460731   297.4
19460801 19460831   209.3
19460901 19460930    88.3
19461001 19461031    62.4
19461101 19461130    75.6
19461201 19461231    82.0
19470101 19470131    31.2
19470201 19470228    10.3
19470301 19470331   121.8
19470401 19470430    63.8
19470501 19470531    81.5
19470601 19470630   244.4
19470701 19470731   184.9
19470801 19470831   179.8
19470901 19470930    97.8
19471001 19471031   173.8
19471101 19471130    79.9
19471201 19471231   171.9
19480101 19480131    15.5
19480201 19480229    40.0
19480301 19480331    81.8
19480401 19480430    96.1
19480501 19480531   241.9
19480601 19480630   120.6
19480701 19480731   186.1
19480801 19480831   134.0
19480901 19480930   100.7
19481001 19481031   179.5
19481101 19481130    60.5
19481201 19481231    84.1
19490101 19490131    41.1
19490201 19490228    77.0
19490301 19490331    34.1
19490401 19490430    19.8
19490501 19490531    76.2
19490601 19490630    36.5
19490701 19490731   137.2
19490801 19490831    81.5
19490901 19490930    66.8
19491001 19491031   232.5
19491101 19491130    77.4
19491201 19491231    32.8
19500101 19500131    76.7
19500201 19500228    52.1
19500301 19500331    35.0
19500401 19500430    35.0
19500501 19500531    90.3
19500601 19500630    58.9
19500701 19500731    74.5
19500801 19500831    90.9
19500901 19500930   102.1
19501001 19501031   134.2
19501101 19501130   106.1
19501201 19501231    60.6
19510101 19510131    35.8
19510201 19510228    24.2
19510301 19510331    58.4
19510401 19510430   175.0
19510501 19510531   149.8
19510601 19510630    42.7
19510701 19510731   215.2
19510801 19510831   150.4
19510901 19510930    50.4
19511001 19511031    85.5
19511101 19511130   106.9
19511201 19511231   102.5
19520101 19520131   104.8
19520201 19520229    43.9
19520301 19520331    12.7
19520401 19520430   123.4
19520501 19520531   139.4
19520601 19520630   294.4
19520701 19520731    86.6
19520801 19520831    86.4
19520901 19520930   108.9
19521001 19521031   127.3
19521101 19521130   182.1
19521201 19521231    41.9
19530101 19530131    34.6
19530201 19530228    15.3
19530301 19530331    19.7
19530401 19530430   108.9
19530501 19530531    80.0
19530601 19530630   186.2
19530701 19530731   188.7
19530801 19530831   179.5
19530901 19530930   110.7
19531001 19531031   119.7
19531101 19531130   123.7
19531201 19531231   113.3
19540101 19540131    13.7
19540201 19540228    31.7
19540301 19540331    82.3
19540401 19540430    96.3
19540501 19540531   128.7
19540601 19540630   134.2
19540701 19540731   145.8
19540801 19540831   139.2
19540901 19540930   121.6
19541001 19541031    65.3
19541101 19541130    52.6
19541201 19541231    83.0
19550101 19550131    33.6
19550201 19550228    36.4
19550301 19550331    21.9
19550401 19550430   108.9
19550501 19550531   132.8
19550601 19550630   126.5
19550701 19550731   198.4
19550801 19550831   316.4
19550901 19550930    87.4
19551001 19551031   127.3
19551101 19551130   114.2
19551201 19551231    72.5
19560101 19560131   103.7
19560201 19560229    93.2
19560301 19560331    76.2
19560401 19560430   233.4
19560501 19560531   117.9
19560601 19560630   201.1
19560701 19560731   154.8
19560801 19560831   169.5
19560901 19560930    96.3
19561001 19561031   120.8
19561101 19561130    88.7
19561201 19561231   100.2
19570101 19570131    40.0
19570201 19570228    91.6
19570301 19570331    71.7
19570401 19570430   151.9
19570501 19570531   164.3
19570601 19570630   102.8
19570701 19570731   124.8
19570801 19570831    53.5
19570901 19570930    83.8
19571001 19571031    93.5
19571101 19571130    77.9
19571201 19571231    80.1
19580101 19580131    29.2
19580201 19580228    23.1
19580301 19580331   107.2
19580401 19580430    35.7
19580501 19580531   307.1
19580601 19580630   113.4
19580701 19580731   216.2
19580801 19580831   147.5
19580901 19580930    39.6
19581001 19581031   225.5
19581101 19581130    78.7
19581201 19581231    61.0
19590101 19590131    13.7
19590201 19590228    98.7
19590301 19590331    34.8
19590401 19590430    50.8
19590501 19590531    49.3
19590601 19590630    90.3
19590701 19590731   108.0
19590801 19590831   149.8
19590901 19590930    73.6
19591001 19591031    79.3
19591101 19591130    39.6
19591201 19591231    89.1
19600101 19600131    37.2
19600201 19600229   131.7
19600301 19600331    44.5
19600401 19600430   246.6
19600501 19600531   168.5
19600601 19600630   115.1
19600701 19600731   162.2
19600801 19600831    79.4
19600901 19600930   113.2
19601001 19601031   114.4
19601101 19601130   109.6
19601201 19601231     0.5
19610101 19610131    24.3
19610201 19610228    24.7
19610301 19610331     9.5
19610401 19610430   186.5
19610501 19610531   108.7
19610601 19610630   146.4
19610701 19610731   201.1
19610801 19610831    92.4
19610901 19610930    54.7
19611001 19611031    77.2
19611101 19611130    61.7
19611201 19611231    78.4
19620101 19620131    28.2
19620201 19620228    72.6
19620301 19620331   131.4
19620401 19620430    40.1
19620501 19620531   185.3
19620601 19620630   245.5
19620701 19620731   113.6
19620801 19620831   137.1
19620901 19620930    97.6
19621001 19621031   156.7
19621101 19621130    77.3
19621201 19621231    24.4
19630101 19630131   100.3
19630201 19630228    40.4
19630301 19630331    62.5
19630401 19630430    30.8
19630501 19630531    32.3
19630601 19630630    77.8
19630701 19630731   221.7
19630801 19630831   167.6
19630901 19630930   165.5
19631001 19631031    56.3
19631101 19631130    67.3
19631201 19631231    24.8
19640101 19640131    60.7
19640201 19640229   108.7
19640301 19640331   114.6
19640401 19640430   108.9
19640501 19640531   153.9
19640601 19640630   158.1
19640701 19640731   226.6
19640801 19640831   202.8
19640901 19640930   205.9
19641001 19641031   119.3
19641101 19641130    69.1
19641201 19641231    81.4
19650101 19650131    22.1
19650201 19650228    11.3
19650301 19650331    95.4
19650401 19650430    76.5
19650501 19650531   200.4
19650601 19650630   108.0
19650701 19650731   127.6
19650801 19650831    62.3
19650901 19650930   112.3
19651001 19651031    40.9
19651101 19651130    74.0
19651201 19651231    68.3
19660101 19660131    19.8
19660201 19660228    40.2
19660301 19660331    42.6
19660401 19660430    81.8
19660501 19660531    92.6
19660601 19660630    72.7
19660701 19660731   217.6
19660801 19660831   115.0
19660901 19660930    99.5
19661001 19661031    80.3
19661101 19661130    84.9
19661201 19661231    37.6
19670101 19670131    69.6
19670201 19670228    25.5
19670301 19670331    37.1
19670401 19670430    38.2
19670501 19670531    47.0
19670601 19670630   109.8
19670701 19670731   171.8
19670801 19670831   119.7
19670901 19670930   108.0
19671001 19671031    39.8
19671101 19671130    70.0
19671201 19671231    98.8
19680101 19680131    20.6
19680201 19680229    42.4
19680301 19680331    64.8
19680401 19680430   142.1
19680501 19680531   228.6
19680601 19680630   137.9
19680701 19680731   118.1
19680801 19680831   207.2
19680901 19680930   105.3
19681001 19681031   168.1
19681101 19681130   161.4
