PRCP       091044 19080101 20180131 missing_value=99999.9 IRISHTOWN (JOHNS HILL ROAD)               
20030501 20030531    52.6
20030601 20030630   184.0
20030701 20030731   174.8
20030801 20030831   153.6
20030901 20030930   172.0
20031001 20031031    73.6
20031101 20031130    12.6
20031201 20031231    59.4
20040101 20040131    87.8
20040201 20040229    31.2
20040301 20040331    38.2
20040401 20040430    55.0
20040501 20040531   132.6
20040601 20040630   206.2
20040701 20040731   142.0
20040801 20040831   113.6
20040901 20040930    68.0
20041001 20041031    74.8
20041101 20041130    77.4
20041201 20041231    41.2
20050101 20050131    34.4
20050201 20050228    42.6
20050301 20050331    26.2
20050401 20050430    78.8
20050501 20050531    56.8
20050601 20050630    87.6
20050701 20050731   130.8
20050801 20050831   171.6
20050901 20050930   136.4
20051001 20051031   155.6
20051101 20051130    99.4
20051201 20051231   116.8
20060101 20060131    31.4
20060201 20060228    31.0
20060301 20060331    44.4
20060401 20060430   140.6
20060501 20060531    77.4
20060601 20060630    93.8
20060701 20060731    98.4
20060801 20060831    65.0
20060901 20060930    78.8
20061001 20061031    46.2
20061101 20061130    29.8
20061201 20061231    37.4
20070101 20070131    63.6
20070201 20070228     7.8
20070301 20070331    50.8
20070401 20070430    34.8
20070501 20070531   223.8
20070601 20070630    51.0
20070701 20070731   109.8
20070801 20070831   126.0
20070901 20070930   123.2
20071001 20071031    92.4
20071101 20071130    14.6
20071201 20071231   104.6
20080101 20080131    10.2
20080201 20080229    26.4
20080301 20080331    54.8
20080401 20080430    71.2
20080501 20080531    82.8
20080601 20080630   120.6
20080701 20080731   150.8
20080801 20080831   120.2
20080901 20080930   125.8
20081001 20081031    21.8
20081101 20081130    86.6
20081201 20081231    96.8
20090101 20090131    55.0
20090201 20090228     8.4
20090301 20090331   113.2
20090401 20090430   128.4
20090501 20090531   105.6
20090601 20090630    83.0
20090701 20090731   170.4
20090801 20090831   291.6
20090901 20090930   120.6
20091001 20091031    47.2
20091101 20091130    67.4
20091201 20091231    42.0
20100101 20100131    16.6
20100201 20100228    53.6
20100301 20100331   102.4
20100401 20100430   102.0
20100501 20100531    93.2
20100601 20100630   101.6
20100701 20100731   112.4
20100801 20100831   178.0
20100901 20100930   140.0
20101001 20101031   124.2
20101101 20101130   108.2
20101201 20101231    90.4
20110101 20110131   135.0
20110201 20110228    58.4
20110301 20110331    51.2
20110401 20110430    51.2
20110501 20110531    38.2
20110601 20110630   129.4
20110701 20110731   124.4
20110801 20110831   163.8
20110901 20110930    75.8
20111001 20111031    80.8
20111101 20111130   122.2
20111201 20111231    40.4
20120101 20120131    59.0
20120201 20120229    46.8
20120301 20120331   121.6
20120401 20120430    97.6
20120501 20120531   131.2
20120601 20120630   103.0
20120701 20120731    90.6
20120801 20120831   172.9
20120901 20120930   148.6
20121001 20121031    48.8
20121101 20121130    64.4
20121201 20121231    84.0
20130101 20130131    28.2
20130201 20130228    12.4
20130301 20130331    52.7
20130401 20130430    69.0
20130501 20130531   103.8
20130601 20130630    43.0
20130701 20130731   199.8
20130801 20130831   353.3
20130901 20130930   141.2
20131001 20131031   132.2
20131101 20131130   126.4
20131201 20131231    65.4
20140101 20140131    32.0
20140201 20140228    69.6
20140301 20140331    52.2
20140401 20140430   101.4
20140501 20140531   101.2
20140601 20140630   101.4
20140701 20140731   112.6
20140801 20140831    50.4
20140901 20140930    66.4
20141001 20141031    88.8
20141101 20141130    33.2
20141201 20141231    72.8
20150101 20150131    50.8
20150201 20150228    31.0
20150301 20150331   114.4
20150401 20150430    15.8
20150501 20150531   188.0
20150601 20150630    65.9
20150701 20150731   191.6
20150801 20150831   117.4
20150901 20150930    39.0
20151001 20151031     6.1
20151101 20151130    30.0
20151201 20151231    42.2
20160101 20160131    31.8
20160201 20160229    56.4
20160301 20160331    64.0
20160401 20160430    46.6
20160501 20160531   192.0
20160601 20160630   205.3
20160701 20160731 99999.9
20160801 20160831 99999.9
20160901 20160930 99999.9
20161001 20161031 99999.9
20161101 20161130 99999.9
20161201 20161231 99999.9
20170101 20170131 99999.9
20170201 20170228 99999.9
20170301 20170331 99999.9
20170401 20170430 99999.9
20170501 20170531 99999.9
20170601 20170630 99999.9
20170701 20170731   152.3
20170801 20170831   122.2
20170901 20170930   142.0
20171001 20171031    95.9
20171101 20171130    27.4
20171201 20171231    38.2
20180101 20180131    25.0
