PRCP       020005 19110501 20160930 missing_value=99999.9 ERUDINA                                   
19330401 19330430     4.3
19330501 19330531    12.7
19330601 19330630     4.3
19330701 19330731    42.4
19330801 19330831     9.5
19330901 19330930     3.8
19331001 19331031     0.5
19331101 19331130    29.8
19331201 19331231     8.2
19340101 19340131     0.0
19340201 19340228    42.2
19340301 19340331    24.1
19340401 19340430     0.0
19340501 19340531     1.3
19340601 19340630     7.6
19340701 19340731    17.1
19340801 19340831     3.8
19340901 19340930     1.8
19341001 19341031    37.5
19341101 19341130    63.8
19341201 19341231     0.0
19350101 19350131     6.4
19350201 19350228     1.0
19350301 19350331     7.9
19350401 19350430     3.1
19350501 19350531     0.0
19350601 19350630    11.4
19350701 19350731     0.5
19350801 19350831     2.0
19350901 19350930    11.5
19351001 19351031    36.3
19351101 19351130     4.8
19351201 19351231    19.3
19360101 19360131    22.9
19360201 19360229     5.8
19360301 19360331    16.0
19360401 19360430     0.0
19360501 19360531    34.3
19360601 19360630     3.1
19360701 19360731    14.0
19360801 19360831    14.6
19360901 19360930     0.8
19361001 19361031     8.9
19361101 19361130    10.2
19361201 19361231    43.4
19370101 19370131    93.4
19370201 19370228    38.6
19370301 19370331    34.5
19370401 19370430     0.5
19370501 19370531     7.6
19370601 19370630    11.5
19370701 19370731     0.0
19370801 19370831    15.1
19370901 19370930     0.0
19371001 19371031    13.0
19371101 19371130    42.7
19371201 19371231    46.5
19380101 19380131     0.0
19380201 19380228    34.3
19380301 19380331     0.0
19380401 19380430     1.3
19380501 19380531     1.1
19380601 19380630     7.4
19380701 19380731     8.8
19380801 19380831    19.0
19380901 19380930     0.0
19381001 19381031    52.3
19381101 19381130     0.0
19381201 19381231     0.0
19390101 19390131    13.5
19390201 19390228    86.3
19390301 19390331    49.8
19390401 19390430    21.1
19390501 19390531    19.1
19390601 19390630    25.7
19390701 19390731     7.9
19390801 19390831     0.8
19390901 19390930     0.0
19391001 19391031    11.2
19391101 19391130    43.2
19391201 19391231     0.0
19400101 19400131     3.8
19400201 19400229     0.0
19400301 19400331     0.0
19400401 19400430    11.2
19400501 19400531     5.3
19400601 19400630     0.0
19400701 19400731     0.0
19400801 19400831     1.3
19400901 19400930     0.8
19401001 19401031     1.5
19401101 19401130     0.0
19401201 19401231     0.0
19410101 19410131    80.3
19410201 19410228     4.8
19410301 19410331     2.3
19410401 19410430     1.1
19410501 19410531     0.0
19410601 19410630    21.4
19410701 19410731    15.2
19410801 19410831     3.6
19410901 19410930     0.0
19411001 19411031     2.8
19411101 19411130    15.8
19411201 19411231     0.8
19420101 19420131     2.8
19420201 19420228    41.7
19420301 19420331     0.3
19420401 19420430     5.1
19420501 19420531    35.1
19420601 19420630    17.8
19420701 19420731     6.1
19420801 19420831    12.2
19420901 19420930     1.5
19421001 19421031    11.2
19421101 19421130     1.6
19421201 19421231     4.3
19430101 19430131     2.5
19430201 19430228    24.4
19430301 19430331     0.0
19430401 19430430     8.2
19430501 19430531     0.8
19430601 19430630     5.8
19430701 19430731     5.1
19430801 19430831    19.8
19430901 19430930     0.0
19431001 19431031     1.3
19431101 19431130     5.6
19431201 19431231     0.0
19440101 19440131     0.5
19440201 19440229    16.5
19440301 19440331     1.0
19440401 19440430    16.7
19440501 19440531     1.8
19440601 19440630     1.0
19440701 19440731     4.0
19440801 19440831    24.8
19440901 19440930     0.0
19441001 19441031     6.1
19441101 19441130    10.7
19441201 19441231    13.6
19450101 19450131     2.5
19450201 19450228    11.2
19450301 19450331     7.9
19450401 19450430     0.0
19450501 19450531     2.8
19450601 19450630    22.1
19450701 19450731    43.0
19450801 19450831     5.1
19450901 19450930    12.8
19451001 19451031    13.7
19451101 19451130    28.2
19451201 19451231    16.5
19460101 19460131    88.7
19460201 19460228    81.0
19460301 19460331     2.3
19460401 19460430     8.6
