PRCP       010795 19080301 20160531 missing_value=99999.9 AVONDALE RESEARCH STN                     
20040601 20040630    54.4
20040701 20040731    62.2
20040801 20040831    89.8
20040901 20040930    19.4
20041001 20041031    32.0
20041101 20041130    15.9
20041201 20041231     0.0
20050101 20050131     0.0
20050201 20050228     3.0
20050301 20050331    54.8
20050401 20050430    34.2
20050501 20050531   123.4
20050601 20050630   102.8
20050701 20050731    27.5
20050801 20050831    52.8
20050901 20050930    49.5
20051001 20051031    21.0
20051101 20051130     9.2
20051201 20051231     2.0
20060101 20060131   120.3
20060201 20060228     9.2
20060301 20060331     0.6
20060401 20060430    32.3
20060501 20060531    17.5
20060601 20060630    27.0
20060701 20060731    40.7
20060801 20060831    80.2
20060901 20060930    28.2
20061001 20061031    17.5
20061101 20061130    14.8
20061201 20061231    16.6
20070101 20070131    10.7
20070201 20070228     2.6
20070301 20070331     1.3
20070401 20070430    22.0
20070501 20070531    17.4
20070601 20070630    38.9
20070701 20070731   104.7
20070801 20070831    62.8
20070901 20070930    37.0
20071001 20071031    35.7
20071101 20071130     0.0
20071201 20071231    27.1
20080101 20080131     0.1
20080201 20080229    49.8
20080301 20080331    14.0
20080401 20080430    85.2
20080501 20080531    16.8
20080601 20080630    40.5
20080701 20080731   127.6
20080801 20080831     4.7
20080901 20080930    37.5
20081001 20081031    13.5
20081101 20081130    24.7
20081201 20081231     6.7
20090101 20090131    77.6
20090201 20090228    17.8
20090301 20090331    15.8
20090401 20090430     5.2
20090501 20090531    11.5
20090601 20090630    91.8
20090701 20090731    83.7
20090801 20090831    52.1
20090901 20090930    42.6
20091001 20091031    13.6
20091101 20091130    16.1
20091201 20091231     2.8
20100101 20100131     0.0
20100201 20100228     0.2
20100301 20100331    72.6
20100401 20100430     1.8
20100501 20100531    43.3
20100601 20100630    33.2
20100701 20100731    51.2
20100801 20100831    18.6
20100901 20100930    13.8
20101001 20101031     3.0
20101101 20101130    12.2
20101201 20101231    13.0
20110101 20110131    31.2
20110201 20110228     0.0
20110301 20110331     0.0
20110401 20110430    11.1
20110501 20110531    56.8
20110601 20110630    60.0
20110701 20110731   112.4
20110801 20110831    49.2
20110901 20110930    49.0
20111001 20111031    51.1
20111101 20111130    22.4
20111201 20111231    49.6
20120101 20120131     4.4
20120201 20120229    37.6
20120301 20120331     0.4
20120401 20120430    15.2
20120501 20120531    29.8
20120601 20120630    74.6
20120701 20120731    18.8
20120801 20120831    45.4
20120901 20120930    48.6
20121001 20121031     3.8
20121101 20121130    31.4
20121201 20121231    12.8
20130101 20130131    29.6
20130201 20130228     2.8
20130301 20130331    47.4
20130401 20130430     2.7
20130501 20130531    69.8
20130601 20130630     7.8
20130701 20130731    64.4
20130801 20130831    58.4
20130901 20130930    80.0
20131001 20131031    19.1
20131101 20131130     2.2
20131201 20131231     2.4
20140101 20140131     0.4
20140201 20140228     1.2
20140301 20140331     3.4
20140401 20140430    30.0
20140501 20140531    75.5
20140601 20140630    34.1
20140701 20140731    74.9
20140801 20140831    48.6
20140901 20140930    42.4
20141001 20141031    18.6
20141101 20141130    13.1
20141201 20141231     0.0
20150101 20150131     5.0
20150201 20150228     7.3
20150301 20150331    33.2
20150401 20150430    24.7
20150501 20150531    24.6
20150601 20150630    32.2
20150701 20150731    55.4
20150801 20150831    37.3
20150901 20150930     9.8
20151001 20151031    15.2
20151101 20151130     6.3
20151201 20151231    27.4
20160101 20160131    64.9
20160201 20160229     0.0
20160301 20160331    53.8
20160401 20160430    68.8
20160501 20160531    43.2
